occurrence_id	page	locus	ordinal	surface	position	reader_exact	split_normalized	reader_merge_direction	reader_merge_surface	all_present_exact	zl3b_line	it2a_line	rf1b_line	claim_boundary
G663-T0001	f100r	f100r.15	6	qokeeody	MEDIAL	1	1	NONE	NONE	0	dcheor shol qokeeol chor chol qokeeody dareu	dcheor shol qokeeol chor chol qokeeody dorean	dcheor shol qokeeol chor chol qokeeody d rea	reader agreement selects boundary confidence or an l-merge card; it does not identify plaintext
G663-T0002	f100r	f100r.5	2	char	MEDIAL	0	0	NONE	NONE	0	sar char daiindy	sar char daiindy	sarchar daiindy	reader agreement selects boundary confidence or an l-merge card; it does not identify plaintext
G663-T0003	f102r1	f102r1.10	2	sholdy	MEDIAL	0	0	NONE	NONE	0	ycheol sholdy chol chol ykeeol dol doleodaiin dal cthedy	ycheol sholdy chol chol ykeeol dol doleodaiin dol cthedy	ycheol shol y chol chol ykeeol dol doleadaiin dal cthedy	reader agreement selects boundary confidence or an l-merge card; it does not identify plaintext
G663-T0004	f102r1	f102r1.5	4	olaiin	MEDIAL	1	1	NONE	NONE	0	ytol sheol she olaiin orain oraroekeol chol ekey qokol dain	ytol sheol she olaiin orain oraroekeol chol ekey qokol dain	ytol sheol she olaiin orain oraroekeol chol ekey qokol ain	reader agreement selects boundary confidence or an l-merge card; it does not identify plaintext
G663-T0005	f102v1	f102v1.23	7	odain	MEDIAL	1	1	NONE	NONE	0	ksheody sho qokey sheody qockhey olcheor odain okchody	ksheody sho qokey sheody qockhey olcheor odain okchoda	ksheody sho qokey sheody qockhey ol cheor odain okchody	reader agreement selects boundary confidence or an l-merge card; it does not identify plaintext
G663-T0006	f102v2	f102v2.19	7	l	MEDIAL	0	0	LEFT	ol	0	deeeo qoeeor o eoy cheos o l o r o l okeeos ain	dcheo qoeeor oeoikhy cheos ol or ol okeeor ain	deeeo qoeeas o eoy cheos o l or ol okeeos ain	reader agreement selects boundary confidence or an l-merge card; it does not identify plaintext
G663-T0007	f102v2	f102v2.19	11	l	MEDIAL	0	0	LEFT	ol	0	deeeo qoeeor o eoy cheos o l o r o l okeeos ain	dcheo qoeeor oeoikhy cheos ol or ol okeeor ain	deeeo qoeeas o eoy cheos o l or ol okeeos ain	reader agreement selects boundary confidence or an l-merge card; it does not identify plaintext
G663-T0008	f103r	f103r.35	3	olain	MEDIAL	1	1	NONE	NONE	0	qoker chain olain chey kain sheol shedain qokeedy ykeedy lcheg	qokeear chain olain chey kain sheol shedain qokeedy ykeedy lcheg	qokeear chain olain chey kain eol edain qokeedy ykee y lcheg	reader agreement selects boundary confidence or an l-merge card; it does not identify plaintext
G663-T0009	f103r	f103r.4	1	ychedy	BOS	1	1	NONE	NONE	0	ychedy qokedy okedy qokeey okey chdar ol loty chedaraly	ychedy qokedy okedy qokeey okey chdarol loty chedar aly	ychedy qokedy okedy qokeey okey chdar ol loty chedar aly	reader agreement selects boundary confidence or an l-merge card; it does not identify plaintext
G663-T0010	f103r	f103r.4	6	chdar	MEDIAL	0	0	NONE	NONE	0	ychedy qokedy okedy qokeey okey chdar ol loty chedaraly	ychedy qokedy okedy qokeey okey chdarol loty chedar aly	ychedy qokedy okedy qokeey okey chdar ol loty chedar aly	reader agreement selects boundary confidence or an l-merge card; it does not identify plaintext
G663-T0011	f103r	f103r.47	3	l	MEDIAL	0	0	LEFT	okeeol	0	ssheey okeeo l lchey qokaly lcheedy oloraiin	ssheey okeeol lchey qokaly lcheedy oloraiin	seey okeeo l lchey qokaly lcheedy oloraiin	reader agreement selects boundary confidence or an l-merge card; it does not identify plaintext
G663-T0012	f103r	f103r.49	4	l	MEDIAL	1	1	NONE	NONE	0	okeey lr ain l ol sheed qokeey sheol qokeedy shedy qoky leeesain am	okeey lr ain l ol sheed qokeey sheol qokeedy shedy qoky leeesain am	okeey lr ain l olsheed qokeey she l qokee y shedy qoky leees ain am	reader agreement selects boundary confidence or an l-merge card; it does not identify plaintext
G663-T0013	f103r	f103r.50	2	l	MEDIAL	0	0	RIGHT	lshey	0	ssheey l shey qol cheey chey qokeey okeey qokain cheey qotain	ssheey lshey qol cheey chey qokeey okeey qokain cheey qotain	ssheey l shey qol cheey chey qokeey okeey qokain cheey qotain	reader agreement selects boundary confidence or an l-merge card; it does not identify plaintext
G663-T0014	f103r	f103r.8	13	lo	EOS	1	1	NONE	NONE	0	daroal okey chedy okey rain okechy qoisal qotar adchey ofeeo ltdy olkechdy lo	daroal okey chedy okey rain okechy qoisol qotar adchey ofcho lteody oral kechdy lo	daroal okey che y okey rain okeeey qoisal qotar adchey ofcho ltdy talkechdy lo	reader agreement selects boundary confidence or an l-merge card; it does not identify plaintext
G663-T0015	f103r	f103r.9	12	l	MEDIAL	1	1	NONE	NONE	0	oteeos ar cheal okeey shey lkaiin shey lkeor otaiin shedy otey l dy okeedaram	oteeos ar cheal okeey shey lkaiin shey lkeor otain shedy otey l ledy okeedaram	oteeos ar cheal okeey shey lkaiin shey lkear otaiin she y otey l eedy okeedaram	reader agreement selects boundary confidence or an l-merge card; it does not identify plaintext
G663-T0016	f103v	f103v.12	6	l	MEDIAL	0	0	RIGHT	lol	0	sal sheal shedy okeedy qokeey l ol shedy pchor pchedy pol sheedy opalam	sal sheal shedy okeedy qokeey lol shedy pchor pchedy pol sheedy opalam	sal she l shedy okeedy qokeey lol shedy pchor pchedy pol sheedy opalam	reader agreement selects boundary confidence or an l-merge card; it does not identify plaintext
G663-T0017	f103v	f103v.13	11	olshey	EOS	1	1	NONE	NONE	0	dain eey olshy otey olshedy qotshdy okeey lr ain okan olshey	dain cseey olshy otey olshedy qotshdy okeey lr ain okan olshey	dain eey olshy otey olshed qotshdy okeey lr ain okan olshey	reader agreement selects boundary confidence or an l-merge card; it does not identify plaintext
G663-T0018	f103v	f103v.16	3	okeeshy	MEDIAL	1	1	NONE	NONE	0	daiin sheekchy okeeshy qol shedy otain ol kedy	doiin sheekchy okeeshy qol shedy otain olkedy	d iin sheekchy okeeshy qol shedy otain olke y	reader agreement selects boundary confidence or an l-merge card; it does not identify plaintext
G663-T0019	f103v	f103v.17	5	lkedy	MEDIAL	0	0	NONE	NONE	0	qokeedy chedy qoteey oteedy lkedy shedy qokal ol char otal opchedy	qokeedy chedy qoteey oteedy lkedy shedy qokal ol char otal opchedy	qokeedy chedy qoteey oteedy lke y shedy qokal ol char otal opche y	reader agreement selects boundary confidence or an l-merge card; it does not identify plaintext
G663-T0020	f103v	f103v.17	9	char	MEDIAL	1	1	NONE	NONE	0	qokeedy chedy qoteey oteedy lkedy shedy qokal ol char otal opchedy	qokeedy chedy qoteey oteedy lkedy shedy qokal ol char otal opchedy	qokeedy chedy qoteey oteedy lke y shedy qokal ol char otal opche y	reader agreement selects boundary confidence or an l-merge card; it does not identify plaintext
G663-T0021	f103v	f103v.18	7	olaiin	MEDIAL	1	1	NONE	NONE	0	yshear ol oqaiin chckhey lchedy chedy olaiin oteedy qokeedal larorol	yshear ol oqaiin chckhy lchedy chedy olaiin oteedy qokeedal larorol	yshear al oqoiin chckhey lchedy chedy olaiin oteedy qokeedal larorol	reader agreement selects boundary confidence or an l-merge card; it does not identify plaintext
G663-T0022	f103v	f103v.19	6	l	MEDIAL	0	0	NONE	NONE	0	daiin chey lkeey chalkar cheeey l chealainor	daiin chey lkeey chalkar cheeey lchealaiin or	daiin chey lkeey chalkar cheeey l chealain or	reader agreement selects boundary confidence or an l-merge card; it does not identify plaintext
G663-T0023	f103v	f103v.20	2	char	MEDIAL	1	1	NONE	NONE	0	pol char otar okaiin shay oteal okain qotal shedy qokeey lolain	pol char otar okain shaikhy oteal okain qotal shedy qokeey lolain	pol char otar okaiin sh y oteal okain qotal edy qokeey lolain	reader agreement selects boundary confidence or an l-merge card; it does not identify plaintext
G663-T0024	f103v	f103v.22	1	olshey	BOS	1	1	NONE	NONE	0	olshey qokshy qotalsheey oloiin oleeedy qokain shedy qokey	olshey qokshy qotal sheey oloiin oleeedy qokain shedy qokey	olshey qokshy qotal eey oloiin oleee y qokain shedy qokey	reader agreement selects boundary confidence or an l-merge card; it does not identify plaintext
G663-T0025	f103v	f103v.23	2	l	MEDIAL	1	1	NONE	NONE	0	ycheody l ar cheey or aiiin oteey otal otear or ar keey qoty	ycheody l ar cheey or aiiin oteey otal otear ar ar keey qoty	ycheody l ar cheey or aiiin oteey otal otear ar ar keey qoty	reader agreement selects boundary confidence or an l-merge card; it does not identify plaintext
G663-T0026	f103v	f103v.26	3	sheety	MEDIAL	1	1	NONE	NONE	1	yteey qokeey sheety oteey lshedy oteaiin	yteey qokeey sheety oteey lshedy oteaiin	yteey qokeey sheety oteey lshedy oteaiin	reader agreement selects boundary confidence or an l-merge card; it does not identify plaintext
G663-T0027	f103v	f103v.3	7	char	MEDIAL	0	0	NONE	NONE	0	qok or chedy qokey dar chcthy char qoty shdy okeedy qokeey qokain	qok or chedy qokey dar chcthy chor qoty shdy okeedy qokeey qokain	qok or chedy qokey dar checthy char qoty sh y okeedy qokeey qokain	reader agreement selects boundary confidence or an l-merge card; it does not identify plaintext
G663-T0028	f103v	f103v.31	2	l	MEDIAL	1	1	NONE	NONE	0	okeey l chey qokeey o qokeey chedy qekchy daiin chckhy sar olainy	okeey l chey qokeey oqokeey chedy qckhhy daiin chckhy sar olainy	okeey l chey qokeey oqokeey chedy qekchy daiin chckhy sar olainy	reader agreement selects boundary confidence or an l-merge card; it does not identify plaintext
G663-T0029	f103v	f103v.32	4	chokaiin	MEDIAL	1	1	NONE	NONE	1	qokeeey chey qotey chokaiin shal chedy olkam	qokeeey chey qotey chokaiin shal chedy olkam	qokeeey chey qotey chokaiin shal chedy olkam	reader agreement selects boundary confidence or an l-merge card; it does not identify plaintext
G663-T0030	f103v	f103v.33	9	opchey	MEDIAL	1	1	NONE	NONE	1	yshey lkeey qokain okey okaiin cheody otey shdpchy opchey oly	yshey lkeey qokain okey okaiin cheody otey shdpchy opchey oly	yshey lkeey qokain okey okaiin cheody otey shdpchy opchey oly	reader agreement selects boundary confidence or an l-merge card; it does not identify plaintext
G663-T0031	f103v	f103v.37	1	olshey	BOS	0	1	NONE	NONE	0	olshey qokain ol shey qokeshe lsheok shdy qcphey chetydar	ol shey qokain ol shey qokeshe lsheok shdy qcphhy chety dar	olshey qokain ol shey qokeshe lsheok shdy qcphey chety dar	reader agreement selects boundary confidence or an l-merge card; it does not identify plaintext
