rank	page	locus	surface	working_default_de	practical_render_de	card_type	composition	strongest_rival_de	strength	reader_merge_surface	zl3b_line	v39_translation_de	v40_translation_de	status
1	f103v	f103v.16	okeeshy	heißer, vollständig angefeuchteter Ansatz	heißer, vollständig angefeuchteter Ansatz	PRODUCTIVE_COMPOUND	O_PREP+K_HOT+EE_END+SH_MOIST+Y_BASE	nur heiß-feuchte Endstufe	MEDIUM_EXACT_WHOLE	NONE	daiin sheekchy okeeshy qol shedy otain ol kedy	Grad-/Maßwert III; feuchte vollständig an, dann setze heiß-trocken an; [okeeshy:?]; gib Folgendes hinzu: feucht in der Mitte des Grades, abgeschlossen; kalt im Zubereitungsrahmen, Grad II; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; heiß in der Mitte des Grades, abgeschlossen	drei Maße; feuchte vollständig an, dann setze heiß-trocken an; heißer, vollständig angefeuchteter Ansatz; gib Folgendes hinzu: bis zur mittleren Einweichstufe gebracht; kalt im Zubereitungsrahmen, Grad II; Grundansatz; bis zur mittleren Heizstufe gebracht	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
2	f103v	f103v.32	chokaiin	Trockenansatz, heiß auf Stufe III	Trockenansatz, heiß auf Stufe III	PRODUCTIVE_COMPOUND	CH_DRY+O_PREP+K_HOT+A+IIN_III	heiße Trockendroge III ohne Ansatz	STRONG_PRACTICAL_OR_COMPOSITIONAL	NONE	qokeeey chey qotey chokaiin shal chedy olkam	erhitze bis Endstufe III; trocken in der Mitte des Grades; kalt in der Mitte des Grades; [chokaiin:?]; Rohstoffklasse I, feucht am Gradanfang; trocken in der Mitte des Grades, abgeschlossen; heißes Material [terminal-M]	erhitze bis Endstufe III; bis zur mittleren Trockenstufe; bis zur mittleren Kühlstufe; Trockenansatz, heiß auf Stufe III; Rohstoff I, feucht am Gradanfang; bis zur mittleren Trockenstufe gebracht; eine Maßeinheit heißer Drogenbasis	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
3	f103v	f103v.45	lkain	Holzdroge, heiß auf Stufe II	Holzdroge, heiß auf Stufe II	PRODUCTIVE_COMPOUND	L_WOOD+K_HOT+A+IN_II	erwärmte Flüssigkeit, Stufe II	STRONG_PRACTICAL_OR_COMPOSITIONAL	NONE	okey ol cheey lcheey lkain shckhy sheckhy or ain otar oly	heißer Ansatz in der Mitte des Grades; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; trocken am Ende des Grades; Drogenholz, trocken gebunden, Form II; [lkain:?]; Arzneikompositum: feucht, Gradanfang; feuchtes Arzneikompositum am Gradanfang; Drogenportion; Menge-/Klassenwert II; kalte Drogenfraktion I im Ansatz; seihe Vorstehendes ab.	Ansatz bis zur mittleren Heizstufe; Grundansatz; vollständig getrocknet; Drogenholz, trocken gebunden, Form II; Holzdroge, heiß auf Stufe II; Arzneikompositum: feucht, Gradanfang; feuchtes Arzneikompositum am Gradanfang; Drogenportion; zwei Teile; kalte Drogenfraktion I im Ansatz; seihe Vorstehendes ab.	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
4	f106v	f106v.23	kalol	heißer Rohstoff der ersten Klasse	heißer Rohstoff der ersten Klasse	PRODUCTIVE_COMPOUND	K_HOT+AL_RAW_I+OL_MATERIAL	bloß heißes Material	MEDIUM_EXACT_WHOLE	NONE	ol kalol shar chor okal chdy chol chedy qotaiin or aiin okeedy qokain	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; [kalol:?]; angefeuchtete Drogenfraktion I; Pflanzen-/Reproduktionsteil; Rohstoffklasse I im Ansatz, heiß am Gradanfang; trocken am Anfang des Grades, abgeschlossen; trocken; nominal trockenes Gut/Material; trocken in der Mitte des Grades, abgeschlossen; kalt, Grad III; Drogenportion; Menge III; heißer Ansatz am Ende des Grades, abgeschlossen; heiß, Grad II	Grundansatz; heißer Rohstoff der ersten Klasse; angefeuchtete Drogenfraktion I; Pflanzenteil; Rohstoff I, leicht erhitzt im Ansatz; angetrocknet; Trockengut; bis zur mittleren Trockenstufe gebracht; kalt, Grad III; Drogenportion; drei Teile; Ansatz auf Heizendstufe abgeschlossen; heiß, Grad II	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
5	f106v	f106v.25	okarol	Ansatzstoff aus heißer Drogenfraktion I	Ansatzstoff aus heißer Drogenfraktion I	PRODUCTIVE_COMPOUND	O_PREP+K_HOT+AR_FRACTION_I+OL_MATERIAL	heiße Fraktion I ohne Ansatz	MEDIUM_EXACT_WHOLE	NONE	sar sheol chol shar chol okarol	Samenfraktion I; feuchtes Material; trocken; nominal trockenes Gut/Material; angefeuchtete Drogenfraktion I; trocken; nominal trockenes Gut/Material; [okarol:?]	Samenfraktion I; feuchtes Material; Trockengut; angefeuchtete Drogenfraktion I; Trockengut; Ansatzstoff aus heißer Drogenfraktion I	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
6	f106v	f106v.41	qokeeody	vollständig ausgekochter Ansatz	vollständig ausgekochter Ansatz	PRODUCTIVE_COMPOUND	QO_FRAME+K_HOT+EE_END+O_PREP+DY_FINISHED	vollständig erhitzen	STRONG_PRACTICAL_OR_COMPOSITIONAL	NONE	otedy qoar cheey kaiin qokeeody okaiin oteey qoteedy choty	kalter Ansatz in der Mitte des Grades, abgeschlossen; Drogenfraktion I; trocken am Ende des Grades; heiß, Grad III; [qokeeody:?]; heiß, Grad III, im Ansatzrahmen; kalter Ansatz am Ende des Grades; kalt am Ende des Grades, abgeschlossen; kalter Trockenansatz	Ansatz auf mittlerer Kühlstufe abgeschlossen; Drogenfraktion I; vollständig getrocknet; heiß, Grad III; vollständig ausgekochter Ansatz; Ansatz auf Heizstufe III; Ansatz auf Kühlendstufe; bis zur Kühlendstufe gebracht; kalter Trockenansatz	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
7	f107r	f107r.46	alkal	Laugensalz / Alkali	Laugensalz / Alkali	LEARNED_WHOLE	LEARNED_ALKALI_WHOLE	Rohstoff I, heiß	LOW_EXPLORATORY	NONE	sar cheey qodaiin qokaiin ol cheor aiin otal taiin qokaiin otal alkal	Samenfraktion I; trocken am Ende des Grades; Qualitätsgrad III; heiß, Grad III; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; trockener Drogenteil; Menge III; Rohstoffklasse I im Ansatz, kalt am Gradanfang; kalt, Grad III; heiß, Grad III; Rohstoffklasse I im Ansatz, kalt am Gradanfang; [alkal:?]	Samenfraktion I; vollständig getrocknet; Stufe III; heiß, Grad III; Grundansatz; trockener Drogenteil; drei Teile; Rohstoff I, leicht gekühlt im Ansatz; kalt, Grad III; heiß, Grad III; Rohstoff I, leicht gekühlt im Ansatz; Laugensalz / Alkali	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
8	f107v	f107v.26	olkeeo	stark erhitzter Drogenauszug	stark erhitzter Drogenauszug	PRODUCTIVE_COMPOUND	OL_MATERIAL+K_HOT+EE_END+O_EXTRACT	stark erhitzter Drogenstoff	MEDIUM_EXACT_WHOLE	NONE	oraiin sheor qokain cheody qokain otal okaiin olkeeo r ar al oldy	Portion III; feuchter Drogenteil; heiß, Grad II; getrockneter Ansatz; heiß, Grad II; Rohstoffklasse I im Ansatz, kalt am Gradanfang; heiß, Grad III, im Ansatzrahmen; [olkeeo:?]; Wurzel; Drogenfraktion I; Rohstoffklasse I; fertiger, abgeseihter Auszug	Portion III; feuchter Drogenteil; heiß, Grad II; getrockneter Ansatz; heiß, Grad II; Rohstoff I, leicht gekühlt im Ansatz; Ansatz auf Heizstufe III; stark erhitzter Drogenauszug; Wurzel; Drogenfraktion I; Rohstoff I; fertiger, abgeseihter Auszug	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
9	f108r	f108r.28	arolkeey	Drogenfraktion I, vollständig erhitzt	Drogenfraktion I, vollständig erhitzt	PRODUCTIVE_COMPOUND	AR_FRACTION_I+OL_MATERIAL+K_HOT+EEY_END	erhitze Fraktion I	LOW_EXPLORATORY	NONE	sain arolkeey qoal olkedy okaiin	Saatgut, Typ/Charge II; [arolkeey:?]; Rohstoffklasse I; erhitzte Drogenbasis, fertig; heiß, Grad III, im Ansatzrahmen	Saatgut, Typ/Charge II; Drogenfraktion I, vollständig erhitzt; Rohstoff I; erhitzte Drogenbasis, fertig; Ansatz auf Heizstufe III	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
10	f108r	f108r.6	chdar	abgemessene Trockenfraktion I, Anfangsstufe	abgemessene Trockenfraktion I, Anfangsstufe	PRODUCTIVE_COMPOUND	CH_DRY+D_MEASURE+AR_FRACTION_I	trockener Grad statt gemessener Fraktion	STRONG_PRACTICAL_OR_COMPOSITIONAL	NONE	ol cheol qo qokeey qokeey qokeedy sheoky otedy qotey qokchey chdar aiin y	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; trockener Drogenstoff; nimm Folgendes: heiß am Ende des Grades; heiß am Ende des Grades; heiß am Ende des Grades, abgeschlossen; feucht angesetzte heiße Zubereitung am Gradanfang; kalter Ansatz in der Mitte des Grades, abgeschlossen; kalt in der Mitte des Grades; heiß und trocken in der Mitte des Grades; [chdar:?]; Menge III.	Grundansatz; trockener Drogenstoff; nimm Folgendes: bis zur Heizendstufe; bis zur Heizendstufe; bis zur Heizendstufe gebracht; feucht angesetzte heiße Zubereitung am Gradanfang; Ansatz auf mittlerer Kühlstufe abgeschlossen; bis zur mittleren Kühlstufe; heiß und bis zur mittleren Trockenstufe; abgemessene Trockenfraktion I, Anfangsstufe; drei Teile.	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
