occurrence_id	page	locus	token_index	ordinal	line_length	surface	token_kind	position	section	language	hand	family	card_type	scope_mode	rendering_class	left_surface	right_surface	reader_merge_direction	reader_merge_surface	working_gloss_de	working_render_de	composition	strongest_rival_de	reader_exact	split_normalized	all_three_present	all_present_exact	zl3b_line	it2a_line	rf1b_line	v39_gloss_de	v40_gloss_de	v39_scope_state	v40_scope_state	v40_working_translation_de	exact_surface_dispatch	context_or_reader_dispatch	substring_dispatch
G663-T0001	f100r	f100r.15	6	6	7	qokeeody	P	MEDIAL	P	A	1	HOT_PREP	PRODUCTIVE_COMPOUND	EXACT_WHITESPACE_WHOLE_WITH_OPTIONAL_PRACTICAL_RENDER	EXACT_WHOLE	chol	dareu	NONE	NONE	vollständig ausgekochter Ansatz	vollständig ausgekochter Ansatz	QO_FRAME+K_HOT+EE_END+O_PREP+DY_FINISHED	vollständig erhitzen	1	1	1	0	dcheor shol qokeeol chor chol qokeeody dareu	dcheor shol qokeeol chor chol qokeeody dorean	dcheor shol qokeeol chor chol qokeeody d rea	[qokeeody:?]	vollständig ausgekochter Ansatz	UNKNOWN_SURFACE	KNOWN_EXACT_WHOLE	[dcheor:?]; Feuchtgut; [qokeeol:?]; Pflanzenteil; Trockengut; vollständig ausgekochter Ansatz; [dareu:?]	1	0	0
G663-T0002	f100r	f100r.5	2	2	3	char	L	MEDIAL	P	A	1	DRY	PRODUCTIVE_COMPOUND	EXACT_WHITESPACE_WHOLE_WITH_OPTIONAL_PRACTICAL_RENDER	LABEL_SIGLUM	sar	daiindy	NONE	NONE	[Trockenfraktionszeichen]	[Trockenfraktionszeichen]	CH_DRY+AR_FRACTION_I	CHOR als Pflanzenteil	0	0	1	0	sar char daiindy	sar char daiindy	sarchar daiindy	[char:?]	[Trockenfraktionszeichen]	UNKNOWN_SURFACE	READER_BOUNDARY_UNSTABLE	Samenfraktion I; [Trockenfraktionszeichen]; [daiindy:?]	1	0	0
G663-T0003	f102r1	f102r1.10	2	2	9	sholdy	P	MEDIAL	P	A	1	MOIST_PREP	PRODUCTIVE_COMPOUND	EXACT_WHITESPACE_WHOLE_WITH_OPTIONAL_PRACTICAL_RENDER	EXACT_WHOLE	ycheol	chol	NONE	NONE	vollständig eingeweichte Droge	vollständig eingeweichte Droge	SHOL_MOIST_MATERIAL+DY_FINISHED	einweichen	0	0	1	0	ycheol sholdy chol chol ykeeol dol doleodaiin dal cthedy	ycheol sholdy chol chol ykeeol dol doleodaiin dol cthedy	ycheol shol y chol chol ykeeol dol doleadaiin dal cthedy	[sholdy:?]	vollständig eingeweichte Droge	UNKNOWN_SURFACE	READER_BOUNDARY_UNSTABLE	trockener Drogenstoff dieser Droge; vollständig eingeweichte Droge; Trockengut; Trockengut; [ykeeol:?]; Materialmaß; [doleodaiin:?]; abgemessene Rohstoffmenge I; [cthedy:?]	1	0	0
G663-T0004	f102r1	f102r1.5	4	4	10	olaiin	P	MEDIAL	P	A	1	MEASURE	PRODUCTIVE_COMPOUND	EXACT_WHITESPACE_WHOLE_WITH_OPTIONAL_PRACTICAL_RENDER	EXACT_WHOLE	she	orain	NONE	NONE	Drogenstoff, Menge III	Drogenstoff, Menge III	OL_BASE+A+IIN_III	Drogenstoff, Qualitätsstufe III	1	1	1	0	ytol sheol she olaiin orain oraroekeol chol ekey qokol dain	ytol sheol she olaiin orain oraroekeol chol ekey qokol dain	ytol sheol she olaiin orain oraroekeol chol ekey qokol ain	[olaiin:?]	Drogenstoff, Menge III	UNKNOWN_SURFACE	KNOWN_EXACT_WHOLE	[ytol:?]; feuchtes Material; feucht, attributiv gebunden; Drogenstoff, drei Teile; [orain:?]; [oraroekeol:?]; Trockengut; [ekey:?]; erhitze bis Grad II	1	0	0
G663-T0005	f102v1	f102v1.23	7	7	8	odain	P	MEDIAL	P	A	1	MEASURE	PRODUCTIVE_COMPOUND	EXACT_WHITESPACE_WHOLE_WITH_OPTIONAL_PRACTICAL_RENDER	EXACT_WHOLE	olcheor	okchody	NONE	NONE	Zubereitungsdosis II	Zubereitungsdosis II	O_PREP+D_DOSE+A+IN_II	Zubereitungsstufe II	1	1	1	0	ksheody sho qokey sheody qockhey olcheor odain okchody	ksheody sho qokey sheody qockhey olcheor odain okchoda	ksheody sho qokey sheody qockhey ol cheor odain okchody	[odain:?]	Zubereitungsdosis II	UNKNOWN_SURFACE	KNOWN_EXACT_WHOLE	[ksheody:?]; feuchter Ansatz; bis zur mittleren Heizstufe; angefeuchteter Ansatz, abgeschlossen; [qockhey:?]; [olcheor:?]; Zubereitungsdosis II; [okchody:?]	1	0	0
G663-T0006	f102v2	f102v2.19	7	7	13	l	P	MEDIAL	P	A	1	MEASURE	CONTEXT_SCOPED_LEARNED_SIGLUM	OCCURRENCE_SCOPED_READER_MERGE_OR_FREE_SIGLUM	L_READER_MERGE_LEFT	o	o	LEFT	ol	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	LEARNED_FREE_LIBRA_SIGLUM	freies Holzzeichen	0	0	1	0	deeeo qoeeor o eoy cheos o l o r o l okeeos ain	dcheo qoeeor oeoikhy cheos ol or ol okeeor ain	deeeo qoeeas o eoy cheos o l or ol okeeos ain	[l:?]	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	UNKNOWN_SURFACE	READER_BOUNDARY_UNSTABLE	[deeeo:?]; [qoeeor:?]; [o:?]; [eoy:?]; [cheos:?]; Grundansatz; [o:?]; Wurzel; Grundansatz; [okeeos:?]; zwei Teile	0	1	0
G663-T0007	f102v2	f102v2.19	11	11	13	l	P	MEDIAL	P	A	1	MEASURE	CONTEXT_SCOPED_LEARNED_SIGLUM	OCCURRENCE_SCOPED_READER_MERGE_OR_FREE_SIGLUM	L_READER_MERGE_LEFT	o	okeeos	LEFT	ol	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	LEARNED_FREE_LIBRA_SIGLUM	freies Holzzeichen	0	0	1	0	deeeo qoeeor o eoy cheos o l o r o l okeeos ain	dcheo qoeeor oeoikhy cheos ol or ol okeeor ain	deeeo qoeeas o eoy cheos o l or ol okeeos ain	[l:?]	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	UNKNOWN_SURFACE	READER_BOUNDARY_UNSTABLE	[deeeo:?]; [qoeeor:?]; [o:?]; [eoy:?]; [cheos:?]; Grundansatz; [o:?]; Wurzel; Grundansatz; [okeeos:?]; zwei Teile	0	1	0
G663-T0008	f103r	f103r.35	3	3	10	olain	P	MEDIAL	S	B	3	MEASURE	PRODUCTIVE_COMPOUND	EXACT_WHITESPACE_WHOLE_WITH_OPTIONAL_PRACTICAL_RENDER	EXACT_WHOLE	chain	chey	NONE	NONE	Drogenstoff, Menge II	Drogenstoff, Menge II	OL_BASE+A+IN_II	Drogenstoff, Qualitätsstufe II	1	1	1	0	qoker chain olain chey kain sheol shedain qokeedy ykeedy lcheg	qokeear chain olain chey kain sheol shedain qokeedy ykeedy lcheg	qokeear chain olain chey kain eol edain qokeedy ykee y lcheg	[olain:?]	Drogenstoff, Menge II	UNKNOWN_SURFACE	KNOWN_EXACT_WHOLE	[qoker:?]; trocken, Grad II; Drogenstoff, zwei Teile; bis zur mittleren Trockenstufe; heiß, Grad II; feuchtes Material; [shedain:?]; bis zur Heizendstufe gebracht; Eintrag/Bezug: heiß am Gradende, abgeschlossen; [lcheg:?]	1	0	0
G663-T0009	f103r	f103r.4	1	1	9	ychedy	P	BOS	S	B	3	ENTRY	ENTRY_COMPOSITE	EXACT_WHITESPACE_WHOLE_WITH_OPTIONAL_PRACTICAL_RENDER	ENTRY_WHOLE	<BOS>	qokedy	NONE	NONE	Eintrag: getrocknete Droge, fertig	Eintrag: getrocknete Droge, fertig	Y_ENTRY+CHEDY_DRY_FINISHED	hierzu getrocknete Droge	1	1	1	0	ychedy qokedy okedy qokeey okey chdar ol loty chedaraly	ychedy qokedy okedy qokeey okey chdarol loty chedar aly	ychedy qokedy okedy qokeey okey chdar ol loty chedar aly	[ychedy:?]	Eintrag: getrocknete Droge, fertig	UNKNOWN_SURFACE	KNOWN_EXACT_WHOLE	Eintrag: getrocknete Droge, fertig; bis zur mittleren Heizstufe gebracht; Ansatz bis zur mittleren Heizstufe, abgeschlossen; bis zur Heizendstufe; Ansatz bis zur mittleren Heizstufe; abgemessene Trockenfraktion I, Anfangsstufe; Grundansatz; [loty:?]; [chedaraly:?]	1	0	0
G663-T0010	f103r	f103r.4	6	6	9	chdar	P	MEDIAL	S	B	3	DRY	PRODUCTIVE_COMPOUND	EXACT_WHITESPACE_WHOLE_WITH_OPTIONAL_PRACTICAL_RENDER	EXACT_WHOLE	okey	ol	NONE	NONE	abgemessene Trockenfraktion I, Anfangsstufe	abgemessene Trockenfraktion I, Anfangsstufe	CH_DRY+D_MEASURE+AR_FRACTION_I	trockener Grad statt gemessener Fraktion	0	0	1	0	ychedy qokedy okedy qokeey okey chdar ol loty chedaraly	ychedy qokedy okedy qokeey okey chdarol loty chedar aly	ychedy qokedy okedy qokeey okey chdar ol loty chedar aly	[chdar:?]	abgemessene Trockenfraktion I, Anfangsstufe	UNKNOWN_SURFACE	READER_BOUNDARY_UNSTABLE	Eintrag: getrocknete Droge, fertig; bis zur mittleren Heizstufe gebracht; Ansatz bis zur mittleren Heizstufe, abgeschlossen; bis zur Heizendstufe; Ansatz bis zur mittleren Heizstufe; abgemessene Trockenfraktion I, Anfangsstufe; Grundansatz; [loty:?]; [chedaraly:?]	1	0	0
