family	surface	card_type	occurrences	lines	pages	working_default_de	composition	claim_scope
ACTION	ylg	LEARNED_ACTION_WHOLE	1	1	1	in ein Holzgefäß geben	LEARNED_CONTAINER_ACTION	exact whole; composition predicts relatives only as a future explicit card
ACTION	olyly	LEARNED_ACTION_WHOLE	1	1	1	seihe ein zweites Mal ab	LEARNED_OLY_STRAIN+ITERATIVE_Y	exact whole; composition predicts relatives only as a future explicit card
ACTION	qoraiin	LEARNED_ACTION_WHOLE	1	1	1	nimm eine Drogenportion, Menge III	QO_TAKE+OR_PORTION+A+IIN_III	exact whole; composition predicts relatives only as a future explicit card
ACTION	shee	LEARNED_ACTION_WHOLE	11	10	8	vollständig anfeuchten	LEARNED_SH_MOIST+EE_END	exact whole; composition predicts relatives only as a future explicit card
ACTION	qor	LEARNED_ACTION_WHOLE	21	21	18	nimm eine Drogenportion	QO_TAKE+OR_PORTION	exact whole; composition predicts relatives only as a future explicit card
ACTION	deeeese	LEARNED_ACTION_WHOLE	1	1	1	lange bis zur letzten Stufe ruhen lassen	LEARNED_LONG_REST_WHOLE	exact whole; composition predicts relatives only as a future explicit card
ACTION	qoly	LEARNED_ACTION_WHOLE	7	7	6	gib Vorstehendes hinzu und schließe die Zugabe ab	QOL_ADD+Y_CLOSE	exact whole; composition predicts relatives only as a future explicit card
ACTION	qoteytyqoky	LEARNED_ACTION_WHOLE	1	1	1	zunächst bis Mittelstufe kühlen, dann heiß ansetzen	QOTEY_COLD_MIDDLE+TY_SEQUENCE+QOKY_HOT_START	exact whole; composition predicts relatives only as a future explicit card
COLD	teedar	PRODUCTIVE_COMPOUND	3	3	3	abgemessene kalte Fraktion I, Endstufe	T_COLD+EE_END+D_MEASURE+AR_FRACTION_I	exact whole; composition predicts relatives only as a future explicit card
COLD	qotoiin	PRODUCTIVE_COMPOUND	2	2	2	kalte Zubereitung, Form III	QO_FRAME+T_COLD+O_PREP+IIN_III	exact whole; composition predicts relatives only as a future explicit card
