surface	working_meaning_de	composition	strongest_rival_de	card_type	strength	occurrences	scope	status
okeeshy	heißer, vollständig angefeuchteter Ansatz	O_PREP+K_HOT+EE_END+SH_MOIST+Y_BASE	nur heiß-feuchte Endstufe	PRODUCTIVE_COMPOUND	MEDIUM_EXACT_WHOLE	2	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V40_REPLACEABLE
chokaiin	Trockenansatz, heiß auf Stufe III	CH_DRY+O_PREP+K_HOT+A+IIN_III	heiße Trockendroge III ohne Ansatz	PRODUCTIVE_COMPOUND	STRONG_PRACTICAL_OR_COMPOSITIONAL	15	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V40_REPLACEABLE
lkain	Holzdroge, heiß auf Stufe II	L_WOOD+K_HOT+A+IN_II	erwärmte Flüssigkeit, Stufe II	PRODUCTIVE_COMPOUND	STRONG_PRACTICAL_OR_COMPOSITIONAL	33	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V40_REPLACEABLE
kalol	heißer Rohstoff der ersten Klasse	K_HOT+AL_RAW_I+OL_MATERIAL	bloß heißes Material	PRODUCTIVE_COMPOUND	MEDIUM_EXACT_WHOLE	2	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V40_REPLACEABLE
okarol	Ansatzstoff aus heißer Drogenfraktion I	O_PREP+K_HOT+AR_FRACTION_I+OL_MATERIAL	heiße Fraktion I ohne Ansatz	PRODUCTIVE_COMPOUND	MEDIUM_EXACT_WHOLE	2	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V40_REPLACEABLE
qokeeody	vollständig ausgekochter Ansatz	QO_FRAME+K_HOT+EE_END+O_PREP+DY_FINISHED	vollständig erhitzen	PRODUCTIVE_COMPOUND	STRONG_PRACTICAL_OR_COMPOSITIONAL	13	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V40_REPLACEABLE
alkal	Laugensalz / Alkali	LEARNED_ALKALI_WHOLE	Rohstoff I, heiß	LEARNED_WHOLE	LOW_EXPLORATORY	1	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V40_REPLACEABLE
olkeeo	stark erhitzter Drogenauszug	OL_MATERIAL+K_HOT+EE_END+O_EXTRACT	stark erhitzter Drogenstoff	PRODUCTIVE_COMPOUND	MEDIUM_EXACT_WHOLE	4	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V40_REPLACEABLE
arolkeey	Drogenfraktion I, vollständig erhitzt	AR_FRACTION_I+OL_MATERIAL+K_HOT+EEY_END	erhitze Fraktion I	PRODUCTIVE_COMPOUND	LOW_EXPLORATORY	1	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V40_REPLACEABLE
chdar	abgemessene Trockenfraktion I, Anfangsstufe	CH_DRY+D_MEASURE+AR_FRACTION_I	trockener Grad statt gemessener Fraktion	PRODUCTIVE_COMPOUND	STRONG_PRACTICAL_OR_COMPOSITIONAL	17	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V40_REPLACEABLE
sholkeedy	feuchte Drogenbasis, vollständig erhitzt	SH_MOIST+OL_BASE+K_HOT+EEDY_FINISHED	heißer Feuchtauszug	PRODUCTIVE_COMPOUND	MEDIUM_EXACT_WHOLE	2	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V40_REPLACEABLE
chedar	abgemessene Trockenfraktion I, Mittelstufe	CH_DRY+E_MIDDLE+D_MEASURE+AR_FRACTION_I	anders getrenntes CHE+D+AR	PRODUCTIVE_COMPOUND	STRONG_PRACTICAL_OR_COMPOSITIONAL	31	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V40_REPLACEABLE
teedar	abgemessene kalte Fraktion I, Endstufe	T_COLD+EE_END+D_MEASURE+AR_FRACTION_I	abgekühlte Fraktion ohne Maßwert	PRODUCTIVE_COMPOUND	MEDIUM_EXACT_WHOLE	3	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V40_REPLACEABLE
qotoiin	kalte Zubereitung, Form III	QO_FRAME+T_COLD+O_PREP+IIN_III	QOTAIIN-Lesevariante: kalt, Stufe III	PRODUCTIVE_COMPOUND	MEDIUM_EXACT_WHOLE	2	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V40_REPLACEABLE
qokchd	abgemessene heiß-trockene Droge	QO_FRAME+K_HOT+CH_DRY+D_MEASURE	verkürztes QOKCHDY	PRODUCTIVE_COMPOUND	MEDIUM_EXACT_WHOLE	6	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V40_REPLACEABLE
ykoly	Eintrag: heißer Drogenstoff	Y_ENTRY+KOL_HOT_MATERIAL+Y_CLOSE	heißen Auszug abseihen	ENTRY_COMPOSITE	MEDIUM_EXACT_WHOLE	1	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V40_REPLACEABLE
choross	Pflanzenteil als fertige Arzneispecies	CHOR_PLANT_PART+O_PREP+SS_SPECIES	Pflanzenteile auskochen	PRODUCTIVE_COMPOUND	LOW_EXPLORATORY	1	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V40_REPLACEABLE
sokchy	heiß-trockener Samenansatz, Grundform	S_SEED+O_PREP+K_HOT+CH_DRY+Y_BASE	Salz statt Saat	PRODUCTIVE_COMPOUND	MEDIUM_EXACT_WHOLE	1	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V40_REPLACEABLE
qokchol	heiß-trockenes Drogenmaterial	QO_FRAME+K_HOT+CHOL_DRY_MATERIAL	Trockengut erhitzen	PRODUCTIVE_COMPOUND	STRONG_PRACTICAL_OR_COMPOSITIONAL	15	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V40_REPLACEABLE
