rank	locus	zl3b_line	manual_workshop_translation_de	notes
1	f100r.5	sar char daiindy	Etikett: erste Saatfraktion; erste Trockenfraktion; drei Maße, abgefüllt.	Die Zeilenart ist Label; daher kein künstlicher Imperativ. Daiindy bezeichnet die abgeschlossene Drei-Maß-Charge.
2	f103v.17	qokeedy chedy qoteey oteedy lkedy shedy qokal ol char otal opchedy	Erhitze vollständig, trockne bis zur Mittelstufe und kühle ganz ab. Schließe den Kaltansatz; erhitze die Holzdroge mäßig, weiche bis zur Mittelstufe ein und gib eine leicht erhitzte Portion Rohdroge in den Grundansatz. Füge die erste Trockenfraktion und eine leicht gekühlte Portion Rohdroge hinzu; rühre zuletzt das fertige Trockenpulver ein.	Nacktes ol bleibt Grundansatz.
3	f107r.44	ycheodain okeey qokeeody qokaiin	Nimm zwei Dosen Trockenansatz, erhitze bis zur Endstufe, koche vollständig aus und halte anschließend auf Heizstufe III.	Y-Anfang als Werkstattimperativ.
4	f107r.7	ytaiin cheotchey okaiin chckhy okeedy otcheey	Nimm drei Teile Kaltansatz. Kühle den Trockenansatz bis zur Mittelstufe weiter; gib drei Teile heißen Ansatz und leicht getrocknete Kräutermischung hinzu, erhitze vollständig und kühle den heiß-trockenen Ansatz ganz ab.	Gradmetaglossen als ausführbare Stufen geglättet.
5	f107v.48	oteedy qokey qokeedy chody chey qoky oteey otain chey aiinal	Kühle den Ansatz vollständig ab, erwärme ihn mäßig und danach ganz. Schließe den Trockenansatz, trockne bis zur Mittelstufe, erwärme kurz, kühle erneut und gib schließlich drei Teile Rohdroge hinzu.	Aiinal als drei Teile Rohdroge.
6	f108v.37	sain sheor sheey sheckhey qokey okey shey lkain shedy qokain dalam	Nimm zwei Teile Saatgut und einen feuchten Pflanzenteil, weiche vollständig ein und setze daraus eine feuchte Kräutermischung an. Erwärme mäßig, weiche nochmals ein, erhitze die Holzdroge auf Stufe II und gib ein Maß Rohdroge hinzu.	Dalam als ein Maß Rohdroge.
7	f112r.35	sain olaiin qopchdy qoky okeal chedy okeey otedy ar ar okeedy	Nimm zwei Teile Saatgut und drei Teile Holzdrogenansatz. Gib das fertige Trockenpulverpräparat hinzu, erwärme zunächst leicht, trockne bis zur Mittelstufe, erhitze vollständig, kühle mäßig und füge zweimal die erste Fraktion hinzu.	Olaiin nach finaler OL-Revision als Holzdrogenansatz.
8	f113v.35	qokaiin air lo r chedy otain	Erhitze die zweite Fraktion vollständig, gib Holzabsud und Wurzel hinzu, trockne bis zur Mittelstufe und kühle mäßig ab.	Air als zweite Fraktion.
9	f114r.45	dain ched chodaiin otain chdar chedy chocthy	Nimm zwei Maße, trockne bis zur Mittelstufe und bereite daraus drei Dosen Trockenansatz. Kühle mäßig; trockne die erste abgemessene Fraktion weiter und gib die trockene Krautzubereitung hinzu.	Chodaiin als drei Dosen Trockenansatz.
10	f116r.50	sodal ch al chcthy chckhy qol ain ary	Miss eine Portion Saatrohstoff in den Ansatz. Trockne eine Portion Rohdroge zusammen mit Kraut und Kräutermischung leicht an; gib zwei Teile hinzu und schließe die erste Fraktion ab.	Ch vor al praktisch als Trockenimperativ geglättet.
11	f16v.5	ytchy chyty chor chol ytchy dan	Nimm eine kalt-trockene Droge, trockne sie kurz und kühle sie ab. Gib einen Pflanzenteil und Trockengut hinzu, behandle nochmals kalt-trocken und nimm ein Maß.	Chyty als trocknen-dann-kühlen-Sequenz.
12	f21v.8	cho l kchochaiin	Nimm einen Trockenansatz von einem Pfund, erhitze ihn und trockne ihn vollständig.	Freies l als Pfund; kein OL-Materialkompositum.
13	f24r.10	qor cfhar chor s am chotaiin dy	Nimm eine Portion aus der ersten Blütenfraktion und einen weiteren Pflanzenteil. Gib ein Maß Saatgut hinzu, kühle den Trockenansatz vollständig und schließe ab.	Cfhar als riskante erste Blütenfraktion.
14	f29v.6	dchor chol chaiin shaiin cthod dar chs shody	Miss einen Pflanzenteil ab, trockne ihn vollständig und feuchte ihn ebenso gründlich an. Gieße den Krautabsud ab, nimm die erste Fraktion und weiche das verbleibende Trockengut vollständig ein.	Cthod als Krautabsud-Abguss.
15	f30r.7	qor chain cthorchy	Nimm eine Portion Krautdroge, trockne sie zunächst mäßig und anschließend kurz nach.	Cthorchy als leicht getrocknete Krautportion.
16	f31r.7	ykeedar saiin checkhey sheol qokedy ykeedy chedy ldy	Erhitze hiervon die erste Fraktion vollständig. Gib drei Teile Saatgut und die trockene Kräutermischung hinzu, feuchte an, erwärme mäßig, erhitze danach vollständig und trockne bis zur Mittelstufe; schließe mit der fertig aufbereiteten Holzdroge.	Ykeedar als anaphorische Heizhandlung.
17	f32r.9	dytchor dary	Teile danach eine kalt-trockene Drogenportion ab und schließe die erste Fraktion.	Dy eröffnet die Folgehandlung.
18	f40v.18	saiin otain chckhy okal okair arol qokey okary	Nimm drei Teile Saatgut und kühle den Ansatz mäßig. Gib leicht getrocknete Kräutermischung, leicht erhitzte Rohdroge, die zweite heiße Fraktion und den Auszug der ersten Fraktion hinzu; erwärme bis zur Mittelstufe und schließe die erste heiße Ansatzfraktion ab.	Arol als Auszug der ersten Fraktion.
19	f47r.5	dain olshey chokolg	Nimm zwei Maße Holzdrogenansatz, weiche ihn bis zur Mittelstufe ein und gib ein Gran heißen Trockenabsud hinzu.	Olshey nach OL-Revision; chokolg ist eine exakte Gran-Ganzkarte, kein Gefäßtransfer.
20	f51v.8	olkeeody qokal qodaiin or l	Koche den Holzdrogenauszug vollständig aus. Gib eine leicht erhitzte Portion Rohdroge hinzu, bringe auf Heizstufe III und nimm davon eine Drogenportion zu einem Pfund.	Olkeeody nach finaler OL-Revision.
21	f54v.4	dar chor cheky chol okaiin chody chol dy	Miss die erste Pflanzenteilfraktion ab, trockne bis zur Mittelstufe und erwärme kurz. Gib Trockengut hinzu, erhitze den Ansatz vollständig und lasse den Trockenrückstand fertig trocknen.	Cheky als trocknen-dann-erhitzen; kein generischer Abschlussrenderer.
22	f6v.11	lor char otam ctho m dy	Nimm eine Holzportion und die erste Trockenfraktion, vermische sie mit einem Maß kalten Ansatzes und einer Handvoll Krautansatz und schließe ab.	M ist die Handvoll-Einheit.
23	f75r.26	dain ol sheol dain ol qoly dar ajy	Nimm zwei Maße Grundansatz und eingeweichte Droge, danach nochmals zwei Maße Grundansatz. Gib alles zusammen, schließe die Zugabe, miss die erste Fraktion ab und fülle ein Bündel davon ab.	Beide nackten ol bleiben Grundansatz; qoly ist Zugabeabschluss.
24	f75v.68	o cthey shedy otol chckhey ldy	Setze grob geschnittene Krautdroge an und weiche bis zur Mittelstufe ein. Gib gekühlten Grundauszug und eine trockene Kräutermischung hinzu; schließe mit der fertig aufbereiteten Holzdroge.	O und cthey werden occurrence-spezifisch als octhey gelesen.
25	f76v.28	saiin sheckhy cheolchey qokedy sair sheckhy l keedy lchedy	Nimm drei Teile Saatgut, feuchte die Kräutermischung leicht an, trockne den Drogenstoff nach und erwärme bis zur Mittelstufe. Gib die zweite Saatfraktion in eine frische feuchte Mischung, erhitze die Holzdroge vollständig und füge getrocknetes Drogenholz hinzu.	L und keedy werden occurrence-spezifisch als Holzdrogenform geglättet.
26	f78r.18	o l chedy qokain dar ar okain	Trockne den Grundansatz bis zur Mittelstufe und erhitze auf Stufe II. Miss die erste Fraktion ab, gib die erste Drogenfraktion hinzu und erwärme den Ansatz nochmals mäßig.	O und l werden occurrence-spezifisch als nacktes ol gelesen.
27	f81r.12	ychedy tedy ol sheedy qokeey loly	Nimm die fertig getrocknete Droge, kühle mäßig, gib sie in den Grundansatz, weiche vollständig ein, erhitze vollständig und seihe den Holzabsud ab.	Nacktes ol bleibt Grundansatz; loly enthält die Abseihaktion oly.
28	f83r.21	solkeedy qokedy otedy sol chedy lkedy qokchedy qokedy chckhdy sar	Erhitze den Saatgrundstoff vollständig, führe ihn über mittlere Hitze und mittlere Kühlung, gib weiteres Saatgut hinzu und trockne bis zur Mittelstufe. Erhitze die Holzdroge, trockne sie heiß nach, schließe die Kräutermischung und nimm die erste Saatfraktion.	Sol bleibt Saatfamilie und gehört nicht zur OL-Holzdrogenrevision.
29	f83r.42	sol ol chcthdy l chedy lchdy	Vermische Saatgut mit dem Grundansatz, trockne die Krautdroge vollständig und gib getrocknete sowie kompakt getrocknete Holzdroge hinzu.	Nacktes ol bleibt Grundansatz; l plus chedy wird als Holzdroge geglättet.
30	f83v.22	char qokar cheolkain shckhey qokal cheor ols	Nimm die erste Trockenfraktion und die erste heiße Fraktion. Erhitze die getrocknete Droge auf Stufe II, feuchte die Kräutermischung mäßig an und gib leicht erhitzte Rohdroge, einen trockenen Pflanzenteil und eine Charge Holzdrogenansatz hinzu.	Ols nach finaler OL-Revision als Holzdrogenansatz.
