surface	working_meaning_de	composition	strongest_rival_de	family
daiindy	drei Maße, abgeteilt und abgeschlossen	D_MEASURE+A+IIN_III+DY_CLOSE	bloßer Gradwert III mit Schlusszeichen	MEASURE
ssheey	vollständig eingeweichtes Saatgut	S_SEED+SHEEY_MOIST_END	feuchte Arzneispecies ohne Saatwert	SEED
opchedy	vollständig getrocknetes Pulverpräparat	O_PREP+P_POWDER+CHEDY_DRY_FINISHED	getrocknete Droge ohne Pulverwert	POWDER
qok	erhitze Folgendes	LEARNED_QOK_HEAT_ACTION	gebundener Heißrahmen ohne Verb	ACTION
shas	angefeuchtete Kräutermischung	SH_MOIST+AS_DRUG_MIXTURE	feuchtes Saatgut in Grundform	MOIST_PREP
olcheeo	Holzdrogenauszug aus vollständig getrockneter Droge	O_PREP+L_WOOD+CHEE_DRY_END+O_EXTRACT	lexikalisierte Drogenbasis plus Trockenstufe	WOOD
orchedy	Portion vollständig getrocknete Droge	OR_PORTION+CHEDY_DRY_FINISHED	getrockneter Wurzelstoff	DRY
raralchl	trockne die rohe Wurzelfraktion I	R_ROOT+AR_FRACTION_I+AL_RAW_I+CHL_DRY_ACTION	langes gelerntes Drogenetikett	ACTION
darshy	abgemessene Fraktion I, leicht angefeuchtet	D_MEASURE+AR_FRACTION_I+SHY_MOIST_START	abgemessene feuchte Wurzelfraktion	FRACTION
ychklkaiin	nimm Holzdroge, trockne und erhitze sie auf Stufe III	Y_REFERENCE+CHK_HOT_DRY+L_WOOD+KAIIN_III	Eintrag mit verlorener Grenze vor LKAIIN	ENTRY
ycheodain	nimm hierzu zwei Dosen Trockenansatz	Y_REFERENCE+CHEO_DRY_PREP+DAIN_DOSE_II	hierzu zwei Trockenstufen	ENTRY
cheotchey	Trockenansatz bis zur mittleren Kühlstufe	CHEO_DRY_PREP+TCHEY_COLD_DRY_MIDDLE	trockene CTH-Zubereitung, Form I	COLD
lkaiin	Holzdroge, heiß auf Stufe III	L_WOOD+K_HOT+A+IIN_III	erwärmte Flüssigkeit, Stufe III	WOOD
olkeey	Holzdrogenansatz vollständig erhitzt	O_PREP+L_WOOD+K_HOT+EEY_END	lexikalisierte Drogenbasis bis Heizendstufe	WOOD
okeoteey	erhitzten Ansatz bis zur Kühlendstufe bringen	O_PREP+K_HOT+E_LINK+O_PREP+TEEY_COLD_END	gleichzeitiger heiß-kalter Zustand	ACTION
aiinal	drei Teile Rohdroge I	AIIN_AMOUNT_III+AL_RAW_I	Rohstoffklasse III ohne Menge	MEASURE
say	gib eine Gabe Saatgut zu	S_SEED+A_ADD+Y_ACTION	Saatgut in Grundform	ACTION
