macro_id	phase_signature	spoken_name_de	statements	records	example_statements	constituent_actions_preserved
WM01	ROUTE>CLOSE	zuführen, abführen, umfüllen oder weitergeben → Arbeitsschritt schließen	16	5	B1-S005|B1-S017|B2-S001|B2-S002|B2-S013|B2-S022|B3-S005|B3-S008	YES
WM02	HOLD>CLOSE	halten, ziehen oder einwirken lassen → Arbeitsschritt schließen	15	4	B1-S001|B1-S009|B1-S010|B1-S020|B2-S015|B2-S018|B2-S021|B3-S017	YES
WM03	SETTLE>CLOSE	ruhen, absetzen, auffangen oder verwahren → Arbeitsschritt schließen	6	4	B1-S019|B2-S007|B2-S009|B3-S012|B3-S018|B4-S009	YES
WM04	MEASURE_CHARGE	messen, portionieren oder beschicken	5	3	H3-S003|H3-S004|H5-S006|B3-S004|B3-S009	YES
WM05	MEASURE_CHARGE>HOLD>CLOSE	messen, portionieren oder beschicken → halten, ziehen oder einwirken lassen → Arbeitsschritt schließen	5	3	B2-S003|B2-S011|B3-S013|B3-S029|B4-S005	YES
WM06	MEASURE_CHARGE>ROUTE>CLOSE	messen, portionieren oder beschicken → zuführen, abführen, umfüllen oder weitergeben → Arbeitsschritt schließen	5	3	B1-S007|B3-S010|B3-S025|B3-S030|B5-S002	YES
WM07	CLOSE	Arbeitsschritt schließen	4	3	B2-S020|B3-S027|B4-S010|B4-S014	YES
WM08	MEASURE_CHARGE>SETTLE>CLOSE	messen, portionieren oder beschicken → ruhen, absetzen, auffangen oder verwahren → Arbeitsschritt schließen	3	3	B2-S008|B3-S034|B4-S013	YES
WM09	HOLD>SETTLE>CLOSE	halten, ziehen oder einwirken lassen → ruhen, absetzen, auffangen oder verwahren → Arbeitsschritt schließen	2	2	B1-S008|B3-S019	YES
WM10	MATERIAL_PREP	Material abnehmen, gewinnen oder vorbereiten	2	1	H2-S001|H2-S002	YES
WM11	MEASURE_CHARGE>CLOSE	messen, portionieren oder beschicken → Arbeitsschritt schließen	2	2	H4-S001|B3-S032	YES
WM12	ROUTE	zuführen, abführen, umfüllen oder weitergeben	2	2	B1-S011|B2-S014	YES
WM13	ROUTE>MEASURE_CHARGE>ROUTE>CLOSE	zuführen, abführen, umfüllen oder weitergeben → messen, portionieren oder beschicken → zuführen, abführen, umfüllen oder weitergeben → Arbeitsschritt schließen	2	2	B1-S015|B3-S016	YES
WM14	ROUTE>SETTLE>CLOSE	zuführen, abführen, umfüllen oder weitergeben → ruhen, absetzen, auffangen oder verwahren → Arbeitsschritt schließen	2	2	B1-S004|B3-S014	YES
WM15	THERMAL>SETTLE>CLOSE	wärmen, temperieren oder abkühlen → ruhen, absetzen, auffangen oder verwahren → Arbeitsschritt schließen	2	1	B2-S017|B2-S019	YES
