phase_no	phase	workshop_meaning_de	action_events	statement_uses
P01	MATERIAL_PREP	Material abnehmen, gewinnen oder vorbereiten	18	13
P02	MEASURE_CHARGE	messen, portionieren oder beschicken	59	47
P03	APPLY	anlegen, bestreichen oder befestigen	11	10
P04	HOLD	halten, ziehen oder einwirken lassen	56	43
P05	THERMAL	wärmen, temperieren oder abkühlen	8	8
P06	WASH	waschen oder durchwaschen	3	2
P07	SETTLE	ruhen, absetzen, auffangen oder verwahren	28	28
P08	ROUTE	zuführen, abführen, umfüllen oder weitergeben	70	52
P09	SPECIALIST	gelernte Fachhandlung außerhalb der acht Grundphasen	8	7
P10	CLOSE	Arbeitsschritt schließen	0	89
