statement_id	page	record	phase_signature	phase_count	has_close	complete_action_sequence_de	actions_preserved	macro_status	macro_id	macro_frequency
H1-S001	f10r	H1	MATERIAL_PREP>ROUTE>MATERIAL_PREP>SPECIALIST>MATERIAL_PREP	5	NO	abnehmen → übertragen → ablaufen lassen → eintragen + abnehmen → Pflanzenstoff in den Ansatz geben → eintragen	YES	COMPOSE_ONCE_FROM_PHASES	NONE	1
H1-S002	f10r	H1	SPECIALIST>MATERIAL_PREP	2	NO	Pflanzenstoff in den Ansatz geben → abnehmen	YES	COMPOSE_ONCE_FROM_PHASES	NONE	1
H2-S001	f10r	H2	MATERIAL_PREP	1	NO	abziehen	YES	TAUGHT_RECURRENT_MACRO	WM10	2
H2-S002	f10r	H2	MATERIAL_PREP	1	NO	abziehen	YES	TAUGHT_RECURRENT_MACRO	WM10	2
H2-S003	f10r	H2	MEASURE_CHARGE>MATERIAL_PREP	2	NO	zugeben → zugeben → abziehen	YES	COMPOSE_ONCE_FROM_PHASES	NONE	1
H3-S001	f11r	H3	MATERIAL_PREP>HOLD>MATERIAL_PREP>HOLD>MEASURE_CHARGE>HOLD>MATERIAL_PREP>CLOSE	8	YES	eintragen + halten → an Ort halten → auswringen → ziehen lassen → hineingeben → ziehen lassen → abschließend eintragen + abziehen	YES	COMPOSE_ONCE_FROM_PHASES	NONE	1
H3-S002	f11r	H3	HOLD>MATERIAL_PREP	2	NO	halten + eintragen	YES	COMPOSE_ONCE_FROM_PHASES	NONE	1
H3-S003	f11r	H3	MEASURE_CHARGE	1	NO	zugeben	YES	TAUGHT_RECURRENT_MACRO	WM04	5
H3-S004	f11r	H3	MEASURE_CHARGE	1	NO	weiter beschicken	YES	TAUGHT_RECURRENT_MACRO	WM04	5
H4-S001	f55v	H4	MEASURE_CHARGE>CLOSE	2	YES	bis zum Sollmaß beschicken → dosiert zugeben → zugeben	YES	TAUGHT_RECURRENT_MACRO	WM11	2
H4-S002	f55v	H4	MEASURE_CHARGE>SETTLE	2	NO	abmessen und umsetzen → verwahren	YES	COMPOSE_ONCE_FROM_PHASES	NONE	1
H4-S003	f55v	H4	MEASURE_CHARGE>MATERIAL_PREP>THERMAL>CLOSE	4	YES	dosiert zugeben → entnehmen → temperieren	YES	COMPOSE_ONCE_FROM_PHASES	NONE	1
H4-S004	f55v	H4	APPLY>MATERIAL_PREP	2	NO	anlegen → eintragen	YES	COMPOSE_ONCE_FROM_PHASES	NONE	1
H5-S001	f56r	H5	MATERIAL_PREP>ROUTE>MATERIAL_PREP>SPECIALIST	4	NO	abziehen → zuführen → abziehen → Pflanzenstoff in den Ansatz geben	YES	COMPOSE_ONCE_FROM_PHASES	NONE	1
H5-S002	f56r	H5	APPLY>ROUTE>CLOSE	3	YES	anlegen → ablaufen lassen	YES	COMPOSE_ONCE_FROM_PHASES	NONE	1
H5-S003	f56r	H5	HOLD>MEASURE_CHARGE	2	NO	ziehen lassen → zugeben → einsetzen + einsetzen	YES	COMPOSE_ONCE_FROM_PHASES	NONE	1
H5-S004	f56r	H5	SPECIALIST>MATERIAL_PREP>ROUTE	3	NO	Pflanzenstoff in den Ansatz geben → ansetzen + abziehen → zuführen	YES	COMPOSE_ONCE_FROM_PHASES	NONE	1
H5-S005	f56r	H5	SPECIALIST>MEASURE_CHARGE	2	NO	ansetzen → zugeben	YES	COMPOSE_ONCE_FROM_PHASES	NONE	1
H5-S006	f56r	H5	MEASURE_CHARGE	1	NO	zugeben	YES	TAUGHT_RECURRENT_MACRO	WM04	5
B1-S001	f81v	B1	HOLD>CLOSE	2	YES	einwirken lassen	YES	TAUGHT_RECURRENT_MACRO	WM02	15
B1-S002	f81v	B1	MEASURE_CHARGE>ROUTE>APPLY>MEASURE_CHARGE>THERMAL>ROUTE>HOLD>APPLY>ROUTE>CLOSE	10	YES	bis zum Sollmaß beschicken → einspeisen → anlegen → dosiert zugeben → dosiert zugeben → abkühlen lassen → führen → zurückhalten → anlegen → durchleiten	YES	COMPOSE_ONCE_FROM_PHASES	NONE	1
B1-S003	f81v	B1	HOLD>MEASURE_CHARGE>ROUTE>CLOSE	4	YES	halten + zugeben + überführen	YES	COMPOSE_ONCE_FROM_PHASES	NONE	1
B1-S004	f81v	B1	ROUTE>SETTLE>CLOSE	3	YES	umschöpfen → absetzen lassen	YES	TAUGHT_RECURRENT_MACRO	WM14	2
B1-S005	f81v	B1	ROUTE>CLOSE	2	YES	in die nächste Station weitergeben	YES	TAUGHT_RECURRENT_MACRO	WM01	16
B1-S006	f81v	B1	MEASURE_CHARGE>ROUTE>THERMAL	3	NO	eine Portion einfüllen → durchleiten → abkühlen lassen	YES	COMPOSE_ONCE_FROM_PHASES	NONE	1
B1-S007	f81v	B1	MEASURE_CHARGE>ROUTE>CLOSE	3	YES	einsetzen + überführen	YES	TAUGHT_RECURRENT_MACRO	WM06	5
B1-S008	f81v	B1	HOLD>SETTLE>CLOSE	3	YES	warm halten → absetzen lassen	YES	TAUGHT_RECURRENT_MACRO	WM09	2
B1-S009	f81v	B1	HOLD>CLOSE	2	YES	einwirken lassen	YES	TAUGHT_RECURRENT_MACRO	WM02	15
B1-S010	f81v	B1	HOLD>CLOSE	2	YES	einwirken lassen	YES	TAUGHT_RECURRENT_MACRO	WM02	15
B1-S011	f81v	B1	ROUTE	1	NO	einleiten	YES	TAUGHT_RECURRENT_MACRO	WM12	2
B1-S012	f81v	B1	WASH>HOLD>WASH>CLOSE	4	YES	waschen → wirken lassen → durchwaschen	YES	COMPOSE_ONCE_FROM_PHASES	NONE	1
B1-S013	f81v	B1	WASH>CLOSE	2	YES	durchwaschen	YES	COMPOSE_ONCE_FROM_PHASES	NONE	1
B1-S014	f81v	B1	ROUTE>SETTLE>ROUTE	3	NO	umschöpfen → auffangen → hinleiten + umfüllen	YES	COMPOSE_ONCE_FROM_PHASES	NONE	1
B1-S015	f81v	B1	ROUTE>MEASURE_CHARGE>ROUTE>CLOSE	4	YES	übertragen → einsetzen + überführen	YES	TAUGHT_RECURRENT_MACRO	WM13	2
B1-S016	f81v	B1	APPLY>HOLD>SETTLE>CLOSE	4	YES	anlegen → wirken lassen → absetzen lassen	YES	COMPOSE_ONCE_FROM_PHASES	NONE	1
B1-S017	f81v	B1	ROUTE>CLOSE	2	YES	umfüllen	YES	TAUGHT_RECURRENT_MACRO	WM01	16
B1-S018	f81v	B1	ROUTE>HOLD>SETTLE>HOLD>CLOSE	5	YES	führen → stehen lassen → auffangen und stehen lassen	YES	COMPOSE_ONCE_FROM_PHASES	NONE	1
B1-S019	f81v	B1	SETTLE>CLOSE	2	YES	absetzen lassen	YES	TAUGHT_RECURRENT_MACRO	WM03	6
B1-S020	f81v	B1	HOLD>CLOSE	2	YES	warm halten → zurückhalten	YES	TAUGHT_RECURRENT_MACRO	WM02	15
B1-S021	f81v	B1	STATE_ONLY	0	NO	NO_EXPLICIT_ACTION_CARD	YES	COMPOSE_ONCE_FROM_PHASES	NONE	1
B2-S001	f82r	B2	ROUTE>CLOSE	2	YES	in die nächste Station weitergeben	YES	TAUGHT_RECURRENT_MACRO	WM01	16
B2-S002	f82r	B2	ROUTE>CLOSE	2	YES	in die nächste Station weitergeben	YES	TAUGHT_RECURRENT_MACRO	WM01	16
B2-S003	f82r	B2	MEASURE_CHARGE>HOLD>CLOSE	3	YES	eine Portion einfüllen → einwirken lassen	YES	TAUGHT_RECURRENT_MACRO	WM05	5
B2-S004	f82r	B2	APPLY>ROUTE>SPECIALIST>HOLD>ROUTE>CLOSE	6	YES	anlegen → durchleiten → führen + umsetzen → wirken lassen → durchleiten	YES	COMPOSE_ONCE_FROM_PHASES	NONE	1
B2-S005	f82r	B2	APPLY>SETTLE>ROUTE>HOLD>ROUTE>CLOSE	6	YES	anlegen → bis zum Maß auffangen → einleiten → einleiten → warm halten → abführen	YES	COMPOSE_ONCE_FROM_PHASES	NONE	1
B2-S006	f82r	B2	APPLY>HOLD>MEASURE_CHARGE	3	NO	anlegen → zurückhalten → den Arbeitsstoff einsetzen	YES	COMPOSE_ONCE_FROM_PHASES	NONE	1
B2-S007	f82r	B2	SETTLE>CLOSE	2	YES	ruhen lassen	YES	TAUGHT_RECURRENT_MACRO	WM03	6
B2-S008	f82r	B2	MEASURE_CHARGE>SETTLE>CLOSE	3	YES	aus der bezeichneten Quelle beschicken → absetzen lassen	YES	TAUGHT_RECURRENT_MACRO	WM08	3
B2-S009	f82r	B2	SETTLE>CLOSE	2	YES	ruhen lassen	YES	TAUGHT_RECURRENT_MACRO	WM03	6
B2-S010	f82r	B2	HOLD>MEASURE_CHARGE>HOLD	3	NO	wirken lassen → den Arbeitsstoff einsetzen → stehen lassen	YES	COMPOSE_ONCE_FROM_PHASES	NONE	1
B2-S011	f82r	B2	MEASURE_CHARGE>HOLD>CLOSE	3	YES	eine Portion einfüllen → eine Portion einfüllen → einwirken lassen	YES	TAUGHT_RECURRENT_MACRO	WM05	5
B2-S012	f82r	B2	ROUTE>MATERIAL_PREP>HOLD>ROUTE>MEASURE_CHARGE>CLOSE	6	YES	führen + abnehmen → stehen lassen → wirken lassen → führen → vollständig beschicken und abschließen	YES	COMPOSE_ONCE_FROM_PHASES	NONE	1
B2-S013	f82r	B2	ROUTE>CLOSE	2	YES	abführen + überführen	YES	TAUGHT_RECURRENT_MACRO	WM01	16
B2-S014	f82r	B2	ROUTE	1	NO	ableiten	YES	TAUGHT_RECURRENT_MACRO	WM12	2
B2-S015	f82r	B2	HOLD>CLOSE	2	YES	stehen lassen → einwirken lassen	YES	TAUGHT_RECURRENT_MACRO	WM02	15
B2-S016	f82r	B2	ROUTE>MATERIAL_PREP>MEASURE_CHARGE>HOLD>MEASURE_CHARGE>ROUTE>CLOSE	7	YES	ableiten + umfüllen → abnehmen + abteilen → bis zum Sollmaß beschicken → wirken lassen → einfüllen + überführen	YES	COMPOSE_ONCE_FROM_PHASES	NONE	1
B2-S017	f82r	B2	THERMAL>SETTLE>CLOSE	3	YES	abkühlen lassen + ruhen lassen	YES	TAUGHT_RECURRENT_MACRO	WM15	2
B2-S018	f82r	B2	HOLD>CLOSE	2	YES	einwirken lassen	YES	TAUGHT_RECURRENT_MACRO	WM02	15
B2-S019	f82r	B2	THERMAL>SETTLE>CLOSE	3	YES	auskühlen lassen + absetzen lassen	YES	TAUGHT_RECURRENT_MACRO	WM15	2
B2-S020	f82r	B2	CLOSE	1	YES	NO_EXPLICIT_ACTION_CARD	YES	TAUGHT_RECURRENT_MACRO	WM07	4
B2-S021	f82r	B2	HOLD>CLOSE	2	YES	einwirken lassen	YES	TAUGHT_RECURRENT_MACRO	WM02	15
B2-S022	f82r	B2	ROUTE>CLOSE	2	YES	abführen + überführen	YES	TAUGHT_RECURRENT_MACRO	WM01	16
B3-S001	f83r	B3	SETTLE>HOLD>CLOSE	3	YES	auffangen und stehen lassen	YES	COMPOSE_ONCE_FROM_PHASES	NONE	1
B3-S002	f83r	B3	THERMAL>CLOSE	2	YES	anwärmen	YES	COMPOSE_ONCE_FROM_PHASES	NONE	1
