edition	model	locus	source_id	word	hypothesis	status	origin
ZL3b	G	f75v.38	ZL3b|f75v.38|G001	tolsheor	⟦tolsheor⟧	OPEN	NO_VALUE
ZL3b	G	f75v.38	ZL3b|f75v.38|G002	qokal	⟦qokal⟧	OPEN	NO_VALUE
ZL3b	G	f75v.38	ZL3b|f75v.38|G003	dar	Teilmenge	UNCONFIRMED_ASSUMPTION	W02 exact whole
ZL3b	G	f75v.38	ZL3b|f75v.38|G004	olked	⟦olked⟧	OPEN	NO_VALUE
ZL3b	G	f75v.38	ZL3b|f75v.38|G005	orol	⟦orol⟧	OPEN	NO_VALUE
ZL3b	G	f75v.38	ZL3b|f75v.38|G006	kchey	⟦kchey⟧	OPEN	NO_VALUE
ZL3b	G	f75v.38	ZL3b|f75v.38|G007	okain	⟦okain⟧	OPEN	NO_VALUE
ZL3b	G	f75v.38	ZL3b|f75v.38|G008	olchey	⟦olchey⟧	OPEN	NO_VALUE
ZL3b	G	f75v.38	ZL3b|f75v.38|G009	okar	⟦okar⟧	OPEN	NO_VALUE
ZL3b	G	f75v.38	ZL3b|f75v.38|G010	sheky	⟦sheky⟧	OPEN	NO_VALUE
ZL3b	G	f75v.38	ZL3b|f75v.38|G011	dedy	⟦dedy⟧	OPEN	NO_VALUE
ZL3b	G	f75v.38	ZL3b|f75v.38|G012	kedy	⟦kedy⟧	OPEN	NO_VALUE
ZL3b	G	f75v.39	ZL3b|f75v.39|G001	qoqokeey	⟦qoqokeey⟧	OPEN	NO_VALUE
ZL3b	G	f75v.39	ZL3b|f75v.39|G002	olkain	⟦olkain⟧	OPEN	NO_VALUE
ZL3b	G	f75v.39	ZL3b|f75v.39|G003	qol	⟦qol⟧	OPEN	NO_VALUE
ZL3b	G	f75v.39	ZL3b|f75v.39|G004	sheedy	⟦sheedy⟧	OPEN	NO_VALUE
ZL3b	G	f75v.39	ZL3b|f75v.39|G005	qokeor	erhitze den Auszug	UNCONFIRMED_ASSUMPTION	W02 exact whole
ZL3b	G	f75v.39	ZL3b|f75v.39|G006	sheedy	⟦sheedy⟧	OPEN	NO_VALUE
ZL3b	G	f75v.39	ZL3b|f75v.39|G007	qokal	⟦qokal⟧	OPEN	NO_VALUE
ZL3b	G	f75v.39	ZL3b|f75v.39|G008	or	Anteil	UNCONFIRMED_ASSUMPTION	W02 exact whole
ZL3b	G	f75v.39	ZL3b|f75v.39|G009	chey	prüfe	UNCONFIRMED_ASSUMPTION	W02 exact whole
ZL3b	G	f75v.39	ZL3b|f75v.39|G010	qokar	erwärmter Anteil	UNCONFIRMED_ASSUMPTION	W02 exact whole
ZL3b	G	f75v.39	ZL3b|f75v.39|G011	ol	mit	UNCONFIRMED_ASSUMPTION	W02 exact whole
ZL3b	G	f75v.39	ZL3b|f75v.39|G012	aiin	Maßzahl Q	UNCONFIRMED_ASSUMPTION	W02 exact whole
ZL3b	G	f75v.40	ZL3b|f75v.40|G001	dlshedy	⟦dlshedy⟧	OPEN	NO_VALUE
ZL3b	G	f75v.40	ZL3b|f75v.40|G002	qokain	erwärmte Dosis P	UNCONFIRMED_ASSUMPTION	W02 exact whole
ZL3b	G	f75v.40	ZL3b|f75v.40|G003	dal	Maß	UNCONFIRMED_ASSUMPTION	W02 exact whole
ZL3b	G	f75v.40	ZL3b|f75v.40|G004	qol	⟦qol⟧	OPEN	NO_VALUE
ZL3b	G	f75v.40	ZL3b|f75v.40|G005	qol	⟦qol⟧	OPEN	NO_VALUE
ZL3b	G	f75v.40	ZL3b|f75v.40|G006	ol	mit	UNCONFIRMED_ASSUMPTION	W02 exact whole
ZL3b	G	f75v.40	ZL3b|f75v.40|G007	sheedy	⟦sheedy⟧	OPEN	NO_VALUE
ZL3b	G	f75v.40	ZL3b|f75v.40|G008	cheey	zerreibe fein	UNCONFIRMED_ASSUMPTION	W02 exact whole
ZL3b	G	f75v.40	ZL3b|f75v.40|G009	dol	Portion	UNCONFIRMED_ASSUMPTION	W02 exact whole
ZL3b	G	f75v.40	ZL3b|f75v.40|G010	ol	mit	UNCONFIRMED_ASSUMPTION	W02 exact whole
ZL3b	G	f75v.40	ZL3b|f75v.40|G011	sheey	benetze	UNCONFIRMED_ASSUMPTION	W02 exact whole
ZL3b	G	f75v.40	ZL3b|f75v.40|G012	qokain	erwärmte Dosis P	UNCONFIRMED_ASSUMPTION	W02 exact whole
ZL3b	G	f75v.40	ZL3b|f75v.40|G013	olol	⟦olol⟧	OPEN	NO_VALUE
ZL3b	G	f75v.41	ZL3b|f75v.41|G001	sal	⟦sal⟧	OPEN	NO_VALUE
ZL3b	G	f75v.41	ZL3b|f75v.41|G002	shedy	⟦shedy⟧	OPEN	NO_VALUE
ZL3b	G	f75v.41	ZL3b|f75v.41|G003	qokain	erwärmte Dosis P	UNCONFIRMED_ASSUMPTION	W02 exact whole
ZL3b	G	f75v.41	ZL3b|f75v.41|G004	shey	⟦shey⟧	OPEN	NO_VALUE
ZL3b	G	f75v.41	ZL3b|f75v.41|G005	qoin	⟦qoin⟧	OPEN	NO_VALUE
