event_id	page	record	statement_id	locus	owner_de	card_no	observed_surface	component_recipe	pass724_semantic_de	pass729_semantic_de	quantity_root	form_owner_boundary_status
E001	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	PROC001	dchey	CH+E+Y	ENTNEHMEN · KURZ · DIES	ENTNEHMEN · KURZ · DIES	NONE	UNCHANGED
E002	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	PROC002	cthoor	CTH+O+OR	BEREITEN · ARBEITSGANG · ANSATZ	BEREITEN · ARBEITSGANG · ANSATZ	NONE	UNCHANGED
E003	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	PROC003	char	AR	QUELLE	QUELLE	NONE	UNCHANGED
E004	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	PROC004	chty	T+Y	ANWENDEN · DIES	ANWENDEN · DIES	NONE	UNCHANGED
E005	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	PROC005	os	OS	FACH	FACH	NONE	UNCHANGED
E006	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	PROC006	chair	CH+AIR	ENTNEHMEN · WASSER	ENTNEHMEN · WASSER	NONE	UNCHANGED
E007	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	PROC007	otytchol	OT+Y+T+CH+OL	DANACH · DIES · ANWENDEN · ENTNEHMEN · FORTSETZEN	DANACH · DIES · ANWENDEN · ENTNEHMEN · FORTSETZEN	NONE	UNCHANGED
E008	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	PROC008	oky	OK+Y	ANSETZEN · DIES	ANSETZEN · DIES	NONE	UNCHANGED
E009	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	PROC009	daiin	AIIN	MASS	SOLLMASS	AIIN	UNCHANGED
E010	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	PROC010	etyd	E+T+Y	KURZ · ANWENDEN · DIES	KURZ · ANWENDEN · DIES	NONE	UNCHANGED
E011	f10r	H1	H1-S002	f10r.5	abgebildete breit gezähnte radialblütige Pflanze	PROC011	qokchy	OK+Y	ANSETZEN · DIES	ANSETZEN · DIES	NONE	UNCHANGED
E012	f10r	H1	H1-S002	f10r.5	abgebildete breit gezähnte radialblütige Pflanze	PROC012	qotchol	OT+CH+OL	DANACH · ENTNEHMEN · FORTSETZEN	DANACH · ENTNEHMEN · FORTSETZEN	NONE	UNCHANGED
E013	f10r	H1	H1-S002	f10r.5	abgebildete breit gezähnte radialblütige Pflanze	PROC013	chol	OL	FORTSETZEN	FORTSETZEN	NONE	UNCHANGED
E014	f10r	H1	H1-S002	f10r.5	abgebildete breit gezähnte radialblütige Pflanze	PROC014	cthy	CTH+Y	BEREITEN · DIES	BEREITEN · DIES	NONE	UNCHANGED
E015	f10r	H2	H2-S001	f10r.6	abgebildete breit gezähnte radialblütige Pflanze	PROC015	ycheor	Y+CH+E+OR	DIES · ENTNEHMEN · KURZ · ANSATZ	DIES · ENTNEHMEN · KURZ · ANSATZ	NONE	UNCHANGED
