exact_card_id	semantic_family	component_recipe	pass724_reading_de	pass729_reading_de	quantity_root	registered_surfaces	events	quantity_revision
PROC009	SEM009	AIIN	MASS	SOLLMASS	AIIN	aiin|chaiin|daiin|saiin|taiin	20	YES
PROC017	SEM016	CTH+AIIN	BEREITEN · MASS	BEREITEN · SOLLMASS	AIIN	cthaiin	1	YES
PROC024	SEM023	K+IIN	ZUGEBEN · STUFE	ZUGEBEN · ARBEITSSTUFE	IIN	kaiiin	1	YES
PROC025	SEM024	CH+O+AIIN	ENTNEHMEN · ARBEITSGANG · MASS	ENTNEHMEN · ARBEITSGANG · SOLLMASS	AIIN	chodaiin	1	YES
PROC029	SEM028	SH+Y+AIIN	HALTEN · DIES · MASS	HALTEN · DIES · SOLLMASS	AIIN	shfydaiin	1	YES
PROC038	SEM037	OK+AIIN	ANSETZEN · MASS	ANSETZEN · SOLLMASS	AIIN	okaiin|qokaiin	9	YES
PROC039	SEM038	Y+K+AIN	DIES · ZUGEBEN · PORTION	DIES · ZUGEBEN · PORTION	AIN	ykain	1	NO
PROC044	SEM043	Y+K+AIIN	DIES · ZUGEBEN · MASS	DIES · ZUGEBEN · SOLLMASS	AIIN	ykaiin	1	YES
PROC050	SEM049	OR+AIN	ANSATZ · PORTION	ANSATZ · PORTION	AIN	orain	1	NO
PROC064	SEM063	OT+O+AIN	DANACH · ARBEITSGANG · PORTION	DANACH · ARBEITSGANG · PORTION	AIN	sotodan	1	NO
PROC069	SEM067	K+AIN	ZUGEBEN · PORTION	ZUGEBEN · PORTION	AIN	chkain|kain	3	NO
PROC070	SEM068	OL+K+AIN	FORTSETZEN · ZUGEBEN · PORTION	FORTSETZEN · ZUGEBEN · PORTION	AIN	olkain|qolkain	2	NO
PROC080	SEM078	OK+AIN	ANSETZEN · PORTION	ANSETZEN · PORTION	AIN	okain|qokain	7	NO
PROC097	SEM093	O+IIN	ARBEITSGANG · STUFE	ARBEITSGANG · ARBEITSSTUFE	IIN	oiiin|soiiin	2	YES
PROC105	SEM101	SOLK+AIIN	AUFFANGEN · MASS	AUFFANGEN · SOLLMASS	AIIN	solkaiin	1	YES
PROC112	SEM107	OT+AIIN	DANACH · MASS	DANACH · SOLLMASS	AIIN	otaiin|sotaiin	3	YES
PROC147	SEM140	L+AIIN	WEITERLEITEN · MASS	WEITERLEITEN · SOLLMASS	AIIN	chldaiin	1	YES
PROC151	SEM144	CHD+AIN	UMSETZEN · PORTION	UMSETZEN · PORTION	AIN	chedain	1	NO
PROC152	SEM145	OT+E+AIIN	DANACH · KURZ · MASS	DANACH · KURZ · SOLLMASS	AIIN	qotedaiin	1	YES
PROC156	SEM149	AIN	PORTION	PORTION	AIN	dain	2	NO
PROC169	SEM159	DA+IIN	ZWEIT · STUFE	ZWEIT · ARBEITSSTUFE	IIN	daiiin	1	YES
