event_id	root	page	record	statement_id	owner_de	card_no	surface	component_recipe	statement_position	previous_recipe	next_recipe	pass729_atomic_reading_de	practical_expansion_de	full_statement_de
E009	AIIN	f10r	H1	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC009	daiin	AIIN	MIDDLE	OK+Y	E+T+Y	SOLLMASS	bis zum vorgeschriebenen Sollmaß	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten kurz entnehmen; den Ansatz im Arbeitsgang bereiten und aus der Quelle anwenden; Wasser entnehmen, danach den Posten weiterfuehren, nach Sollmass ansetzen und kurz anwenden.
E018	AIIN	f10r	H2	H2-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC017	cthaiin	CTH+AIIN	MIDDLE	OR	O+CTH+OL+Y	BEREITEN · SOLLMASS	bis zum vorgeschriebenen Sollmaß	Bei der breiten gezahnten Bluetenpflanze: Vom laufenden Ansatz kurz entnehmen; den Posten bereitet halten, den Ansatz nach Sollmass weiterbearbeiten und als aktuellen Posten verfuegbar lassen.
E022	AIIN	f10r	H2	H2-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC009	taiin	AIIN	MIDDLE	Y	Y	SOLLMASS	bis zum vorgeschriebenen Sollmaß	Bei der breiten gezahnten Bluetenpflanze: Vom laufenden Ansatz kurz entnehmen; den Posten bereitet halten, den Ansatz nach Sollmass weiterbearbeiten und als aktuellen Posten verfuegbar lassen.
E030	AIIN	f10r	H2	H2-S002	abgebildete breit gezähnte radialblütige Pflanze	PROC009	daiin	AIIN	MIDDLE	OL	AR	SOLLMASS	bis zum vorgeschriebenen Sollmaß	Bei der breiten gezahnten Bluetenpflanze: Danach vom Ansatz entnehmen; denselben Ansatz in mehreren Fortsetzungsschritten nach Sollmass aus der Quelle weiterfuehren.
E036	IIN	f10r	H2	H2-S003	abgebildete breit gezähnte radialblütige Pflanze	PROC024	kaiiin	K+IIN	MIDDLE	Y	Y	ZUGEBEN · ARBEITSSTUFE	bis zur benannten Arbeitsstufe	Bei der breiten gezahnten Bluetenpflanze: Im Arbeitsgang den aktuellen Ansatz zugeben; denselben Ansatz als laufenden Posten beibehalten, bis zur Arbeitsstufe weiter zugeben und anschliessend im Arbeitsgang nach Sollmass entnehmen.
E038	AIIN	f10r	H2	H2-S003	abgebildete breit gezähnte radialblütige Pflanze	PROC025	chodaiin	CH+O+AIIN	LAST	Y	END	ENTNEHMEN · ARBEITSGANG · SOLLMASS	bis zum vorgeschriebenen Sollmaß	Bei der breiten gezahnten Bluetenpflanze: Im Arbeitsgang den aktuellen Ansatz zugeben; denselben Ansatz als laufenden Posten beibehalten, bis zur Arbeitsstufe weiter zugeben und anschliessend im Arbeitsgang nach Sollmass entnehmen.
E042	AIIN	f11r	H3	H3-S001	abgebildete dicht blau blühende Kronenpflanze	PROC029	shfydaiin	SH+Y+AIIN	MIDDLE	CFH+Y	P+Y	HALTEN · DIES · SOLLMASS	bis zum vorgeschriebenen Sollmaß	Bei der dicht bluehenden Kronenpflanze: Den Ansatz am Ziel weiter halten; auswringen, bis zum Sollmass halten, in den Empfaenger fuellen, laenger halten, entnehmen und den Schritt schliessen.
E051	AIIN	f11r	H3	H3-S003	abgebildete dicht blau blühende Kronenpflanze	PROC009	daiin	AIIN	LAST	Y	END	SOLLMASS	bis zum vorgeschriebenen Sollmaß	Bei der dicht bluehenden Kronenpflanze: Den vorigen Vorgang wiederaufnehmen, den aktuellen Posten beibehalten, ihm zugeben und ihn bis zum Sollmass weiterfuehren.
E056	AIIN	f55v	H4	H4-S001	abgebildete breitblättrige rispige Pflanze	PROC038	qokaiin	OK+AIIN	FIRST	START	AIIN	ANSETZEN · SOLLMASS	bis zum vorgeschriebenen Sollmaß	Bei der breitblaettrigen rispigen Pflanze: Nach Mass ansetzen; dem laufenden Posten eine Portion und danach eine Nachgabe zugeben; den Arbeitsgang schliessen.
E057	AIIN	f55v	H4	H4-S001	abgebildete breitblättrige rispige Pflanze	PROC009	chaiin	AIIN	MIDDLE	OK+AIIN	Y+K+AIN	SOLLMASS	bis zum vorgeschriebenen Sollmaß	Bei der breitblaettrigen rispigen Pflanze: Nach Mass ansetzen; dem laufenden Posten eine Portion und danach eine Nachgabe zugeben; den Arbeitsgang schliessen.
E058	AIN	f55v	H4	H4-S001	abgebildete breitblättrige rispige Pflanze	PROC039	ykain	Y+K+AIN	MIDDLE	AIIN	Y+K+AN	DIES · ZUGEBEN · PORTION	eine konkrete Portion	Bei der breitblaettrigen rispigen Pflanze: Nach Mass ansetzen; dem laufenden Posten eine Portion und danach eine Nachgabe zugeben; den Arbeitsgang schliessen.
E061	AIIN	f55v	H4	H4-S002	abgebildete breitblättrige rispige Pflanze	PROC009	daiin	AIIN	FIRST	START	CHD+Y	SOLLMASS	bis zum vorgeschriebenen Sollmaß	Bei der breitblaettrigen rispigen Pflanze: Nach Mass den laufenden Posten umsetzen und anschliessend verwahren.
E064	AIIN	f55v	H4	H4-S003	abgebildete breitblättrige rispige Pflanze	PROC044	ykaiin	Y+K+AIIN	FIRST	START	CH+E+O+AR	DIES · ZUGEBEN · SOLLMASS	bis zum vorgeschriebenen Sollmaß	Bei der breitblaettrigen rispigen Pflanze: Den laufenden Posten nach Sollmass zugeben; dann kurz im Arbeitsgang aus der Quelle entnehmen; dann ihn laenger erwaermen; dann fortsetzen; den Schritt schliessen.
E068	AIIN	f55v	H4	H4-S004	abgebildete breitblättrige rispige Pflanze	PROC009	aiin	AIIN	FIRST	START	OK+AL	SOLLMASS	bis zum vorgeschriebenen Sollmaß	Bei der breitblaettrigen rispigen Pflanze: Nach Mass am Ziel ansetzen, den laufenden Posten weiter anwenden, als Ansatz beibehalten und als Ansatzportion fuehren.
E073	AIN	f55v	H4	H4-S004	abgebildete breitblättrige rispige Pflanze	PROC050	orain	OR+AIN	LAST	Y	END	ANSATZ · PORTION	eine konkrete Portion	Bei der breitblaettrigen rispigen Pflanze: Nach Mass am Ziel ansetzen, den laufenden Posten weiter anwenden, als Ansatz beibehalten und als Ansatzportion fuehren.
E077	AIIN	f56r	H5	H5-S001	abgebildete mehrköpfige stachelige Pflanze	PROC009	daiin	AIIN	MIDDLE	HO+AL+Y	HO	SOLLMASS	bis zum vorgeschriebenen Sollmaß	Bei der mehrkoepfigen stacheligen Pflanze: Eine Zutat fuer den Ansatz entnehmen, zum Ziel bringen und nach Sollmass weiter zugeben; danach vom Ansatz entnehmen und den Posten am Ziel ansetzen.
E097	AIN	f56r	H5	H5-S005	abgebildete mehrköpfige stachelige Pflanze	PROC064	sotodan	OT+O+AIN	LAST	K+HO+AR	END	DANACH · ARBEITSGANG · PORTION	eine konkrete Portion	Bei der mehrkoepfigen stacheligen Pflanze: Die Zutat bereiten, den laufenden Posten ansetzen und die Zutat aus der Quelle zugeben; danach eine Portion in den Arbeitsgang nehmen.
E100	AIIN	f56r	H5	H5-S006	abgebildete mehrköpfige stachelige Pflanze	PROC009	daiin	AIIN	LAST	K+E+OL	END	SOLLMASS	bis zum vorgeschriebenen Sollmaß	Bei der mehrkoepfigen stacheligen Pflanze: Danach den laufenden Posten kurz weiter zugeben, bis das Mass erreicht ist.
E102	AIIN	f81v	B1	B1-S002	gemeinsame zweireihige Figuren-/Beckenstation	PROC038	okaiin	OK+AIIN	FIRST	START	K+AIR	ANSETZEN · SOLLMASS	bis zum vorgeschriebenen Sollmaß	Am gemeinsamen zweireihigen Becken: Nach Mass ansetzen und die laufende Fluessigkeit zugeben. Am Ziel aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und weiterleiten. Den Ansatz fortsetzen, kurz am Durchlass dem Ziel halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.
E107	AIN	f81v	B1	B1-S002	gemeinsame zweireihige Figuren-/Beckenstation	PROC069	kain	K+AIN	MIDDLE	OL	OL+K+AIN	ZUGEBEN · PORTION	eine konkrete Portion	Am gemeinsamen zweireihigen Becken: Nach Mass ansetzen und die laufende Fluessigkeit zugeben. Am Ziel aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und weiterleiten. Den Ansatz fortsetzen, kurz am Durchlass dem Ziel halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.
E108	AIN	f81v	B1	B1-S002	gemeinsame zweireihige Figuren-/Beckenstation	PROC070	olkain	OL+K+AIN	MIDDLE	K+AIN	AL	FORTSETZEN · ZUGEBEN · PORTION	eine konkrete Portion	Am gemeinsamen zweireihigen Becken: Nach Mass ansetzen und die laufende Fluessigkeit zugeben. Am Ziel aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und weiterleiten. Den Ansatz fortsetzen, kurz am Durchlass dem Ziel halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.
