owner_sigil	from_product	to_product	transition_kind	to_statement	to_surface_sequence	workshop_instruction_de
A	A.G1	A.G2	CONTINUE_ACTIVE_BATCH	H1-S002	qokchy qotchol ol checthy	Nimm A.G1 und führe H1-S002 aus; buche das Ergebnis als A.G2.
A	A.G2	A.Z1	BRANCH_FROM_PAGE_STOCK	H2-S001	ycheor checthy or cthaiin qoctholy chey chey daiin chey	Nimm A.G2 und führe H2-S001 aus; buche das Ergebnis als A.Z1.
A	A.Z1	A.Z2	CONTINUE_ACTIVE_BATCH	H2-S002	otchor or otol ol cholor ol daiin char	Nimm A.Z1 und führe H2-S002 aus; buche das Ergebnis als A.Z2.
A	A.Z2	A.Z3	CONTINUE_ACTIVE_BATCH	H2-S003	oykchor or or chey kaiiin chey chodaiin	Nimm A.Z2 und führe H2-S003 aus; buche das Ergebnis als A.Z3.
B	B.X1	B.X2	REOPEN_AFTER_CLOSE	H3-S002	shoyty	Nimm B.X1 und führe H3-S002 aus; buche das Ergebnis als B.X2.
B	B.X2	B.X3	TAKE_PORTION_FROM_PREVIOUS	H3-S003	schol chey kchy chey daiin	Nimm B.X2 und führe H3-S003 aus; buche das Ergebnis als B.X3.
B	B.X3	B.X4	CONTINUE_ACTIVE_BATCH	H3-S004	qotchy okchol checthy chey	Nimm B.X3 und führe H3-S004 aus; buche das Ergebnis als B.X4.
C	C.M1	C.M2	REOPEN_AFTER_CLOSE	H4-S002	daiin chedy talam	Nimm C.M1 und führe H4-S002 aus; buche das Ergebnis als C.M2.
C	C.M2	C.W1	CONTINUE_AND_WARM	H4-S003	ykaiin cheoar cheeky oldy	Nimm C.M2 und führe H4-S003 aus; buche das Ergebnis als C.W1.
C	C.W1	C.W2	REOPEN_AFTER_CLOSE	H4-S004	daiin qokal oltchy or chey orain	Nimm C.W1 und führe H4-S004 aus; buche das Ergebnis als C.W2.
D	D.I1	D.P1	CONTINUE_AND_CLOSE	H5-S002	schol choy qoky cheeckhody	Nimm D.I1 und führe H5-S002 aus; buche das Ergebnis als D.P1.
D	D.P1	D.I2	REOPEN_AFTER_CLOSE	H5-S003	sh cho kchey qokokchy	Nimm D.P1 und führe H5-S003 aus; buche das Ergebnis als D.I2.
D	D.I2	D.A1	CONTINUE_ACTIVE_BATCH	H5-S004	okchy chokcheo kchal	Nimm D.I2 und führe H5-S004 aus; buche das Ergebnis als D.A1.
D	D.A1	D.P2	CONTINUE_ACTIVE_BATCH	H5-S005	cho chokchy kchoar sotodan	Nimm D.A1 und führe H5-S005 aus; buche das Ergebnis als D.P2.
D	D.P2	D.P3	CONTINUE_ACTIVE_BATCH	H5-S006	otchey keol daiin	Nimm D.P2 und führe H5-S006 aus; buche das Ergebnis als D.P3.
