chain_ordinal	owner_sigil	page	record	statement_id	product_handle	product_family	internal_workshop_name_de	revised_predecessor	transition_from_predecessor	cards	explicit_close	availability	availability_reason	fifth_hand_surface_sequence	phrase_first_reading_de	fluent_workshop_reading_de
1	A	f10r	H1	H1-S001	A.G1	GRUNDANSATZ	erster Grundansatz der Bildpflanze A	NONE	ROOT_FROM_PICTURE	10	NO	IN_PROCESS	NONE	dchey cthoor char chety os chair otytchol qoky daiin etyd	ENTNEHMEN · EIN KURZER ARBEITSGANG · POSTEN; BEREITEN · ARBEITSGANG · ANSATZ; QUELLE; BEARBEITEN · POSTEN; DAZU; ENTNEHMEN · WASSER; DANACH DIESEN POSTEN BEARBEITEN, ENTNEHMEN UND WEITERFUEHREN; CPH05[DEN POSTEN NACH SOLLMASS ANSETZEN]; DEN POSTEN KURZ WEITERBEARBEITEN	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten kurz entnehmen; den Ansatz im Arbeitsgang bereiten, aus der Quelle nehmen und bearbeiten; dazu Wasser entnehmen, danach den Posten bearbeiten, entnehmen und weiterfuehren, nach Sollmass ansetzen und kurz bearbeiten.
2	A	f10r	H1	H1-S002	A.G2	GRUNDANSATZ	weitergeführter wässriger Grundansatz A	A.G1	CONTINUE_ACTIVE_BATCH	4	NO	STOCK_READY	END_OF_H1_RECORD	qokchy qotchol ol checthy	ANSETZEN · POSTEN; DANACH · ENTNEHMEN · WEITER; WEITER; BEREITEN · POSTEN	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten ansetzen, danach entnehmen und weiterfuehren, weiterarbeiten und ihn bereitet halten.
3	A	f10r	H2	H2-S001	A.Z1	ZWEIGANSATZ	erster abgezweigter Ansatz aus A.G2	A.G2	BRANCH_FROM_PAGE_STOCK	9	NO	IN_PROCESS	NONE	ycheor checthy or cthaiin qoctholy chey chey daiin chey	POSTEN · ENTNEHMEN · EIN KURZER ARBEITSGANG · ANSATZ; BEREITEN · POSTEN; ANSATZ; BEREITEN · EIN KLEINER SCHOEPFBECHER; ARBEITSGANG · BEREITEN · WEITER · POSTEN; POSTEN; CPH14[DEN AKTUELLEN POSTEN NACH SOLLMASS WEITERFUEHREN]	Bei der breiten gezahnten Bluetenpflanze: Vom laufenden Ansatz kurz entnehmen; den Posten bereitet halten, den Ansatz nach Sollmass im Arbeitsgang weiter bereiten und als aktuellen Posten verfuegbar lassen.
4	A	f10r	H2	H2-S002	A.Z2	ZWEIGANSATZ	weitergeführter Zweigansatz A.Z1	A.Z1	CONTINUE_ACTIVE_BATCH	8	NO	IN_PROCESS	NONE	otchor or otol ol cholor ol daiin char	DANACH · ENTNEHMEN · ANSATZ; ANSATZ; DANACH · WEITER; WEITER; CPH10[DEN ANSATZ WEITERFUEHREN UND WEITERARBEITEN]; EIN KLEINER SCHOEPFBECHER; QUELLE	Bei der breiten gezahnten Bluetenpflanze: Danach vom Ansatz entnehmen; denselben Ansatz in mehreren weiteren Arbeitsschritten nach Sollmass aus der Quelle weiterfuehren.
5	A	f10r	H2	H2-S003	A.Z3	ZWEIGANSATZ	ergänzter Zweigansatz der Bildpflanze A	A.Z2	CONTINUE_ACTIVE_BATCH	7	NO	STOCK_READY	END_OF_H2_RECORD	oykchor or or chey kaiiin chey chodaiin	ARBEITSGANG · POSTEN · ZUGEBEN · ANSATZ; ANSATZ; CPH11[DEN ANSATZ ALS LAUFENDEN POSTEN FUEHREN]; ZUGEBEN · EINE EINGESTELLTE ARBEITSSTUFE; POSTEN; ENTNEHMEN · ARBEITSGANG · EIN KLEINER SCHOEPFBECHER	Bei der breiten gezahnten Bluetenpflanze: Im Arbeitsgang den aktuellen Ansatz zugeben; denselben Ansatz als laufenden Posten beibehalten, bis zur Stufe weiter zugeben und anschliessend im Arbeitsgang nach Sollmass entnehmen.
6	B	f11r	H3	H3-S001	B.X1	AUSZUG	erster geschlossener Durchgangsauszug der Bildpflanze B	NONE	ROOT_FROM_PICTURE	7	YES	STOCK_READY	EXPLICIT_CLOSE	tshol schoal cfhy shfydaiin cphy cheey tchody	BEARBEITEN · HALTEN · WEITER; HALTEN · ARBEITSGANG · ZIELSTELLE; AUSPRESSEN · POSTEN; HALTEN · POSTEN · EIN KLEINER SCHOEPFBECHER; EINBRINGEN · POSTEN; HALTEN · DREI KURZE ARBEITSGAENGE · POSTEN; BEARBEITEN · ENTNEHMEN · ARBEITSGANG · SCHLUSS	Bei der dicht bluehenden Kronenpflanze: Den Posten bearbeiten und weiter halten, dann im Arbeitsgang an der Zielstelle halten; auspressen, bis zum Sollmass halten, in den lokalen Empfaenger einbringen, laenger halten, bearbeiten, im Arbeitsgang entnehmen und den Schritt schliessen.
7	B	f11r	H3	H3-S002	B.X2	AUSZUG	nachbearbeiteter und aufgenommener Auszug B.X1	B.X1	REOPEN_AFTER_CLOSE	1	NO	STOCK_READY	NEXT_STATEMENT_STARTS_DAVON	shoyty	HALTEN · ARBEITSGANG · POSTEN · BEARBEITEN · POSTEN	Bei der dicht bluehenden Kronenpflanze: Den laufenden Posten im Arbeitsgang halten und bearbeiten.
8	B	f11r	H3	H3-S003	B.X3	AUSZUGSPORTION	davon genommene Portion aus B.X2	B.X2	TAKE_PORTION_FROM_PREVIOUS	5	NO	IN_PROCESS	NONE	schol chey kchy chey daiin	DAVON; POSTEN; ZUGEBEN · POSTEN; CPH12[DEN POSTEN AUF SOLLMASS BRINGEN]	Bei der dicht bluehenden Kronenpflanze: Davon, den aktuellen Posten beibehalten, ihm zugeben und ihn bis zum Sollmass weiterfuehren.
9	B	f11r	H3	H3-S004	B.X4	AUSZUGSFORTSETZUNG	offene Fortsetzung der Auszugsportion B.X3	B.X3	CONTINUE_ACTIVE_BATCH	4	NO	STOCK_READY	END_OF_H3_RECORD	qotchy okchol checthy chey	DANACH · POSTEN; ANSETZEN · WEITER; BEREITEN · POSTEN; POSTEN	Bei der dicht bluehenden Kronenpflanze: Danach den laufenden Posten; dann weiter ansetzen; dann ihn bereitet halten; dann ihn beibehalten.
10	C	f55v	H4	H4-S001	C.M1	MESSANSATZ	erster gemessener Ansatz der Bildpflanze C	NONE	ROOT_FROM_PICTURE	5	YES	STOCK_READY	EXPLICIT_CLOSE	qokaiin daiin ykain ykan ody	ANSETZEN · EIN KLEINER SCHOEPFBECHER; EIN KLEINER SCHOEPFBECHER; POSTEN · ZUGEBEN · EIN ABGEGRENZTER TEIL; POSTEN · ZUGEBEN · NACHGABE; ARBEITSGANG · SCHLUSS	Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass ansetzen; dem laufenden Posten eine Portion und danach eine Nachgabe zugeben; den Arbeitsgang schliessen.
11	C	f55v	H4	H4-S002	C.M2	MESSANSATZ	übertragener und beiseitegestellter Messansatz C.M1	C.M1	REOPEN_AFTER_CLOSE	3	NO	IN_PROCESS	NONE	daiin chedy talam	EIN KLEINER SCHOEPFBECHER; UMSETZEN · POSTEN; BEISEITESTELLEN	Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass den laufenden Posten umsetzen und anschliessend beiseitestellen.
12	C	f55v	H4	H4-S003	C.W1	WARMANSATZ	erwärmter zweiter Ansatz der Bildpflanze C	C.M2	CONTINUE_AND_WARM	4	YES	STOCK_READY	EXPLICIT_CLOSE	ykaiin cheoar cheeky oldy	POSTEN · ZUGEBEN · EIN KLEINER SCHOEPFBECHER; ENTNEHMEN · EIN KURZER ARBEITSGANG · ARBEITSGANG · QUELLE; WAERMEN · DREI KURZE ARBEITSGAENGE · POSTEN; WEITER · SCHLUSS	Bei der breitblaettrigen rispigen Pflanze: Den laufenden Posten nach Sollmass zugeben; dann kurz im Arbeitsgang aus der Quelle entnehmen; dann ihn laenger erwaermen; dann weiterarbeiten; den Schritt schliessen.
13	C	f55v	H4	H4-S004	C.W2	WARME_ZIELPORTION	warme Zielportion aus C.W1	C.W1	REOPEN_AFTER_CLOSE	6	NO	STOCK_READY	END_OF_H4_RECORD	daiin qokal oltchy or chey orain	EIN KLEINER SCHOEPFBECHER; ANSETZEN · ZIELSTELLE; WEITER · BEARBEITEN · POSTEN; CPH11[DEN ANSATZ ALS LAUFENDEN POSTEN FUEHREN]; ANSATZ · EIN ABGEGRENZTER TEIL	Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass an der Zielstelle ansetzen, den laufenden Posten weiter bearbeiten, als Ansatz beibehalten und als Ansatzportion fuehren.
14	D	f56r	H5	H5-S001	D.I1	ZUTATENANSATZ	erster Zutatenansatz der Bildpflanze D	NONE	ROOT_FROM_PICTURE	9	NO	IN_PROCESS	NONE	chochor cho chodaly daiin cho kchol otchor qoky dal	ZUTAT · ENTNEHMEN · ANSATZ; ZUTAT; ZUTAT · ZIELSTELLE · POSTEN; EIN KLEINER SCHOEPFBECHER; ZUTAT; ZUGEBEN · WEITER; DANACH · ENTNEHMEN · ANSATZ; ANSETZEN · POSTEN; ZIELSTELLE	Bei der mehrkoepfigen stacheligen Pflanze: Eine Zutat fuer den Ansatz entnehmen, zur Zielstelle bringen und nach Sollmass weiter zugeben; danach vom Ansatz entnehmen und den Posten an der Zielstelle ansetzen.
15	D	f56r	H5	H5-S002	D.P1	DURCHLASSANSATZ	geschlossener Durchlassansatz aus D.I1	D.I1	CONTINUE_AND_CLOSE	4	YES	STOCK_READY	EXPLICIT_CLOSE	schol choy qoky cheeckhody	DAVON; ZUTAT · POSTEN; ANSETZEN · POSTEN; ENTNEHMEN · DREI KURZE ARBEITSGAENGE · DURCHLASS · ARBEITSGANG · SCHLUSS	Bei der mehrkoepfigen stacheligen Pflanze: Davon, die Zutat als laufenden Posten fuehren und ansetzen; laenger im Arbeitsgang durch den Durchlass entnehmen und schliessen.
16	D	f56r	H5	H5-S003	D.I2	ZUTATENFORTSETZUNG	kurze Zutatenfortsetzung nach D.P1	D.P1	REOPEN_AFTER_CLOSE	4	NO	IN_PROCESS	NONE	sh cho kchey qokokchy	HALTEN; ZUTAT; ZUGEBEN · EIN KURZER ARBEITSGANG · POSTEN; ANSETZEN · ANSETZEN · POSTEN	Bei der mehrkoepfigen stacheligen Pflanze: Die Zutat halten, dem laufenden Posten kurz zugeben und ihn zweimal ansetzen.
