product_handle	owner_sigil	page	statement_id	internal_workshop_name_de	availability_reason	explicit_close	is_original_six_order_supply
A.G2	A	f10r	H1-S002	weitergeführter wässriger Grundansatz A	END_OF_H1_RECORD	NO	YES
A.Z3	A	f10r	H2-S003	ergänzter Zweigansatz der Bildpflanze A	END_OF_H2_RECORD	NO	NO
B.X1	B	f11r	H3-S001	erster geschlossener Durchgangsauszug der Bildpflanze B	EXPLICIT_CLOSE	YES	NO
B.X2	B	f11r	H3-S002	nachbearbeiteter und aufgenommener Auszug B.X1	NEXT_STATEMENT_STARTS_DAVON	NO	YES
B.X4	B	f11r	H3-S004	offene Fortsetzung der Auszugsportion B.X3	END_OF_H3_RECORD	NO	NO
C.M1	C	f55v	H4-S001	erster gemessener Ansatz der Bildpflanze C	EXPLICIT_CLOSE	YES	NO
C.W1	C	f55v	H4-S003	erwärmter zweiter Ansatz der Bildpflanze C	EXPLICIT_CLOSE	YES	NO
C.W2	C	f55v	H4-S004	warme Zielportion aus C.W1	END_OF_H4_RECORD	NO	YES
D.P1	D	f56r	H5-S002	geschlossener Durchlassansatz aus D.I1	EXPLICIT_CLOSE	YES	YES
D.P3	D	f56r	H5-S006	gemessene offene Durchlassfortsetzung D.P2	END_OF_H5_RECORD	NO	NO
