event_id	page	record	statement_id	product_handle	fifth_hand_surface	identity	component_recipe	concrete_default_de
E001	f10r	H1	H1-S001	A.G1	dchey	PROC001	CH+E+Y	ENTNEHMEN · EIN KURZER ARBEITSGANG · POSTEN
E002	f10r	H1	H1-S001	A.G1	cthoor	PROC002	CTH+O+OR	BEREITEN · ARBEITSGANG · ANSATZ
E003	f10r	H1	H1-S001	A.G1	char	PROC003	AR	QUELLE
E004	f10r	H1	H1-S001	A.G1	chety	PROC004	T+Y	BEARBEITEN · POSTEN
E005	f10r	H1	H1-S001	A.G1	os	PROC005	OS	DAZU
E006	f10r	H1	H1-S001	A.G1	chair	PROC006	CH+AIR	ENTNEHMEN · WASSER
E007	f10r	H1	H1-S001	A.G1	otytchol	PROC007	OT+Y+T+CH+OL	DANACH · POSTEN · BEARBEITEN · ENTNEHMEN · WEITER
E008	f10r	H1	H1-S001	A.G1	qoky	PROC008	OK+Y	ANSETZEN · POSTEN
E009	f10r	H1	H1-S001	A.G1	daiin	PROC009	AIIN	EIN KLEINER SCHOEPFBECHER
E010	f10r	H1	H1-S001	A.G1	etyd	PROC010	E+T+Y	EIN KURZER ARBEITSGANG · BEARBEITEN · POSTEN
E011	f10r	H1	H1-S002	A.G2	qokchy	PROC011	OK+Y	ANSETZEN · POSTEN
E012	f10r	H1	H1-S002	A.G2	qotchol	PROC012	OT+CH+OL	DANACH · ENTNEHMEN · WEITER
E013	f10r	H1	H1-S002	A.G2	ol	PROC013	OL	WEITER
E014	f10r	H1	H1-S002	A.G2	checthy	PROC014	CTH+Y	BEREITEN · POSTEN
E015	f10r	H2	H2-S001	A.Z1	ycheor	PROC015	Y+CH+E+OR	POSTEN · ENTNEHMEN · EIN KURZER ARBEITSGANG · ANSATZ
E016	f10r	H2	H2-S001	A.Z1	checthy	PROC014	CTH+Y	BEREITEN · POSTEN
E017	f10r	H2	H2-S001	A.Z1	or	PROC016	OR	ANSATZ
E018	f10r	H2	H2-S001	A.Z1	cthaiin	PROC017	CTH+AIIN	BEREITEN · EIN KLEINER SCHOEPFBECHER
E019	f10r	H2	H2-S001	A.Z1	qoctholy	PROC018	O+CTH+OL+Y	ARBEITSGANG · BEREITEN · WEITER · POSTEN
E020	f10r	H2	H2-S001	A.Z1	chey	PROC019	Y	POSTEN
E021	f10r	H2	H2-S001	A.Z1	chey	PROC019	Y	POSTEN
E022	f10r	H2	H2-S001	A.Z1	daiin	PROC009	AIIN	EIN KLEINER SCHOEPFBECHER
E023	f10r	H2	H2-S001	A.Z1	chey	PROC019	Y	POSTEN
E024	f10r	H2	H2-S002	A.Z2	otchor	PROC020	OT+CH+OR	DANACH · ENTNEHMEN · ANSATZ
E025	f10r	H2	H2-S002	A.Z2	or	PROC016	OR	ANSATZ
E026	f10r	H2	H2-S002	A.Z2	otol	PROC021	OT+OL	DANACH · WEITER
E027	f10r	H2	H2-S002	A.Z2	ol	PROC013	OL	WEITER
E028	f10r	H2	H2-S002	A.Z2	cholor	PROC022	OL+OR	WEITER · ANSATZ
E029	f10r	H2	H2-S002	A.Z2	ol	PROC013	OL	WEITER
E030	f10r	H2	H2-S002	A.Z2	daiin	PROC009	AIIN	EIN KLEINER SCHOEPFBECHER
E031	f10r	H2	H2-S002	A.Z2	char	PROC003	AR	QUELLE
E032	f10r	H2	H2-S003	A.Z3	oykchor	PROC023	O+Y+K+OR	ARBEITSGANG · POSTEN · ZUGEBEN · ANSATZ
