order_id	payload	value	source	empty
WH01	PRODUCT	A.G2: weitergeführter wässriger Grundansatz A	INTERNAL_PRODUCT_HANDLE	NO
WH01	MEASURE	CAL1/CAL2	REUSED_CALIBRATION	NO
WH01	DURATION	CAL3/CAL4/CAL5	REUSED_CALIBRATION	NO
WH01	RESULT	sichtbare Resultatklassen + CAL6	VISIBLE_STATE_PLUS_REUSED_CALIBRATION	NO
WH01	CONDITION	C5@f69v.2	COMPLETE_LOCAL_LOCUS_HANDLE	NO
WH02	PRODUCT	D.P1: geschlossener Durchlassansatz aus D.I1	INTERNAL_PRODUCT_HANDLE	NO
WH02	MEASURE	CAL1/CAL2	REUSED_CALIBRATION	NO
WH02	DURATION	CAL3/CAL4/CAL5	REUSED_CALIBRATION	NO
WH02	RESULT	sichtbare Resultatklassen + CAL6	VISIBLE_STATE_PLUS_REUSED_CALIBRATION	NO
WH02	CONDITION	C4@f69v.12	COMPLETE_LOCAL_LOCUS_HANDLE	NO
WH03	PRODUCT	B.X2: nachbearbeiteter und aufgenommener Auszug B.X1	INTERNAL_PRODUCT_HANDLE	NO
WH03	MEASURE	CAL1/CAL2	REUSED_CALIBRATION	NO
WH03	DURATION	CAL3/CAL4/CAL5	REUSED_CALIBRATION	NO
WH03	RESULT	sichtbare Resultatklassen + CAL6	VISIBLE_STATE_PLUS_REUSED_CALIBRATION	NO
WH03	CONDITION	C2@f67r2.15	COMPLETE_LOCAL_LOCUS_HANDLE	NO
WH04	PRODUCT	C.W2: warme Zielportion aus C.W1	INTERNAL_PRODUCT_HANDLE	NO
WH04	MEASURE	CAL1/CAL2	REUSED_CALIBRATION	NO
WH04	DURATION	CAL3/CAL4/CAL5	REUSED_CALIBRATION	NO
WH04	RESULT	sichtbare Resultatklassen + CAL6	VISIBLE_STATE_PLUS_REUSED_CALIBRATION	NO
WH04	CONDITION	C6@f69v.3	COMPLETE_LOCAL_LOCUS_HANDLE	NO
WH05	PRODUCT	D.P1: geschlossener Durchlassansatz aus D.I1	INTERNAL_PRODUCT_HANDLE	NO
WH05	MEASURE	CAL1/CAL2	REUSED_CALIBRATION	NO
WH05	DURATION	CAL3/CAL4/CAL5	REUSED_CALIBRATION	NO
WH05	RESULT	sichtbare Resultatklassen + CAL6	VISIBLE_STATE_PLUS_REUSED_CALIBRATION	NO
WH05	CONDITION	C3@f68r1.9	COMPLETE_LOCAL_LOCUS_HANDLE	NO
WH06	PRODUCT	C.W2: warme Zielportion aus C.W1	INTERNAL_PRODUCT_HANDLE	NO
WH06	MEASURE	CAL1/CAL2	REUSED_CALIBRATION	NO
WH06	DURATION	CAL3/CAL4/CAL5	REUSED_CALIBRATION	NO
WH06	RESULT	sichtbare Resultatklassen + CAL6	VISIBLE_STATE_PLUS_REUSED_CALIBRATION	NO
WH06	CONDITION	C1@f67r2.1	COMPLETE_LOCAL_LOCUS_HANDLE	NO
