edition	model	at	word	action	patient	patient_at	patient_gloss
ZL3b	G	ZL3b|f75v.39|G005	qokeor	erhitze den Auszug	sheedy	ZL3b|f75v.39|G004	Zubereitung A
ZL3b	G	ZL3b|f75v.39|G009	chey	prüfe	sheedy	ZL3b|f75v.39|G006	Zubereitung A
ZL3b	G	ZL3b|f75v.40|G008	cheey	zerreibe fein	sheedy	ZL3b|f75v.40|G007	Zubereitung A
ZL3b	G	ZL3b|f75v.40|G011	sheey	benetze	sheedy	ZL3b|f75v.40|G007	Zubereitung A
ZL3b	G	ZL3b|f75v.41|G010	qoky	erwärme mäßig	shey	ZL3b|f75v.41|G009	Zubereitung B
ZL3b	G	ZL3b|f75v.41|G012	cheey	zerreibe fein	shey	ZL3b|f75v.41|G009	Zubereitung B
ZL3b	G	ZL3b|f75v.42|G003	sheey	benetze	shey	ZL3b|f75v.41|G009	Zubereitung B
ZL3b	S	ZL3b|f75v.39|G005	qokeor	erhitze den Auszug	sheedy	ZL3b|f75v.39|G004	Zubereitung A
ZL3b	S	ZL3b|f75v.39|G009	chey	prüfe	sheedy	ZL3b|f75v.39|G006	Zubereitung A
ZL3b	S	ZL3b|f75v.40|G008	cheey	benetze	sheedy	ZL3b|f75v.40|G007	Zubereitung A
ZL3b	S	ZL3b|f75v.40|G011	sheey	benetze	sheedy	ZL3b|f75v.40|G007	Zubereitung A
ZL3b	S	ZL3b|f75v.41|G010	qoky	erwärme mäßig	shey	ZL3b|f75v.41|G009	Zubereitung B
ZL3b	S	ZL3b|f75v.41|G012	cheey	benetze	shey	ZL3b|f75v.41|G009	Zubereitung B
ZL3b	S	ZL3b|f75v.42|G003	sheey	benetze	shey	ZL3b|f75v.41|G009	Zubereitung B
IT2a	G	IT2a|f75v.39|G005	qokeor	erhitze den Auszug	sheedy	IT2a|f75v.39|G004	Zubereitung A
IT2a	G	IT2a|f75v.39|G009	chey	prüfe	sheedy	IT2a|f75v.39|G006	Zubereitung A
IT2a	G	IT2a|f75v.40|G008	cheey	zerreibe fein	sheedy	IT2a|f75v.40|G007	Zubereitung A
IT2a	G	IT2a|f75v.40|G011	sheey	benetze	sheedy	IT2a|f75v.40|G007	Zubereitung A
IT2a	G	IT2a|f75v.41|G010	qoky	erwärme mäßig	shey	IT2a|f75v.41|G009	Zubereitung B
IT2a	G	IT2a|f75v.41|G012	cheey	zerreibe fein	shey	IT2a|f75v.41|G009	Zubereitung B
IT2a	G	IT2a|f75v.42|G002	sheey	benetze	shey	IT2a|f75v.41|G009	Zubereitung B
IT2a	S	IT2a|f75v.39|G005	qokeor	erhitze den Auszug	sheedy	IT2a|f75v.39|G004	Zubereitung A
IT2a	S	IT2a|f75v.39|G009	chey	prüfe	sheedy	IT2a|f75v.39|G006	Zubereitung A
IT2a	S	IT2a|f75v.40|G008	cheey	benetze	sheedy	IT2a|f75v.40|G007	Zubereitung A
IT2a	S	IT2a|f75v.40|G011	sheey	benetze	sheedy	IT2a|f75v.40|G007	Zubereitung A
IT2a	S	IT2a|f75v.41|G010	qoky	erwärme mäßig	shey	IT2a|f75v.41|G009	Zubereitung B
IT2a	S	IT2a|f75v.41|G012	cheey	benetze	shey	IT2a|f75v.41|G009	Zubereitung B
IT2a	S	IT2a|f75v.42|G002	sheey	benetze	shey	IT2a|f75v.41|G009	Zubereitung B
