edition	paragraph	target_loci	cheey	sheey	sequence	both_forms	reverse_transition	positions
ZL3b	f103v|f103v.20-f103v.26	f103v.23	1	0	cheey	False	False	ZL3b|f103v.23|G004:cheey
ZL3b	f112v|f112v.1-f112v.6	f112v.3	0	1	sheey	False	False	ZL3b|f112v.3|G003:sheey
ZL3b	f75v|f75v.38-f75v.42	f75v.40	2	2	cheey sheey cheey sheey	True	True	ZL3b|f75v.40|G008:cheey;ZL3b|f75v.40|G011:sheey;ZL3b|f75v.41|G012:cheey;ZL3b|f75v.42|G003:sheey
ZL3b	f79r|f79r.7-f79r.12	f79r.7	1	0	cheey	False	False	ZL3b|f79r.7|G006:cheey
ZL3b	f80v|f80v.7-f80v.13	f80v.10	0	1	sheey	False	False	ZL3b|f80v.10|G002:sheey
ZL3b	f83r|f83r.1-f83r.8	f83r.2	1	0	cheey	False	False	ZL3b|f83r.2|G002:cheey
IT2a	f103v|f103v.20-f103v.26	f103v.23	1	1	sheey cheey	True	True	IT2a|f103v.22|G004:sheey;IT2a|f103v.23|G004:cheey
IT2a	f112v|f112v.1-f112v.6	f112v.3	0	1	sheey	False	False	IT2a|f112v.3|G003:sheey
IT2a	f75v|f75v.38-f75v.42	f75v.40	2	2	cheey sheey cheey sheey	True	True	IT2a|f75v.40|G008:cheey;IT2a|f75v.40|G011:sheey;IT2a|f75v.41|G012:cheey;IT2a|f75v.42|G002:sheey
IT2a	f79r|f79r.7-f79r.12	f79r.7	1	0	cheey	False	False	IT2a|f79r.7|G006:cheey
IT2a	f80v|f80v.7-f80v.13	f80v.10	0	1	sheey	False	False	IT2a|f80v.10|G002:sheey
IT2a	f83r|f83r.1-f83r.8	f83r.2	1	0	cheey	False	False	IT2a|f83r.2|G002:cheey
