clause_id	physical_page	locus_span	visible_owner_or_namespace_de	event_count	surface_sequence	exact_event_phrase_chain_de	natural_workshop_reading_de	rewrite_mode	global_network_claim	end_reason	event_ids
P915-C018	f75r	f75r.1	großes Bad-/Stationsblatt mit dreieckiger Insel	7	kchedykary okeey qokar shyk chedy qotar shedy	den Posten umsetzen → länger den aktuellen Posten beibehalten → die bezeichnete Einstellung übernehmen → den aktuellen Posten beibehalten → den Posten umsetzen → zum nächsten Teilgang gehen → den Posten absetzen lassen, dann den Teilgang abschließen	Auf dem großen Bad- und Stationsblatt über den sichtbaren Weg zur nächsten Station führen, absetzen lassen und den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	NONE_LOCAL_STATION_ONLY	LICENSED_DY_CLOSE	P912-E0440|P912-E0441|P912-E0442|P912-E0443|P912-E0444|P912-E0445|P912-E0446
P915-C019	f75r	f75r.2	großes Bad-/Stationsblatt mit dreieckiger Insel	5	dain shey ly ssheol qoldy	TEILMENGE verwenden → kurz den Posten halten → den Posten weiterleiten → kurz die bezeichnete Station auswählen, dann den Posten halten, dann den Teilgang fortsetzen → den Teilgang fortsetzen, dann den Teilgang abschließen	Auf dem großen Bad- und Stationsblatt den bezeichneten Stationsposten wählen, die vorgesehene Füllung einstellen, kurz halten und behandeln, über den sichtbaren Weg zur nächsten Station führen und den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	NONE_LOCAL_STATION_ONLY	LICENSED_DY_CLOSE	P912-E0447|P912-E0448|P912-E0449|P912-E0450|P912-E0451
P915-C020	f75r	f75r.2	großes Bad-/Stationsblatt mit dreieckiger Insel	2	chedykar chekeedy	den Posten umsetzen → länger den Posten behandeln, dann den Teilgang abschließen	Auf dem großen Bad- und Stationsblatt länger halten und behandeln, über den sichtbaren Weg zur nächsten Station führen und den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	NONE_LOCAL_STATION_ONLY	LICENSED_DY_CLOSE	P912-E0452|P912-E0453
P915-C021	f75r	f75r.2|f75r.3|f75r.4	großes Bad-/Stationsblatt mit dreieckiger Insel	20	ror qokain chal orchey qey kain sheeky ltain olkar or dackhy lkamo ykeey lshey kal dy shey ok shey qokeedy	den Zustand markieren → die bezeichnete Einstellung übernehmen mit dem Teilposten → die bezeichnete Einstellung übernehmen → den aktuellen Posten beibehalten → kurz den aktuellen Posten beibehalten → die bezeichnete Einstellung übernehmen mit dem Teilposten → länger den Posten halten → den Posten weiterleiten mit dem Teilposten, dann die Stufe einstellen → den Posten auffangen → ARBEITSSATZ verwenden → den Posten durch den sichtbaren Durchlass führen → den Posten weiterleiten im inneren Becken, dann den Stationsgang ausführen → länger den aktuellen Posten beibehalten → kurz den Posten weiterleiten, dann den Posten halten → die bezeichnete Einstellung übernehmen → POSTEN verwenden → kurz den Posten halten → AN STATION SETZEN verwenden → kurz den Posten halten → länger den Teilgang abschließen	Am großen Stationsblatt eine Portion aus der markierten Quelle nehmen, in das Zielbecken geben, die Stufe einstellen, den Posten länger halten und über die angeschlossene Strecke weiterleiten; danach kurz ansetzen und länger einwirken lassen.	MANUAL_LONG_CLAUSE_REWRITE	NONE_LOCAL_STATION_ONLY	LICENSED_DY_CLOSE	P912-E0454|P912-E0455|P912-E0456|P912-E0457|P912-E0458|P912-E0459|P912-E0460|P912-E0461|P912-E0462|P912-E0463|P912-E0464|P912-E0465|P912-E0466|P912-E0467|P912-E0468|P912-E0469|P912-E0470|P912-E0471|P912-E0472|P912-E0473
P915-C022	f75r	f75r.5	großes Bad-/Stationsblatt mit dreieckiger Insel	8	shey kar chey ckhey r ain ol olsheedy	kurz den Posten halten → die bezeichnete Einstellung übernehmen → POSTEN verwenden → kurz den Posten durch den sichtbaren Durchlass führen → MARKIEREN verwenden → TEILMENGE verwenden → FORTSETZEN verwenden → länger den Teilgang fortsetzen, dann den Posten halten, dann den Teilgang abschließen	Auf dem großen Bad- und Stationsblatt die vorgesehene Füllung einstellen, länger halten und behandeln, durch den angeschlossenen Durchlass geben und den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	NONE_LOCAL_STATION_ONLY	LICENSED_DY_CLOSE	P912-E0474|P912-E0475|P912-E0476|P912-E0477|P912-E0478|P912-E0479|P912-E0480|P912-E0481
P915-C023	f75r	f75r.5|f75r.6	großes Bad-/Stationsblatt mit dreieckiger Insel	9	qokeey qoky pcheykeeor olky dar okey qokain chcthy qokeedy	länger den aktuellen Posten beibehalten → den aktuellen Posten beibehalten → länger den Posten einsetzen → den Posten auffangen → die bezeichnete Einstellung übernehmen mit dem Teilposten → kurz den aktuellen Posten beibehalten → die bezeichnete Einstellung übernehmen mit dem Teilposten → den Posten gebrauchsfertig machen → länger den Teilgang abschließen	Auf dem großen Bad- und Stationsblatt die vorgesehene Füllung einstellen, in die Arbeitsstation geben, im Empfangsbecken auffangen, bis zur Gebrauchsbereitschaft führen und den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	NONE_LOCAL_STATION_ONLY	LICENSED_DY_CLOSE	P912-E0482|P912-E0483|P912-E0484|P912-E0485|P912-E0486|P912-E0487|P912-E0488|P912-E0489|P912-E0490
P915-C024	f75r	f75r.6|f75r.7	großes Bad-/Stationsblatt mit dreieckiger Insel	2	qoky pchedy	den aktuellen Posten beibehalten → den Posten einsetzen, dann den Posten umsetzen, dann den Teilgang abschließen	Auf dem großen Bad- und Stationsblatt in die Arbeitsstation geben, über den sichtbaren Weg zur nächsten Station führen und den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	NONE_LOCAL_STATION_ONLY	LICENSED_DY_CLOSE	P912-E0491|P912-E0492
P915-C025	f75r	f75r.7	großes Bad-/Stationsblatt mit dreieckiger Insel	1	qokshdy	den Posten halten, dann den Teilgang abschließen	Auf dem großen Bad- und Stationsblatt halten und behandeln und den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	NONE_LOCAL_STATION_ONLY	LICENSED_DY_CLOSE	P912-E0493
P915-C026	f75r	f75r.7|f75r.8	großes Bad-/Stationsblatt mit dreieckiger Insel	10	ytain chedy qokar chy lol chedy qoky sor chey qokardy	die Stufe einstellen mit dem Teilposten → den Posten umsetzen → die bezeichnete Einstellung übernehmen → POSTEN verwenden → den Posten weiterleiten, dann den Teilgang fortsetzen → den Posten umsetzen → den aktuellen Posten beibehalten → die bezeichnete Station auswählen → POSTEN verwenden → den Teilgang abschließen	Auf dem großen Bad- und Stationsblatt den bezeichneten Stationsposten wählen, die vorgesehene Füllung einstellen, über den sichtbaren Weg zur nächsten Station führen und den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	NONE_LOCAL_STATION_ONLY	LICENSED_DY_CLOSE	P912-E0494|P912-E0495|P912-E0496|P912-E0497|P912-E0498|P912-E0499|P912-E0500|P912-E0501|P912-E0502|P912-E0503
P915-C027	f75r	f75r.8	großes Bad-/Stationsblatt mit dreieckiger Insel	4	dsheckhy qokain chckhy lshedy	kurz den Posten halten mit dem Teilposten → die bezeichnete Einstellung übernehmen mit dem Teilposten → den Posten durch den sichtbaren Durchlass führen → kurz die Station spülen, dann den Teilgang abschließen	Auf dem großen Bad- und Stationsblatt die vorgesehene Füllung einstellen, kurz halten und behandeln, durch den angeschlossenen Durchlass geben, die Station spülen und den Teilgang schließen.	COMPACT_OWNER_ACTION_REWRITE	NONE_LOCAL_STATION_ONLY	LICENSED_DY_CLOSE	P912-E0504|P912-E0505|P912-E0506|P912-E0507
