statement_id	old_literal	new_literal	old_fluent	new_fluent	fluent_changed
H1-S001	Grundteil | Vorbereitung | davon | Anteil | Aufnahmegefäß | Zuguss | Folgeteil | einsetzen | Sollmaß | Kurzteil	Wurzel | Vorbereitung | davon | Anteil | Aufnahmegefäß | Zuguss | Folgeteil | einsetzen | Sollmaß | Kurzteil	Den Grundteil der Bildpflanze nehmen, einen Anteil im Aufnahmegefäß vorbereiten, Flüssigkeit zugießen, den Folgeteil einsetzen und auf Sollmaß bringen.	Die Wurzel der Bildpflanze nehmen, einen Anteil im Aufnahmegefäß vorbereiten, Flüssigkeit zugießen, den Folgeteil einsetzen und auf Sollmaß bringen.	YES
H2-S003	Arbeitsansatz | Ansatz | Ansatz | dies | Arbeitsstufe | dies | Zugabemaß	Zubereitungsgefäß | Ansatz | Ansatz | dies | Arbeitsstufe | dies | Zugabemaß	Den Arbeitsansatz in der nächsten Stufe bearbeiten und die vorgeschriebene Zugabemenge einsetzen.	Im Zubereitungsgefäß den Ansatz in der nächsten Stufe bearbeiten und die vorgeschriebene Zugabemenge einsetzen.	YES
H3-S001	Kochgut | Sudansatz | Auswringen | Stehzeit | Nachseihen | Klarauszug | Endzugabe; Schluss	Kochgut | Sudansatz | auswringen | Stehzeit | nachseihen | Klarlauf | kalt stellen; Schluss	Das Kochgut in einem Sud ansetzen, ausdrücken, eine Stehzeit abwarten, nachseihen, den klaren Auszug abnehmen und die Endzugabe einsetzen; Schluss.	Das Kochgut in einem Sud ansetzen, auswringen, eine Stehzeit abwarten, nachseihen, den Klarlauf abnehmen und kalt stellen; Schluss.	YES
H4-S001	bemessen | Sollmaß | erste Portion | zweite Portion | Abkühlen	bemessen | Sollmaß | erste Portion | zweite Portion | abkühlen; Schluss	Den Ansatz bemessen, auf Sollmaß in eine erste und zweite Portion teilen und abkühlen lassen.	Den Ansatz bemessen, auf Sollmaß in eine erste und zweite Portion teilen und abkühlen lassen; Schluss.	YES
H5-S002	vom vorigen | Zugabeposten | einsetzen | Langpassage; Schluss	vom vorigen | Zugabeposten | einsetzen | auftragen; Schluss	Vom vorigen Ansatz den Zugabeposten nehmen, einsetzen und länger an der Zielstelle führen; Schluss.	Vom vorigen Ansatz den Zugabeposten nehmen, einsetzen und an der Zielstelle auftragen; Schluss.	YES
H5-S003	Halten | weitere Zutat | Kurzbearbeitung | erneut einsetzen	Stängel | weitere Zutat | Kurzbearbeitung | erneut einsetzen	Den Posten halten, eine weitere Zutat zugeben, kurz bearbeiten und erneut einsetzen.	Den Stängel und eine weitere Zutat kurz bearbeiten und erneut einsetzen.	YES
B1-S018	Abführposten | Kurzhalt | Arbeitsstufe | lange sammeln; Schluss	Auffanggefäß | Kurzhalt | Arbeitsstufe | lange sammeln; Schluss	Den Abführposten kurz halten, die Arbeitsstufe setzen und länger auffangen; Schluss.	Im Auffanggefäß kurz halten, die Arbeitsstufe setzen und länger auffangen; Schluss.	YES
B2-S007	Kurzabsetzen; Schluss	Frischwasser zugeben; Schluss	An der mittleren linken Knotenstation kurz absetzen lassen; Schluss.	An der mittleren linken Knotenstation Frischwasser zugeben; Schluss.	YES
B2-S010	lange einwirken | einsetzen | Auslass | Klarauszug	lange einwirken | einsetzen | Auslass | Klarlauf	Länger einwirken lassen, einsetzen und den klaren Auszug zum Auslass führen.	Länger einwirken lassen, einsetzen und den klaren Auszug zum Auslass führen.	NO
B2-S012	Abführgut | Klarauszug | kurz vorbereiten | lange einwirken | Klarabzug | Sollmaß | dies | Volleinsatz; Schluss	Abführgut | Klarlauf | kurz vorbereiten | lange einwirken | Klarabzug | Sollmaß | dies | Volleinsatz; Schluss	Das Abführgut als klaren Auszug kurz vorbereiten, länger einwirken lassen, klar abziehen, auf Sollmaß bringen und den aktuellen Posten vollständig einsetzen; Schluss.	Das Abführgut als klaren Auszug kurz vorbereiten, länger einwirken lassen, klar abziehen, auf Sollmaß bringen und den aktuellen Posten vollständig einsetzen; Schluss.	NO
B2-S016	dorthin | Quellabführung | Teilen | Sollmaß | Langfolge | bemessen | kurz einwirken | Zuführung; Schluss	dorthin | Quellabführung | teilen | Sollmaß | Langfolge | bemessen | kurz einwirken | Zuführung; Schluss	Dorthin führen, aus der Quelle abführen, teilen, auf Sollmaß bringen, die lange Folge bemessen, kurz einwirken lassen und zuführen; Schluss.	Dorthin führen, aus der Quelle abführen, teilen, auf Sollmaß bringen, die lange Folge bemessen, kurz einwirken lassen und zuführen; Schluss.	NO
B2-S019	Waschschluss	Waschgang; Schluss	Den Waschgang schließen.	Den Waschgang schließen.	NO
B4-S004	Festsetzen; Schluss	befestigen; Schluss	Den Posten festsetzen; Schluss.	Den Posten befestigen; Schluss.	YES
B4-S015	Anteil zugeben | Klarauszug | Anteil | Zielpassage | Kurzsammlung | abführen; Schluss	Anteil zugeben | Klarlauf | Anteil | Zielpassage | Kurzsammlung | abführen; Schluss	Einen Anteil zum klaren Auszug geben, den Anteil durch die Zielpassage führen, kurz auffangen und abführen; Schluss.	Einen Anteil zum klaren Auszug geben, den Anteil durch die Zielpassage führen, kurz auffangen und abführen; Schluss.	NO
B6-S001	Langsammlung | Kurzbearbeitung | Endposten | weiter | Sollmaß | weiter | Einlage | dies | Endziel	Langsammlung | kurz bearbeiten | Endposten | weiter | Sollmaß | weiter | Einlage | dies | Endziel	Am rechten Endposten länger auffangen, kurz bearbeiten, zum Endposten weiterführen, auf Sollmaß bringen, die Einlage als aktuellen Posten zum Endziel führen.	Am rechten Endposten länger auffangen, kurz bearbeiten, zum Endposten weiterführen, auf Sollmaß bringen, die Einlage als aktuellen Posten zum Endziel führen.	NO
