master_card_id	registered_surfaces	occurrences	event_ids	statements	owners	previous_current_value_de	legacy_snapshot_de	decision	selected_value_de	decision_reason
MC012	dl	2	E112|E129	B1-S002|B1-S006	gemeinsames zweireihiges Figuren-/Beckenfeld	Zusatz	Zusatz	KEEP_CURRENT	Zusatz	Two basin contexts both take an added item.
MC027	oykchor	1	E032	H2-S003	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	Arbeitsansatz	Gefaess	RESTORE_LEGACY	Zubereitungsgefäß	A vessel before Ansatz avoids three consecutive preparation synonyms.
MC037	tchody	1	E045	H3-S001	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	Endzugabe; Schluss	kalt stellen	RESTORE_LEGACY	kalt stellen; Schluss	It follows clear extract after pressing and restraining and terminates the chain.
MC052	qekey	1	E374	B6-S001	rechter S-Lauf-/Mehrarm-Endposten	Kurzbearbeitung	roh	KEEP_CURRENT	kurz bearbeiten	In B6 it is an operation between collecting and target transfer; RAW is inert here.
MC059	dain	2	E327|E379	B4-S005|B6-S001	Hauptpaar am sichtbaren ungerichteten Bogen|rechter S-Lauf-/Mehrarm-Endposten	Einlage	Tuch	KEEP_CURRENT	Einlage	Both B4 and B6 place a transferable insert; cloth remains a possible local material.
MC061	sshkchdy	1	E122	B1-S003	gemeinsames zweireihiges Figuren-/Beckenfeld	Haltetransfer; Schluss	schwenken	KEEP_CURRENT	Haltetransfer; Schluss	It closes after continuation; generic swinging is less readable.
MC071	dchey	1	E001	H1-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	Grundteil	Wurzel	RESTORE_LEGACY	Wurzel	Initial pictured-plant source part gives the most concrete Herbal reading.
MC084	rshedy	1	E225	B2-S019	lokale Randstationen des unteren Feldes	Waschschluss	Waschgang	REFINE	Waschgang; Schluss	The singleton is an entire closed wash cell.
MC099	cheeckhody	1	E086	H5-S002	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	Langpassage; Schluss	auftragen	RESTORE_LEGACY	auftragen; Schluss	It follows taking and setting an application item at the target.
MC100	ody	1	E060	H4-S001	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	Abkühlen	kühlen	REFINE	abkühlen; Schluss	Cooling is shared by both readings and the exact card is terminal.
MC109	ytey	1	E150	B1-S015	gemeinsames zweireihiges Figuren-/Beckenfeld	Kurzteil	fuellen	KEEP_CURRENT	Kurzteil	It is the item introduced from the just-set source.
MC114	sh	1	E087	H5-S003	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	Halten	Staengel	RESTORE_LEGACY	Stängel	A pictured-plant part plus another ingredient is more concrete than a free HOLD command.
MC118	ly	1	E159	B1-S018	gemeinsames zweireihiges Figuren-/Beckenfeld	Abführposten	Gefaess	REFINE	Auffanggefäß	The following hold, stage and long collection actions require a receiver.
MC119	cheey|shey	4	E044|E197|E203|E353	H3-S001|B2-S010|B2-S012|B4-S015	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT|mittlere linke Geräte-/Inline-Knotenstation|unteres grünes Mehrfigurenfeld|linke offene Fransen-/Unterlaufstation	Klarauszug	Klarlauf	RESTORE_LEGACY	Klarlauf	This spans strained product and apparatus outlet better than only extract.
MC124	lkedy	1	E344	B4-S011	linke offene Fransen-/Unterlaufstation	Kurzabzug; Schluss	nachwaschen	KEEP_CURRENT	Kurzabzug; Schluss	It terminates an underflow transfer chain; rewash is not required.
MC129	cfhy	1	E041	H3-S001	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	Auswringen	auswringen	KEEP_CURRENT	auswringen	It sits before standing and restraining in H3.
MC138	dshedy	1	E189	B2-S007	mittlere linke Geräte-/Inline-Knotenstation	Kurzabsetzen; Schluss	Frischwasser	RESTORE_LEGACY	Frischwasser zugeben; Schluss	A standalone new station cell is better as a fresh charge than an unlicensed duplicate settle.
MC142	dchol|schol	2	E047|E083	H3-S003|H5-S002	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT|WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	vom vorigen	Voriges	KEEP_CURRENT	vom vorigen	Both Herbal occurrences introduce an anaphoric prior batch.
MC152	ches	1	E216	B2-S016	lokale Randstationen des unteren Feldes	Teilen	teilen	KEEP_CURRENT	teilen	It is embedded between source draw and measured follow-on feed.
MC156	cphy	1	E043	H3-S001	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	Nachseihen	nachseihen	KEEP_CURRENT	nachseihen	It follows pressing and standing and precedes clear flow.
MC159	os	1	E005	H1-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	Aufnahmegefäß	Gefaess	KEEP_CURRENT	Aufnahmegefäß	H1 explicitly prepares and pours into a receiver.
MC164	qokylddy	1	E326	B4-S004	Hauptpaar am sichtbaren ungerichteten Bogen	Festsetzen; Schluss	befestigen	REFINE	befestigen; Schluss	The isolated B4 cell follows insertion and licenses a fastening close.
