event_id	statement_id	record_unit_id	page	visible_owner	visible_surface	master_card_id	base_recipe	resolved_subtype	resolved_value_de	position_in_statement	previous_master_card	next_master_card	choice_mode
E003	H1-S001	H1	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	char	MC055	AR	SOURCE_ORIGIN	von der Quelle	3/10	MC158	MC086	SEMANTIC_SUBTYPE
E008	H1-S001	H1	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	oky	MC026	OK+Y	SET_CURRENT_ITEM	aktuellen Posten einsetzen	8/10	MC069	MC039	SEMANTIC_SUBTYPE
E009	H1-S001	H1	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	daiin	MC039	AIIN	GENERAL_MEASURE	allgemeines Sollmaß	9/10	MC026	MC108	SEMANTIC_SUBTYPE
E011	H1-S002	H1	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	qokchy	MC103	OK+Y	SET_AND_CONTINUE_ITEM	aktuellen Posten einsetzen und weiterbearbeiten	1/4	START	MC163	SEMANTIC_SUBTYPE
E012	H1-S002	H1	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	qotchol	MC163	OL+OT	SWITCH_TO_FOLLOWING_PROCESS	zum Folgegang wechseln	2/4	MC103	MC153	SEMANTIC_SUBTYPE
E013	H1-S002	H1	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	chol	MC153	OL	PLAIN_CONTINUATION	bloß weiter	3/4	MC163	MC161	SEMANTIC_SUBTYPE
E022	H2-S001	H2	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	taiin	MC039	AIIN	GENERAL_MEASURE	allgemeines Sollmaß	8/9	MC123	MC123	SEMANTIC_SUBTYPE
E026	H2-S002	H2	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	otol	MC053	OL+OT	CONTINUE_SAME_PROCESS	danach im selben Gang weiter	3/8	MC080	MC153	SEMANTIC_SUBTYPE
E027	H2-S002	H2	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	chol	MC153	OL	PLAIN_CONTINUATION	bloß weiter	4/8	MC053	MC157	SEMANTIC_SUBTYPE
E029	H2-S002	H2	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	chol	MC153	OL	PLAIN_CONTINUATION	bloß weiter	6/8	MC157	MC039	SEMANTIC_SUBTYPE
E030	H2-S002	H2	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	daiin	MC039	AIIN	GENERAL_MEASURE	allgemeines Sollmaß	7/8	MC153	MC055	SEMANTIC_SUBTYPE
E031	H2-S002	H2	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	dar	MC055	AR	SOURCE_ORIGIN	von der Quelle	8/8	MC039	END	SEMANTIC_SUBTYPE
E049	H3-S003	H3	f11r	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	kchy	MC117	Y+K_BINDER	PROCESS_CURRENT_ITEM	aktuellen Posten bearbeiten	3/5	MC123	MC123	SEMANTIC_SUBTYPE
