resolved_recipe	canonical_master_card_id	canonical_form	canonical_value_de	alternate_forms	card_type_count	event_support	canonical_event_hits	writer_rule
AIIN[SUBTYPE=GENERAL_MEASURE]	MC039	aiin	Sollmaß	NONE	1	20	20	WRITE_CANONICAL
OL[SUBTYPE=PLAIN_CONTINUATION]	MC153	cheol	weiter	NONE	1	19	19	WRITE_CANONICAL
Y	MC123	chey	dies	NONE	1	18	18	WRITE_CANONICAL
E_GRADE+DY+SHED[GRADE=E_SHORT]	MC128	cheedy	kurz absetzen; Schluss	NONE	1	12	12	WRITE_CANONICAL
Y+CHED_TRANSFER[SUBTYPE=SHORT_TRANSFER_FORM]	MC074	chdy	überführen	NONE	1	11	11	WRITE_CANONICAL
AL[SUBTYPE=TARGET_ADDRESS]	MC154	al	dorthin	NONE	1	10	10	WRITE_CANONICAL
OK+E_GRADE+DY[GRADE=EE_LONG]	MC082	qokeedy	lange einwirken; Schluss	NONE	1	10	10	WRITE_CANONICAL
OK+Y[SUBTYPE=SET_CURRENT_ITEM]	MC026	choky	einsetzen	NONE	1	10	10	WRITE_CANONICAL
OK+AIIN	MC120	okaiin	bemessen	NONE	1	9	9	WRITE_CANONICAL
L+CHED_TRANSFER[LICENSED_CLOSE=YES]	MC155	lchedy	abführen; Schluss	NONE	1	8	8	WRITE_CANONICAL
OK+E_GRADE+DY[GRADE=E_SHORT]	MC083	qokedy	kurz einwirken; Schluss	NONE	1	8	8	WRITE_CANONICAL
OK+AIN	MC017	okain	Anteil zugeben	NONE	1	7	7	WRITE_CANONICAL
OK+E_GRADE+Y[GRADE=EE_LONG]	MC002	okeey	LAENGER_SETZEN_ODER_HALTEN	NONE	1	7	7	WRITE_CANONICAL
OR	MC080	chor	Ansatz	NONE	1	7	7	WRITE_CANONICAL
Y+CTH	MC161	checthy	bereit	NONE	1	7	7	WRITE_CANONICAL
OK+AL	MC040	okal	dorthin einsetzen	NONE	1	6	6	WRITE_CANONICAL
AR[SUBTYPE=SOURCE_ORIGIN]	MC055	char	davon	NONE	1	5	5	WRITE_CANONICAL
CHED_TRANSFER[LICENSED_CLOSE=YES]	MC025	dchedy	überführen; Schluss	NONE	1	4	4	WRITE_CANONICAL
CHO_INPUT	MC034	cho	EINGABE_ODER_BEDINGUNG	NONE	1	4	4	WRITE_CANONICAL
Y+CKH	MC035	chckhy	durchleiten	NONE	1	4	4	WRITE_CANONICAL
AIN[SUBTYPE=GENERAL_PORTION]	MC105	chkain	Portion	NONE	1	3	3	WRITE_CANONICAL
CKHE[LICENSED_CLOSE=YES]	MC143	shckhedy	durchlassen; Schluss	NONE	1	3	3	WRITE_CANONICAL
E_GRADE+SOLK[LICENSED_CLOSE=YES]	MC045	olkeedy	lange sammeln; Schluss	NONE	1	3	3	WRITE_CANONICAL
E_GRADE+Y+CHK[GRADE=E_SHORT]	MC147	cheky	kurz wärmen	NONE	1	3	3	WRITE_CANONICAL
E_GRADE+Y+CTH[GRADE=E_SHORT][SUBTYPE=LOCAL_CTH_ALLOGRAPH]	MC073	qcthey	kurz vorbereiten	shecthy	2	3	2	COPY_LOCAL_ALLOGRAPH_FROM_EXEMPLAR
OK+DY+CHED_TRANSFER[SUBTYPE=NEW_ITEM_TRANSFER]	MC088	qokchdy	neuen Posten einsetzen; Schluss	NONE	1	3	3	WRITE_CANONICAL
OK+Y[SUBTYPE=SET_AND_CONTINUE_ITEM]	MC103	chokchy	den laufenden Posten einsetzen und weiterbearbeiten	NONE	1	3	3	WRITE_CANONICAL
OL+DY+CHED_TRANSFER	MC028	olchedy	weiterführen; Schluss	NONE	1	3	3	WRITE_CANONICAL
OT+AIIN	MC060	otaiin	Folgemaß	NONE	1	3	3	WRITE_CANONICAL
OT+AL	MC093	otal	danach dorthin	NONE	1	3	3	WRITE_CANONICAL
OT+DY+CHED_TRANSFER[SUBTYPE=LOCAL_OT_TRANSFER_ALLOGRAPH]	MC057	otchedy	Folgetransfer; Schluss	otchdy	2	3	2	COPY_LOCAL_ALLOGRAPH_FROM_EXEMPLAR
AL+SHED	MC113	shedal	am Ziel absetzen	NONE	1	2	2	WRITE_CANONICAL
DY+LSH	MC038	lshedy	Waschgang; Schluss	NONE	1	2	2	WRITE_CANONICAL
D_PREVIOUS	MC142	dchol	vom vorigen Arbeitsgang nehmen	NONE	1	2	2	WRITE_CANONICAL
E_GRADE+Y+CHK[GRADE=EE_LONG][SUBTYPE=GENERAL_LONG_ADJUSTMENT]	MC032	cheeky	länger bearbeiten	NONE	1	2	2	WRITE_CANONICAL
IIN[SUBTYPE=WORKING_STAGE]	MC033	oiiin	Arbeitsstufe	NONE	1	2	2	WRITE_CANONICAL
L+DY	MC004	ldy	abziehen; Schluss	NONE	1	2	2	WRITE_CANONICAL
OK+DY+CHED_TRANSFER[SUBTYPE=PREVIOUS_ITEM_TRANSFER]	MC005	okchedy	vorigen Posten überführen; Schluss	NONE	1	2	2	WRITE_CANONICAL
OK+E_GRADE+Y[GRADE=E_SHORT]	MC007	okey	KURZ_SETZEN	NONE	1	2	2	WRITE_CANONICAL
OL+AIN	MC097	olkain	weiterer Anteil	NONE	1	2	2	WRITE_CANONICAL
OL+DY	MC019	oldy	fertig	NONE	1	2	2	WRITE_CANONICAL
OL+OR	MC157	cholor	derselbe Ansatz	NONE	1	2	2	WRITE_CANONICAL
OT+E_GRADE+DY[GRADE=EE_LONG]	MC173	qoteedy	lange Folgestufe; Schluss	NONE	1	2	2	WRITE_CANONICAL
OT+E_GRADE+DY[GRADE=E_SHORT]	MC135	otedy	Kurzfolge; Schluss	NONE	1	2	2	WRITE_CANONICAL
OT+E_GRADE+Y[GRADE=EE_LONG]	MC063	oteey	Langfolge	NONE	1	2	2	WRITE_CANONICAL
OT+OR	MC013	otchor	Folgeansatz	NONE	1	2	2	WRITE_CANONICAL
OT+Y[SUBTYPE=NEXT_ITEM]	MC171	otchey	das nächste	NONE	1	2	2	WRITE_CANONICAL
TY	MC086	chety	Teil	NONE	1	2	2	WRITE_CANONICAL
AIIN+CHO_INPUT	MC087	chodaiin	Zugabemaß	NONE	1	1	1	WRITE_CANONICAL
AIIN+CTH	MC169	cthaiin	die Sollvorbereitung setzen	NONE	1	1	1	WRITE_CANONICAL
AIIN+SHFY_DURATION	MC111	shfydaiin	eine vorgeschriebene Stehzeit einhalten	NONE	1	1	1	WRITE_CANONICAL
AIIN+SOLK	MC036	solkaiin	Sollsammlung	NONE	1	1	1	WRITE_CANONICAL
AIIN[SUBTYPE=EXTRACT_PORTION_MEASURE]	MC170	ykaiin	Sollportion	NONE	1	1	1	WRITE_CANONICAL
AIIN[SUBTYPE=SETTLING_MEASURE]	MC144	chldaiin	Sollabsetzung	NONE	1	1	1	WRITE_CANONICAL
AIN+CHED_TRANSFER	MC145	chedain	Anteilstransfer	NONE	1	1	1	WRITE_CANONICAL
AIN[SUBTYPE=FIRST_PORTION]	MC047	ykain	erste Portion	NONE	1	1	1	WRITE_CANONICAL
AIN[SUBTYPE=PREPARATION_SHARE]	MC072	orain	Bereitungsanteil	NONE	1	1	1	WRITE_CANONICAL
AIR	MC116	schedair	Weiterlauf	NONE	1	1	1	WRITE_CANONICAL
AIR+CH_POUR	MC014	chair	laufendes Medium zugießen	NONE	1	1	1	WRITE_CANONICAL
AIR+K_BINDER	MC023	kair	Beckenlauf	NONE	1	1	1	WRITE_CANONICAL
AL+CHED_TRANSFER	MC001	chdal	Zieltransfer	NONE	1	1	1	WRITE_CANONICAL
AL+CKH	MC022	chckhal	Zielpassage	NONE	1	1	1	WRITE_CANONICAL
AL+DY	MC079	daldy	Zielschluss	NONE	1	1	1	WRITE_CANONICAL
AL+DY+CHED_TRANSFER	MC031	dalchdy	Zieltransfer; Schluss	NONE	1	1	1	WRITE_CANONICAL
AL+E_GRADE+CKH[GRADE=E_SHORT]	MC058	sheckhal	Kurze Zielpassage	NONE	1	1	1	WRITE_CANONICAL
AL+E_GRADE[GRADE=E_SHORT]	MC102	rsheal	Kurzhalt am Ziel	NONE	1	1	1	WRITE_CANONICAL
AL+L	MC101	ldalor	Endziel	NONE	1	1	1	WRITE_CANONICAL
AL+L+CHED_TRANSFER	MC051	lchedal	Zielabführung	NONE	1	1	1	WRITE_CANONICAL
