base_recipe	card_type_count	event_support	master_forms	choice_meanings_de	decision	apprentice_rule_de
AIIN	3	22	aiin|chldaiin|ykaiin	aiin=allgemeines Sollmaß | chldaiin=Sollmaß für Absetzung | ykaiin=Sollportion des Auszugs	SEMANTIC_SUBTYPE_RESOLVED	Wähle die Form nach dem kurzen Bedeutungszusatz.
AIN	3	5	ykain|orain|chkain	chkain=allgemeine Portion | orain=Anteil der Zubereitung | ykain=erste Portion	SEMANTIC_SUBTYPE_RESOLVED	Wähle die Form nach dem kurzen Bedeutungszusatz.
AL	2	11	ral|al	al=zur Zieladresse | ral=Zielmarke setzen	SEMANTIC_SUBTYPE_RESOLVED	Wähle die Form nach dem kurzen Bedeutungszusatz.
AL+Y	2	2	raly|olsaly	olsaly=Zwischenziel | raly=Endziel	SEMANTIC_SUBTYPE_RESOLVED	Wähle die Form nach dem kurzen Bedeutungszusatz.
AR	2	6	char|skar	char=von der Quelle | skar=Quellausguss	SEMANTIC_SUBTYPE_RESOLVED	Wähle die Form nach dem kurzen Bedeutungszusatz.
E_GRADE+Y+CHK[GRADE=EE_LONG]	2	3	cheeky|chkeey	cheeky=länger bearbeiten | chkeey=länger wärmen	SEMANTIC_SUBTYPE_RESOLVED	Wähle die Form nach dem kurzen Bedeutungszusatz.
E_GRADE+Y+CTH[GRADE=E_SHORT]	2	3	qcthey|shecthy	qcthey=lokale CTH-Kurzform | shecthy=lokale CTH-Kurzform	LOCAL_ALLOGRAPH_REMAINS	Beide Formen bedeuten dasselbe; lerne die örtliche Kartenform aus dem Exemplar.
IIN	2	3	oiiin|daiiin	daiiin=Endstufe | oiiin=laufende Arbeitsstufe	SEMANTIC_SUBTYPE_RESOLVED	Wähle die Form nach dem kurzen Bedeutungszusatz.
K_BINDER	4	4	kchal|kchol|keol|kchoar	kchal=an Ziel binden | kchoar=an Quellauszug binden | kchol=an Fortsetzung binden | keol=kurz an Fortsetzung binden	SEMANTIC_SUBTYPE_RESOLVED	Wähle die Form nach dem kurzen Bedeutungszusatz.
L	2	2	ls|lcheey	lcheey=Klarabzug | ls=Auslass	SEMANTIC_SUBTYPE_RESOLVED	Wähle die Form nach dem kurzen Bedeutungszusatz.
OK+DY+CHED_TRANSFER	2	5	okchedy|qokchdy	okchedy=vorigen Posten übertragen | qokchdy=neuen Posten übertragen	SEMANTIC_SUBTYPE_RESOLVED	Wähle die Form nach dem kurzen Bedeutungszusatz.
OK+Y	2	13	choky|chokchy	chokchy=aktuellen Posten einsetzen und weiterbearbeiten | choky=aktuellen Posten einsetzen	SEMANTIC_SUBTYPE_RESOLVED	Wähle die Form nach dem kurzen Bedeutungszusatz.
OL	3	21	rol|qolky|cheol	cheol=bloß weiter | qolky=Weiterweg | rol=Anschluss weiterführen	SEMANTIC_SUBTYPE_RESOLVED	Wähle die Form nach dem kurzen Bedeutungszusatz.
OL+E_GRADE[GRADE=E_SHORT]	2	2	dsheol|teol	dsheol=kurz halten | teol=kurz weiterführen	SEMANTIC_SUBTYPE_RESOLVED	Wähle die Form nach dem kurzen Bedeutungszusatz.
OL+OT	2	2	otol|qotchol	otol=danach im selben Gang weiter | qotchol=zum Folgegang wechseln	SEMANTIC_SUBTYPE_RESOLVED	Wähle die Form nach dem kurzen Bedeutungszusatz.
OT+DY+CHED_TRANSFER	2	3	otchedy|otchdy	otchdy=lokale Folgetransferform | otchedy=lokale Folgetransferform	LOCAL_ALLOGRAPH_REMAINS	Beide Formen bedeuten dasselbe; lerne die örtliche Kartenform aus dem Exemplar.
OT+Y	2	3	qotchy|otchey	otchey=nächsten Posten wählen | qotchy=zum nächsten Arbeitsgang wechseln	SEMANTIC_SUBTYPE_RESOLVED	Wähle die Form nach dem kurzen Bedeutungszusatz.
Y+CHED_TRANSFER	2	12	chedchy|chdy	chdy=kurze Transferform | chedchy=ausgebaute Transferform	SEMANTIC_SUBTYPE_RESOLVED	Wähle die Form nach dem kurzen Bedeutungszusatz.
Y+CHO_INPUT	2	2	chodaly|choy	chodaly=aktuelle Eingabe am Ziel | choy=aktuelle Eingabe	SEMANTIC_SUBTYPE_RESOLVED	Wähle die Form nach dem kurzen Bedeutungszusatz.
Y+K_BINDER	2	2	kchy|kchey	kchey=aktuellen Posten kurz bearbeiten | kchy=aktuellen Posten bearbeiten	SEMANTIC_SUBTYPE_RESOLVED	Wähle die Form nach dem kurzen Bedeutungszusatz.
