owner_id	record_units	statement_count	dominant_program_id	dominant_program_de	program_profile
B1_SHARED_TWO_ROW_POOL	B1	21	P06_FORTSETZEN	Fortsetzen und folgen	P01_DOSIEREN:1|P02_MATERIAL_GEBEN:2|P03_AM_ZIEL_EINSETZEN:4|P04_KURZ_BEHANDELN:3|P05_LANG_BEHANDELN:1|P06_FORTSETZEN:4|P07_UEBERFUEHREN:1|P08_DURCHLASSEN:3|P09_ABSETZEN_SAMMELN:2
B2_LOWER_GREEN_MULTI_FIGURE_POOL	B2	3	P10_ABZIEHEN_ABFUEHREN	Abziehen und abführen	P10_ABZIEHEN_ABFUEHREN:3
B2_LOWER_POOL_EDGE_STATIONS	B2	8	P06_FORTSETZEN	Fortsetzen und folgen	P01_DOSIEREN:1|P04_KURZ_BEHANDELN:1|P05_LANG_BEHANDELN:2|P06_FORTSETZEN:2|P09_ABSETZEN_SAMMELN:1|P10_ABZIEHEN_ABFUEHREN:1
B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	B2	4	P09_ABSETZEN_SAMMELN	Absetzen und sammeln	P01_DOSIEREN:1|P05_LANG_BEHANDELN:1|P09_ABSETZEN_SAMMELN:2
B2_MIDDLE_RIGHT_AMBIGUOUS_STATION	B2	2	P02_MATERIAL_GEBEN	Material geben oder teilen	P02_MATERIAL_GEBEN:1|P10_ABZIEHEN_ABFUEHREN:1
B2_UPPER_PAIRED_BASINS_AND_CYLINDER	B2	6	P07_UEBERFUEHREN	Überführen und umsetzen	P01_DOSIEREN:1|P02_MATERIAL_GEBEN:1|P03_AM_ZIEL_EINSETZEN:1|P06_FORTSETZEN:1|P07_UEBERFUEHREN:1|P10_ABZIEHEN_ABFUEHREN:1
B3_LOWER_MARGIN_BASKET_VESSEL_STATION	B3	7	P07_UEBERFUEHREN	Überführen und umsetzen	P01_DOSIEREN:1|P03_AM_ZIEL_EINSETZEN:1|P07_UEBERFUEHREN:2|P10_ABZIEHEN_ABFUEHREN:2|P12_BESTAND_REFERENZIEREN:1
B3_MAIN_ARCH_LINKED_PAIR	B3	9	P07_UEBERFUEHREN	Überführen und umsetzen	P01_DOSIEREN:1|P03_AM_ZIEL_EINSETZEN:1|P05_LANG_BEHANDELN:2|P06_FORTSETZEN:2|P07_UEBERFUEHREN:2|P10_ABZIEHEN_ABFUEHREN:1
B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	B3	11	P07_UEBERFUEHREN	Überführen und umsetzen	P01_DOSIEREN:1|P03_AM_ZIEL_EINSETZEN:2|P05_LANG_BEHANDELN:1|P07_UEBERFUEHREN:3|P09_ABSETZEN_SAMMELN:2|P10_ABZIEHEN_ABFUEHREN:2
B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	B3	5	P07_UEBERFUEHREN	Überführen und umsetzen	P01_DOSIEREN:1|P03_AM_ZIEL_EINSETZEN:1|P07_UEBERFUEHREN:2|P10_ABZIEHEN_ABFUEHREN:1
B3_UPPER_MARGIN_OPEN_FAN_STATION	B3	4	P09_ABSETZEN_SAMMELN	Absetzen und sammeln	P01_DOSIEREN:1|P03_AM_ZIEL_EINSETZEN:1|P09_ABSETZEN_SAMMELN:1|P12_BESTAND_REFERENZIEREN:1
B4_MAIN_ARCH_LINKED_PAIR	B4	10	P05_LANG_BEHANDELN	Lang behandeln oder wärmen	P02_MATERIAL_GEBEN:1|P03_AM_ZIEL_EINSETZEN:1|P05_LANG_BEHANDELN:2|P06_FORTSETZEN:2|P08_DURCHLASSEN:2|P09_ABSETZEN_SAMMELN:1|P11_BEREITEN_SCHLIESSEN:1
B4_MAIN_LEFT_OPEN_FRINGE_STATION	B4	5	P10_ABZIEHEN_ABFUEHREN	Abziehen und abführen	P03_AM_ZIEL_EINSETZEN:1|P06_FORTSETZEN:1|P10_ABZIEHEN_ABFUEHREN:2|P12_BESTAND_REFERENZIEREN:1
B4_MAIN_RIGHT_S_RUN_MULTIPORT_STATION	B4	2	P10_ABZIEHEN_ABFUEHREN	Abziehen und abführen	P01_DOSIEREN:1|P10_ABZIEHEN_ABFUEHREN:1
B5_LEFT_OPEN_FRINGE_STATION	B5	3	P07_UEBERFUEHREN	Überführen und umsetzen	P03_AM_ZIEL_EINSETZEN:1|P06_FORTSETZEN:1|P07_UEBERFUEHREN:1
B6_RIGHT_S_RUN_MULTIPORT_STATION	B6	1	P06_FORTSETZEN	Fortsetzen und folgen	P06_FORTSETZEN:1
