program_id	program_name_de	apprentice_rule_de	primary_statement_count	all_operation_count	owner_count	owners	pages	example_statements
P01_DOSIEREN	Dosieren und einstellen	Lege Portion, Sollmaß oder Arbeitsstufe fest.	10	31	16	B1_SHARED_TWO_ROW_POOL|B2_LOWER_GREEN_MULTI_FIGURE_POOL|B2_LOWER_POOL_EDGE_STATIONS|B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE|B2_MIDDLE_RIGHT_AMBIGUOUS_STATION|B2_UPPER_PAIRED_BASINS_AND_CYLINDER|B3_LOWER_MARGIN_BASKET_VESSEL_STATION|B3_MAIN_ARCH_LINKED_PAIR|B3_MARGIN_TO_MAIN_GAP_UNRESOLVED|B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION|B3_UPPER_MARGIN_OPEN_FAN_STATION|B4_MAIN_ARCH_LINKED_PAIR|B4_MAIN_LEFT_OPEN_FRINGE_STATION|B4_MAIN_RIGHT_S_RUN_MULTIPORT_STATION|B5_LEFT_OPEN_FRINGE_STATION|B6_RIGHT_S_RUN_MULTIPORT_STATION	f81v|f82r|f83r	B1-S002|B2-S005|B2-S008
P02_MATERIAL_GEBEN	Material geben oder teilen	Gib Zusatz oder Anteil zu, teile oder zerkleinere ihn.	5	15	10	B1_SHARED_TWO_ROW_POOL|B2_LOWER_POOL_EDGE_STATIONS|B2_MIDDLE_RIGHT_AMBIGUOUS_STATION|B2_UPPER_PAIRED_BASINS_AND_CYLINDER|B3_MAIN_ARCH_LINKED_PAIR|B3_MARGIN_TO_MAIN_GAP_UNRESOLVED|B4_MAIN_ARCH_LINKED_PAIR|B4_MAIN_LEFT_OPEN_FRINGE_STATION|B4_MAIN_RIGHT_S_RUN_MULTIPORT_STATION|B6_RIGHT_S_RUN_MULTIPORT_STATION	f81v|f82r|f83r	B1-S006|B1-S015|B2-S003
P03_AM_ZIEL_EINSETZEN	Am Ziel einsetzen	Setze den laufenden Posten an einer bezeichneten Stelle ein.	14	37	16	B1_SHARED_TWO_ROW_POOL|B2_LOWER_GREEN_MULTI_FIGURE_POOL|B2_LOWER_POOL_EDGE_STATIONS|B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE|B2_MIDDLE_RIGHT_AMBIGUOUS_STATION|B2_UPPER_PAIRED_BASINS_AND_CYLINDER|B3_LOWER_MARGIN_BASKET_VESSEL_STATION|B3_MAIN_ARCH_LINKED_PAIR|B3_MARGIN_TO_MAIN_GAP_UNRESOLVED|B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION|B3_UPPER_MARGIN_OPEN_FAN_STATION|B4_MAIN_ARCH_LINKED_PAIR|B4_MAIN_LEFT_OPEN_FRINGE_STATION|B4_MAIN_RIGHT_S_RUN_MULTIPORT_STATION|B5_LEFT_OPEN_FRINGE_STATION|B6_RIGHT_S_RUN_MULTIPORT_STATION	f81v|f82r|f83r	B1-S007|B1-S016|B1-S017
P04_KURZ_BEHANDELN	Kurz behandeln	Setze, halte oder bearbeite den Posten nur kurz.	4	16	9	B1_SHARED_TWO_ROW_POOL|B2_LOWER_GREEN_MULTI_FIGURE_POOL|B2_LOWER_POOL_EDGE_STATIONS|B2_MIDDLE_RIGHT_AMBIGUOUS_STATION|B3_LOWER_MARGIN_BASKET_VESSEL_STATION|B3_MAIN_ARCH_LINKED_PAIR|B3_MARGIN_TO_MAIN_GAP_UNRESOLVED|B4_MAIN_ARCH_LINKED_PAIR|B6_RIGHT_S_RUN_MULTIPORT_STATION	f81v|f82r|f83r	B1-S001|B1-S009|B1-S010
P05_LANG_BEHANDELN	Lang behandeln oder wärmen	Halte, erwärme oder behandle den Posten länger.	9	25	12	B1_SHARED_TWO_ROW_POOL|B2_LOWER_GREEN_MULTI_FIGURE_POOL|B2_LOWER_POOL_EDGE_STATIONS|B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE|B2_MIDDLE_RIGHT_AMBIGUOUS_STATION|B2_UPPER_PAIRED_BASINS_AND_CYLINDER|B3_MAIN_ARCH_LINKED_PAIR|B3_MARGIN_TO_MAIN_GAP_UNRESOLVED|B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION|B3_UPPER_MARGIN_OPEN_FAN_STATION|B4_MAIN_ARCH_LINKED_PAIR|B4_MAIN_LEFT_OPEN_FRINGE_STATION	f81v|f82r|f83r	B1-S020|B2-S010|B2-S018
P06_FORTSETZEN	Fortsetzen und folgen	Führe denselben Gang fort oder wechsle zum Folgeposten.	14	37	10	B1_SHARED_TWO_ROW_POOL|B2_LOWER_POOL_EDGE_STATIONS|B2_UPPER_PAIRED_BASINS_AND_CYLINDER|B3_LOWER_MARGIN_BASKET_VESSEL_STATION|B3_MAIN_ARCH_LINKED_PAIR|B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION|B4_MAIN_ARCH_LINKED_PAIR|B4_MAIN_LEFT_OPEN_FRINGE_STATION|B5_LEFT_OPEN_FRINGE_STATION|B6_RIGHT_S_RUN_MULTIPORT_STATION	f81v|f82r|f83r	B1-S003|B1-S005|B1-S008
P07_UEBERFUEHREN	Überführen und umsetzen	Bewege den Posten zwischen zwei lokalen Arbeitsplätzen.	11	29	10	B1_SHARED_TWO_ROW_POOL|B2_LOWER_POOL_EDGE_STATIONS|B2_UPPER_PAIRED_BASINS_AND_CYLINDER|B3_LOWER_MARGIN_BASKET_VESSEL_STATION|B3_MAIN_ARCH_LINKED_PAIR|B3_MARGIN_TO_MAIN_GAP_UNRESOLVED|B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION|B4_MAIN_ARCH_LINKED_PAIR|B4_MAIN_LEFT_OPEN_FRINGE_STATION|B5_LEFT_OPEN_FRINGE_STATION	f81v|f82r|f83r	B1-S004|B2-S001|B3-S005
P08_DURCHLASSEN	Durchlassen und waschen	Führe den Posten durch Lauf, Passage oder Waschgang.	5	17	6	B1_SHARED_TWO_ROW_POOL|B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE|B2_UPPER_PAIRED_BASINS_AND_CYLINDER|B4_MAIN_ARCH_LINKED_PAIR|B4_MAIN_LEFT_OPEN_FRINGE_STATION|B4_MAIN_RIGHT_S_RUN_MULTIPORT_STATION	f81v|f82r|f83r	B1-S011|B1-S012|B1-S013
P09_ABSETZEN_SAMMELN	Absetzen und sammeln	Lass den Posten stehen und sammle ihn lokal auf.	9	27	13	B1_SHARED_TWO_ROW_POOL|B2_LOWER_POOL_EDGE_STATIONS|B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE|B2_UPPER_PAIRED_BASINS_AND_CYLINDER|B3_LOWER_MARGIN_BASKET_VESSEL_STATION|B3_MAIN_ARCH_LINKED_PAIR|B3_MARGIN_TO_MAIN_GAP_UNRESOLVED|B3_UPPER_MARGIN_OPEN_FAN_STATION|B4_MAIN_ARCH_LINKED_PAIR|B4_MAIN_LEFT_OPEN_FRINGE_STATION|B4_MAIN_RIGHT_S_RUN_MULTIPORT_STATION|B5_LEFT_OPEN_FRINGE_STATION|B6_RIGHT_S_RUN_MULTIPORT_STATION	f81v|f82r|f83r	B1-S018|B1-S019|B2-S007
P10_ABZIEHEN_ABFUEHREN	Abziehen und abführen	Trenne oder leite den bezeichneten Anteil lokal ab.	12	26	14	B1_SHARED_TWO_ROW_POOL|B2_LOWER_GREEN_MULTI_FIGURE_POOL|B2_LOWER_POOL_EDGE_STATIONS|B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE|B2_MIDDLE_RIGHT_AMBIGUOUS_STATION|B2_UPPER_PAIRED_BASINS_AND_CYLINDER|B3_LOWER_MARGIN_BASKET_VESSEL_STATION|B3_MAIN_ARCH_LINKED_PAIR|B3_MARGIN_TO_MAIN_GAP_UNRESOLVED|B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION|B3_UPPER_MARGIN_OPEN_FAN_STATION|B4_MAIN_LEFT_OPEN_FRINGE_STATION|B4_MAIN_RIGHT_S_RUN_MULTIPORT_STATION|B5_LEFT_OPEN_FRINGE_STATION	f81v|f82r|f83r	B2-S004|B2-S012|B2-S013
