statement_id	record_unit_id	page	owner_sequence	event_count	atomic_sequence	program_sequence	primary_program_id	primary_program_de	secondary_program_ids	secondary_programs_de	apprentice_reading_de
B1-S001	B1	f81v	B1_SHARED_TWO_ROW_POOL	1	Kurzkontakt	P04_KURZ_BEHANDELN	P04_KURZ_BEHANDELN	Kurz behandeln	NONE	KEINE	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Lass ihn kurz einwirken.
B1-S002	B1	f81v	B1_SHARED_TWO_ROW_POOL	19	Sollstellung → Beckenlauf → Zieleinsatz → Quelle → Fortsetzung → Portion → Folgeportion → Stelle → Fortsetzung → Anschluss → Zusatz → Fortsetzungsansatz → Fortsetzung → Zielkurzpassage → Sollmaß → Ziellanghalt → Sollmaß → durchleiten → überführen	P01_DOSIEREN → P08_DURCHLASSEN → P03_AM_ZIEL_EINSETZEN → P12_BESTAND_REFERENZIEREN → P06_FORTSETZEN → P01_DOSIEREN → P01_DOSIEREN → P03_AM_ZIEL_EINSETZEN → P06_FORTSETZEN → P06_FORTSETZEN → P02_MATERIAL_GEBEN → P06_FORTSETZEN → P06_FORTSETZEN → P08_DURCHLASSEN → P01_DOSIEREN → P05_LANG_BEHANDELN → P01_DOSIEREN → P08_DURCHLASSEN → P07_UEBERFUEHREN	P01_DOSIEREN	Dosieren und einstellen	P08_DURCHLASSEN|P03_AM_ZIEL_EINSETZEN|P12_BESTAND_REFERENZIEREN|P06_FORTSETZEN|P02_MATERIAL_GEBEN|P05_LANG_BEHANDELN|P07_UEBERFUEHREN	Durchlassen und waschen | Am Ziel einsetzen | Bestand referenzieren | Fortsetzen und folgen | Material geben oder teilen | Lang behandeln oder wärmen | Überführen und umsetzen	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Stelle das Sollmaß ein; dann führe durch den Beckenlauf; dann setze an der Zielstelle ein; dann nimm aus der bezeichneten Quelle; dann führe den laufenden Gang fort; dann nimm eine Portion; dann nimm einen weiteren Anteil; dann binde die bezeichnete Stelle; dann führe den laufenden Gang fort; dann schließe am nächsten Abschnitt an; dann gib den Zusatz zu; dann führe denselben Ansatz weiter; dann führe den laufenden Gang fort; dann führe ihn kurz durch die Zielpassage; dann arbeite nach dem vorgeschriebenen Maß; dann setze ihn lange am Ziel ein; dann arbeite nach dem vorgeschriebenen Maß; dann leite den Posten hindurch; dann führe den Posten über.
B1-S003	B1	f81v	B1_SHARED_TWO_ROW_POOL	2	Fortsetzung → Umsetzschluss	P06_FORTSETZEN → P07_UEBERFUEHREN	P06_FORTSETZEN	Fortsetzen und folgen	P07_UEBERFUEHREN	Überführen und umsetzen	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Führe den laufenden Gang fort; dann setze um und schließe den Schritt.
B1-S004	B1	f81v	B1_SHARED_TWO_ROW_POOL	3	Umsetzen → Fortsetzung → Kurzabsetzung	P07_UEBERFUEHREN → P06_FORTSETZEN → P09_ABSETZEN_SAMMELN	P07_UEBERFUEHREN	Überführen und umsetzen	P06_FORTSETZEN|P09_ABSETZEN_SAMMELN	Fortsetzen und folgen | Absetzen und sammeln	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Setze den laufenden Posten um; dann führe den laufenden Gang fort; dann lass ihn kurz absetzen.
B1-S005	B1	f81v	B1_SHARED_TWO_ROW_POOL	1	weiterführen	P06_FORTSETZEN	P06_FORTSETZEN	Fortsetzen und folgen	NONE	KEINE	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Führe ihn weiter.
B1-S006	B1	f81v	B1_SHARED_TWO_ROW_POOL	4	Zugabe → durchleiten → Zusatz → Zielmarke	P02_MATERIAL_GEBEN → P08_DURCHLASSEN → P02_MATERIAL_GEBEN → P03_AM_ZIEL_EINSETZEN	P02_MATERIAL_GEBEN	Material geben oder teilen	P08_DURCHLASSEN|P03_AM_ZIEL_EINSETZEN	Durchlassen und waschen | Am Ziel einsetzen	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Gib einen Anteil zu; dann leite den Posten hindurch; dann gib den Zusatz zu; dann halte die Zielmarke ein.
B1-S007	B1	f81v	B1_SHARED_TWO_ROW_POOL	1	Neueinsatz	P03_AM_ZIEL_EINSETZEN	P03_AM_ZIEL_EINSETZEN	Am Ziel einsetzen	NONE	KEINE	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Setze einen neuen Posten ein.
B1-S008	B1	f81v	B1_SHARED_TWO_ROW_POOL	5	Diesposten → Fortsetzung → Kurzwärme → Fortsetzung → Kurzabsetzung	P12_BESTAND_REFERENZIEREN → P06_FORTSETZEN → P05_LANG_BEHANDELN → P06_FORTSETZEN → P09_ABSETZEN_SAMMELN	P06_FORTSETZEN	Fortsetzen und folgen	P12_BESTAND_REFERENZIEREN|P05_LANG_BEHANDELN|P09_ABSETZEN_SAMMELN	Bestand referenzieren | Lang behandeln oder wärmen | Absetzen und sammeln	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Halte diesen Posten aktiv; dann führe den laufenden Gang fort; dann wärme ihn kurz; dann führe den laufenden Gang fort; dann lass ihn kurz absetzen.
B1-S009	B1	f81v	B1_SHARED_TWO_ROW_POOL	1	Kurzkontakt	P04_KURZ_BEHANDELN	P04_KURZ_BEHANDELN	Kurz behandeln	NONE	KEINE	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Lass ihn kurz einwirken.
B1-S010	B1	f81v	B1_SHARED_TWO_ROW_POOL	1	Kurzkontakt	P04_KURZ_BEHANDELN	P04_KURZ_BEHANDELN	Kurz behandeln	NONE	KEINE	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Lass ihn kurz einwirken.
