procedure_id	procedure_position	statement_id	record_unit_id	event_ids	owner_zones	owner_break_inside_statement	continuous_reading_de
BP01	1	B1-S001	B1	E101	B1_SHARED_POOL_WORKSTATION	NO	Kurz ansetzen und den Schritt schließen.
BP01	2	B1-S002	B1	E102|E103|E104|E105|E106|E107|E108|E109|E110|E111|E112|E113|E114|E115|E116|E117|E118|E119|E120	B1_SHARED_POOL_WORKSTATION	NO	Bemessen, Wasser zufuehren und an die Stelle setzen; denselben Posten mit einer und einer weiteren Portion fortsetzen; weiter abkuehlen, weiterfuehren und einen weiteren Ansatz zugeben; kurz an der Durchlassstelle halten, auf Mass bringen, laenger an der Stelle halten, nochmals bemessen, durchfuehren, umsetzen und schliessen.
BP01	3	B1-S003	B1	E121|E122	B1_SHARED_POOL_WORKSTATION	NO	Fortsetzen, gebuendelt umsetzen und schliessen.
BP01	4	B1-S004	B1	E123|E124|E125	B1_SHARED_POOL_WORKSTATION	NO	Dies umsetzen, fortsetzen, absetzen und schließen.
BP02	1	B1-S005	B1	E126	B1_SHARED_POOL_WORKSTATION	NO	Den vorigen Gang weiterführen, überführen und schließen.
BP02	2	B1-S006	B1	E127|E128|E129|E130	B1_SHARED_POOL_WORKSTATION	NO	Eine Portion zugeben, durchfuehren, weiterfuehren und an der Stelle abkuehlen.
BP02	3	B1-S007	B1	E131	B1_SHARED_POOL_WORKSTATION	NO	Den Ansatz umsetzen; Schluss.
BP02	4	B1-S008	B1	E132|E133|E134|E135|E136	B1_SHARED_POOL_WORKSTATION	NO	Dies fortsetzen, kurz wärmen, weiterführen, absetzen und schließen.
BP03	1	B1-S009	B1	E137	B1_SHARED_POOL_WORKSTATION	NO	Kurz ansetzen; Schluss.
BP03	2	B1-S010	B1	E138	B1_SHARED_POOL_WORKSTATION	NO	Kurz ansetzen; Schluss.
BP03	3	B1-S011	B1	E139|E140	B1_SHARED_POOL_WORKSTATION	NO	Durch den Durchlass führen und dies verwenden.
BP03	4	B1-S012	B1	E141|E142|E143	B1_SHARED_POOL_WORKSTATION	NO	Den Waschgang kurz ansetzen und schliessen.
BP03	5	B1-S013	B1	E144	B1_SHARED_POOL_WORKSTATION	NO	Den Waschgang schliessen.
BP04	1	B1-S014	B1	E145|E146|E147|E148|E149	B1_SHARED_POOL_WORKSTATION	NO	Dies umsetzen, auffangen, zum Auslass fuehren, fortsetzen und danach von dort weitergehen.
BP04	2	B1-S015	B1	E150|E151	B1_SHARED_POOL_WORKSTATION	NO	Dies kurz fuellen, den Ansatz umsetzen und schliessen.
