scribe	record	event_position	event_id	statement_id	owner_de	exact_card_id	source_surface	registered_variants	rendered_surface	surface_changed	component_recipe	decoded_meaning_de	is_close	registered_and_same_card
S1_BARE	B2	1	E167	B2-S001	oberes Beckenpaar mit Zylinder	PROC076	dchedy	dchedy|schedy|tchedy	dchedy	NO	CHD+DY	UMSETZEN · SCHLUSS	YES	YES
S1_BARE	B2	2	E168	B2-S002	oberes Beckenpaar mit Zylinder	PROC079	qolchedy	olchedy|qolchedy	olchedy	YES	OL+CHD+DY	WEITER · UMSETZEN · SCHLUSS	YES	YES
S1_BARE	B2	3	E169	B2-S003	oberes Beckenpaar mit Zylinder	PROC080	qokain	okain|qokain	okain	YES	OK+AIN	ANSETZEN · PORTION	NO	YES
S1_BARE	B2	4	E170	B2-S003	oberes Beckenpaar mit Zylinder	PROC019	dy	chey|chy|dy|shy|sy|y	y	YES	Y	POSTEN	NO	YES
S1_BARE	B2	5	E171	B2-S003	oberes Beckenpaar mit Zylinder	PROC100	qokeedy	qokeedy	qokeedy	NO	OK+EE+DY	ANSETZEN · LANG · SCHLUSS	YES	YES
S1_BARE	B2	6	E172	B2-S004	oberes Beckenpaar mit Zylinder	PROC048	qokal	okal|qokal	okal	YES	OK+AL	ANSETZEN · ZIELSTELLE	NO	YES
S1_BARE	B2	7	E173	B2-S004	oberes Beckenpaar mit Zylinder	PROC101	lcheckhy	lcheckhy	lcheckhy	NO	L+CKH+Y	LEITEN · DURCHLASS · POSTEN	NO	YES
S1_BARE	B2	8	E174	B2-S004	oberes Beckenpaar mit Zylinder	PROC102	lched	lched	lched	NO	L+CHD	LEITEN · UMSETZEN	NO	YES
S1_BARE	B2	9	E175	B2-S004	oberes Beckenpaar mit Zylinder	PROC092	qokeey	okeey|qokeey	okeey	YES	OK+EE+Y	ANSETZEN · LANG · POSTEN	NO	YES
S1_BARE	B2	10	E176	B2-S004	oberes Beckenpaar mit Zylinder	PROC103	lcheckhedy	lcheckhedy	lcheckhedy	NO	L+CKH+E+DY	LEITEN · DURCHLASS · KURZ · SCHLUSS	YES	YES
