family_id	written_unit	scope	minimal_working_value_de	support_gdts	support_artifacts	support_summary_de	counterevidence_de	family_bonus	family_cap	selected_source_readings	selected_lexical_readings	selected_positions	selected_pages	selected_source_reading_ids	selected_surfaces	selected_v84_reading_ids	selected_v84_levels	automatic_historical_credit	historical_confirmation
F_STATE	CH/SH/K/T	family_bound_quality_shell	trocken/feucht/heiss/kalt	GDT647|GDT685	experiments/yolo/gdt647_quality_subdegree_family_migration/REPORT.md|experiments/yolo/gdt685_v58_ch_sh_t_ol_ansatz_dispatch/REPORT.md	Vier wiederkehrende Qualitaetsschalen mit eigenen Anfang/Mitte/Ende-Zellen; CH/SH/T+OL wurde auf 540 zugelassenen Positionen als Zustandsdispatch gelesen.	Die Schalen sind Arbeitstags und keine historisch bestaetigten freien Woerter; K/T koennen Qualitaet statt realer Erhitzungs- oder Kuehlhandlung bezeichnen.	4	59	9	9	24	16	olkar#1|shx#1|tolg#1|chckhy#1|shckhy#1|osheey#1|shoko#1|chokol#1|qoteed#1	chckhy|chokol|olkar|osheey|qoteed|shckhy|shoko|shx|tolg	chckhy#V84_1|chokol#V84_1|olkar#V84_1|osheey#V84_1|qoteed#V84_1|shckhy#V84_1|shoko#V84_1|shx#V84_1|tolg#V84_1	W1_WEAK_WORKING|W2_PROVISIONAL_WORKING	0	H0_NONE
F_STAGE	Y/EY/EEY/DY/EDY/EEDY	family_bound_stage_cell	Anfang/Mitte/Ende; D-Zelle erreicht oder abgeschlossen	GDT647|GDT689	experiments/yolo/gdt647_quality_subdegree_family_migration/REPORT.md|experiments/yolo/gdt689_v62_bound_dy_sister_endpoint_dispatch/REPORT.md	Beobachtete Schwesterzellen unterscheiden Anfang, Mitte, Ende und resultative D-Zellen.	Nacktes y/dy ist strukturell; die gebundene Endpunktlesung darf nicht als freies Suffix exportiert werden.	4	59	3	3	3	3	chckhy#1|shckhy#1|osheey#1	chckhy|osheey|shckhy	chckhy#V84_1|osheey#V84_1|shckhy#V84_1	W2_PROVISIONAL_WORKING	0	H0_NONE
F_O	O	bounded_preparation_frame	Ansatz- oder Zubereitungsrahmen	GDT652|GDT691|GDT692	experiments/yolo/gdt652_strict_v28_frontier_completion/REPORT.md|experiments/yolo/gdt691_preparation_head_role_dispatch/REPORT.md|experiments/yolo/gdt692_o_q_fraction_sister_compositor/REPORT.md	O bildet sichtbare Ansatzrahmen und Schwesterformen, wird aber nach Rolle als Kopf, Kontext oder Quelle gerendert.	O ist weder als Wasser noch als universeller Produktkopf bestaetigt; Kontextrelationen duerfen nicht zum Wortwert werden.	3	59	3	3	3	3	qoeeo#1|osheey#1|shoko#1	osheey|qoeeo|shoko	osheey#V84_1|qoeeo#V84_1|shoko#V84_1	W2_PROVISIONAL_WORKING	0	H0_NONE
F_AL	AL/DAL	family_bound_typed_terminal	Materialklasse I / abgemessene Menge dieser Klasse	GDT655|GDT656	experiments/yolo/gdt655_dal_al_measured_material_completion/REPORT.md|experiments/yolo/gdt656_al_quality_position_shell/REPORT.md	AL/DAL bilden eine I-III-Leiter und 18 verankerte Karten; 567 Zielpositionen wurden im gemeinsamen Klassen-/Messmodell gelesen.	Direkte freie d+al- oder a+l-Grenzen fehlen; Rohstoffform und gelerntes DAL-Ganzwort bleiben Rivalen.	8	59	2	2	2	2	oidal#1|dal#1	dal|oidal	dal#V84_1|oidal#V84_1	W1_WEAK_WORKING	0	H0_NONE
F_AM	AM/DAM	family_bound_measure_terminal	Mass I / abgemessenes Mass I	GDT661	experiments/yolo/gdt661_forty_eight_residual_family_completion/REPORT.md	AM/AIM/AIIM und DAM/DAIM/DAIIM bilden sichtbare Massleitern; AM und DAM besitzen 67/68 breitere V38-Vorkommen.	Am Zeilenende koennen beide zugleich schliessen; eine historische Einheit oder Dosisbezeichnung ist nicht identifiziert.	8	59	2	2	2	2	am#1|dam#1	am|dam	am#V84_1|dam#V84_1	W1_WEAK_WORKING	0	H0_NONE
F_R	AR/AIR/AIIR/AIIIR	family_bound_selected_share	Materialanteil I/II/III/IV	GDT693|GDT694	experiments/yolo/gdt693_ar_head_semantic_tournament/REPORT.md|experiments/yolo/gdt694_residual_fraction_share_migration/REPORT.md	Sechs R/N-Paare und die vollstaendige O/Q-Schwesterfamilie trennen Anteil von Wert und Portion; 79 aktive Anteilspositionen wurden terminologisch vereinheitlicht.	Stoffklasse bleibt Rivale; Anteil bezeichnet keine Destillationsfraktion und identifiziert den Stoff nicht.	8	59	1	1	16	11	olkar#1	olkar	olkar#V84_1	W2_PROVISIONAL_WORKING	0	H0_NONE
F_OR	OR	family_bound_portion_terminal	Portion	GDT654|GDT693	experiments/yolo/gdt654_ar_or_surface_consolidation/REPORT.md|experiments/yolo/gdt693_ar_head_semantic_tournament/REPORT.md	OR bleibt in den R/OR-Kontrasten der abgeteilte Portionskopf und wird nicht mit dem R-Anteil zusammengelegt.	Einheit und Stoffkopf der Portion koennen lokal offen bleiben; OR ist kein automatisch gezaehltes Zwei.	6	59	1	1	1	1	orom#1	orom	orom#V84_1	W2_PROVISIONAL_WORKING	0	H0_NONE
F_N	AIN/AIIN/AIIIN/DAIN/DAIIN	context_bound_value_terminal	Wert II/III/IV; lokal Grad oder Menge	GDT686	experiments/yolo/gdt686_v59_dain_daiin_qodaiin_value_head_dispatch/REPORT.md	Die geordnete Wertleiter ist stabil; GDT686 verteilt konkrete Grade und Mengen nur ueber sichtbare oder lokal gebundene Koepfe.	Der abstrakte Wortkern darf W2 erreichen; jede konkrete Achsenrealisation Grad oder Menge bleibt separat W1 und benachbarte Stoff- und Produktnamen gehoeren nicht in den Wortwert.	3	59	11	3	11	10	daiin#1|daiin#2|daiin#3|daiin#4|daiin#5|daiin#6|daiin#7|dain#1|dain#2|dain#3|qodaiin#1	daiin|dain|qodaiin	daiin#V84_CORE|dain#V84_CORE|qodaiin#V84_1	W1_WEAK_WORKING|W2_PROVISIONAL_WORKING	0	H0_NONE
F_CKH	CKH/CPH	learned_family_head	technisches Mischgut oder Kompositum	GDT651|GDT652	experiments/yolo/gdt651_ckh_four_shell_family_migration/REPORT.md|experiments/yolo/gdt652_strict_v28_frontier_completion/REPORT.md	Der gelernte Kopf steht in einem wiederholten Qualitaets- und Gradraster; 17/24 CKH-Zellen sind beobachtet und die O-Schwestern besitzen sichtbare Grenzen.	Arznei, konkrete Mischung und physische Bindung sind nicht unabhaengig identifiziert; der Kopf bleibt familiengebunden.	6	49	4	4	4	4	ckhol#1|qockhol#1|chckhy#1|shckhy#1	chckhy|ckhol|qockhol|shckhy	chckhy#V84_1|ckhol#V84_1|qockhol#V84_1|shckhy#V84_1	W2_PROVISIONAL_WORKING	0	H0_NONE
F_MATERIA	P/S/R/L/F/CTH	initial_or_family_bound_material_head	Pulver/Samen/Wurzel/Holz/Bluete/Krautmaterial	GDT635|GDT690	experiments/yolo/gdt635_initial_head_same_remainder_swaps/REPORT.md|experiments/yolo/gdt690_noun_ordinal_provenance_main_apparatus/REPORT.md	Initiale Schwesterkoepfe und der spaetere Nomenapparat bewahren wiederkehrende Materialklassen in kompletten Formen.	Die Werte sind keine freien Einzeichenuebersetzungen und bleiben bei Label- oder Readerkontexten occurrence-scoped.	4	59	1	1	16	11	olkar#1	olkar	olkar#V84_1	W2_PROVISIONAL_WORKING	0	H0_NONE
