folios,discovery_folios,held_folios,arrays_per_folio,cells_per_array,total_cells,medium_stable_detection_rate,null_any_pass_rate,medium_reversing_any_pass_rate,adequate
4,2,2,1,6,24,0.0,0.0,0.0,False
4,2,2,1,9,36,0.0,0.00390625,0.0,False
4,2,2,2,6,48,0.0,0.0,0.00390625,False
4,2,2,2,9,72,0.0078125,0.0,0.0,False
6,4,2,1,6,36,0.0,0.0,0.0,False
6,4,2,1,9,54,0.0078125,0.0,0.0,False
6,4,2,2,6,72,0.0,0.00390625,0.0,False
6,4,2,2,9,108,0.03125,0.0,0.0,False
8,6,2,1,6,48,0.00390625,0.0,0.0,False
8,6,2,1,9,72,0.015625,0.0,0.0,False
8,6,2,2,6,96,0.01953125,0.0,0.0,False
8,6,2,2,9,144,0.05859375,0.0,0.0,False
10,8,2,1,6,60,0.00390625,0.0,0.0,False
10,8,2,1,9,90,0.00390625,0.0,0.0,False
10,8,2,2,6,120,0.0,0.0,0.0,False
10,8,2,2,9,180,0.046875,0.0,0.0,False
12,10,2,1,6,72,0.0,0.0,0.0,False
12,10,2,1,9,108,0.00390625,0.0,0.0,False
12,10,2,2,6,144,0.00390625,0.0,0.0,False
12,10,2,2,9,216,0.07421875,0.0,0.0,False
