priority	hypothesis_family	route_status	formal_signature	held_endpoint	nearest_prior	distinctive_constraint	registered_failure
1	STATE_TRANSITION_FINGERPRINTS	NEW_COMPARATOR_FIRST_PRIMARY	operator identity is the opaque before-to-after grammatical-state distribution it induces	held-collection state-delta classification; then held-folio Voynich signature transfer	all surface-pattern and next-state routes	surface identity is never a detector feature; require cross-collection transition-vector transfer	fails if position, frequency, or exact identity explains the state delta
2	LOCAL_VALENCY_PREDICATE_HEAD	NEW_COMPARATOR_FIRST_PRIMARY	candidate head predicts number and arrangement of locally attached dependents	CoReMA parent_instruction_ordinal head/dependent/arity recovery on held collections	GDT373 VALENCY_RELATION_MARKERS; GDT345	parent links are oracle-only and hidden from all detector inputs	fails if held parent/arity recovery does not beat position and opaque-identity baselines
3	REF_ANAPHORA_ELLIPSIS_RECOVERY	NEW_COMPARATOR_FIRST_PRIMARY	current step is structurally incomplete but recoverable from prior-record identity/state	held REF and omitted-information recovery	GDT373 ANAPHORA_ELLIPSIS_REPEAT; GDT343	requires missing-information recovery, not mere token recurrence	fails if previous-record length/frequency or exact cache suffices
4	LONG_DISTANCE_CORRELATIVE_PAIRS	NEW_COMPARATOR_FIRST_PRIMARY	separated A...B candidates jointly delimit a scope and predict its terminal state	held paired-end completion and ALTERNATIVE-sensitive branch span	GDT373 PAIRED_CORRELATIVE_OPERATORS; GDT346	long-distance scope pair rather than same-field coordinate coupling	fails if pair co-occurrence follows independent marginals or record length
5	NEXT_RESUME_LOCAL_RESET	NEW_COMPARATOR_FIRST_PRIMARY	record/step initializer resumes a prior state or establishes a local reset	held REF/CLOSER-sensitive reset and downstream-state prediction	GDT373 RECORD_DISCOURSE_OPERATORS; GDT126	darnach is calibration analogy only; no lexical matching	fails if record ordinal and generic opener/closer position explain it
6	UNTIL_STATE_GATING	NEW_COMPARATOR_FIRST_PRIMARY	operator opens a bounded horizon ending at an intermediate-state transition	held TIME-sensitive gate endpoint and scope length	GDT373 TEMPORAL_PROCESS_OPERATORS	bis is calibration analogy only; requires state gate, not adjacency	fails if duration/position or record length explains the horizon
7	AND_VARIABLE_ARITY_CHAINS	NEW_COMPARATOR_FIRST_SECONDARY	same candidate repeats between homogeneous opaque units in X C Y C Z chains	held chain extension and arity	GDT373 COORDINATION_LIST_STRUCTURE	variable-arity homogeneous chain is distinct from one XY-to-XCY insertion	fails if repeated punctuation/field separators explain the chain
8	OR_BRANCH_RECONVERGENCE	NEW_COMPARATOR_FIRST_SECONDARY	two alternatives diverge from a shared state and reconverge to a shared downstream state	held ALTERNATIVE branch and reconvergence	GDT373 OR_LIKE_MUTUAL_EXCLUSION; GDT311	requires branch-and-reconverge, not simple X C Y or mutual exclusion alone	fails if alternatives are register variants or lack reconvergence
9	POLARITY_NEGATION_INVERSE_TRANSITION	NEW_COMPARATOR_FIRST_SECONDARY	marked transition approximates the inverse of an unmarked state-change vector	held inverse-vector direction and exclusion sensitivity	GDT373 MARKEDNESS_NEGATION_EXCLUSION	not N+X and no negation gloss until comparator transfer	fails if rarity or host licensing explains the inverse-like vector
10	COMPOSITIONAL_POINTER_RELATION_PARADIGMS	NEW_COMPARATOR_FIRST_SECONDARY	pointer-like and relation-like anonymous operators combine productively across referents	held unseen pointer-by-relation combination and REF/parent sensitivity	GDT373 DEIXIS_REFERENCE; ASSIGNMENT_EQUATION_POSSESSION	dar- is analogy only; glyph identities forbidden	fails without unseen-base factorial transfer
11	EXCLUDE_WITHOUT	NEW_COMPARATOR_FIRST_SECONDARY	candidate removes or blocks an otherwise expected entity/state within a bounded scope	held CoReMA exclusion annotation recovery	GDT373 MARKEDNESS_NEGATION_EXCLUSION	directly calibrated on exclusion oracle, distinct from polarity inverse	fails if excluded entity identity or local content frequency explains it
12	LIKE_AS_SAME_COMPARISON	NEW_COMPARATOR_FIRST_SECONDARY	candidate establishes symmetric analogy/comparison relation between opaque entities/states	held analogy and comparison annotation recovery	GDT373 COMPARISON_EQUALITY_RANGE; ANALOGY_PARADIGM_RELATIONS	direct comparator oracle; no equality or lexical gloss	fails if repeated entity identity or fixed record position explains it
13	FUNCTION_WORD_INFORMATION_BOTTLENECK	NEW_COMPARATOR_FIRST_DIAGNOSTIC	candidate has high information about structural state but low information about local opaque content identity	held structural-information minus content-information contrast	GDT373 OPEN_CLOSED_CLASS_DIAGNOSTICS	information bottleneck is a detector family, not a POS claim	fails if exact identity or global frequency carries the apparent signal
14	SCOPE_LENGTH_HORIZON	NEW_COMPARATOR_FIRST_DIAGNOSTIC	candidate predicts the distance and closure class of its affected downstream span	held horizon length/closure prediction	GDT373 HIERARCHICAL_SPACE_ATTACHMENT_SCOPE	scope length is the fingerprint; surface and semantic labels are hidden	fails if source record length and position suffice
15	LATENT_PROCEDURAL_AUTOMATON	NEW_COMPARATOR_FIRST_PRIMARY	low-state ordered automaton START-ACTION-ARGUMENT*-CONDITION/STATE/NEXT-CLOSE inferred without role labels	held-collection latent-state path and hidden-role recovery	GDT340-GDT344; GDT373 TEMPORAL_PROCESS_OPERATORS	states are anonymous until oracle evaluation and remain anonymous on Voynich	fails if order-only nuisance matches the state path
16	VARIABLE_RECORD_REWRITES	LEGACY_BROAD_CONSTRAINED	X<->NX; X<->XN; XY<->XCY; AXB<->APXQB over atomic tuple records	held exact/near-exact record counterpart after training-only rewrite discovery	GDT003;GDT345	Retained as a separate broad GDT373 family; the new comparator-derived families above are not subnotes. differs by record and boundary conditioning; no character edits or target-state features	fails if gain is explained by tuple frequency, placement, or exact predecessor
17	HIERARCHICAL_SPACE_ATTACHMENT_SCOPE	LEGACY_BROAD_CONSTRAINED	same tuple rewrite at source-native separator and reset scopes	held scope choice and affected-span prediction	GDT126;GDT273;CHE_JOIN_SPACE_ARCHIVE	Retained as a separate broad GDT373 family; the new comparator-derived families above are not subnotes. new only for transferable rewrite span; marginal space association is duplicate	fails without cross-scope transfer or if source length explains span
18	RECORD_DISCOURSE_OPERATORS	LEGACY_BROAD_CONSTRAINED	prior-record-conditioned continuation, resumption, restart, or shortening	held next-record length/boundary/rewrite class	GDT120;GDT125;GDT126	Retained as a separate broad GDT373 family; the new comparator-derived families above are not subnotes. distinct from weak OPEN profile selection by exact variable rewrite endpoint	fails if record ordinal and page profile suffice
19	VALENCY_RELATION_MARKERS	LEGACY_BROAD_CONSTRAINED	operator changes count or arrangement of opaque dependent fields	held arity delta conditional on source record and layout	GDT143-GDT148;GDT345	Retained as a separate broad GDT373 family; the new comparator-derived families above are not subnotes. no visual relation or PAGE_HOST content; source-side structural arity only	fails if operator has no reusable arity signature
20	COORDINATION_LIST_STRUCTURE	LEGACY_BROAD_CONSTRAINED	symmetric tuple/field insertion, parallel repeat, or list extension	held parallel-branch or repeat completion	GDT273;GDT341-GDT343	Retained as a separate broad GDT373 family; the new comparator-derived families above are not subnotes. record rewrite not semantic event flow or first-order field chain	fails if apparent symmetry is length/position recurrence
