new_family	related_gdt373_families	distinct_family	why_not_a_subnote	comparator_oracle_endpoint
STATE_TRANSITION_FINGERPRINTS	VARIABLE_RECORD_REWRITES;TEMPORAL_PROCESS_OPERATORS	YES	surface identity is never a detector feature; require cross-collection transition-vector transfer	held-collection state-delta classification; then held-folio Voynich signature transfer
LOCAL_VALENCY_PREDICATE_HEAD	VALENCY_RELATION_MARKERS;ACTION_IMPERATIVE_HEADS	YES	parent links are oracle-only and hidden from all detector inputs	CoReMA parent_instruction_ordinal head/dependent/arity recovery on held collections
REF_ANAPHORA_ELLIPSIS_RECOVERY	ANAPHORA_ELLIPSIS_REPEAT;DEIXIS_REFERENCE	YES	requires missing-information recovery, not mere token recurrence	held REF and omitted-information recovery
LONG_DISTANCE_CORRELATIVE_PAIRS	PAIRED_CORRELATIVE_OPERATORS;CONDITIONAL_BRANCHING	YES	long-distance scope pair rather than same-field coordinate coupling	held paired-end completion and ALTERNATIVE-sensitive branch span
NEXT_RESUME_LOCAL_RESET	RECORD_DISCOURSE_OPERATORS;DEIXIS_REFERENCE	YES	darnach is calibration analogy only; no lexical matching	held REF/CLOSER-sensitive reset and downstream-state prediction
UNTIL_STATE_GATING	TEMPORAL_PROCESS_OPERATORS;HIERARCHICAL_SPACE_ATTACHMENT_SCOPE	YES	bis is calibration analogy only; requires state gate, not adjacency	held TIME-sensitive gate endpoint and scope length
AND_VARIABLE_ARITY_CHAINS	COORDINATION_LIST_STRUCTURE	YES	variable-arity homogeneous chain is distinct from one XY-to-XCY insertion	held chain extension and arity
OR_BRANCH_RECONVERGENCE	OR_LIKE_MUTUAL_EXCLUSION;CONDITIONAL_BRANCHING	YES	requires branch-and-reconverge, not simple X C Y or mutual exclusion alone	held ALTERNATIVE branch and reconvergence
POLARITY_NEGATION_INVERSE_TRANSITION	MARKEDNESS_NEGATION_EXCLUSION	YES	not N+X and no negation gloss until comparator transfer	held inverse-vector direction and exclusion sensitivity
COMPOSITIONAL_POINTER_RELATION_PARADIGMS	DEIXIS_REFERENCE;ASSIGNMENT_EQUATION_POSSESSION	YES	dar- is analogy only; glyph identities forbidden	held unseen pointer-by-relation combination and REF/parent sensitivity
EXCLUDE_WITHOUT	MARKEDNESS_NEGATION_EXCLUSION	YES	directly calibrated on exclusion oracle, distinct from polarity inverse	held CoReMA exclusion annotation recovery
LIKE_AS_SAME_COMPARISON	COMPARISON_EQUALITY_RANGE;ANALOGY_PARADIGM_RELATIONS	YES	direct comparator oracle; no equality or lexical gloss	held analogy and comparison annotation recovery
FUNCTION_WORD_INFORMATION_BOTTLENECK	OPEN_CLOSED_CLASS_DIAGNOSTICS	YES	information bottleneck is a detector family, not a POS claim	held structural-information minus content-information contrast
SCOPE_LENGTH_HORIZON	HIERARCHICAL_SPACE_ATTACHMENT_SCOPE;EMBEDDING_COMPLEMENTIZERS	YES	scope length is the fingerprint; surface and semantic labels are hidden	held horizon length/closure prediction
LATENT_PROCEDURAL_AUTOMATON	TEMPORAL_PROCESS_OPERATORS;RECORD_DISCOURSE_OPERATORS	YES	states are anonymous until oracle evaluation and remain anonymous on Voynich	held-collection latent-state path and hidden-role recovery
