hypothesis_family	hidden_oracle_endpoints	form_blind_signature	development_protocol	transfer_rule
STATE_TRANSITION_FINGERPRINTS	ALL_HIDDEN_CLASSES	before/after recurrence-state delta; downstream novelty/return/closure horizon	leave-one-CoReMA-collection-out; train on five only	transfer only if structure beats nuisance and opaque-identity baselines in >=4 held collections
LOCAL_VALENCY_PREDICATE_HEAD	PREDICATE_HEAD_WITH_DEPENDENTS;PARENTED_DEPENDENT;HIGH_VALENCY_HEAD	local dependent density and repeated-entity attachment; parent links hidden	leave-one-CoReMA-collection-out; train on five only	transfer only if structure beats nuisance and opaque-identity baselines in >=4 held collections
REF_ANAPHORA_ELLIPSIS_RECOVERY	REF	previous-record overlap, omitted/recovered identities, recurrence horizon	leave-one-CoReMA-collection-out; train on five only	transfer only if structure beats nuisance and opaque-identity baselines in >=4 held collections
LONG_DISTANCE_CORRELATIVE_PAIRS	ALTERNATIVE	separated recurrent endpoint pair, scope length, paired completion	leave-one-CoReMA-collection-out; train on five only	transfer only if structure beats nuisance and opaque-identity baselines in >=4 held collections
NEXT_RESUME_LOCAL_RESET	REF;CLOSER	record-boundary reset/resumption and following-state delta	leave-one-CoReMA-collection-out; train on five only	transfer only if structure beats nuisance and opaque-identity baselines in >=4 held collections
UNTIL_STATE_GATING	TIME	bounded horizon and intermediate-state closure	leave-one-CoReMA-collection-out; train on five only	transfer only if structure beats nuisance and opaque-identity baselines in >=4 held collections
AND_VARIABLE_ARITY_CHAINS	PARENTED_DEPENDENT	homogeneous repeated chain and variable arity	leave-one-CoReMA-collection-out; train on five only	transfer only if structure beats nuisance and opaque-identity baselines in >=4 held collections
OR_BRANCH_RECONVERGENCE	ALTERNATIVE	shared predecessor, alternative paths, shared downstream reconvergence	leave-one-CoReMA-collection-out; train on five only	transfer only if structure beats nuisance and opaque-identity baselines in >=4 held collections
POLARITY_NEGATION_INVERSE_TRANSITION	EXCLUSION	inverse transition-vector similarity	leave-one-CoReMA-collection-out; train on five only	transfer only if structure beats nuisance and opaque-identity baselines in >=4 held collections
COMPOSITIONAL_POINTER_RELATION_PARADIGMS	REF;PARENTED_DEPENDENT	cross-identity pointer/relation combination	leave-one-CoReMA-collection-out; train on five only	transfer only if structure beats nuisance and opaque-identity baselines in >=4 held collections
EXCLUDE_WITHOUT	EXCLUSION	expected-identity deficit inside bounded scope	leave-one-CoReMA-collection-out; train on five only	transfer only if structure beats nuisance and opaque-identity baselines in >=4 held collections
LIKE_AS_SAME_COMPARISON	ANALOGY;COMPARISON	symmetric repeated-entity relation and shared-state path	leave-one-CoReMA-collection-out; train on five only	transfer only if structure beats nuisance and opaque-identity baselines in >=4 held collections
FUNCTION_WORD_INFORMATION_BOTTLENECK	ANY_FUNCTIONAL_CLASS	structural-state information minus local opaque-identity information	leave-one-CoReMA-collection-out; train on five only	transfer only if structure beats nuisance and opaque-identity baselines in >=4 held collections
SCOPE_LENGTH_HORIZON	ALTERNATIVE;TIME;REF	downstream affected-span length and closure	leave-one-CoReMA-collection-out; train on five only	transfer only if structure beats nuisance and opaque-identity baselines in >=4 held collections
LATENT_PROCEDURAL_AUTOMATON	ANY_FUNCTIONAL_CLASS	anonymous ordered state path; oracle names hidden until evaluation	leave-one-CoReMA-collection-out; train on five only	transfer only if structure beats nuisance and opaque-identity baselines in >=4 held collections
