pair_id	target_surface	signed_offset	side	distance	neighbor_surface	selected_contact_occurrences	guarded_reader_exact_pair_occurrences	guarded_zl3b_pair_occurrences	raw_only_repeat_control	guarded_reader_exact_pair_loci	guarded_pages	selected_roles	pair_recurrence_decision	lexeme_or_component_export
G740-P001	lain	-2	L	2	qokeey	1	1	1	0	f116r.17@5>3	1	AXIS	UNIQUE_RADIUS_TWO_PAIR	0
G740-P002	lain	-1	L	1	cheal	1	1	1	0	f111v.31@5>4	1	AXIS+CARRIER	UNIQUE_DIRECT_PAIR	0
G740-P003	lain	-1	L	1	ols	1	1	1	0	f46r.13@8>7	1	CARRIER	UNIQUE_DIRECT_PAIR	0
G740-P004	lcheedy	-1	L	1	qokaly	1	1	1	0	f103r.47@6>5	1	CARRIER	UNIQUE_DIRECT_PAIR	0
G740-P005	lcheedy	-1	L	1	sheeo	1	1	1	0	f104v.20@3>2	1	CARRIER	UNIQUE_DIRECT_PAIR	0
G740-P006	lcheol	-1	L	1	chckhedy	1	1	1	0	f111v.23@6>5	1	AXIS+CARRIER	UNIQUE_DIRECT_PAIR	0
G740-P007	lcheol	1	R	1	kchedy	1	1	1	0	f79r.34@1>2	1	AXIS	UNIQUE_DIRECT_PAIR	0
G740-P008	lcheol	2	R	2	dchdy	1	1	1	0	f78v.17@4>6	1	AXIS+CARRIER	UNIQUE_RADIUS_TWO_PAIR	0
G740-P009	lkaiin	-2	L	2	cthdy	1	1	1	0	f86v6.36@8>6	1	CARRIER	UNIQUE_RADIUS_TWO_PAIR	0
G740-P010	lkaiin	-2	L	2	oaiin	1	1	1	0	f113r.46@3>1	1	AXIS+CARRIER	UNIQUE_RADIUS_TWO_PAIR	0
G740-P011	lkaiin	-2	L	2	okeedy	1	1	1	0	f105r.15@7>5	1	AXIS	UNIQUE_RADIUS_TWO_PAIR	0
G740-P012	lkaiin	-2	L	2	qokeey	1	1	1	0	f107r.8@6>4	1	AXIS	UNIQUE_RADIUS_TWO_PAIR	0
G740-P013	lkaiin	-2	L	2	ykar	1	1	1	0	f76r.44@6>4	1	AXIS	UNIQUE_RADIUS_TWO_PAIR	0
G740-P014	lkaiin	-1	L	1	alol	1	1	1	0	f76r.44@6>5	1	CARRIER	UNIQUE_DIRECT_PAIR	0
G740-P015	lkaiin	-1	L	1	cheo	1	1	1	0	f104v.13@8>7	1	CARRIER	UNIQUE_DIRECT_PAIR	0
G740-P016	lkaiin	-1	L	1	ochedy	1	1	1	0	f107v.3@10>9	1	CARRIER	UNIQUE_DIRECT_PAIR	0
G740-P017	lkaiin	-1	L	1	olkain	1	1	1	0	f107v.24@5>4	1	AXIS+CARRIER	UNIQUE_DIRECT_PAIR	0
G740-P018	lkaiin	-1	L	1	otcho	1	1	1	0	f86v5.18@5>4	1	CARRIER	UNIQUE_DIRECT_PAIR	0
G740-P019	lkaiin	-1	L	1	qoeeo	1	1	1	0	f105v.37@5>4	1	AXIS+CARRIER	UNIQUE_DIRECT_PAIR	0
