passage_id	page	locus	section	language	focal_surfaces	zl3b_line	gdt739_target_renders_de	gdt740_target_renders_de	attachment_tiers	manual_visual_verdict	manual_reason	cellwise_audit_display_de	reader_note
G739-R01	f111v	f111v.31	S	B	lain|lkain	pochey oteain chekain cheal lain chey qokain chey lkain chal ldy llm	lain → interner Trockenheitsgrad II des Materials || lkain → Skalarstufe II; Dimension offen	lain → interner Trockenheitsgrad II des Materials || lkain → Skalarstufe II; Dimension offen	lain=ATTACHED_SUPPORTED || lkain=NO_SELECTED_HOST	KEEP_FIRST_TARGET_ONLY	Direct cheal-lain supports the first target; the later lkain must not borrow it.	[pochey:?]; [oteain:?]; bis zur Mittelstufe trocknen, dann auf Stufe II erhitzen; Rohstoffklasse I, bis zur Mittelstufe getrocknet; interner Trockenheitsgrad II des Materials; [chey:?]; [qokain:?]; [chey:?]; Skalarstufe II; Dimension offen; [chal:?]; [ldy:?]; [llm:?]	semicolon-separated cellwise working defaults; no clause or attachment is implied outside the focal target; unsupported or retired-patient cells remain [surface:?]
G739-R02	f46r	f46r.13	H	B	lain	ar akaiin shol okeey chol dar ols lain y	lain → interne Skalarstufe II des Materials; Dimension offen	lain → interne Skalarstufe II des Materials; Dimension offen	lain=ATTACHED_SUPPORTED	KEEP_CARRIER_ONLY	Direct ols-lain plausibly supplies a broad material carrier but no scalar axis.	[ar:?]; heiße Rohstoffportion, Stufe III; [shol:?]; [okeey:?]; [chol:?]; [dar:?]; Drogenstoffposten; interne Skalarstufe II des Materials; Dimension offen; [y:?]	semicolon-separated cellwise working defaults; no clause or attachment is implied outside the focal target; unsupported or retired-patient cells remain [surface:?]
G739-R03	f104v	f104v.20	S	B	lcheedy	or sheeo lcheedy qokeey qochey qotcheedy qotchedy qokol chor chorol chdar otam	lcheedy → Resultat-/Endstufe II der Zubereitung; Zustandsachse offen	lcheedy → Zustandsstufe II der Zubereitung; Zustandsachse offen	lcheedy=KEEP_CARRIER_ONLY	KEEP_CARRIER_ONLY	Direct preparation carrier is coherent; result/end is not independently attached and returns to state.	[or:?]; vollständig eingeweichter Ansatz; Zustandsstufe II der Zubereitung; Zustandsachse offen; vollständig erhitzt; [qochey:?]; kalt und trocken, Endstufe erreicht; abgeschlossen; [qotchedy:?]; erhitzen; [chor:?]; [chorol:?]; [chdar:?]; [otam:?]	semicolon-separated cellwise working defaults; no clause or attachment is implied outside the focal target; unsupported or retired-patient cells remain [surface:?]
G739-R04	f107v	f107v.12	S	B	lcheol	qokeey lcheol chol kaiin olkal shedy qokaly odar choty qokaiin otam	lcheol → Statusfeld; Zustandsachse offen; Träger offen	lcheol → Statusfeld; Zustandsachse offen; Träger offen	lcheol=NO_SELECTED_HOST	KEEP_OPEN	Hot neighbors do not license the favored dry axis.	vollständig erhitzt; Statusfeld; Zustandsachse offen; Träger offen; [chol:?]; heiß, Grad III; [olkal:?]; [shedy:?]; erhitze Rohdroge I leicht und schließe ab; Anteil I abmessen; kalter Trockenansatz; [qokaiin:?]; [otam:?]	semicolon-separated cellwise working defaults; no clause or attachment is implied outside the focal target; unsupported or retired-patient cells remain [surface:?]
G739-R05	f78v	f78v.17	B	B	lcheol	qol sheedy qol lcheol lchdy dchdy da qar olkal dy	lcheol → Trockenstatus des Materials	lcheol → Statusfeld; Zustandsachse offen; Träger offen	lcheol=NEAR_ONLY_HOLD	DOWNGRADE_RADIUS_TWO	The dry host lies behind an independently emitted intervening cell.	[qol:?]; [sheedy:?]; [qol:?]; Statusfeld; Zustandsachse offen; Träger offen; [lchdy:?]; Trockendroge abmessen und fertigstellen; [da:?]; [qar:?]; [olkal:?]; [dy:?]	semicolon-separated cellwise working defaults; no clause or attachment is implied outside the focal target; unsupported or retired-patient cells remain [surface:?]
G739-R06	f103r	f103r.9	S	B	lkaiin	oteeos ar cheal okeey shey lkaiin shey lkeor otaiin shedy otey l dy okeedaram	lkaiin → Skalarstufe III; Dimension offen	lkaiin → Skalarstufe III; Dimension offen	lkaiin=NO_SELECTED_HOST	KEEP_OPEN	Moist direct context and hot radius-two context do not select a clean axis.	[oteeos:?]; [ar:?]; Rohstoffklasse I, bis zur Mittelstufe getrocknet; [okeey:?]; [shey:?]; Skalarstufe III; Dimension offen; [shey:?]; [lkeor:?]; [otaiin:?]; [shedy:?]; bis zur Mittelstufe abgekühlter Ansatz; [l:?]; [dy:?]; [okeedaram:?]	semicolon-separated cellwise working defaults; no clause or attachment is implied outside the focal target; unsupported or retired-patient cells remain [surface:?]
G739-R07	f80r	f80r.52	B	B	lkaiin	sol tl shey qoklcheey lkaiin ol olor aiin y daiin cheol kain	lkaiin → Skalarstufe III; Dimension offen	lkaiin → Skalarstufe III; Dimension offen	lkaiin=NO_SELECTED_HOST	KEEP_OPEN	No selecting host reaches the target.	[sol:?]; [tl:?]; [shey:?]; [qoklcheey:?]; Skalarstufe III; Dimension offen; [ol:?]; Zutat; [aiin:?]; [y:?]; [daiin:?]; [cheol:?]; [kain:?]	semicolon-separated cellwise working defaults; no clause or attachment is implied outside the focal target; unsupported or retired-patient cells remain [surface:?]
G739-R08	f76r	f76r.44	T	B	lkaiin	poleedaran shckhy qoty ykar alol lkaiin ol shedy otain okar opar kolpy	lkaiin → Mengen-/Portionsstufe III des Materials	lkaiin → Skalarstufe III des Materials; Dimension offen	lkaiin=ATTACHED_SUPPORTED	KEEP_CARRIER_ONLY	Direct material carrier survives; the amount cue lies behind another unit.	[poleedaran:?]; [shckhy:?]; [qoty:?]; nimm hiervon die erste erhitzte Drogenfraktion; Drogenstoff aus Rohdroge I; Skalarstufe III des Materials; Dimension offen; [ol:?]; [shedy:?]; [otain:?]; [okar:?]; [opar:?]; [kolpy:?]	semicolon-separated cellwise working defaults; no clause or attachment is implied outside the focal target; unsupported or retired-patient cells remain [surface:?]
G739-R09	f76r	f76r.9	T	B	lkar|lkain	shed al shckhy r ain chcphedy ain olkeey lkar ain otchy lkain chedy dar daly	lkar → Skalarstufe I; Dimension offen || lkain → Skalarstufe II; Dimension offen	lkar → Skalarstufe I; Dimension offen || lkain → Skalarstufe II; Dimension offen	lkar=NO_SELECTED_HOST || lkain=NO_SELECTED_HOST	KEEP_OPEN	Quality amount and part cues do not form one target microentry.	Einweichen bis zur mittleren Stufe abschließen; [al:?]; [shckhy:?]; [r:?]; [ain:?]; Arzneikompositum bis zur Mittelstufe trocknen und abschließen; [ain:?]; [olkeey:?]; Skalarstufe I; Dimension offen; [ain:?]; [otchy:?]; Skalarstufe II; Dimension offen; [chedy:?]; [dar:?]; abgewogener Rohstoffposten I, Grundform	semicolon-separated cellwise working defaults; no clause or attachment is implied outside the focal target; unsupported or retired-patient cells remain [surface:?]
G739-R10	f86v3	f86v3.20	C	B	lkar	lshodair ykcho dar chody ykeeody qochey chckhey lkar ary	lkar → Mengen-/Portionsstufe I des Materialteils	lkar → Mengen-/Portionsstufe I des Materialteils	lkar=ATTACHED_PROVISIONAL_REVERSE	KEEP_DIRECT	The immediate scalar-to-material contact is locally coherent but remains reverse-order provisional.	[lshodair:?]; [ykcho:?]; [dar:?]; [chody:?]; [ykeeody:?]; [qochey:?]; Arzneikompositum: bis zur Mittelstufe getrocknet; Mengen-/Portionsstufe I des Materialteils; Drogenfraktion I, abgeschlossen	semicolon-separated cellwise working defaults; no clause or attachment is implied outside the focal target; unsupported or retired-patient cells remain [surface:?]
