attachment_contact_id	window_id	dispatch_id	patch_id	occurrence_id	page	locus	target_ordinal	target_surface	opaque_head_id	line_position	selected_roles	side	signed_offset	distance	neighbor_ordinal	neighbor_surface	neighbor_semantic_value_de	neighbor_axis_tags	neighbor_scalar_host_types	ordered_pair_key	manuscript_order_full_frame	guarded_reader_exact_pair_occurrences	guarded_reader_exact_full_frame_occurrences	guarded_zl3b_pair_occurrences	raw_only_repeat_control	guarded_reader_exact_pair_loci	expected_host_side_from_formal_role	formal_role_direction_match	historical_order_prior	intervening_surface	intervening_practical_unit_role	intervening_unknown_v99r7	intervening_emits_own_unit	intervening_strict_initial_head	intervening_another_gdt738_target	target_practical_unit_layer	target_practical_unit_id	target_practical_unit_role	neighbor_practical_unit_layer	neighbor_practical_unit_id	neighbor_practical_unit_role	shared_bound_practical_span	attachment_decision	axis_role_retained	carrier_role_retained	renderer_role_retained	scope	literal_plaintext_claimed	component_export_credit	pair_id
G740-C0001	G739-N00004	G739-D0001	G738-P0001	G737-O0258	f111v	f111v.31	5	lain	H4	MIDDLE	AXIS+CARRIER	L	-1	1	4	cheal	Rohstoffklasse I, trocken in der Gradmitte	DRY|VALUE|MATERIAL	QUALITY_DEGREE	lain@-1@cheal	cheal lain	1	1	1	0	f111v.31@5>4	L	1	LEFT_HOST_PRIMARY_MICROENTRY	NONE	NOT_APPLICABLE	NA	0	0	0	SINGLE_CELL_UNIT	SELF	EMIT_CELL_ONCE	SINGLE_CELL_UNIT	SELF	EMIT_CELL_ONCE	0	SUPPORTED_DIRECTION_DIRECT	1	1	1	THIS_COMPLETE_WHOLE_AT_THIS_ENUMERATED_OCCURRENCE_ONLY	0	0	G740-P002
G740-C0002	G739-N00017	G739-D0003	G738-P0003	G737-O0407	f116r	f116r.17	5	lain	H4	MIDDLE	AXIS	L	-2	2	3	qokeey	heiß am Ende des Grades	HOT|VALUE	QUALITY_DEGREE	lain@-2@qokeey	qokeey okeey lain	1	1	1	0	f116r.17@5>3	L	1	LEFT_HOST_PRIMARY_MICROENTRY	okeey	EMIT_CELL_ONCE	0	1	0	0	SINGLE_CELL_UNIT	SELF	EMIT_CELL_ONCE	SINGLE_CELL_UNIT	SELF	EMIT_CELL_ONCE	0	NEAR_ONLY_HOLD	1	0	1	THIS_COMPLETE_WHOLE_AT_THIS_ENUMERATED_OCCURRENCE_ONLY	0	0	G740-P001
G740-C0003	G739-N00026	G739-D0004	G738-P0004	G737-O0502	f46r	f46r.13	8	lain	H4	MIDDLE	CARRIER	L	-1	1	7	ols	Drogenstoffposten	MATERIAL	NONE	lain@-1@ols	ols lain	1	1	1	0	f46r.13@8>7	L	1	LEFT_HOST_PRIMARY_MICROENTRY	NONE	NOT_APPLICABLE	NA	0	0	0	SINGLE_CELL_UNIT	SELF	EMIT_CELL_ONCE	SINGLE_CELL_UNIT	SELF	EMIT_CELL_ONCE	0	SUPPORTED_DIRECTION_DIRECT	0	1	1	THIS_COMPLETE_WHOLE_AT_THIS_ENUMERATED_OCCURRENCE_ONLY	0	0	G740-P003
G740-C0004	G739-N00032	G739-D0005	G738-P0005	G737-O0026	f103r	f103r.47	6	lcheedy	H4	MIDDLE	CARRIER	L	-1	1	5	qokaly	erhitze Rohdroge I leicht und schließe ab	HOT|MATERIAL|PROCESS	NONE	lcheedy@-1@qokaly	qokaly lcheedy	1	1	1	0	f103r.47@6>5	L	1	LEFT_HOST_PRIMARY_MICROENTRY	NONE	NOT_APPLICABLE	NA	0	0	0	SINGLE_CELL_UNIT	SELF	EMIT_CELL_ONCE	SINGLE_CELL_UNIT	SELF	EMIT_CELL_ONCE	0	SUPPORTED_DIRECTION_DIRECT	0	1	1	THIS_COMPLETE_WHOLE_AT_THIS_ENUMERATED_OCCURRENCE_ONLY	0	0	G740-P004
G740-C0005	G739-N00035	G739-D0006	G738-P0006	G737-O0072	f104v	f104v.20	3	lcheedy	H4	MIDDLE	CARRIER	L	-1	1	2	sheeo	vollständig eingeweichter Ansatz	PREPARATION	NONE	lcheedy@-1@sheeo	sheeo lcheedy	1	1	1	0	f104v.20@3>2	L	1	LEFT_HOST_PRIMARY_MICROENTRY	NONE	NOT_APPLICABLE	NA	0	0	0	SINGLE_CELL_UNIT	SELF	EMIT_CELL_ONCE	SINGLE_CELL_UNIT	SELF	EMIT_CELL_ONCE	0	SUPPORTED_DIRECTION_DIRECT	0	1	1	THIS_COMPLETE_WHOLE_AT_THIS_ENUMERATED_OCCURRENCE_ONLY	0	0	G740-P005
G740-C0006	G739-N00078	G739-D0013	G738-P0013	G737-O0251	f111v	f111v.23	6	lcheol	H4	MIDDLE	AXIS+CARRIER	L	-1	1	5	chckhedy	Arzneikompositum: trocken, Gradmitte, abgeschlossen	DRY|VALUE|PREPARATION|CLOSE	QUALITY_DEGREE	lcheol@-1@chckhedy	chckhedy lcheol	1	1	1	0	f111v.23@6>5	L	1	LEFT_HOST_PRIMARY_MICROENTRY	NONE	NOT_APPLICABLE	NA	0	0	0	SINGLE_CELL_UNIT	SELF	EMIT_CELL_ONCE	SINGLE_CELL_UNIT	SELF	EMIT_CELL_ONCE	0	SUPPORTED_DIRECTION_DIRECT	0	1	1	THIS_COMPLETE_WHOLE_AT_THIS_ENUMERATED_OCCURRENCE_ONLY	0	0	G740-P006
G740-C0007	G739-N00091	G739-D0015	G738-P0015	G737-O0632	f78v	f78v.17	4	lcheol	H4	MIDDLE	AXIS+CARRIER	R	2	2	6	dchdy	Trockendroge abmessen und fertigstellen	DRY|AMOUNT|MATERIAL|PROCESS|CLOSE	AMOUNT_DOSE	lcheol@+2@dchdy	lcheol lchdy dchdy	1	0	1	0	f78v.17@4>6	L	0	RIGHT_SCOPE_OR_INVERSION_POSSIBLE	lchdy	EMIT_CELL_ONCE	0	1	1	0	SINGLE_CELL_UNIT	SELF	EMIT_CELL_ONCE	SINGLE_CELL_UNIT	SELF	EMIT_CELL_ONCE	0	NEAR_ONLY_HOLD	0	0	0	THIS_COMPLETE_WHOLE_AT_THIS_ENUMERATED_OCCURRENCE_ONLY	0	0	G740-P008
G740-C0008	G739-N00095	G739-D0016	G738-P0016	G737-O0649	f79r	f79r.34	1	lcheol	H4	FIRST	AXIS	R	1	1	2	kchedy	heiß und trocken in der Mitte des Grades, abgeschlossen	HOT|DRY|VALUE|CLOSE	QUALITY_DEGREE	lcheol@+1@kchedy	lcheol kchedy	1	1	1	0	f79r.34@1>2	L	0	RIGHT_SCOPE_OR_INVERSION_POSSIBLE	NONE	NOT_APPLICABLE	NA	0	0	0	SINGLE_CELL_UNIT	SELF	EMIT_CELL_ONCE	SINGLE_CELL_UNIT	SELF	EMIT_CELL_ONCE	0	PROVISIONAL_REVERSE_DIRECT	1	0	1	THIS_COMPLETE_WHOLE_AT_THIS_ENUMERATED_OCCURRENCE_ONLY	0	0	G740-P007
G740-C0009	G739-N00161	G739-D0025	G738-P0025	G737-O0069	f104v	f104v.13	8	lkaiin	H4	MIDDLE	CARRIER	L	-1	1	7	cheo	trocken angesetzte Zubereitung	DRY|PREPARATION	NONE	lkaiin@-1@cheo	cheo lkaiin	1	1	1	0	f104v.13@8>7	L	1	LEFT_HOST_PRIMARY_MICROENTRY	NONE	NOT_APPLICABLE	NA	0	0	0	SINGLE_CELL_UNIT	SELF	EMIT_CELL_ONCE	SINGLE_CELL_UNIT	SELF	EMIT_CELL_ONCE	0	SUPPORTED_DIRECTION_DIRECT	0	1	1	THIS_COMPLETE_WHOLE_AT_THIS_ENUMERATED_OCCURRENCE_ONLY	0	0	G740-P015
G740-C0010	G739-N00168	G739-D0026	G738-P0026	G737-O0083	f105r	f105r.15	7	lkaiin	H4	MIDDLE	AXIS	L	-2	2	5	okeedy	heißer Ansatz am Ende des Grades, abgeschlossen	HOT|VALUE|PREPARATION|CLOSE	QUALITY_DEGREE	lkaiin@-2@okeedy	okeedy olkeeody lkaiin	1	1	1	0	f105r.15@7>5	L	1	LEFT_HOST_PRIMARY_MICROENTRY	olkeeody	EMIT_CELL_ONCE	0	1	0	0	SINGLE_CELL_UNIT	SELF	EMIT_CELL_ONCE	SINGLE_CELL_UNIT	SELF	EMIT_CELL_ONCE	0	NEAR_ONLY_HOLD	0	0	0	THIS_COMPLETE_WHOLE_AT_THIS_ENUMERATED_OCCURRENCE_ONLY	0	0	G740-P011
