surface	opaque_head_id	family	level	occurrences	gdt739_specific_targets	attached_strong	attached_supported	attached_provisional_reverse	near_only_hold	mode_only_no_host	manual_r2_relay	mode_downgraded_open	direct_conflict_or_boundary	attachment_tier_counts	axis_specific_retained	carrier_bound_retained	specific_retained	fully_open_after_attachment	changed_from_gdt739	dimension_dispatch_counts	carrier_dispatch_counts	distinct_renders	most_common_render_de	global_lexeme_export	component_export_credit
lain	H4	SCALAR	II	4	3	0	2	0	0	0	1	0	0	ATTACHED_SUPPORTED:2|RELAY_R2_MANUAL:1	2	2	3	1	0	OPEN_SCALAR:2|QUALITY_DEGREE:2	MATERIAL:2|OPEN:2	4	interner Trockenheitsgrad II des Materials	0	0
lcheedy	H4	STATE_RESULT	II	6	4	0	1	0	0	0	0	2	0	ATTACHED_SUPPORTED:1|KEEP_CARRIER_ONLY:1|MODE_DOWNGRADED_OPEN:2	0	2	2	4	3	PROCESS_RESULT_AXIS_OPEN:1|QUALITY_STATE_AXIS_OPEN:5	MATERIAL:1|OPEN:4|PREPARATION:1	3	Zustandsstufe II; Zustandsachse offen; Träger offen	0	0
lcheol	H4	STATE	NA	8	3	0	0	1	1	0	0	0	0	ATTACHED_PROVISIONAL_REVERSE:1|KEEP_CARRIER_ONLY:1|NEAR_ONLY_HOLD:1	1	1	2	6	2	QUALITY_STATE_AXIS_OPEN:7|QUALITY_STATE_DRY_LOCAL:1	OPEN:7|PREPARATION:1	4	Statusfeld; Zustandsachse offen; Träger offen	0	0
lkaiin	H4	SCALAR	III	42	19	2	9	3	5	0	0	0	0	ATTACHED_PROVISIONAL_REVERSE:3|ATTACHED_STRONG:2|ATTACHED_SUPPORTED:9|NEAR_ONLY_HOLD:5	9	13	14	28	8	AMOUNT_DOSE:2|OPEN_SCALAR:33|PROCESS_PASS:3|QUALITY_DEGREE:4	MATERIAL:5|OPEN:29|PREPARATION:5|PREPARATION_MATERIAL:2|PREPARATION_MATERIAL_PART:1	10	Skalarstufe III; Dimension offen	0	0
lkain	H4	SCALAR	II	27	14	0	5	1	6	0	0	0	2	ATTACHED_PROVISIONAL_REVERSE:1|ATTACHED_SUPPORTED:5|DIRECT_COMPONENT_CONFLICT_OPEN:2|NEAR_ONLY_HOLD:6	4	5	6	21	8	AMOUNT_DOSE:1|OPEN_SCALAR:20|OPEN_SCALAR_CONFLICT:3|QUALITY_DEGREE:3	MATERIAL:1|OPEN:22|PREPARATION:3|PREPARATION_MATERIAL:1	7	Skalarstufe II; Dimension offen	0	0
lkar	H4	SCALAR	I	29	9	0	4	3	2	0	0	0	0	ATTACHED_PROVISIONAL_REVERSE:3|ATTACHED_SUPPORTED:4|NEAR_ONLY_HOLD:2	6	3	7	22	3	AMOUNT_DOSE:2|OPEN_SCALAR:23|QUALITY_DEGREE:4	MATERIAL_PART:2|OPEN:26|PREPARATION:1	6	Skalarstufe I; Dimension offen	0	0
lsheedy	H4	STATE_RESULT	II	4	3	0	0	0	0	0	0	3	0	MODE_DOWNGRADED_OPEN:3	0	0	0	4	3	QUALITY_STATE_AXIS_OPEN:4	OPEN:4	1	Zustandsstufe II; Zustandsachse offen; Träger offen	0	0
pcheol	H1	STATE	NA	10	5	0	1	1	2	0	1	0	0	ATTACHED_PROVISIONAL_REVERSE:1|ATTACHED_SUPPORTED:1|NEAR_ONLY_HOLD:2|RELAY_R2_MANUAL:1	1	3	3	7	2	QUALITY_STATE_AXIS_OPEN:9|QUALITY_STATE_DRY_LOCAL:1	MATERIAL:2|OPEN:7|PREPARATION:1	5	Status-Eintrag; Zustandsachse offen; Träger offen	0	0
rain	H3	SCALAR	II	14	11	0	5	3	3	0	0	0	0	ATTACHED_PROVISIONAL_REVERSE:3|ATTACHED_SUPPORTED:5|NEAR_ONLY_HOLD:3	5	6	8	6	6	OPEN_SCALAR:9|PROCESS_PASS:1|QUALITY_DEGREE:4	MATERIAL:1|OPEN:8|PREPARATION:4|PREPARATION_MATERIAL:1	9	Skalarstufe II; Dimension offen; interner Rückbezug	0	0
rsheedy	H3	STATE_RESULT	II	2	1	0	0	0	1	0	0	0	0	NEAR_ONLY_HOLD:1	0	0	0	2	1	QUALITY_STATE_AXIS_OPEN:2	OPEN:2	1	Zustandsstufe II; Zustandsachse offen; interner Rückbezug; Träger offen	0	0
sain	H2	SCALAR	II	53	21	4	4	1	9	0	0	0	2	ATTACHED_PROVISIONAL_REVERSE:1|ATTACHED_STRONG:4|ATTACHED_SUPPORTED:4|DIRECT_BOUNDARY_HOLD:1|DIRECT_FLANK_CONFLICT_OPEN:1|KEEP_CARRIER_ONLY:1|NEAR_ONLY_HOLD:9	7	7	10	43	12	AMOUNT_DOSE:1|OPEN_SCALAR:46|QUALITY_DEGREE:6	MATERIAL:2|MATERIAL_PART:3|OPEN:46|PREPARATION:2	10	Skalarstufe II; Dimension offen; Eintrag	0	0
skaiin	H2	SCALAR	III	3	2	0	1	0	1	0	0	0	0	ATTACHED_SUPPORTED:1|NEAR_ONLY_HOLD:1	1	1	1	2	1	OPEN_SCALAR:2|QUALITY_DEGREE:1	OPEN:2|PREPARATION_MATERIAL:1	2	Skalarstufe III; Dimension offen	0	0
