ring_evidence_id	window_id	dispatch_id	patch_id	page	locus	target_surface	side	signed_offset	distance	neighbor_surface	neighbor_axis_tags	neighbor_scalar_host_types	evidence_roles	binding_contact_id	binding_roles	role_bearing_binding_contact	conflict_only_nonbinding_contact	plaintext_or_component_export
G740-E0001	G739-N00004	G739-D0001	G738-P0001	f111v	f111v.31	lain	L	-1	1	cheal	DRY|VALUE|MATERIAL	QUALITY_DEGREE	AXIS+CARRIER	G740-C0001	AXIS+CARRIER	1	0	0
G740-E0002	G739-N00017	G739-D0003	G738-P0003	f116r	f116r.17	lain	L	-2	2	qokeey	HOT|VALUE	QUALITY_DEGREE	AXIS	G740-C0002	AXIS	1	0	0
G740-E0003	G739-N00026	G739-D0004	G738-P0004	f46r	f46r.13	lain	L	-1	1	ols	MATERIAL	NONE	CARRIER	G740-C0003	CARRIER	1	0	0
G740-E0004	G739-N00032	G739-D0005	G738-P0005	f103r	f103r.47	lcheedy	L	-1	1	qokaly	HOT|MATERIAL|PROCESS	NONE	CARRIER	G740-C0004	CARRIER	1	0	0
G740-E0005	G739-N00035	G739-D0006	G738-P0006	f104v	f104v.20	lcheedy	L	-1	1	sheeo	PREPARATION	NONE	CARRIER	G740-C0005	CARRIER	1	0	0
G740-E0006	G739-N00078	G739-D0013	G738-P0013	f111v	f111v.23	lcheol	L	-1	1	chckhedy	DRY|VALUE|PREPARATION|CLOSE	QUALITY_DEGREE	AXIS+CARRIER	G740-C0006	AXIS+CARRIER	1	0	0
G740-E0007	G739-N00091	G739-D0015	G738-P0015	f78v	f78v.17	lcheol	R	2	2	dchdy	DRY|AMOUNT|MATERIAL|PROCESS|CLOSE	AMOUNT_DOSE	AXIS+CARRIER	G740-C0007	AXIS+CARRIER	1	0	0
G740-E0008	G739-N00095	G739-D0016	G738-P0016	f79r	f79r.34	lcheol	R	1	1	kchedy	HOT|DRY|VALUE|CLOSE	QUALITY_DEGREE	AXIS	G740-C0008	AXIS	1	0	0
G740-E0009	G739-N00161	G739-D0025	G738-P0025	f104v	f104v.13	lkaiin	L	-1	1	cheo	DRY|PREPARATION	NONE	CARRIER	G740-C0009	CARRIER	1	0	0
G740-E0010	G739-N00168	G739-D0026	G738-P0026	f105r	f105r.15	lkaiin	L	-2	2	okeedy	HOT|VALUE|PREPARATION|CLOSE	QUALITY_DEGREE	AXIS	G740-C0010	AXIS	1	0	0
G740-E0011	G739-N00170	G739-D0026	G738-P0026	f105r	f105r.15	lkaiin	R	1	1	okeeol	HOT|MATERIAL|PREPARATION	NONE	CARRIER	G740-C0011	CARRIER	1	0	0
G740-E0012	G739-N00175	G739-D0027	G738-P0027	f105v	f105v.7	lkaiin	L	-1	1	ycheeo	DRY|PREPARATION|PASS	PROCESS_PASS	AXIS+CARRIER	G740-C0012	AXIS+CARRIER	1	0	0
G740-E0013	G739-N00184	G739-D0028	G738-P0028	f105v	f105v.37	lkaiin	L	-1	1	qoeeo	MOIST|PREPARATION|PASS	PROCESS_PASS	AXIS+CARRIER	G740-C0013	AXIS+CARRIER	1	0	0
G740-E0014	G739-N00190	G739-D0029	G738-P0029	f106r	f106r.30	lkaiin	L	-1	1	ycheeo	DRY|PREPARATION|PASS	PROCESS_PASS	AXIS+CARRIER	G740-C0014	AXIS+CARRIER	1	0	0
G740-E0015	G739-N00191	G739-D0029	G738-P0029	f106r	f106r.30	lkaiin	R	1	1	cho	DRY|PREPARATION	NONE	CARRIER	G740-C0015	CARRIER	1	0	0
G740-E0016	G739-N00208	G739-D0031	G738-P0031	f107r	f107r.8	lkaiin	L	-2	2	qokeey	HOT|VALUE	QUALITY_DEGREE	AXIS	G740-C0016	AXIS	1	0	0
G740-E0017	G739-N00218	G739-D0032	G738-P0032	f107r	f107r.21	lkaiin	L	-1	1	qokeol	HOT|VALUE|MATERIAL|PROCESS	QUALITY_DEGREE	AXIS+CARRIER	G740-C0017	AXIS+CARRIER	1	0	0
G740-E0018	G739-N00239	G739-D0035	G738-P0035	f107r	f107r.35	lkaiin	L	-1	1	qokor	HOT|AMOUNT|MATERIAL	AMOUNT_DOSE	AXIS+CARRIER	G740-C0018	AXIS+CARRIER	1	0	0
G740-E0019	G739-N00256	G739-D0037	G738-P0037	f107r	f107r.49	lkaiin	R	1	1	okair	HOT|PART|MATERIAL|PREPARATION	AMOUNT_DOSE	AXIS+CARRIER	G740-C0019	AXIS+CARRIER	1	0	0
G740-E0020	G739-N00263	G739-D0038	G738-P0038	f107v	f107v.1	lkaiin	R	2	2	qokair	HOT|PART|PROCESS	AMOUNT_DOSE	AXIS+CARRIER	G740-C0020	AXIS+CARRIER	1	0	0
G740-E0021	G739-N00271	G739-D0039	G738-P0039	f107v	f107v.3	lkaiin	L	-1	1	ochedy	DRY|MATERIAL|PREPARATION|CLOSE	NONE	CARRIER	G740-C0021	CARRIER	1	0	0
G740-E0022	G739-N00279	G739-D0040	G738-P0040	f107v	f107v.15	lkaiin	R	2	2	chkal	HOT|DRY|VALUE|MATERIAL	QUALITY_DEGREE	AXIS+CARRIER	G740-C0022	AXIS+CARRIER	1	0	0
G740-E0023	G739-N00286	G739-D0041	G738-P0041	f107v	f107v.24	lkaiin	L	-1	1	olkain	HOT|VALUE|MATERIAL	QUALITY_DEGREE	AXIS+CARRIER	G740-C0023	AXIS+CARRIER	1	0	0
G740-E0024	G739-N00306	G739-D0044	G738-P0044	f108r	f108r.50	lkaiin	R	2	2	qokey	HOT|VALUE	QUALITY_DEGREE	AXIS	G740-C0024	AXIS	1	0	0
G740-E0025	G739-N00313	G739-D0045	G738-P0045	f108v	f108v.49	lkaiin	R	1	1	cheal	DRY|VALUE|MATERIAL	QUALITY_DEGREE	AXIS+CARRIER	G740-C0025	AXIS+CARRIER	1	0	0
G740-E0026	G739-N00326	G739-D0048	G738-P0048	f113r	f113r.46	lkaiin	L	-2	2	oaiin	AMOUNT|PREPARATION	AMOUNT_DOSE	AXIS+CARRIER	G740-C0026	AXIS+CARRIER	1	0	0
G740-E0027	G739-N00375	G739-D0054	G738-P0054	f76r	f76r.44	lkaiin	L	-2	2	ykar	HOT|PART|MATERIAL	AMOUNT_DOSE	AXIS	G740-C0027	AXIS	1	0	0
G740-E0028	G739-N00376	G739-D0054	G738-P0054	f76r	f76r.44	lkaiin	L	-1	1	alol	MATERIAL	NONE	CARRIER	G740-C0028	CARRIER	1	0	0
G740-E0029	G739-N00408	G739-D0058	G738-P0058	f86v5	f86v5.18	lkaiin	L	-1	1	otcho	COLD|DRY|PREPARATION	NONE	CARRIER	G740-C0029	CARRIER	1	0	0
G740-E0030	G739-N00417	G739-D0059	G738-P0059	f86v6	f86v6.36	lkaiin	L	-2	2	cthdy	MATERIAL|CLOSE	NONE	CARRIER	G740-C0030	CARRIER	1	0	0
G740-E0031	G739-N00418	G739-D0059	G738-P0059	f86v6	f86v6.36	lkaiin	L	-1	1	qokeey	HOT|VALUE	QUALITY_DEGREE	AXIS	G740-C0031	AXIS	1	0	0
G740-E0032	G739-N00438	G739-D0062	G738-P0062	f104r	f104r.13	lkain	L	-2	2	chokar	HOT|DRY|PART|PREPARATION	AMOUNT_DOSE	AXIS+CARRIER	G740-C0032	AXIS+CARRIER	1	0	0
G740-E0033	G739-N00449	G739-D0063	G738-P0063	f104r	f104r.23	lkain	L	-1	1	okeedal	HOT|AMOUNT|MATERIAL|PREPARATION|PROCESS	AMOUNT_DOSE	AXIS+CARRIER	G740-C0033	AXIS+CARRIER	1	0	0
G740-E0034	G739-N00459	G739-D0064	G738-P0064	f107r	f107r.24	lkain	L	-1	1	kair	HOT|PART|MATERIAL	AMOUNT_DOSE	CARRIER+NONBINDING_AXIS_CONFLICT_EVIDENCE	G740-C0034	CARRIER	1	0	0
G740-E0035	G739-N00460	G739-D0064	G738-P0064	f107r	f107r.24	lkain	R	1	1	qokeeo	HOT|VALUE|PREPARATION	QUALITY_DEGREE	CARRIER+NONBINDING_AXIS_CONFLICT_EVIDENCE	G740-C0035	CARRIER	1	0	0
G740-E0036	G739-N00469	G739-D0065	G738-P0065	f107r	f107r.39	lkain	L	-1	1	cho	DRY|PREPARATION	NONE	CARRIER	G740-C0036	CARRIER	1	0	0
G740-E0037	G739-N00477	G739-D0066	G738-P0066	f107v	f107v.38	lkain	L	-1	1	oteey	COLD|VALUE|PREPARATION	QUALITY_DEGREE	AXIS+CARRIER	G740-C0037	AXIS+CARRIER	1	0	0
G740-E0038	G739-N00482	G739-D0067	G738-P0067	f107v	f107v.41	lkain	L	-1	1	qokeey	HOT|VALUE	QUALITY_DEGREE	AXIS	G740-C0038	AXIS	1	0	0
G740-E0039	G739-N00486	G739-D0068	G738-P0068	f108v	f108v.37	lkain	L	-2	2	okey	HOT|VALUE|PREPARATION	QUALITY_DEGREE	AXIS+CARRIER	G740-C0039	AXIS+CARRIER	1	0	0
G740-E0040	G739-N00496	G739-D0069	G738-P0069	f111v	f111v.21	lkain	R	1	1	cheokain	HOT|DRY|VALUE|PREPARATION|PROCESS	QUALITY_DEGREE	AXIS+CARRIER	G740-C0040	AXIS+CARRIER	1	0	0
G740-E0041	G739-N00540	G739-D0075	G738-P0075	f111v	f111v.40	lkain	R	2	2	chokain	HOT|DRY|VALUE|PREPARATION|PROCESS	QUALITY_DEGREE	AXIS+CARRIER	G740-C0041	AXIS+CARRIER	1	0	0
G740-E0042	G739-N00548	G739-D0076	G738-P0076	f112v	f112v.38	lkain	L	-1	1	chedar	DRY|VALUE|PART	QUALITY_DEGREE|AMOUNT_DOSE	CARRIER+NONBINDING_AXIS_CONFLICT_EVIDENCE	G740-C0042	CARRIER	1	0	0
G740-E0043	G739-N00549	G739-D0076	G738-P0076	f112v	f112v.38	lkain	R	1	1	cheo	DRY|PREPARATION	NONE	CARRIER	G740-C0043	CARRIER	1	0	0
G740-E0044	G739-N00571	G739-D0079	G738-P0079	f116r	f116r.5	lkain	R	2	2	otor	COLD|AMOUNT|MATERIAL|PREPARATION	AMOUNT_DOSE	AXIS+CARRIER	G740-C0044	AXIS+CARRIER	1	0	0
G740-E0045	G739-N00578	G739-D0080	G738-P0080	f116r	f116r.27	lkain	L	-2	2	orain	AMOUNT|MATERIAL	AMOUNT_DOSE	AXIS+CARRIER	G740-C0045	AXIS+CARRIER	1	0	0
G740-E0046	G739-N00615	G739-D0084	G738-P0084	f76r	f76r.17	lkain	L	-2	2	qeeey	VALUE|PASS	PROCESS_PASS	AXIS	G740-C0046	AXIS	1	0	0
G740-E0047	G739-N00626	G739-D0085	G738-P0085	f78r	f78r.32	lkain	L	-1	1	dalky	HOT|AMOUNT|MATERIAL|PROCESS	AMOUNT_DOSE	CARRIER+NONBINDING_AXIS_CONFLICT_EVIDENCE	G740-C0047	CARRIER	1	0	0
G740-E0048	G739-N00627	G739-D0085	G738-P0085	f78r	f78r.32	lkain	R	1	1	ykeedy	HOT|VALUE|CLOSE	QUALITY_DEGREE	NONBINDING_AXIS_CONFLICT_EVIDENCE	NONE	NONE	0	1	0
G740-E0049	G739-N00648	G739-D0088	G738-P0088	f103r	f103r.5	lkar	L	-2	2	oteey	COLD|VALUE|PREPARATION	QUALITY_DEGREE	CARRIER	G740-C0048	CARRIER	1	0	0
G740-E0050	G739-N00649	G739-D0088	G738-P0088	f103r	f103r.5	lkar	L	-1	1	qokey	HOT|VALUE	QUALITY_DEGREE	AXIS	G740-C0049	AXIS	1	0	0
G740-E0051	G739-N00679	G739-D0092	G738-P0092	f104v	f104v.18	lkar	R	1	1	ytaiin	COLD|VALUE	QUALITY_DEGREE	AXIS	G740-C0050	AXIS	1	0	0
G740-E0052	G739-N00683	G739-D0093	G738-P0093	f106r	f106r.35	lkar	L	-1	1	choky	HOT|DRY|PREPARATION	NONE	CARRIER	G740-C0051	CARRIER	1	0	0
G740-E0053	G739-N00689	G739-D0094	G738-P0094	f107r	f107r.33	lkar	L	-2	2	chky	HOT|DRY|MATERIAL|PROCESS	NONE	CARRIER	G740-C0052	CARRIER	1	0	0
