adjudication_id	gdt740_patch_id	gdt739_dispatch_id	patch_id	occurrence_id	page	locus	token_ordinal	surface	opaque_head_id	line_position	attachment_tier	selected_contacts	direct_contacts	radius_two_contacts	radius_two_relay_contacts	radius_two_held_contacts	strong_repeated_direct_contacts	formal_direction_supported_direct_contacts	formal_direction_reverse_direct_contacts	left_direct_contacts	right_direct_contacts	gdt739_dimension_dispatch	gdt740_dimension_dispatch	gdt739_carrier_dispatch	gdt740_carrier_dispatch	gdt739_state_mode	gdt740_state_mode	axis_attachment_outcome	carrier_attachment_outcome	gdt739_working_render_de	gdt740_working_render_de	attachment_evidence	gdt739_nonbinding_conflict_evidence	manual_override_applied	manual_override_reason	renderer_changed_from_gdt739	plaintext_or_lexeme_claim	component_export_credit
G740-A001	G740-R0001	G739-D0001	G738-P0001	G737-O0258	f111v	f111v.31	5	lain	H4	MIDDLE	ATTACHED_SUPPORTED	1	1	0	0	0	0	1	0	1	0	QUALITY_DEGREE	QUALITY_DEGREE	MATERIAL	MATERIAL	NOT_APPLICABLE	NOT_APPLICABLE	RETAIN_DIRECT	RETAIN_DIRECT	interner Trockenheitsgrad II des Materials	interner Trockenheitsgrad II des Materials	L1 cheal [AXIS+CARRIER→SUPPORTED_DIRECTION_DIRECT;retained=1]	NONE	0	NONE	0	0	0
G740-A002	G740-R0003	G739-D0003	G738-P0003	G737-O0407	f116r	f116r.17	5	lain	H4	MIDDLE	RELAY_R2_MANUAL	1	0	1	1	0	0	0	0	0	0	QUALITY_DEGREE	QUALITY_DEGREE	OPEN	OPEN	NOT_APPLICABLE	NOT_APPLICABLE	RETAIN_RELAY	OPEN	interner Heißgrad II	interner Heißgrad II	L2 qokeey [AXIS→NEAR_ONLY_HOLD;retained=1]	NONE	1	qokeey-okeey-lain continues one hot axis across the middle cell	0	0	0
G740-A003	G740-R0004	G739-D0004	G738-P0004	G737-O0502	f46r	f46r.13	8	lain	H4	MIDDLE	ATTACHED_SUPPORTED	1	1	0	0	0	0	1	0	1	0	OPEN_SCALAR	OPEN_SCALAR	MATERIAL	MATERIAL	NOT_APPLICABLE	NOT_APPLICABLE	OPEN_OR_MODE_ONLY	RETAIN_DIRECT	interne Skalarstufe II des Materials; Dimension offen	interne Skalarstufe II des Materials; Dimension offen	L1 ols [CARRIER→SUPPORTED_DIRECTION_DIRECT;retained=1]	NONE	0	NONE	0	0	0
G740-A004	G740-R0005	G739-D0005	G738-P0005	G737-O0026	f103r	f103r.47	6	lcheedy	H4	MIDDLE	ATTACHED_SUPPORTED	1	1	0	0	0	0	1	0	1	0	PROCESS_RESULT_AXIS_OPEN	PROCESS_RESULT_AXIS_OPEN	MATERIAL	MATERIAL	PROCESS_RESULT	PROCESS_RESULT	OPEN_OR_MODE_ONLY	RETAIN_DIRECT	Resultat-/Endstufe II des Materials; Zustandsachse offen	Resultat-/Endstufe II des Materials; Zustandsachse offen	L1 qokaly [CARRIER→SUPPORTED_DIRECTION_DIRECT;retained=1]	NONE	0	NONE	0	0	0
G740-A005	G740-R0006	G739-D0006	G738-P0006	G737-O0072	f104v	f104v.20	3	lcheedy	H4	MIDDLE	KEEP_CARRIER_ONLY	1	1	0	0	0	0	1	0	1	0	PROCESS_RESULT_AXIS_OPEN	QUALITY_STATE_AXIS_OPEN	PREPARATION	PREPARATION	PROCESS_RESULT	QUALITY_STATE	OPEN_OR_MODE_ONLY	RETAIN_DIRECT	Resultat-/Endstufe II der Zubereitung; Zustandsachse offen	Zustandsstufe II der Zubereitung; Zustandsachse offen	L1 sheeo [CARRIER→SUPPORTED_DIRECTION_DIRECT;retained=1]	NONE	1	soaked preparation supports state carrier but not an ordinal result stage	1	0	0
G740-A006	G740-R0009	G739-D0009	G738-P0009	G737-O0593	f76v	f76v.21	8	lcheedy	H4	MIDDLE	MODE_DOWNGRADED_OPEN	0	0	0	0	0	0	0	0	0	0	PROCESS_RESULT_AXIS_OPEN	QUALITY_STATE_AXIS_OPEN	OPEN	OPEN	PROCESS_RESULT	QUALITY_STATE	OPEN_OR_MODE_ONLY	OPEN	Resultat-/Endstufe II; Zustandsachse offen; Träger offen	Zustandsstufe II; Zustandsachse offen; Träger offen	MODE_ONLY_NO_SELECTED_HOST	NONE	1	endpoint best-fit has no attached process-result host	1	0	0
G740-A007	G740-R0010	G739-D0010	G738-P0010	G737-O0703	f82r	f82r.24	2	lcheedy	H4	MIDDLE	MODE_DOWNGRADED_OPEN	0	0	0	0	0	0	0	0	0	0	PROCESS_RESULT_AXIS_OPEN	QUALITY_STATE_AXIS_OPEN	OPEN	OPEN	PROCESS_RESULT	QUALITY_STATE	OPEN_OR_MODE_ONLY	OPEN	Resultat-/Endstufe II; Zustandsachse offen; Träger offen	Zustandsstufe II; Zustandsachse offen; Träger offen	MODE_ONLY_NO_SELECTED_HOST	NONE	1	endpoint best-fit has no attached process-result host	1	0	0
G740-A008	G740-R0013	G739-D0013	G738-P0013	G737-O0251	f111v	f111v.23	6	lcheol	H4	MIDDLE	KEEP_CARRIER_ONLY	1	1	0	0	0	0	1	0	1	0	QUALITY_STATE_DRY_LOCAL	QUALITY_STATE_AXIS_OPEN	PREPARATION	PREPARATION	QUALITY_STATE	QUALITY_STATE	OPEN_OR_MODE_ONLY	RETAIN_DIRECT	Trockenstatus der Zubereitung	Statusfeld der Zubereitung; Zustandsachse offen	L1 chckhedy [AXIS+CARRIER→SUPPORTED_DIRECTION_DIRECT;retained=1]	NONE	1	dry left and heat right compete while the direct preparation carrier survives	1	0	0
G740-A009	G740-R0015	G739-D0015	G738-P0015	G737-O0632	f78v	f78v.17	4	lcheol	H4	MIDDLE	NEAR_ONLY_HOLD	1	0	1	0	1	0	0	0	0	0	QUALITY_STATE_DRY_LOCAL	QUALITY_STATE_AXIS_OPEN	MATERIAL	OPEN	QUALITY_STATE	QUALITY_STATE	HOLD_RADIUS_TWO	HOLD_RADIUS_TWO	Trockenstatus des Materials	Statusfeld; Zustandsachse offen; Träger offen	R2 dchdy [AXIS+CARRIER→NEAR_ONLY_HOLD;retained=0]	NONE	0	NONE	1	0	0
G740-A010	G740-R0016	G739-D0016	G738-P0016	G737-O0649	f79r	f79r.34	1	lcheol	H4	FIRST	ATTACHED_PROVISIONAL_REVERSE	1	1	0	0	0	0	0	1	0	1	QUALITY_STATE_DRY_LOCAL	QUALITY_STATE_DRY_LOCAL	OPEN	OPEN	QUALITY_STATE	QUALITY_STATE	RETAIN_DIRECT	OPEN	Trockenstatus-Eintrag; Träger offen	Trockenstatus-Eintrag; Träger offen	R1 kchedy [AXIS→PROVISIONAL_REVERSE_DIRECT;retained=1]	NONE	0	NONE	0	0	0
G740-A011	G740-R0025	G739-D0025	G738-P0025	G737-O0069	f104v	f104v.13	8	lkaiin	H4	MIDDLE	ATTACHED_SUPPORTED	1	1	0	0	0	0	1	0	1	0	OPEN_SCALAR	OPEN_SCALAR	PREPARATION	PREPARATION	NOT_APPLICABLE	NOT_APPLICABLE	OPEN_OR_MODE_ONLY	RETAIN_DIRECT	Skalarstufe III der Zubereitung; Dimension offen	Skalarstufe III der Zubereitung; Dimension offen	L1 cheo [CARRIER→SUPPORTED_DIRECTION_DIRECT;retained=1]	NONE	0	NONE	0	0	0
G740-A012	G740-R0026	G739-D0026	G738-P0026	G737-O0083	f105r	f105r.15	7	lkaiin	H4	MIDDLE	ATTACHED_PROVISIONAL_REVERSE	2	1	1	0	1	0	0	1	0	1	QUALITY_DEGREE	OPEN_SCALAR	PREPARATION_MATERIAL	PREPARATION_MATERIAL	NOT_APPLICABLE	NOT_APPLICABLE	HOLD_RADIUS_TWO	RETAIN_DIRECT	Heißgrad III des Zubereitungsmaterials	Skalarstufe III des Zubereitungsmaterials; Dimension offen	L2 okeedy [AXIS→NEAR_ONLY_HOLD;retained=0] || R1 okeeol [CARRIER→PROVISIONAL_REVERSE_DIRECT;retained=1]	NONE	0	NONE	1	0	0
