gdt740_patch_id	gdt739_dispatch_id	patch_id	occurrence_id	page	locus	token_index	token_ordinal	surface	body	opaque_head_id	line_position	family	level	gdt739_state_mode	gdt740_state_mode	attachment_tier	selected_contact_count	direct_contact_count	radius_two_contact_count	radius_two_relay_contact_count	radius_two_held_contact_count	repeated_direct_contact_count	gdt739_dimension_dispatch	gdt740_dimension_dispatch	gdt739_carrier_dispatch	gdt740_carrier_dispatch	gdt739_working_render_de	gdt740_working_render_de	axis_specific_dispatch_retained	carrier_locally_bound_retained	specific_local_dispatch_retained	manual_override_applied	manual_override_reason	renderer_changed_from_gdt739	scope	literal_patient_or_species_claimed	literal_plaintext_claimed	unconditional_global_export	head_or_body_lexeme_credit	component_export_credit	unseen_form_export
G740-R0001	G739-D0001	G738-P0001	G737-O0258	f111v	f111v.31	5	5	lain	ain	H4	MIDDLE	SCALAR	II	NOT_APPLICABLE	NOT_APPLICABLE	ATTACHED_SUPPORTED	1	1	0	0	0	0	QUALITY_DEGREE	QUALITY_DEGREE	MATERIAL	MATERIAL	interner Trockenheitsgrad II des Materials	interner Trockenheitsgrad II des Materials	1	1	1	0	NONE	0	EXACT_COMPLETE_SURFACE_AT_THIS_ENUMERATED_OCCURRENCE	0	0	0	0	0	0
G740-R0002	G739-D0002	G738-P0002	G737-O0342	f113v	f113v.46	4	4	lain	ain	H4	MIDDLE	SCALAR	II	NOT_APPLICABLE	NOT_APPLICABLE	NO_SELECTED_HOST	0	0	0	0	0	0	OPEN_SCALAR	OPEN_SCALAR	OPEN	OPEN	interne Skalarstufe II; Dimension offen	interne Skalarstufe II; Dimension offen	0	0	0	0	NONE	0	EXACT_COMPLETE_SURFACE_AT_THIS_ENUMERATED_OCCURRENCE	0	0	0	0	0	0
G740-R0003	G739-D0003	G738-P0003	G737-O0407	f116r	f116r.17	5	5	lain	ain	H4	MIDDLE	SCALAR	II	NOT_APPLICABLE	NOT_APPLICABLE	RELAY_R2_MANUAL	1	0	1	1	0	0	QUALITY_DEGREE	QUALITY_DEGREE	OPEN	OPEN	interner Heißgrad II	interner Heißgrad II	1	0	1	1	qokeey-okeey-lain continues one hot axis across the middle cell	0	EXACT_COMPLETE_SURFACE_AT_THIS_ENUMERATED_OCCURRENCE	0	0	0	0	0	0
G740-R0004	G739-D0004	G738-P0004	G737-O0502	f46r	f46r.13	8	8	lain	ain	H4	MIDDLE	SCALAR	II	NOT_APPLICABLE	NOT_APPLICABLE	ATTACHED_SUPPORTED	1	1	0	0	0	0	OPEN_SCALAR	OPEN_SCALAR	MATERIAL	MATERIAL	interne Skalarstufe II des Materials; Dimension offen	interne Skalarstufe II des Materials; Dimension offen	0	1	1	0	NONE	0	EXACT_COMPLETE_SURFACE_AT_THIS_ENUMERATED_OCCURRENCE	0	0	0	0	0	0
G740-R0005	G739-D0005	G738-P0005	G737-O0026	f103r	f103r.47	6	6	lcheedy	cheedy	H4	MIDDLE	STATE_RESULT	II	PROCESS_RESULT	PROCESS_RESULT	ATTACHED_SUPPORTED	1	1	0	0	0	0	PROCESS_RESULT_AXIS_OPEN	PROCESS_RESULT_AXIS_OPEN	MATERIAL	MATERIAL	Resultat-/Endstufe II des Materials; Zustandsachse offen	Resultat-/Endstufe II des Materials; Zustandsachse offen	0	1	1	0	NONE	0	EXACT_COMPLETE_SURFACE_AT_THIS_ENUMERATED_OCCURRENCE	0	0	0	0	0	0
G740-R0006	G739-D0006	G738-P0006	G737-O0072	f104v	f104v.20	3	3	lcheedy	cheedy	H4	MIDDLE	STATE_RESULT	II	PROCESS_RESULT	QUALITY_STATE	KEEP_CARRIER_ONLY	1	1	0	0	0	0	PROCESS_RESULT_AXIS_OPEN	QUALITY_STATE_AXIS_OPEN	PREPARATION	PREPARATION	Resultat-/Endstufe II der Zubereitung; Zustandsachse offen	Zustandsstufe II der Zubereitung; Zustandsachse offen	0	1	1	1	soaked preparation supports state carrier but not an ordinal result stage	1	EXACT_COMPLETE_SURFACE_AT_THIS_ENUMERATED_OCCURRENCE	0	0	0	0	0	0
G740-R0007	G739-D0007	G738-P0007	G737-O0100	f106r	f106r.12	2	2	lcheedy	cheedy	H4	MIDDLE	STATE_RESULT	II	QUALITY_STATE	QUALITY_STATE	NO_SELECTED_HOST	0	0	0	0	0	0	QUALITY_STATE_AXIS_OPEN	QUALITY_STATE_AXIS_OPEN	OPEN	OPEN	Zustandsstufe II; Zustandsachse offen; Träger offen	Zustandsstufe II; Zustandsachse offen; Träger offen	0	0	0	0	NONE	0	EXACT_COMPLETE_SURFACE_AT_THIS_ENUMERATED_OCCURRENCE	0	0	0	0	0	0
G740-R0008	G739-D0008	G738-P0008	G737-O0162	f107v	f107v.28	4	4	lcheedy	cheedy	H4	MIDDLE	STATE_RESULT	II	QUALITY_STATE	QUALITY_STATE	NO_SELECTED_HOST	0	0	0	0	0	0	QUALITY_STATE_AXIS_OPEN	QUALITY_STATE_AXIS_OPEN	OPEN	OPEN	Zustandsstufe II; Zustandsachse offen; Träger offen	Zustandsstufe II; Zustandsachse offen; Träger offen	0	0	0	0	NONE	0	EXACT_COMPLETE_SURFACE_AT_THIS_ENUMERATED_OCCURRENCE	0	0	0	0	0	0
G740-R0009	G739-D0009	G738-P0009	G737-O0593	f76v	f76v.21	8	8	lcheedy	cheedy	H4	MIDDLE	STATE_RESULT	II	PROCESS_RESULT	QUALITY_STATE	MODE_DOWNGRADED_OPEN	0	0	0	0	0	0	PROCESS_RESULT_AXIS_OPEN	QUALITY_STATE_AXIS_OPEN	OPEN	OPEN	Resultat-/Endstufe II; Zustandsachse offen; Träger offen	Zustandsstufe II; Zustandsachse offen; Träger offen	0	0	0	1	endpoint best-fit has no attached process-result host	1	EXACT_COMPLETE_SURFACE_AT_THIS_ENUMERATED_OCCURRENCE	0	0	0	0	0	0
G740-R0010	G739-D0010	G738-P0010	G737-O0703	f82r	f82r.24	2	2	lcheedy	cheedy	H4	MIDDLE	STATE_RESULT	II	PROCESS_RESULT	QUALITY_STATE	MODE_DOWNGRADED_OPEN	0	0	0	0	0	0	PROCESS_RESULT_AXIS_OPEN	QUALITY_STATE_AXIS_OPEN	OPEN	OPEN	Resultat-/Endstufe II; Zustandsachse offen; Träger offen	Zustandsstufe II; Zustandsachse offen; Träger offen	0	0	0	1	endpoint best-fit has no attached process-result host	1	EXACT_COMPLETE_SURFACE_AT_THIS_ENUMERATED_OCCURRENCE	0	0	0	0	0	0
