plan_id	title	status	versions	report
P01	Differentialdiagnose: ähnliche Befunde, verschiedene Behandlungen	PARTIAL_DIAGNOSTIC_READING_FIXED_RULE_CONTRADICTED	D,R	P01/REPORT.md
P02	Verlaufsfälle: ein Gegenstand durch mehrere Zustände	NOT_STARTED	NA	NA
P03	Therapeutisches Rezeptbuch: Anlass, Durchführung und Anwendung trennen	NOT_STARTED	NA	NA
P04	Ersatzstoffe: ein Kapitel regelt erlaubte und unerlaubte Vertretungen	PARTIAL_SUBSTITUTION_READING_NO_EQUAL_PERFORMANCE	S_A,S_B,L_AB	P04/REPORT.md
P05	Herstellungsprotokoll mit Zwischenprodukten und Qualitätskontrolle	PARTIAL_WORKING_READING_CURRENT_CANDIDATE	V01,V02,V03	P05/REPORT.md
P06	Trennen und Wiedervereinigen: ein Stoffkreislauf statt einer linearen Rezeptliste	PARTIAL_SPLIT_REUNION_READING_ONE_SYMBOLIC_CYCLE	C,I	P06/REPORT.md
P07	Körperweg-Anleitung: Ort, Handlung und Ziel in einer Behandlungsfolge	PARTIAL_BODY_STATION_READING_NO_DISCRIMINATOR	BODY,STATION;RECORD,PANEL	P07/REPORT.md
P08	Lehranalogie zwischen Pflanze und Körper: gleiche Beziehungen, andere Dinge	PARTIAL_SHARED_RELATION_READING_NO_MATCHED_ANALOGY	A,D	P08/REPORT.md
P09	Vergleichende Materia medica: Eigenschaften, Nutzen, Schaden und Ausgleich	PARTIAL_WORKING_READING	D0,D1,R1	P09/REPORT.md
P10	Lehrdialog: Behauptung, Einwand und begründete Antwort	PARTIAL_WORKING_READING_NO_DIALOGUE_PREFERENCE	D0,D1,R1	P10/REPORT.md
P11	Prädikate über ihre Mitspieler rekonstruieren	PARTIAL_SHARED_PARTICIPANT_GRAMMAR	D0,I0,D1	P11/REPORT.md
P12	Ausgelassene Subjekte als begrenztes Gedächtnis lesen	PARTIAL_REFERENCE_COMPARISON_NO_CONFIRMED_ANAPHORA	L0,L1,T0;REUSE,FRESH	P12/REPORT.md
P13	Begrenzte Fachmehrdeutigkeit statt eines Worts für alles	PARTIAL_POLYSEMY_READING_NO_TARGET_PROCESS_LINK	U,P,N	P13/REPORT.md
P14	Mengen und Grade durch ihre Dimensionen gemeinsam erschließen	PARTIAL_DIMENSION_READING_RATIO_CHAIN_NO_NUMERIC_CONSTRAINT	G,M,R;RECORD,LINE	P14/REPORT.md
P15	Verlaufsform, Ergebnisform und wiederholte Handlung unterscheiden	PARTIAL_ASPECT_READING_NO_CONFIRMED_TIME_VALUES	I,R	P15/REPORT.md
P16	Bedingung, Ausnahme und Verneinung als verschachtelte Aussagen	PARTIAL_CONDITIONAL_READING_SHARED_STATE_CONTRADICTIONS	C,U	P16/REPORT.md
P17	Thema und Kommentar statt linearer Wort-für-Wort-Sätze	NOT_STARTED	NA	NA
P18	Satzgrenzen aus Bedeutung und Schrift gemeinsam entwickeln	PARTIAL_BOUNDARY_REFERENCE_COMPARISON_NO_SENTENCE_IDENTIFICATION	L,R,V;LOCAL,CARRY	P18/REPORT.md
P19	Schreiberkonvention und Inhalt gleichzeitig auseinanderhalten	NOT_STARTED	NA	NA
P20	Fachwörter als Ganzzeichen, Grammatik als lautnahe Schrift	PARTIAL_MIXED_SIGN_READING_NO_PHONETIC_IDENTIFICATION	M,W	P20/REPORT.md
P21	Wortfamilien als Flexionsparadigmen ganzer Aussagen	PARTIAL_PARADIGM_READING_SHARED_OBJECT_RULE_CONFLICTS	F,R,L	P21/REPORT.md
P22	Geschriebene Gruppen als Silbenpakete einer flektierenden Sprache	NOT_STARTED	NA	NA
P23	Kontextabhängige Kürzung innerhalb eines erklärten Kapitels	NOT_STARTED	NA	NA
P24	Formhüllen als Referenzstatus: eingeführt, wiederaufgenommen, ausgewählt	PARTIAL_REFERENCE_READING_BOTH_FIXED_DIRECTIONS_CONTRADICTED	R,I,L	P24/REPORT.md
P25	Begriffserklärungen aus Gattung und Unterscheidungsmerkmal lesen	PARTIAL_DEFINITION_LIST_COMPARISON_NO_CLASS_IDENTIFICATION	D,L	P25/REPORT.md
P26	Wiederkehrende Verfahren als Aufruf mit Parametern	PARTIAL_PROCEDURE_READING_ONE_CONDITIONAL_STATE_LINK	M,N	P26/REPORT.md
P27	Teile, Stoffe und daraus gewonnene Produkte in einer gemeinsamen Begriffswelt	PARTIAL_RELATIONAL_WORLD_COMPARISON_NO_SHARED_READING	M,B;FRESH,REUSE	P27/REPORT.md
P28	Lokale Namen mit Bereich und qualifiziertem Verweis	PARTIAL_SCOPE_READING_NO_QUALIFIED_NAME_IDENTIFICATION	N0,N1,N2,C1,Q2	P28/REPORT.md
P29	Eine überarbeitete Fachquelle über ihre Aussagefolge rekonstruieren	NOT_STARTED	NA	NA
P30	Der Text beschreibt Abweichungen von einem gemeinsamen Bildschema	PARTIAL_DIFFERENCE_READING_NO_IMAGE_RECONSTRUCTION	D0,R0,R1	P30/REPORT.md
