owner_id_or_phrase	concrete_nouns_supplied_de	information_source	records	physical_lines	card_word_claim
Wurzel und übrige Teile der abgebildeten Pflanze	abgebildete unbenannte Pflanze	Pflanzenbild	H1	2	NO__OWNER_SUPPLIES_REFERENT_NOT_CARD_VALUE
zweiter Arbeitsartikel unter demselben Pflanzenbild	zweiter Arbeitsartikel; dasselbe Pflanzenbild	Pflanzenbild und Recordordnung	H2	3	NO__OWNER_SUPPLIES_REFERENT_NOT_CARD_VALUE
Blütenkraut der abgebildeten Pflanze	abgebildete unbenannte Pflanze	Pflanzenbild	H3	3	NO__OWNER_SUPPLIES_REFERENT_NOT_CARD_VALUE
Blattmaterial der abgebildeten Pflanze	Blattmaterial; abgebildete unbenannte Pflanze	Pflanzenbild	H4	2	NO__OWNER_SUPPLIES_REFERENT_NOT_CARD_VALUE
Stängel-/Pflanzenteil der abgebildeten Pflanze	Stängel-/Pflanzenteil; abgebildete unbenannte Pflanze	Pflanzenbild	H5	7	NO__OWNER_SUPPLIES_REFERENT_NOT_CARD_VALUE
B1_SHARED_TWO_ROW_POOL	gemeinsames zweireihiges Becken	Bio-Zeichnung	B1	7	NO__OWNER_SUPPLIES_REFERENT_NOT_CARD_VALUE
B2_UPPER_PAIRED_BASINS_AND_CYLINDER	oberes Paarbecken; Mittelzylinder	Bio-Zeichnung	B2	3	NO__OWNER_SUPPLIES_REFERENT_NOT_CARD_VALUE
B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	linkes Zwischengerät; Knoten	Bio-Zeichnung	B2	1	NO__OWNER_SUPPLIES_REFERENT_NOT_CARD_VALUE
B2_MIDDLE_RIGHT_AMBIGUOUS_STATION	unklarer rechter Posten	Bio-Zeichnung	B2	1	NO__OWNER_SUPPLIES_REFERENT_NOT_CARD_VALUE
B2_LOWER_GREEN_MULTI_FIGURE_POOL	unteres mehrplätziges Figurenbecken	Bio-Zeichnung	B2	1	NO__OWNER_SUPPLIES_REFERENT_NOT_CARD_VALUE
B2_LOWER_POOL_EDGE_STATIONS	untere Beckenrandstationen	Bio-Zeichnung	B2	2	NO__OWNER_SUPPLIES_REFERENT_NOT_CARD_VALUE
B3_UPPER_MARGIN_OPEN_FAN_STATION	oberer offener Fächerzulauf	Bio-Zeichnung	B3	1	NO__OWNER_SUPPLIES_REFERENT_NOT_CARD_VALUE
B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	runde Rand-/Zwischenstation	Bio-Zeichnung	B3	1	NO__OWNER_SUPPLIES_REFERENT_NOT_CARD_VALUE
B3_LOWER_MARGIN_BASKET_VESSEL_STATION	korbförmiges Sammelgefäß	Bio-Zeichnung	B3	2	NO__OWNER_SUPPLIES_REFERENT_NOT_CARD_VALUE
B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	unverbundener Übergabeposten	Bildlücke und lokale Station	B3	3	NO__OWNER_SUPPLIES_REFERENT_NOT_CARD_VALUE
B3_MAIN_ARCH_LINKED_PAIR	sichtbar verbundenes Bogenpaar	Bio-Zeichnung	B3	3	NO__OWNER_SUPPLIES_REFERENT_NOT_CARD_VALUE
B4_MAIN_ARCH_LINKED_PAIR	sichtbar verbundenes Anwendungs-/Durchlasspaar	Bio-Zeichnung	B4	4	NO__OWNER_SUPPLIES_REFERENT_NOT_CARD_VALUE
B4_MAIN_LEFT_OPEN_FRINGE_STATION	offene linke Randstation	Bio-Zeichnung	B4	4	NO__OWNER_SUPPLIES_REFERENT_NOT_CARD_VALUE
B4_MAIN_RIGHT_S_RUN_MULTIPORT_STATION	rechte s-förmige Mehrportstation	Bio-Zeichnung	B4	2	NO__OWNER_SUPPLIES_REFERENT_NOT_CARD_VALUE
B5_LEFT_OPEN_FRINGE_STATION	linker offener Nachtragsposten	Bio-Zeichnung	B5	3	NO__OWNER_SUPPLIES_REFERENT_NOT_CARD_VALUE
B6_RIGHT_S_RUN_MULTIPORT_STATION	rechter s-förmiger Nachtragsposten	Bio-Zeichnung	B6	2	NO__OWNER_SUPPLIES_REFERENT_NOT_CARD_VALUE
