record_unit_id	page	fluent_german_record	visible_surface_sequence	literal_source_value_sequence_de	picture_or_owner_supplied_nouns_de	card_supplied_terms_de	german_grammar_expansion	visible_events	source_cards	statements	physical_lines	owner_count
H1	f10r	Nimm einen Wurzelteil der abgebildeten Pflanze. Richte daraus mit Material aus der bezeichneten Quelle einen Ansatz her, zerkleinere ihn, gib ihn ins Gefäß und führe Wasser zu. Führe den folgenden Teil weiter, setze ihn ein, prüfe das Sollmaß und behalte den kleinen Rest. Setze den zurückbehaltenen Posten ein, führe ihn im folgenden Gang weiter und halte ihn bereit.	dchey cthoor char chty os chair otytchol oky daiin etyd qokchy qotchol chol cthy	Wurzelteil → Bereitansatz → Quelle → Zerkleinern → Gefäß → Wasserzulauf → Folgeteilfortsetzung → Einsetzen → Sollmaß → Kurzrest → Einsetzen → Folgefortsetzung → Fortsetzung → Bereit	abgebildete unbenannte Pflanze	Wurzelteil|Bereitansatz|Quelle|Zerkleinern|Gefäß|Wasserzulauf|Folgeteilfortsetzung|Einsetzen|Sollmaß|Kurzrest|Folgefortsetzung|Fortsetzung|Bereit	Artikel|Pronomen|Konjunktionen|Flexion|Imperativsyntax	14	14	2	2	1
H2	f10r	Nimm den laufenden Auszugsansatz und halte ihn bereit. Stelle den Ansatz auf sein Sollmaß; führe den Folgeposten weiter und behalte dabei denselben Posten um die Maßangabe aktiv. Eröffne den Folgeansatz, führe denselben Ansatz als Fortsetzungsansatz weiter und nimm das Sollmaß aus der bezeichneten Quelle. Richte den Ansatz im Gefäß her, halte ihn als laufenden Posten aktiv, setze die gebundene Arbeitsstufe und füge die Zutat im Sollmaß hinzu.	ycheor cthy chor cthaiin qoctholy dy chy taiin shy qotchor chor otol chol cholor chol daiin dar oykchor shor chor chy kaiiin dy chodaiin	Auszugsansatz → Bereit → Ansatz → Bereitsollmaß → Folgefortsetzungsposten → Diesposten → Diesposten → Sollmaß → Diesposten → Folgeansatz → Ansatz → Folgefortsetzung → Fortsetzung → Fortsetzungsansatz → Fortsetzung → Sollmaß → Quelle → Gefäßansatz → Ansatz → Ansatz → Diesposten → Bindestufe → Diesposten → Zutatsollmaß	zweiter Arbeitsartikel; dasselbe Pflanzenbild	Auszugsansatz|Bereit|Ansatz|Bereitsollmaß|Folgefortsetzungsposten|Diesposten|Sollmaß|Folgeansatz|Folgefortsetzung|Fortsetzung|Fortsetzungsansatz|Quelle|Gefäßansatz|Bindestufe|Zutatsollmaß	Artikel|Pronomen|Konjunktionen|Flexion|Imperativsyntax	24	24	3	3	1
H3	f11r	Bringe das Blütenkraut an die Arbeitsstelle, wringe es aus, lasse es die vorgeschriebene Zeit stehen und seihe es nochmals. Nimm nur den Klarauszug ab und schließe den Schritt. Halte einen weiteren Zutatteil für den folgenden Gang bereit. Nimm die Fortsetzung des vorigen Gangs, halte den aktuellen Posten gebunden und miss sein Sollmaß. Wechsle zum Folgeposten, setze die Fortsetzung ein und halte diesen Posten bereit.	tshol schoal cfhy shfydaiin cphy shey tchody shoyty dchol chy kchy dy daiin qotchy okchol cthy dy	Blütenkraut → Zieleingabe → Auswringen → Standzeit → Nachseihen → Klarauszug → Rücknahmeschluss → Zutatfolgeteil → Vorfortsetzung → Diesposten → Bindeposten → Diesposten → Sollmaß → Folgeposten → Fortsetzungseinsatz → Bereit → Diesposten	abgebildete unbenannte Pflanze	Blütenkraut|Zieleingabe|Auswringen|Standzeit|Nachseihen|Klarauszug|Rücknahmeschluss|Zutatfolgeteil|Vorfortsetzung|Diesposten|Bindeposten|Sollmaß|Folgeposten|Fortsetzungseinsatz|Bereit	Artikel|Pronomen|Konjunktionen|Flexion|Imperativsyntax	17	17	4	3	1
H4	f55v	Stelle das Sollmaß ein, prüfe es und teile den Posten in eine erste und eine zweite Portion. Nimm beide aus diesem Arbeitsschritt und schließe ihn. Überführe die abgemessene Menge und verwahre sie. Nimm das Sollmaß des Postens aus dem gewonnenen Auszug, halte es länger warm und schließe den fortgesetzten Schritt. Setze das Sollmaß an der bezeichneten Stelle ein. Führe die Zubereitung dort weiter, halte den Ansatz als aktuellen Posten und verwende eine Ansatzportion.	qokaiin chaiin ykain ykan ody daiin chedy talam ykaiin cheoar cheeky oldy aiin okal oltchy or y orain	Sollstellung → Sollmaß → Postenportion → Postenzweitportion → Rücknahmeschluss → Sollmaß → Umsetzen → Verwahren → Postensollmaß → Auszugnahme → Langwärme → Fortschluss → Sollmaß → Zieleinsatz → Fortsetzungszubereitung → Ansatz → Diesposten → Ansatzportion	Blattmaterial; abgebildete unbenannte Pflanze	Sollstellung|Sollmaß|Postenportion|Postenzweitportion|Rücknahmeschluss|Umsetzen|Verwahren|Postensollmaß|Auszugnahme|Langwärme|Fortschluss|Zieleinsatz|Fortsetzungszubereitung|Ansatz|Diesposten|Ansatzportion	Artikel|Pronomen|Konjunktionen|Flexion|Imperativsyntax	18	18	4	2	1
H5	f56r	Richte einen Zutatenansatz her. Setze eine weitere Zutat an die bezeichnete Stelle, miss sie und führe sie gebunden weiter. Eröffne danach den Folgeansatz, setze ihn ein und bringe ihn an die Stelle. Nimm die Fortsetzung des vorigen Postens, setze die Zutat ein, trage sie auf und schließe den Schritt. Nimm einen Teil der abgebildeten Pflanze und die Zutat, binde den Posten kurz und setze ihn erneut ein. Setze den Posten ein, gib Auszug hinzu und binde beides an der Zielstelle. Gib die Zutat hinzu, setze sie ein, binde die Zutat aus der bezeichneten Quelle und gebrauche den Posten. Nimm den Folgeposten, führe ihn kurz gebunden weiter und prüfe das Sollmaß.	chochor cho chodaly daiin sho kchol otchor choky dal schol choy choky cheeckhody sh cho kchey qokokchy okchy chokcheo kchal sho chokchy kchoar sotodan otchey keol daiin	Zutatenansatz → Zutat → Zutatstelle → Sollmaß → Zutat → Bindefortsetzung → Folgeansatz → Einsetzen → Stelle → Vorfortsetzung → Zutatposten → Einsetzen → Auftragsschluss → Pflanzenteil → Zutat → Kurzbindeposten → Wiedereinsatz → Einsetzen → Auszugzugabe → Zielbindung → Zutat → Einsetzen → Quellenzutatbindung → Gebrauchen → Folgeposten → Kurzbindefortsetzung → Sollmaß	Stängel-/Pflanzenteil; abgebildete unbenannte Pflanze	Zutatenansatz|Zutat|Zutatstelle|Sollmaß|Bindefortsetzung|Folgeansatz|Einsetzen|Stelle|Vorfortsetzung|Zutatposten|Auftragsschluss|Pflanzenteil|Kurzbindeposten|Wiedereinsatz|Auszugzugabe|Zielbindung|Quellenzutatbindung|Gebrauchen|Folgeposten|Kurzbindefortsetzung	Artikel|Pronomen|Konjunktionen|Flexion|Imperativsyntax	27	27	6	7	1
B1	f81v	Am gemeinsamen zweireihigen Becken: Lass ihn kurz einwirken. Am gemeinsamen zweireihigen Becken: Stelle das Sollmaß ein; dann führe durch den Beckenlauf; dann setze an der Zielstelle ein; dann nimm aus der bezeichneten Quelle; dann führe den laufenden Gang fort; dann nimm eine Portion; dann nimm einen weiteren Anteil; dann binde die bezeichnete Stelle; dann führe den laufenden Gang fort; dann schließe am nächsten Abschnitt an; dann gib den Zusatz zu; dann führe denselben Ansatz weiter; dann führe den laufenden Gang fort; dann führe ihn kurz durch die Zielpassage; dann arbeite nach dem vorgeschriebenen Maß; dann setze ihn lange am Ziel ein; dann arbeite nach dem vorgeschriebenen Maß; dann leite den Posten hindurch; dann führe den Posten über. Am gemeinsamen zweireihigen Becken: Führe den laufenden Gang fort; dann setze um und schließe den Schritt. Am gemeinsamen zweireihigen Becken: Setze den laufenden Posten um; dann führe den laufenden Gang fort; dann lass ihn kurz absetzen. Am gemeinsamen zweireihigen Becken: Führe ihn weiter. Am gemeinsamen zweireihigen Becken: Gib einen Anteil zu; dann leite den Posten hindurch; dann gib den Zusatz zu; dann halte die Zielmarke ein. Am gemeinsamen zweireihigen Becken: Setze einen neuen Posten ein. Am gemeinsamen zweireihigen Becken: Halte diesen Posten aktiv; dann führe den laufenden Gang fort; dann wärme ihn kurz; dann führe den laufenden Gang fort; dann lass ihn kurz absetzen. Am gemeinsamen zweireihigen Becken: Lass ihn kurz einwirken. Am gemeinsamen zweireihigen Becken: Lass ihn kurz einwirken. Am gemeinsamen zweireihigen Becken: Leite den Posten hindurch; dann setze den Posten ein. Am gemeinsamen zweireihigen Becken: Führe einen Waschgang aus; dann lass ihn kurz einwirken; dann führe einen Waschgang aus. Am gemeinsamen zweireihigen Becken: Führe einen Waschgang aus. Am gemeinsamen zweireihigen Becken: Setze den laufenden Posten um; dann führe auf dem Weg weiter; dann führe ihn am Ziel ab; dann führe den laufenden Gang fort; dann wechsle zur folgenden Quelle. Am gemeinsamen zweireihigen Becken: Nimm einen kleinen Teil; dann führe den vorigen Posten über. Am gemeinsamen zweireihigen Becken: Setze an der Zielstelle ein; dann lass ihn länger einwirken; dann führe den laufenden Gang fort; dann lass ihn kurz absetzen. Am gemeinsamen zweireihigen Becken: Binde die bezeichnete Stelle; dann führe ihn kurz weiter; dann führe ihn über. Am gemeinsamen zweireihigen Becken: Stelle das Auffanggefäß bereit; dann halte ihn kurz; dann stelle die Arbeitsstufe ein; dann sammle ihn lange. Am gemeinsamen zweireihigen Becken: Lass ihn kurz absetzen. Am gemeinsamen zweireihigen Becken: Wärme ihn kurz; dann lass ihn hindurch. Am gemeinsamen zweireihigen Becken: Binde die bezeichnete Stelle.	qokedy okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy qol sshkchdy chedy ol shedy qolchedy qokain shckhy dl ral qokchdy chey ol cheky ol shedy qokedy qokedy chckhy qoky lsho qokey lshedy lshedy chedy qolky lchedal qol otar ytey okchedy qokal okeey qol cheedy sal teol dchdy ly dsheol oiiin olkeedy tedy cheky shckhedy chal	Kurzkontakt → Sollstellung → Beckenlauf → Zieleinsatz → Quelle → Fortsetzung → Portion → Folgeportion → Stelle → Fortsetzung → Anschluss → Zusatz → Fortsetzungsansatz → Fortsetzung → Zielkurzpassage → Sollmaß → Ziellanghalt → Sollmaß → durchleiten → überführen → Fortsetzung → Umsetzschluss → Umsetzen → Fortsetzung → Kurzabsetzung → weiterführen → Zugabe → durchleiten → Zusatz → Zielmarke → Neueinsatz → Diesposten → Fortsetzung → Kurzwärme → Fortsetzung → Kurzabsetzung → Kurzkontakt → Kurzkontakt → durchleiten → Einsetzen → Waschgang → Kurzkontakt → Waschgang → Waschgang → Umsetzen → Weiterweg → Zielabführung → Fortsetzung → Folgequelle → Kurzteil → Rücktransfer → Zieleinsatz → Langkontakt → Fortsetzung → Kurzabsetzung → Stelle → Kurzfortgang → Transfer → Auffanggefäß → Kurzhalt → Arbeitsstufe → Langsammlung → Kurzabsetzung → Kurzwärme → durchlassen → Stelle	gemeinsames zweireihiges Becken	Kurzkontakt|Sollstellung|Beckenlauf|Zieleinsatz|Quelle|Fortsetzung|Portion|Folgeportion|Stelle|Anschluss|Zusatz|Fortsetzungsansatz|Zielkurzpassage|Sollmaß|Ziellanghalt|durchleiten|überführen|Umsetzschluss|Umsetzen|Kurzabsetzung|weiterführen|Zugabe|Zielmarke|Neueinsatz|Diesposten|Kurzwärme|Einsetzen|Waschgang|Weiterweg|Zielabführung|Folgequelle|Kurzteil|Rücktransfer|Langkontakt|Kurzfortgang|Transfer|Auffanggefäß|Kurzhalt|Arbeitsstufe|Langsammlung|durchlassen	Artikel|Pronomen|Konjunktionen|Flexion|Imperativsyntax	66	66	21	7	1
B2	f82r	Bei den Paarbecken mit Mittelzylinder: Führe den Posten über. Bei den Paarbecken mit Mittelzylinder: Führe ihn weiter. Bei den Paarbecken mit Mittelzylinder: Gib einen Anteil zu; dann halte diesen Posten aktiv; dann lass ihn lange einwirken. Bei den Paarbecken mit Mittelzylinder: Setze an der Zielstelle ein; dann führe ihn durch die Abführpassage; dann führe ihn ab; dann lass ihn länger einwirken; dann ziehe die getrennte Fraktion ab. Bei den Paarbecken mit Mittelzylinder: Setze an der Zielstelle ein; dann sammle ihn bis zur Sollmenge; dann leite den Posten hindurch; dann stelle das Sollmaß ein; dann stelle das Sollmaß ein; dann setze den nächsten Durchgang an; dann wärme ihn lange; dann ziehe ihn ab. Bei den Paarbecken mit Mittelzylinder: Führe ihn länger im Folgegang weiter; dann setze an der Zielstelle ein; dann führe ihn kurz hindurch; dann setze den Posten ein. Am Zwischengerät mit Knoten: Setze den vorigen Posten ab und schließe. Am Zwischengerät mit Knoten: Arbeite danach nach dem nächsten Maß; dann setze den Quellposten ein; dann lass ihn kurz absetzen. Am Zwischengerät mit Knoten: Lass danach den nächsten Posten absetzen. Am Zwischengerät mit Knoten: Lass ihn länger einwirken; dann setze den Posten ein; dann führe zum Auslass; dann nimm den Klarauszug. Am unklaren rechten Posten: Gib einen Anteil zu; dann nimm aus der bezeichneten Quelle; dann gib einen Anteil zu; dann lass ihn lange einwirken. Am unklaren rechten Posten: Nimm das abzuführende Gut. Neuer lokaler Posten: Am mehrplätzigen Badbecken: Nimm den Klarauszug; dann bereite ihn kurz vor; dann lass ihn länger einwirken; dann ziehe den klaren Anteil ab; dann arbeite nach dem vorgeschriebenen Maß; dann halte diesen Posten aktiv; dann setze ihn vollständig ein. Am mehrplätzigen Badbecken: Führe ihn ab. Am mehrplätzigen Badbecken: Ziehe ihn aus der Quelle ab. Bei den Randstationen für Zu- und Abführung: Nimm danach den klaren Ablauf; dann lass ihn lange einwirken. Bei den Randstationen für Zu- und Abführung: Binde die bezeichnete Stelle; dann führe ihn von der Quelle ab; dann teile den Posten; dann arbeite nach dem vorgeschriebenen Maß; dann führe ihn länger im Folgegang weiter; dann stelle das Sollmaß ein; dann lass ihn kurz einwirken; dann führe ihn zu. Bei den Randstationen für Zu- und Abführung: Halte den zugeführten Posten kurz am Ziel; dann schließe den Schritt am Ziel ab. Bei den Randstationen für Zu- und Abführung: Lass ihn lange einwirken. Bei den Randstationen für Zu- und Abführung: Setze ab und schließe. Bei den Randstationen für Zu- und Abführung: Führe die lange Folgestufe aus. Bei den Randstationen für Zu- und Abführung: Lass ihn lange einwirken. Bei den Randstationen für Zu- und Abführung: Führe ihn ab.	dchedy qolchedy qokain dy qokeedy qokal lcheckhy lched qokeey lcheckhedy qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy oteey qokal sheckhy qoky dshedy sotaiin qokar shedy solshedy qokeey qoky ls cheey okain char okain qokeedy lchy cheey qcthey qokeey lcheey daiin chey qokeeedy lchedy lar tshey qokeedy cheal lchedar ches aiin oteey qokaiin okey pchedy rsheal daldy qokeedy rshedy qoteedy qokeedy lochedy	überführen → weiterführen → Zugabe → Diesposten → Langkontakt → Zieleinsatz → Abführpassage → Abführung → Langkontakt → Trennabzug → Zieleinsatz → Sollsammlung → durchleiten → Sollstellung → Folgevorbereitung → Langwärmen → abziehen → Langfolge → Zieleinsatz → Kurzpassage → Einsetzen → Vorabsetzschluss → Folgemaß → Quelleinsatz → Kurzabsetzung → Folgeabsetzen → Langkontakt → Einsetzen → Auslass → Klarauszug → Zugabe → Quelle → Zugabe → Langkontakt → Abführgut → Klarauszug → Kurzvorbereitung → Langkontakt → Klarabzug → Sollmaß → Diesposten → Volleinsatz → abführen → Quellabzug → Folgeklarlauf → Langkontakt → Stelle → Quellabführung → teilen → Sollmaß → Langfolge → Sollstellung → Kurzkontakt → Zuführung → Zielkurzhalt → Zielschluss → Langkontakt → Absetzschluss → Langfolgestufe → Langkontakt → Abführung	oberes Paarbecken; Mittelzylinder; linkes Zwischengerät; Knoten; unklarer rechter Posten; unteres mehrplätziges Figurenbecken; untere Beckenrandstationen	überführen|weiterführen|Zugabe|Diesposten|Langkontakt|Zieleinsatz|Abführpassage|Abführung|Trennabzug|Sollsammlung|durchleiten|Sollstellung|Folgevorbereitung|Langwärmen|abziehen|Langfolge|Kurzpassage|Einsetzen|Vorabsetzschluss|Folgemaß|Quelleinsatz|Kurzabsetzung|Folgeabsetzen|Auslass|Klarauszug|Quelle|Abführgut|Kurzvorbereitung|Klarabzug|Sollmaß|Volleinsatz|abführen|Quellabzug|Folgeklarlauf|Stelle|Quellabführung|teilen|Kurzkontakt|Zuführung|Zielkurzhalt|Zielschluss|Absetzschluss|Langfolgestufe	Artikel|Pronomen|Konjunktionen|Flexion|Imperativsyntax	62	61	22	8	5
B3	f83r	Am offenen Fächerzulauf: Sammle ihn lange. Am offenen Fächerzulauf: Führe ihn danach dorthin; dann wärme ihn lange. Am offenen Fächerzulauf: Halte diesen Posten aktiv; dann arbeite nach dem vorgeschriebenen Maß; dann halte diesen Posten aktiv; dann führe ihn ab. Am offenen Fächerzulauf: Stelle das Sollmaß ein; dann führe ihn danach dorthin; dann nimm aus der bezeichneten Quelle. An der runden Zwischenstation: Führe den Posten über. An der runden Zwischenstation: Führe den aktuellen Posten über; dann setze an der Zielstelle ein; dann führe ihn weiter. An der runden Zwischenstation: Stelle das Sollmaß ein; dann setze den laufenden Posten um; dann lass ihn lange einwirken. An der runden Zwischenstation: Führe ihn ab. An der runden Zwischenstation: Setze den Posten ein. Am korbförmigen Sammelgefäß: Führe ihn dem Ziel zu; dann führe ihn kurz zum Folgeschritt weiter. Am korbförmigen Sammelgefäß: Führe die vorbereitete Portion über; dann setze den Posten ein; dann setze den laufenden Posten um; dann nimm den Posten aus der Quelle. Am korbförmigen Sammelgefäß: Verwende den Ansatz; dann lass ihn kurz absetzen. Am korbförmigen Sammelgefäß: Stelle das Sollmaß ein; dann nimm eine Portion; dann bereite ihn kurz vor; dann lass ihn kurz einwirken. Am korbförmigen Sammelgefäß: Setze ihn in den Lauf ein; dann lass ihn lange absetzen. Am korbförmigen Sammelgefäß: Führe ihn ab. Am korbförmigen Sammelgefäß: Ziehe ihn ab. Neuer lokaler Posten: Am unverbundenen Übergabeposten: Führe den vorigen Posten über. Am unverbundenen Übergabeposten: Lass ihn lange einwirken. Am unverbundenen Übergabeposten: Lass ihn kurz absetzen. Am unverbundenen Übergabeposten: Lass ihn nach dem Einsatz absetzen. Am unverbundenen Übergabeposten: Binde die bezeichnete Stelle; dann führe ihn ab. Am unverbundenen Übergabeposten: Stelle das Sollmaß ein; dann halte den Posten bereit; dann binde die bezeichnete Stelle; dann halte diesen Posten aktiv; dann arbeite nach dem vorgeschriebenen Maß; dann lass ihn am Ziel absetzen; dann bereite ihn kurz vor; dann halte diesen Posten aktiv; dann binde die bezeichnete Stelle; dann halte den Posten bereit; dann führe ihn zum Ziel über. Am unverbundenen Übergabeposten: Führe danach den nächsten Posten über. Am unverbundenen Übergabeposten: Führe ihn ab. Am unverbundenen Übergabeposten: Führe den Posten über. Am unverbundenen Übergabeposten: Setze einen neuen Posten ein. Am unverbundenen Übergabeposten: Führe ihn von der Quelle über; dann lass ihn bis zum Sollstand absetzen; dann setze den laufenden Posten um; dann gib einen Anteil zu; dann halte den Posten bereit; dann stelle ihn am Zielgefäß bereit. Neuer lokaler Posten: Am sichtbar verbundenen Paar: Sammle ihn lange. Am sichtbar verbundenen Paar: Führe die lange Folgestufe aus. Am sichtbar verbundenen Paar: Lass ihn länger einwirken; dann lass ihn kurz einwirken. Am sichtbar verbundenen Paar: Führe den laufenden Gang fort; dann nimm den ganzen bezeichneten Teil; dann lass ihn kurz einwirken. Am sichtbar verbundenen Paar: Setze den Posten ein; dann arbeite nach dem vorgeschriebenen Maß; dann führe ihn im Lauf weiter; dann führe danach den nächsten Posten über. Am sichtbar verbundenen Paar: Lass ihn lange einwirken. Am sichtbar verbundenen Paar: Führe einen Anteil über; dann setze den laufenden Posten um; dann halte die kurze Sollstufe ein; dann arbeite danach nach dem nächsten Maß; dann führe ihn kurz zum Folgeschritt weiter. Am sichtbar verbundenen Paar: Ziehe ihn ab. Am sichtbar verbundenen Paar: Stelle die Arbeitsstufe ein; dann halte den Posten bereit; dann zerkleinere den Posten; dann arbeite danach nach dem nächsten Maß; dann führe zum Zwischenziel; dann lass ihn kurz absetzen.	olkeedy qotal chkeedy chey daiin chey lchedy qokaiin qotal dar schedy chedchy qokal olchedy qokaiin chedy qokeedy lchedy qoky pchedal otedy shecthedchy qoky chedy chary sor shedy qokaiin chkain shcthey qokedy okair sheedy lchedy lo qokchedy qokeedy shedy qokshedy dal lchedy qokaiin shcthy dal sy saiin shedal shecthy chey tal shcthy dalchdy qotchedy lchedy tchedy qokchdy cheedar chldaiin chedy qokain checthy chealror solkeedy qoteedy qokeey qokedy sol cheeety qokedy qoky saiin schedair otchedy qokeedy chedain chedy qotedaiin otaiin otedy ldy soiiin checthy chety otaiin olsaly shedy	Langsammlung → Folgeziel → Langwärmen → Diesposten → Sollmaß → Diesposten → abführen → Sollstellung → Folgeziel → Quelle → überführen → Postentransfer → Zieleinsatz → weiterführen → Sollstellung → Umsetzen → Langkontakt → abführen → Einsetzen → Zielzuführung → Kurzfolge → Vorbereitungstransfer → Einsetzen → Umsetzen → Quellposten → Ansatz → Kurzabsetzung → Sollstellung → Portion → Kurzvorbereitung → Kurzkontakt → Laufeinsatz → Langabsetzen → abführen → Abzug → Rücktransfer → Langkontakt → Kurzabsetzung → Einsatzabsetzen → Stelle → abführen → Sollstellung → Bereit → Stelle → Diesposten → Sollmaß → Zielabsetzung → Kurzvorbereitung → Diesposten → Stelle → Bereit → Zieltransfer → Folgetransfer → abführen → überführen → Neueinsatz → Quelltransfer → Sollabsetzung → Umsetzen → Zugabe → Bereit → Zielbereitung → Langsammlung → Langfolgestufe → Langkontakt → Kurzkontakt → Fortsetzung → Vollteil → Kurzkontakt → Einsetzen → Sollmaß → Weiterlauf → Folgetransfer → Langkontakt → Anteilstransfer → Umsetzen → Kurzsoll → Folgemaß → Kurzfolge → abziehen → Arbeitsstufe → Bereit → Zerkleinern → Folgemaß → Zwischenziel → Kurzabsetzung	oberer offener Fächerzulauf; runde Rand-/Zwischenstation; korbförmiges Sammelgefäß; unverbundener Übergabeposten; sichtbar verbundenes Bogenpaar	Langsammlung|Folgeziel|Langwärmen|Diesposten|Sollmaß|abführen|Sollstellung|Quelle|überführen|Postentransfer|Zieleinsatz|weiterführen|Umsetzen|Langkontakt|Einsetzen|Zielzuführung|Kurzfolge|Vorbereitungstransfer|Quellposten|Ansatz|Kurzabsetzung|Portion|Kurzvorbereitung|Kurzkontakt|Laufeinsatz|Langabsetzen|Abzug|Rücktransfer|Einsatzabsetzen|Stelle|Bereit|Zielabsetzung|Zieltransfer|Folgetransfer|Neueinsatz|Quelltransfer|Sollabsetzung|Zugabe|Zielbereitung|Langfolgestufe|Fortsetzung|Vollteil|Weiterlauf|Anteilstransfer|Kurzsoll|Folgemaß|abziehen|Arbeitsstufe|Zerkleinern|Zwischenziel	Artikel|Pronomen|Konjunktionen|Flexion|Imperativsyntax	86	86	34	10	5
B4	f83r	Am Anwendungs- und Durchlasspaar: Lass ihn lange einwirken. Am Anwendungs- und Durchlasspaar: Nimm den nächsten Einsatzposten; dann lass ihn länger einwirken; dann lass ihn kurz einwirken. Am Anwendungs- und Durchlasspaar: Setze den laufenden Posten um; dann führe ihn danach dorthin; dann nimm das nächste; dann lass ihn länger einwirken; dann setze den Posten ein; dann führe den laufenden Gang fort; dann lass ihn kurz absetzen. Am Anwendungs- und Durchlasspaar: Befestige ihn. Am Anwendungs- und Durchlasspaar: Lege die Einlage ein; dann setze den laufenden Posten um; dann lass ihn lange einwirken. Am Anwendungs- und Durchlasspaar: Lass ihn hindurch. Am Anwendungs- und Durchlasspaar: Lass ihn hindurch. Am Anwendungs- und Durchlasspaar: Arbeite nach dem vorgeschriebenen Maß; dann halte den Posten länger warm; dann halte ihn lange; dann lass ihn kurz einwirken. Am Anwendungs- und Durchlasspaar: Lass ihn kurz absetzen. Am Anwendungs- und Durchlasspaar: Führe fort und schließe. An der offenen linken Station: Arbeite nach dem vorgeschriebenen Maß; dann wärme ihn kurz; dann setze den Gang lange fort; dann gib einen Anteil zu; dann setze den laufenden Posten um; dann führe den laufenden Gang fort; dann ziehe kurz ab und schließe. An der offenen linken Station: Führe ihn ab. An der offenen linken Station: Setze den verbleibenden Posten erneut ein; dann lass ihn kurz absetzen. An der offenen linken Station: Verwende den Ansatz; dann halte diesen Posten aktiv; dann führe ihn kurz hindurch; dann schließe den Lauf ab. An der offenen linken Station: Gib einen Anteil zu; dann nimm den Klarauszug; dann nimm eine Portion; dann führe ihn durch die Zielpassage. Neuer lokaler Posten: An der s-förmigen Mehrportstation: Sammle ihn kurz; dann führe ihn ab. An der s-förmigen Mehrportstation: Nimm einen weiteren Anteil; dann binde die bezeichnete Stelle; dann gieße ihn von der Quellseite zu; dann lass ihn kurz absetzen.	qokeedy qolchey qokeey qokedy chedy otal otchey qokeey qoky tol shedy qokylddy dain chedy qokeedy shckhedy shckhedy saiin cheeky sheey qokedy shedy oldy saiin cheky okeeol okain chdy sol lkedy lchedy qokol shedy or chey qockhey dairydy qokain shey kain chckhal solkey lchedy qolkain dal skar shedy	Langkontakt → Weiterposten → Langkontakt → Kurzkontakt → Umsetzen → Folgeziel → Folgeposten → Langkontakt → Einsetzen → Fortsetzung → Kurzabsetzung → befestigen → Einlage → Umsetzen → Langkontakt → durchlassen → durchlassen → Sollmaß → Langwärme → Langhalt → Kurzkontakt → Kurzabsetzung → Fortschluss → Sollmaß → Kurzwärme → Langfortsetzung → Zugabe → Umsetzen → Fortsetzung → Kurzabzugsschluss → abführen → Wiedereinsatz → Kurzabsetzung → Ansatz → Diesposten → Kurzdurchgang → Laufschluss → Zugabe → Klarauszug → Portion → Zielpassage → Kurzsammlung → abführen → Folgeportion → Stelle → Quellausguss → Kurzabsetzung	sichtbar verbundenes Anwendungs-/Durchlasspaar; offene linke Randstation; rechte s-förmige Mehrportstation	Langkontakt|Weiterposten|Kurzkontakt|Umsetzen|Folgeziel|Folgeposten|Einsetzen|Fortsetzung|Kurzabsetzung|befestigen|Einlage|durchlassen|Sollmaß|Langwärme|Langhalt|Fortschluss|Kurzwärme|Langfortsetzung|Zugabe|Kurzabzugsschluss|abführen|Wiedereinsatz|Ansatz|Diesposten|Kurzdurchgang|Laufschluss|Klarauszug|Portion|Zielpassage|Kurzsammlung|Folgeportion|Stelle|Quellausguss	Artikel|Pronomen|Konjunktionen|Flexion|Imperativsyntax	47	47	16	10	3
B5	f83r	Am linken Nachtragsposten: Führe ihn danach über. Am linken Nachtragsposten: Setze einen neuen Posten ein. Am linken Nachtragsposten: Lass ihn am Ziel absetzen; dann binde die bezeichnete Stelle; dann führe den laufenden Gang fort; dann ziehe ihn weiter ab; dann führe ihn zum Ziel über; dann arbeite nach dem vorgeschriebenen Maß; dann führe den laufenden Gang fort; dann stelle die Endstufe ein; dann setze den laufenden Posten um.	otchdy qokchdy shedal dal cheol lol chdal aiin sol daiiin chedy	Nachtransfer → Neueinsatz → Zielabsetzung → Stelle → Fortsetzung → Weiterabzug → Zieltransfer → Sollmaß → Fortsetzung → Endstufe → Umsetzen	linker offener Nachtragsposten	Nachtransfer|Neueinsatz|Zielabsetzung|Stelle|Fortsetzung|Weiterabzug|Zieltransfer|Sollmaß|Endstufe|Umsetzen	Artikel|Pronomen|Konjunktionen|Flexion|Imperativsyntax	11	11	3	3	1
