rule_id	source_slot	latin_like_heading	workshop_rule_de
S01	OWNER	RES/BESITZER	Bild oder Station zuerst nennen oder still setzen.
S02	ORDER	ORD	OT/OL/PREV ordnen folgenden, fortgesetzten oder vorigen Posten.
S03	ACTION	OP	Arbeitskern als Imperativ oder Rubrikkürzel setzen.
S04	SOURCE_OR_PREPARATION	EX/PRAEP	Quelle, Lauf, Auszug oder Ansatz nennen.
S05	QUANTITY_OR_STAGE	Q/GRADUS	Sollwert, Portion, Stufe oder Teil einsetzen.
S06	TARGET	AD	Zielstelle einsetzen; sichtbarer Besitzer konkretisiert sie.
S07	GRADE	MODUS	kurz, länger oder vollständig an die Handlung binden.
S08	REFERENT	HOC	aktuellen Posten aus ACTIVE wiederaufnehmen.
S09	CLOSE	FIAT/CLAUDE	nur mit gelernter Schlusskarte abschließen.
S10	LEARNED_OR_LOCAL_BODY	NOMEN	gelernte Fachkarte ungeteilt aus dem Nomenklator einsetzen.
