unit_id	page	owner	group_count	slot_program	german_workshop_source_skeleton	latin_like_heading_skeleton	fixed_card_expansion_de	source_language_claim	sentence_specific_slot_rule
H1-S001	f10r	der ganzen breitblättrigen gezähnten Bildpflanze	10	[LEARNED_OR_LOCAL_BODY>REFERENT=Wurzel als aktueller Posten] [ACTION>SOURCE_OR_PREPARATION=Ansatz bereit] [SOURCE_OR_PREPARATION=aus dem Ansatz] [ACTION>QUANTITY_OR_STAGE=Teil abtrennen] [LEARNED_OR_LOCAL_BODY=Mischgefäß] [SOURCE_OR_PREPARATION=Wasserzulauf] [ORDER>QUANTITY_OR_STAGE=naechsten Teilposten weiterfuehren] [ACTION>REFERENT=aktuellen Posten ansetzen] [QUANTITY_OR_STAGE=Sollmaß] [QUANTITY_OR_STAGE>GRADE=kleiner Restteil]	BESITZER der ganzen breitblättrigen gezähnten Bildpflanze; Wurzel als aktueller Posten; Ansatz bereit; aus dem Ansatz; Teil abtrennen; Mischgefäß; Wasserzulauf; naechsten Teilposten weiterfuehren; aktuellen Posten ansetzen; Sollmaß; kleiner Restteil.	RES {der ganzen breitblättrigen gezähnten Bildpflanze} · LEARNED_OR_LOCAL_BODY+REFERENT {Wurzel als aktueller Posten} · ACTION+SOURCE_OR_PREPARATION {Ansatz bereit} · SOURCE_OR_PREPARATION {aus dem Ansatz} · ACTION+QUANTITY_OR_STAGE {Teil abtrennen} · LEARNED_OR_LOCAL_BODY {Mischgefäß} · SOURCE_OR_PREPARATION {Wasserzulauf} · ORDER+QUANTITY_OR_STAGE {naechsten Teilposten weiterfuehren} · ACTION+REFERENT {aktuellen Posten ansetzen} · QUANTITY_OR_STAGE {Sollmaß} · QUANTITY_OR_STAGE+GRADE {kleiner Restteil}.	Bildbesitzer: diese Bildpflanze. Kartenfolge: Wurzel als aktueller Posten; Ansatz bereit; aus dem Ansatz; Teil abtrennen; Mischgefäß; Wasserzulauf; naechsten Teilposten weiterfuehren; aktuellen Posten ansetzen; Sollmaß; kleiner Restteil. Der Pflanzenartikel setzt dabei voraus: die abgebildete Pflanze; der im Artikel gemeinte untere Pflanzenteil; das für den Gang vorgesehene Wasser; das Ergebnis des gerade geführten Auszugsgangs; der laufende Arbeitsansatz; das sichtbare oder gelernte Arbeitsgefäß; der abgeteilte Teil; das örtliche Sollmaß.	NONE_TWO_ORDERING_STYLES_ONLY	NO
H1-S002	f10r	der ganzen breitblättrigen gezähnten Bildpflanze	4	[ACTION>REFERENT=Posten zur Weiterbearbeitung ansetzen] [ORDER=danach weiterfuehren] [ORDER=fortsetzen] [ACTION>REFERENT=bereit]	BESITZER der ganzen breitblättrigen gezähnten Bildpflanze; Posten zur Weiterbearbeitung ansetzen; danach weiterfuehren; fortsetzen; bereit.	RES {der ganzen breitblättrigen gezähnten Bildpflanze} · ACTION+REFERENT {Posten zur Weiterbearbeitung ansetzen} · ORDER {danach weiterfuehren} · ORDER {fortsetzen} · ACTION+REFERENT {bereit}.	Bildbesitzer: diese Bildpflanze. Kartenfolge: Posten zur Weiterbearbeitung ansetzen; danach weiterfuehren; fortsetzen; bereit. Der Pflanzenartikel setzt dabei voraus: das Ergebnis des gerade geführten Auszugsgangs; der laufende Arbeitsansatz.	NONE_TWO_ORDERING_STYLES_ONLY	NO
H2-S001	f10r	der ganzen breitblättrigen gezähnten Bildpflanze	9	[SOURCE_OR_PREPARATION>REFERENT=Auszugsansatz] [ACTION>REFERENT=bereit] [SOURCE_OR_PREPARATION=Ansatz] [ACTION>QUANTITY_OR_STAGE=Fertigmaß] [ORDER>ACTION>REFERENT=bereiten Posten weiterfuehren] [REFERENT=dieser Posten] [REFERENT=dieser Posten] [QUANTITY_OR_STAGE=Sollmaß] [REFERENT=dieser Posten]	BESITZER der ganzen breitblättrigen gezähnten Bildpflanze; Auszugsansatz; bereit; Ansatz; Fertigmaß; bereiten Posten weiterfuehren; dieser Posten; dieser Posten; Sollmaß; dieser Posten.	RES {der ganzen breitblättrigen gezähnten Bildpflanze} · SOURCE_OR_PREPARATION+REFERENT {Auszugsansatz} · ACTION+REFERENT {bereit} · SOURCE_OR_PREPARATION {Ansatz} · ACTION+QUANTITY_OR_STAGE {Fertigmaß} · ORDER+ACTION+REFERENT {bereiten Posten weiterfuehren} · REFERENT {dieser Posten} · REFERENT {dieser Posten} · QUANTITY_OR_STAGE {Sollmaß} · REFERENT {dieser Posten}.	Bildbesitzer: diese Bildpflanze. Kartenfolge: Auszugsansatz; bereit; Ansatz; Fertigmaß; bereiten Posten weiterfuehren; dieser Posten; dieser Posten; Sollmaß; dieser Posten. Der Pflanzenartikel setzt dabei voraus: die abgebildete Pflanze; der bild- oder exemplarbestimmte Blütenteil; der aktuell verarbeitete Pflanzenposten; das im Rezept vorgesehene Öl; der aus der Pflanze gewonnene Saft; der laufende Arbeitsansatz; das für den Durchgang vorgesehene Tuch; das örtliche Sollmaß.	NONE_TWO_ORDERING_STYLES_ONLY	NO
H2-S002	f10r	der ganzen breitblättrigen gezähnten Bildpflanze	8	[ORDER>SOURCE_OR_PREPARATION=Folgeansatz] [SOURCE_OR_PREPARATION=Ansatz] [ORDER=danach fortsetzen] [ORDER=fortsetzen] [ORDER>SOURCE_OR_PREPARATION=Fortsetzungsansatz] [ORDER=fortsetzen] [QUANTITY_OR_STAGE=Sollmaß] [SOURCE_OR_PREPARATION=aus dem Ansatz]	BESITZER der ganzen breitblättrigen gezähnten Bildpflanze; Folgeansatz; Ansatz; danach fortsetzen; fortsetzen; Fortsetzungsansatz; fortsetzen; Sollmaß; aus dem Ansatz.	RES {der ganzen breitblättrigen gezähnten Bildpflanze} · ORDER+SOURCE_OR_PREPARATION {Folgeansatz} · SOURCE_OR_PREPARATION {Ansatz} · ORDER {danach fortsetzen} · ORDER {fortsetzen} · ORDER+SOURCE_OR_PREPARATION {Fortsetzungsansatz} · ORDER {fortsetzen} · QUANTITY_OR_STAGE {Sollmaß} · SOURCE_OR_PREPARATION {aus dem Ansatz}.	Bildbesitzer: diese Bildpflanze. Kartenfolge: Folgeansatz; Ansatz; danach fortsetzen; fortsetzen; Fortsetzungsansatz; fortsetzen; Sollmaß; aus dem Ansatz. Der Pflanzenartikel setzt dabei voraus: der bild- oder exemplarbestimmte Blütenteil; der laufende Arbeitsansatz; eine abgeteilte Portion; das örtliche Sollmaß.	NONE_TWO_ORDERING_STYLES_ONLY	NO
H2-S003	f10r	der ganzen breitblättrigen gezähnten Bildpflanze	7	[ACTION>SOURCE_OR_PREPARATION>REFERENT=aktuellen Ansatz bearbeiten] [SOURCE_OR_PREPARATION=Ansatz] [SOURCE_OR_PREPARATION=Ansatz] [REFERENT=dieser Posten] [QUANTITY_OR_STAGE=Weichstufe] [REFERENT=dieser Posten] [LEARNED_OR_LOCAL_BODY>QUANTITY_OR_STAGE=Zutatenmaß]	BESITZER der ganzen breitblättrigen gezähnten Bildpflanze; aktuellen Ansatz bearbeiten; Ansatz; Ansatz; dieser Posten; Weichstufe; dieser Posten; Zutatenmaß.	RES {der ganzen breitblättrigen gezähnten Bildpflanze} · ACTION+SOURCE_OR_PREPARATION+REFERENT {aktuellen Ansatz bearbeiten} · SOURCE_OR_PREPARATION {Ansatz} · SOURCE_OR_PREPARATION {Ansatz} · REFERENT {dieser Posten} · QUANTITY_OR_STAGE {Weichstufe} · REFERENT {dieser Posten} · LEARNED_OR_LOCAL_BODY+QUANTITY_OR_STAGE {Zutatenmaß}.	Bildbesitzer: diese Bildpflanze. Kartenfolge: aktuellen Ansatz bearbeiten; Ansatz; Ansatz; dieser Posten; Weichstufe; dieser Posten; Zutatenmaß. Der Pflanzenartikel setzt dabei voraus: der laufende Arbeitsansatz; das sichtbare oder gelernte Arbeitsgefäß.	NONE_TWO_ORDERING_STYLES_ONLY	NO
H3-S001	f11r	der ganzen dicht blau bekrönten Bildpflanze	7	[LEARNED_OR_LOCAL_BODY=Zutat entnehmen] [LEARNED_OR_LOCAL_BODY>TARGET=Zutat an die Arbeitsstelle geben] [ACTION>REFERENT=aktuellen Posten auswringen] [ACTION>QUANTITY_OR_STAGE=Standmaß] [ACTION>REFERENT=aktuellen Posten nachseihen] [LEARNED_OR_LOCAL_BODY=klarer Auszug] [LEARNED_OR_LOCAL_BODY>CLOSE=Eingangsposten beiseitestellen; Schluss]	BESITZER der ganzen dicht blau bekrönten Bildpflanze; Zutat entnehmen; Zutat an die Arbeitsstelle geben; aktuellen Posten auswringen; Standmaß; aktuellen Posten nachseihen; klarer Auszug; Eingangsposten beiseitestellen; Schluss.	RES {der ganzen dicht blau bekrönten Bildpflanze} · LEARNED_OR_LOCAL_BODY {Zutat entnehmen} · LEARNED_OR_LOCAL_BODY+TARGET {Zutat an die Arbeitsstelle geben} · ACTION+REFERENT {aktuellen Posten auswringen} · ACTION+QUANTITY_OR_STAGE {Standmaß} · ACTION+REFERENT {aktuellen Posten nachseihen} · LEARNED_OR_LOCAL_BODY {klarer Auszug} · LEARNED_OR_LOCAL_BODY+CLOSE {Eingangsposten beiseitestellen; Schluss}.	Bildbesitzer: diese Bildpflanze. Kartenfolge: Zutat entnehmen; Zutat an die Arbeitsstelle geben; aktuellen Posten auswringen; Standmaß; aktuellen Posten nachseihen; klarer Auszug; Eingangsposten beiseitestellen; Schluss. Der Pflanzenartikel setzt dabei voraus: die abgebildete Pflanze; der bild- oder exemplarbestimmte Blütenteil; das im Rezept vorgesehene Weinmedium; das Ergebnis des gerade geführten Auszugsgangs; der laufende Arbeitsansatz; das für den Durchgang vorgesehene Tuch.	NONE_TWO_ORDERING_STYLES_ONLY	NO
H3-S002	f11r	der ganzen dicht blau bekrönten Bildpflanze	1	[LEARNED_OR_LOCAL_BODY>QUANTITY_OR_STAGE>REFERENT=Zutatenteil]	BESITZER der ganzen dicht blau bekrönten Bildpflanze; Zutatenteil.	RES {der ganzen dicht blau bekrönten Bildpflanze} · LEARNED_OR_LOCAL_BODY+QUANTITY_OR_STAGE+REFERENT {Zutatenteil}.	Bildbesitzer: diese Bildpflanze. Kartenfolge: Zutatenteil. Der Pflanzenartikel setzt dabei voraus: der bild- oder exemplarbestimmte Blütenteil; der abgeteilte Teil.	NONE_TWO_ORDERING_STYLES_ONLY	NO
H3-S003	f11r	der ganzen dicht blau bekrönten Bildpflanze	5	[ORDER=vorigen Posten fortsetzen] [REFERENT=dieser Posten] [ACTION>REFERENT=diesen Posten bearbeiten] [REFERENT=dieser Posten] [QUANTITY_OR_STAGE=Sollmaß]	BESITZER der ganzen dicht blau bekrönten Bildpflanze; vorigen Posten fortsetzen; dieser Posten; diesen Posten bearbeiten; dieser Posten; Sollmaß.	RES {der ganzen dicht blau bekrönten Bildpflanze} · ORDER {vorigen Posten fortsetzen} · REFERENT {dieser Posten} · ACTION+REFERENT {diesen Posten bearbeiten} · REFERENT {dieser Posten} · QUANTITY_OR_STAGE {Sollmaß}.	Bildbesitzer: diese Bildpflanze. Kartenfolge: vorigen Posten fortsetzen; dieser Posten; diesen Posten bearbeiten; dieser Posten; Sollmaß. Der Pflanzenartikel setzt dabei voraus: das Ergebnis des gerade geführten Auszugsgangs; der abgeteilte Teil; das örtliche Sollmaß.	NONE_TWO_ORDERING_STYLES_ONLY	NO
H3-S004	f11r	der ganzen dicht blau bekrönten Bildpflanze	4	[ORDER>REFERENT=anschließender Arbeitsposten] [ORDER>ACTION=weiterlaufenden Posten aufnehmen] [ACTION>REFERENT=bereit] [REFERENT=dieser Posten]	BESITZER der ganzen dicht blau bekrönten Bildpflanze; anschließender Arbeitsposten; weiterlaufenden Posten aufnehmen; bereit; dieser Posten.	RES {der ganzen dicht blau bekrönten Bildpflanze} · ORDER+REFERENT {anschließender Arbeitsposten} · ORDER+ACTION {weiterlaufenden Posten aufnehmen} · ACTION+REFERENT {bereit} · REFERENT {dieser Posten}.	Bildbesitzer: diese Bildpflanze. Kartenfolge: anschließender Arbeitsposten; weiterlaufenden Posten aufnehmen; bereit; dieser Posten. Der Pflanzenartikel setzt dabei voraus: der bild- oder exemplarbestimmte Blütenteil; das im Rezept vorgesehene Öl.	NONE_TWO_ORDERING_STYLES_ONLY	NO
H4-S001	f55v	der ganzen breitblättrigen rispigen Bildpflanze	5	[ACTION>QUANTITY_OR_STAGE=auf Sollmaß einstellen] [QUANTITY_OR_STAGE=Sollmaß] [QUANTITY_OR_STAGE>REFERENT=Postenportion] [QUANTITY_OR_STAGE>REFERENT=dieser Anteil] [LEARNED_OR_LOCAL_BODY=kühlen]	BESITZER der ganzen breitblättrigen rispigen Bildpflanze; auf Sollmaß einstellen; Sollmaß; Postenportion; dieser Anteil; kühlen.	RES {der ganzen breitblättrigen rispigen Bildpflanze} · ACTION+QUANTITY_OR_STAGE {auf Sollmaß einstellen} · QUANTITY_OR_STAGE {Sollmaß} · QUANTITY_OR_STAGE+REFERENT {Postenportion} · QUANTITY_OR_STAGE+REFERENT {dieser Anteil} · LEARNED_OR_LOCAL_BODY {kühlen}.	Bildbesitzer: diese Bildpflanze. Kartenfolge: auf Sollmaß einstellen; Sollmaß; Postenportion; dieser Anteil; kühlen. Der Pflanzenartikel setzt dabei voraus: die abgebildete Pflanze; das im Rezept vorgesehene Weinmedium; das sichtbare oder gelernte Arbeitsgefäß; das örtliche Sollmaß.	NONE_TWO_ORDERING_STYLES_ONLY	NO
