source_group_id	unit_id	page	visible_surface	atom_sequence	card_reading_de	source_slot_sequence	learned_or_local_atoms	slot_assignment_complete
E001	H1-S001	f10r	dchey	DCHE+Y	Wurzel als aktueller Posten	LEARNED_OR_LOCAL_BODY>REFERENT	DCHE	YES
E002	H1-S001	f10r	cthoor	CTH+OR	Ansatz bereit	ACTION>SOURCE_OR_PREPARATION	NONE	YES
E003	H1-S001	f10r	char	AR	aus dem Ansatz	SOURCE_OR_PREPARATION	NONE	YES
E004	H1-S001	f10r	chty	PARTITION+TY	Teil abtrennen	ACTION>QUANTITY_OR_STAGE	NONE	YES
E005	H1-S001	f10r	os	OS	Mischgefäß	LEARNED_OR_LOCAL_BODY	OS	YES
E006	H1-S001	f10r	chair	AIR	Wasserzulauf	SOURCE_OR_PREPARATION	NONE	YES
E007	H1-S001	f10r	otytchol	OT+TY+OL	naechsten Teilposten weiterfuehren	ORDER>QUANTITY_OR_STAGE	NONE	YES
E008	H1-S001	f10r	oky	OK+Y	aktuellen Posten ansetzen	ACTION>REFERENT	NONE	YES
E009	H1-S001	f10r	daiin	AIIN	Sollmaß	QUANTITY_OR_STAGE	NONE	YES
E010	H1-S001	f10r	etyd	E+TY	kleiner Restteil	QUANTITY_OR_STAGE>GRADE	NONE	YES
E011	H1-S002	f10r	qokchy	OK+Y	Posten zur Weiterbearbeitung ansetzen	ACTION>REFERENT	NONE	YES
E012	H1-S002	f10r	qotchol	OT+OL	danach weiterfuehren	ORDER	NONE	YES
E013	H1-S002	f10r	chol	OL	fortsetzen	ORDER	NONE	YES
E014	H1-S002	f10r	cthy	CTH+Y	bereit	ACTION>REFERENT	NONE	YES
E015	H2-S001	f10r	ycheor	Y+CHEO+OR	Auszugsansatz	SOURCE_OR_PREPARATION>REFERENT	NONE	YES
E016	H2-S001	f10r	cthy	CTH+Y	bereit	ACTION>REFERENT	NONE	YES
E017	H2-S001	f10r	chor	OR	Ansatz	SOURCE_OR_PREPARATION	NONE	YES
E018	H2-S001	f10r	cthaiin	CTH+AIIN	Fertigmaß	ACTION>QUANTITY_OR_STAGE	NONE	YES
E019	H2-S001	f10r	qoctholy	CTH+OL+Y	bereiten Posten weiterfuehren	ORDER>ACTION>REFERENT	NONE	YES
E020	H2-S001	f10r	dy	Y	dieser Posten	REFERENT	NONE	YES
E021	H2-S001	f10r	chy	Y	dieser Posten	REFERENT	NONE	YES
E022	H2-S001	f10r	taiin	AIIN	Sollmaß	QUANTITY_OR_STAGE	NONE	YES
E023	H2-S001	f10r	shy	Y	dieser Posten	REFERENT	NONE	YES
E024	H2-S002	f10r	qotchor	OT+OR	Folgeansatz	ORDER>SOURCE_OR_PREPARATION	NONE	YES
E025	H2-S002	f10r	chor	OR	Ansatz	SOURCE_OR_PREPARATION	NONE	YES
E026	H2-S002	f10r	otol	OT+OL	danach fortsetzen	ORDER	NONE	YES
E027	H2-S002	f10r	chol	OL	fortsetzen	ORDER	NONE	YES
E028	H2-S002	f10r	cholor	OL+OR	Fortsetzungsansatz	ORDER>SOURCE_OR_PREPARATION	NONE	YES
E029	H2-S002	f10r	chol	OL	fortsetzen	ORDER	NONE	YES
