entry	preferred_gdt779_default_de	alternate_1_de	alternate_2_de	confidence	card_class	v99_reading_id	v99_unconditional_global_export_allowed	selected_exact_fallback_contexts	final_form_raw_parent_contexts	final_form_exact_parent_contexts	protected_exact_contextual_contexts	nonexact_fallback_exclusions	rendered_displays_de	positive_evidence	counterevidence	scope	replaceable	default_is_translation	confirmed_lexeme	confirmed_plaintext	component_export_credit
chckhy	trockene Mischung, Anfangsstufe	trockene Zubereitung, Anfangsstufe	Trockenkompositum, Grundform	C1	DIRECT_INHERITED_WHOLE_CARD	chckhy#V84_1	1	1	1	1	0	0	trockene Mischung, Anfangsstufe	GDT651/GDT711 trennen den exakten trockenen CKH-Ganzwortkern von der lokalen Realisierung und tragen eine Anfangszelle.	Nur eine aktive Kartenstelle; Mischung gegen Zubereitung und die genaue Stufe bleiben offen.	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
chcphy	trockene Mischung	trockene Zubereitung	Arzneikompositum	C0	COMPOSITION_DERIVED_WHOLE__NO_COMPONENT_EXPORT	chcphy#G734	1	1	1	1	0	0	trockene Mischung	Zehn Cache-Vorkommen und die vollständige ch/cphy-Familienkarte stützen einen nominalen Trocken-Mischungswert.	Mischung gegen Kompositum ist nicht entschieden; kein universeller Vorgang und keine Teilform ist lizenziert.	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
chcthy	trockenes Pflanzenmaterial	getrocknetes Blattgut	Trockenmaterial	C1	NEW_EXACT_OL_SCOPE	chcthy#GLOBAL	0	1	1	1	0	0	trockenes Pflanzenmaterial	Die vollständige V99R7-Karte hat 75 exakte Vorkommen auf 53 Seiten und trägt DRY plus PLANT/MATERIAL.	Bisher nur kontextlizenziert; Blatt gegen anderes Pflanzenmaterial bleibt offen und kein Teilstring wird exportiert.	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
cheal	trockenes Rohmaterial I	Trockenklasse I	getrocknete Zubereitung I	C2	DIRECT_INHERITED_WHOLE_CARD	cheal#GLOBAL	1	2	2	2	0	0	trockenes Rohmaterial I	GDT656 zählt 26 exakte Ganzwortvorkommen und eine wiederkehrende Trocken-/Material-/I-Positionsschale.	Rohmaterial gegen Zubereitung und die genaue Stufenposition bleiben unbestätigt.	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
checkhy	trockene Mischung, Anfangsstufe	trockene Zubereitung, Anfangsstufe	Trockenkompositum, Grundform	C1	DIRECT_INHERITED_WHOLE_CARD	checkhy#1	1	1	2	2	1	0	trockene Mischung, Anfangsstufe	GDT651/GDT713 tragen die exakte trockene CKH-Schwesterzelle und eine Anfangsrolle im vollständigen Wort.	Nur eine aktive Kartenstelle; Mischung, Zubereitung und Kompositum sind nicht getrennt.	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
chedaiin	abgemessene Trockenmenge III	Trockenwert III	getrocknete Portion, Stufe III	C1	DIRECT_INHERITED_WHOLE_CARD	chedaiin#1	1	1	1	1	0	0	abgemessene Trockenmenge III	GDT663/GDT714 finden die vollständige Familie an 32 Stellen; Trocken-, Mess- und III-Wertfelder konvergieren.	Stoff, historische Einheit und Wert gegen Menge oder Grad bleiben offen.	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
cheedy	getrocknetes Ergebnis, Endform	Trocknung abgeschlossen	Trockenform II	C2	DIRECT_INHERITED_WHOLE_CARD	cheedy#GLOBAL	1	3	5	4	1	1	getrocknetes Ergebnis, Endform	56 exakte Ganzwortvorkommen; GDT737/GDT738 stützen die vollständige DRY/CLOSE-Familie in beiden Prüfpfaden.	Zustand gegen Anweisung sowie Endform gegen Form II sind nicht vollständig getrennt.	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
cheeky	getrocknet, dann leicht erhitzt	Trocken-Endstufe mit Wärmebeginn	erhitzte Trockenform	C2	DIRECT_INHERITED_WHOLE_CARD	cheeky#GLOBAL	1	2	2	2	0	0	getrocknet, dann leicht erhitzt	23 exakte Ganzwortvorkommen und die starke GDT661-Ganzwortfamilie tragen Trockenende plus Wärmebeginn.	Eine echte zeitliche Folge ist gegenüber einem zusammengesetzten Zustand nicht bewiesen.	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
cheeor	Portion Trockengut	vollständig getrocknetes Material	getrocknete Zubereitungsportion	C1	RETIRED_PATIENT_SANITIZATION	cheeor#GLOBAL	1	1	1	1	0	0	Portion Trockengut	GDT668 zählt 13 exakte Ganzwortvorkommen; Trockenabschluss plus Portionsrolle bleibt nach Entfernung des alten Patienten erhalten.	Die konkrete Substanz und Portion gegen Materialträger sind offen.	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
cheky	antrocknen, dann erwärmen	Trocken-Mittelstufe	Trocken-Endstufe mit Wärmebeginn	C0	DIRECT_INHERITED_WHOLE_CARD	cheky#1	1	1	1	1	0	0	antrocknen, dann erwärmen	Die aktive Karte ist vorgangslizenziert und GDT664 trägt Trocken- plus Wärmefolge.	Nur eine aktive Stelle; GDT749 gibt BEGIN/END einen stärkeren Rivalen als der alten Mittelstufe.	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
