shadow_id	target_occurrence_id	page	physical_folio	locus	ol_ordinal	right_ordinal	right_surface	right_reader_exact	parent_gdt778_fallback	parent_gdt778_contextual	raw_76_deck_member	final_44_deck_member	deck_phase	precedence_disposition	old_gdt778_branch	old_gdt778_default_de	old_gdt778_consumed_token_count	old_gdt778_consumed_token_ids	new_gdt779_branch	new_gdt779_default_de	new_gdt779_contextual	new_gdt779_consumed_token_count	new_gdt779_consumed_token_ids	semantic_state_unchanged	consumption_state_unchanged	represented_parent_state_unchanged	selected_by_gdt779	component_export_credit
G779-H001	G769-T0003	f102v1	f102	f102v1.8	2	3	chey	1	0	1	1	0	RAW_76_SCREEN_ONLY	PROTECTED_EXACT_CONTEXTUAL_RAW_ONLY_FORM	INHERITED_GDT777	Zustand: trockene Form I	1	f102v1.8@3	INHERITED_GDT778	Zustand: trockene Form I	1	1	f102v1.8@3	1	1	1	0	0
G779-H002	G769-T0005	f102v1	f102	f102v1.13	2	3	daiin	1	0	1	1	1	FINAL_44_FROZEN_DECK	PROTECTED_EXACT_CONTEXTUAL	INHERITED_GDT777	und	0	NONE	INHERITED_GDT778	und	1	0	NONE	1	1	1	0	0
G779-H003	G769-T0009	f102v2	f102	f102v2.32	10	11	daiin	1	0	1	1	1	FINAL_44_FROZEN_DECK	PROTECTED_EXACT_CONTEXTUAL	INHERITED_GDT777	Wert: Stufe III	1	f102v2.32@11	INHERITED_GDT778	Wert: Stufe III	1	1	f102v2.32@11	1	1	1	0	0
G779-H004	G769-T0012	f103r	f103	f103r.28	9	10	cheey	1	0	1	1	0	RAW_76_SCREEN_ONLY	PROTECTED_EXACT_CONTEXTUAL_RAW_ONLY_FORM	INHERITED_GDT777	Zustand: trockene Form II	1	f103r.28@10	INHERITED_GDT778	Zustand: trockene Form II	1	1	f103r.28@10	1	1	1	0	0
G779-H005	G769-T0014	f103r	f103	f103r.46	9	10	loiin	0	1	0	1	0	RAW_76_SCREEN_ONLY	EXCLUDED_NONEXACT_RAW_ONLY_FORM	INHERITED_GDT777	Ansatz-/Zubereitungsposten	0	NONE	INHERITED_GDT778	Ansatz-/Zubereitungsposten	0	0	NONE	1	1	1	0	0
G779-H006	G769-T0021	f103v	f103	f103v.34	3	4	chey	1	0	1	1	0	RAW_76_SCREEN_ONLY	PROTECTED_EXACT_CONTEXTUAL_RAW_ONLY_FORM	INHERITED_GDT777	Zustand: trockene Form I	1	f103v.34@4	INHERITED_GDT778	Zustand: trockene Form I	1	1	f103v.34@4	1	1	1	0	0
G779-H007	G769-T0022	f103v	f103	f103v.37	3	4	shey	1	0	1	1	0	RAW_76_SCREEN_ONLY	PROTECTED_EXACT_CONTEXTUAL_RAW_ONLY_FORM	INHERITED_GDT777	Zustand: feuchte Form I	1	f103v.37@4	INHERITED_GDT778	Zustand: feuchte Form I	1	1	f103v.37@4	1	1	1	0	0
G779-H008	G769-T0023	f103v	f103	f103v.38	4	5	chey	1	0	1	1	0	RAW_76_SCREEN_ONLY	PROTECTED_EXACT_CONTEXTUAL_RAW_ONLY_FORM	INHERITED_GDT777	Zustand: trockene Form I	1	f103v.38@5	INHERITED_GDT778	Zustand: trockene Form I	1	1	f103v.38@5	1	1	1	0	0
G779-H009	G769-T0026	f103v	f103	f103v.45	2	3	cheey	1	0	1	1	0	RAW_76_SCREEN_ONLY	PROTECTED_EXACT_CONTEXTUAL_RAW_ONLY_FORM	INHERITED_GDT777	Zustand: trockene Form II	1	f103v.45@3	INHERITED_GDT778	Zustand: trockene Form II	1	1	f103v.45@3	1	1	1	0	0
G779-H010	G769-T0031	f104r	f104	f104r.14	9	10	oeeal	1	1	0	1	1	FINAL_44_FROZEN_DECK	SELECTED_GDT779_FALLBACK	INHERITED_GDT777	Ansatz-/Zubereitungsposten	0	NONE	GDT779_EXACT_OL_PLUS_RESIDUAL_V99R7_WHOLE	Trockenmaterial I, Endstufe	1	1	f104r.14@10	0	0	0	1	0
G779-H011	G769-T0033	f104r	f104	f104r.23	1	2	sheockhey	0	1	0	1	0	RAW_76_SCREEN_ONLY	EXCLUDED_NONEXACT_RAW_ONLY_FORM	INHERITED_GDT777	Ansatz-/Zubereitungsposten	0	NONE	INHERITED_GDT778	Ansatz-/Zubereitungsposten	0	0	NONE	1	1	1	0	0
G779-H012	G769-T0035	f104v	f104	f104v.3	11	12	dl	1	1	0	1	1	FINAL_44_FROZEN_DECK	SELECTED_GDT779_FALLBACK	INHERITED_GDT777	Ansatz-/Zubereitungsposten	0	NONE	GDT779_EXACT_OL_PLUS_RESIDUAL_V99R7_WHOLE	Rohstoffmaß	1	1	f104v.3@12	0	0	0	1	0
