residual_id	target_occurrence_id	page	physical_folio	locus	ol_ordinal	right_ordinal	right_surface	right_reader_exact	residual_reason	gdt779_default_de	v99_complete_card_present	final_44_deck_member	component_export_credit
G779-R001	G769-T0001	f100v	f100	f100v.20	7	8	chockhar	1	NO_V99R7_COMPLETE_WORD_CARD_READER_EXACT	Ansatz-/Zubereitungsposten	0	0	0
G779-R002	G769-T0006	f102v2	f102	f102v2.20	9	10	sheeoy	1	NO_V99R7_COMPLETE_WORD_CARD_READER_EXACT	Ansatz-/Zubereitungsposten	0	0	0
G779-R003	G769-T0011	f103r	f103	f103r.25	12	0	NONE	0	LINE_FINAL_NO_RIGHT	Ansatz-/Zubereitungsposten	0	0	0
G779-R004	G769-T0014	f103r	f103	f103r.46	9	10	loiin	0	V99_CARD_NONEXACT_RAW_ONLY	Ansatz-/Zubereitungsposten	1	0	0
G779-R005	G769-T0016	f103v	f103	f103v.7	11	12	chedydy	0	NO_V99R7_COMPLETE_WORD_CARD_READER_NONEXACT	Ansatz-/Zubereitungsposten	0	0	0
G779-R006	G769-T0029	f104r	f104	f104r.5	6	7	cheday	0	NO_V99R7_COMPLETE_WORD_CARD_READER_NONEXACT	Ansatz-/Zubereitungsposten	0	0	0
G779-R007	G769-T0033	f104r	f104	f104r.23	1	2	sheockhey	0	V99_CARD_NONEXACT_RAW_ONLY	Ansatz-/Zubereitungsposten	1	0	0
G779-R008	G769-T0034	f104v	f104	f104v.1	6	7	ear	1	NO_V99R7_COMPLETE_WORD_CARD_READER_EXACT	Ansatz-/Zubereitungsposten	0	0	0
G779-R009	G769-T0066	f107r	f107	f107r.35	10	11	kaldaim	0	NO_V99R7_COMPLETE_WORD_CARD_READER_NONEXACT	Ansatz-/Zubereitungsposten	0	0	0
G779-R010	G769-T0068	f107r	f107	f107r.51	4	5	cheey	0	V99_CARD_NONEXACT_RAW_ONLY	Ansatz-/Zubereitungsposten	1	0	0
G779-R011	G769-T0071	f107v	f107	f107v.2	13	0	NONE	0	LINE_FINAL_NO_RIGHT	Ansatz-/Zubereitungsposten	0	0	0
G779-R012	G769-T0077	f108v	f108	f108v.1	12	0	NONE	0	LINE_FINAL_NO_RIGHT	Ansatz-/Zubereitungsposten	0	0	0
G779-R013	G769-T0080	f108v	f108	f108v.18	11	12	l	0	V99_CARD_NONEXACT_RAW_ONLY	Ansatz-/Zubereitungsposten	1	0	0
G779-R014	G769-T0081	f108v	f108	f108v.20	11	0	NONE	0	LINE_FINAL_NO_RIGHT	Ansatz-/Zubereitungsposten	0	0	0
G779-R015	G769-T0092	f111r	f111	f111r.20	12	13	l	0	V99_CARD_NONEXACT_RAW_ONLY	Ansatz-/Zubereitungsposten	1	0	0
G779-R016	G769-T0094	f111v	f111	f111v.14	4	5	oin	0	V99_CARD_NONEXACT_RAW_ONLY	Ansatz-/Zubereitungsposten	1	0	0
G779-R017	G769-T0095	f111v	f111	f111v.18	13	14	dain	0	V99_CARD_NONEXACT_RAW_ONLY	Ansatz-/Zubereitungsposten	1	0	0
G779-R018	G769-T0106	f112v	f112	f112v.23	5	6	cheedaiin	1	NO_V99R7_COMPLETE_WORD_CARD_READER_EXACT	Ansatz-/Zubereitungsposten	0	0	0
G779-R019	G769-T0108	f113r	f113	f113r.6	16	0	NONE	0	LINE_FINAL_NO_RIGHT	Ansatz-/Zubereitungsposten	0	0	0
G779-R020	G769-T0116	f113v	f113	f113v.15	6	7	tchdy	0	V99_CARD_NONEXACT_RAW_ONLY	Ansatz-/Zubereitungsposten	1	0	0
G779-R021	G769-T0119	f113v	f113	f113v.25	9	10	keeor	1	NO_V99R7_COMPLETE_WORD_CARD_READER_EXACT	Ansatz-/Zubereitungsposten	0	0	0
G779-R022	G769-T0122	f113v	f113	f113v.42	13	0	NONE	0	LINE_FINAL_NO_RIGHT	Ansatz-/Zubereitungsposten	0	0	0
G779-R023	G769-T0123	f114r	f114	f114r.2	11	12	keeed	1	NO_V99R7_COMPLETE_WORD_CARD_READER_EXACT	Ansatz-/Zubereitungsposten	0	0	0
G779-R024	G769-T0131	f114v	f114	f114v.3	10	11	lchdaiin	0	NO_V99R7_COMPLETE_WORD_CARD_READER_NONEXACT	Ansatz-/Zubereitungsposten	0	0	0
G779-R025	G769-T0134	f114v	f114	f114v.37	2	3	cheodaiiin	0	NO_V99R7_COMPLETE_WORD_CARD_READER_NONEXACT	Ansatz-/Zubereitungsposten	0	0	0
G779-R026	G769-T0136	f115r	f115	f115r.24	11	12	otlaiin	1	NO_V99R7_COMPLETE_WORD_CARD_READER_EXACT	Ansatz-/Zubereitungsposten	0	0	0
G779-R027	G769-T0139	f115v	f115	f115v.1	9	10	raiin	0	V99_CARD_NONEXACT_RAW_ONLY	Ansatz-/Zubereitungsposten	1	0	0
G779-R028	G769-T0141	f115v	f115	f115v.30	2	3	chlor	1	NO_V99R7_COMPLETE_WORD_CARD_READER_EXACT	Ansatz-/Zubereitungsposten	0	0	0
G779-R029	G769-T0149	f116r	f116	f116r.26	6	7	cheedy	0	V99_CARD_NONEXACT_FINAL44	Ansatz-/Zubereitungsposten	1	1	0
G779-R030	G769-T0152	f116r	f116	f116r.49	11	12	lkan	1	NO_V99R7_COMPLETE_WORD_CARD_READER_EXACT	Ansatz-/Zubereitungsposten	0	0	0
G779-R031	G769-T0157	f17v	f17	f17v.9	5	0	NONE	0	LINE_FINAL_NO_RIGHT	Ansatz-/Zubereitungsposten	0	0	0
G779-R032	G769-T0169	f23v	f23	f23v.11	6	7	cheeb	0	NO_V99R7_COMPLETE_WORD_CARD_READER_NONEXACT	Ansatz-/Zubereitungsposten	0	0	0
G779-R033	G769-T0174	f26r	f26	f26r.8	7	8	ytedy	0	V99_CARD_NONEXACT_RAW_ONLY	Ansatz-/Zubereitungsposten	1	0	0
G779-R034	G769-T0176	f30r	f30	f30r.8	2	3	chesey	1	NO_V99R7_COMPLETE_WORD_CARD_READER_EXACT	Ansatz-/Zubereitungsposten	0	0	0
G779-R035	G769-T0180	f32r	f32	f32r.15	4	0	NONE	0	LINE_FINAL_NO_RIGHT	Ansatz-/Zubereitungsposten	0	0	0
G779-R036	G769-T0184	f34r	f34	f34r.5	4	5	okes	1	NO_V99R7_COMPLETE_WORD_CARD_READER_EXACT	Ansatz-/Zubereitungsposten	0	0	0
G779-R037	G769-T0186	f34v	f34	f34v.3	7	8	kedaiiin	0	NO_V99R7_COMPLETE_WORD_CARD_READER_NONEXACT	Ansatz-/Zubereitungsposten	0	0	0
G779-R038	G769-T0193	f39r	f39	f39r.14	4	5	daiin	0	V99_CARD_NONEXACT_FINAL44	Ansatz-/Zubereitungsposten	1	1	0
G779-R039	G769-T0194	f39r	f39	f39r.15	2	3	cheol	0	V99_CARD_NONEXACT_FINAL44	Ansatz-/Zubereitungsposten	1	1	0
G779-R040	G769-T0197	f3r	f3	f3r.9	5	0	NONE	0	LINE_FINAL_NO_RIGHT	Ansatz-/Zubereitungsposten	0	0	0
G779-R041	G769-T0200	f40r	f40	f40r.4	10	0	NONE	0	LINE_FINAL_NO_RIGHT	Ansatz-/Zubereitungsposten	0	0	0
G779-R042	G769-T0203	f40v	f40	f40v.2	3	4	arag	0	NO_V99R7_COMPLETE_WORD_CARD_READER_NONEXACT	Ansatz-/Zubereitungsposten	0	0	0
G779-R043	G769-T0204	f40v	f40	f40v.6	2	3	chedy	0	V99_CARD_NONEXACT_RAW_ONLY	Ansatz-/Zubereitungsposten	1	0	0
G779-R044	G769-T0205	f40v	f40	f40v.9	5	0	NONE	0	LINE_FINAL_NO_RIGHT	Ansatz-/Zubereitungsposten	0	0	0
G779-R045	G769-T0208	f43v	f43	f43v.16	1	2	eees	1	NO_V99R7_COMPLETE_WORD_CARD_READER_EXACT	Ansatz-/Zubereitungsposten	0	0	0
G779-R046	G769-T0210	f44v	f44	f44v.8	8	0	NONE	0	LINE_FINAL_NO_RIGHT	Ansatz-/Zubereitungsposten	0	0	0
G779-R047	G769-T0226	f52v	f52	f52v.8	5	0	NONE	0	LINE_FINAL_NO_RIGHT	Ansatz-/Zubereitungsposten	0	0	0
G779-R048	G769-T0228	f55r	f55	f55r.10	11	0	NONE	0	LINE_FINAL_NO_RIGHT	Ansatz-/Zubereitungsposten	0	0	0
G779-R049	G769-T0234	f55v	f55	f55v.10	12	0	NONE	0	LINE_FINAL_NO_RIGHT	Ansatz-/Zubereitungsposten	0	0	0
G779-R050	G769-T0242	f58v	f58	f58v.30	9	10	dam	0	V99_CARD_NONEXACT_FINAL44	Ansatz-/Zubereitungsposten	1	1	0
G779-R051	G769-T0243	f66r	f66	f66r.61	10	11	okedy	0	V99_CARD_NONEXACT_RAW_ONLY	Ansatz-/Zubereitungsposten	1	0	0
G779-R052	G769-T0246	f66r	f66	f66r.69	4	5	kcheeky	1	NO_V99R7_COMPLETE_WORD_CARD_READER_EXACT	Ansatz-/Zubereitungsposten	0	0	0
G779-R053	G769-T0252	f75r	f75	f75r.5	7	8	olsheedy	0	V99_CARD_NONEXACT_RAW_ONLY	Ansatz-/Zubereitungsposten	1	0	0
G779-R054	G769-T0256	f75r	f75	f75r.24	7	0	NONE	0	LINE_FINAL_NO_RIGHT	Ansatz-/Zubereitungsposten	0	0	0
G779-R055	G769-T0260	f75r	f75	f75r.29	6	7	okeedyqol	0	NO_V99R7_COMPLETE_WORD_CARD_READER_NONEXACT	Ansatz-/Zubereitungsposten	0	0	0
G779-R056	G769-T0268	f75v	f75	f75v.12	5	6	chey	0	V99_CARD_NONEXACT_RAW_ONLY	Ansatz-/Zubereitungsposten	1	0	0
G779-R057	G769-T0269	f75v	f75	f75v.15	2	3	olain	0	V99_CARD_NONEXACT_RAW_ONLY	Ansatz-/Zubereitungsposten	1	0	0
G779-R058	G769-T0272	f75v	f75	f75v.40	6	7	sheedy	0	V99_CARD_NONEXACT_RAW_ONLY	Ansatz-/Zubereitungsposten	1	0	0
G779-R059	G769-T0274	f75v	f75	f75v.41	6	7	shey	0	V99_CARD_NONEXACT_RAW_ONLY	Ansatz-/Zubereitungsposten	1	0	0
G779-R060	G769-T0275	f75v	f75	f75v.41	8	9	shey	0	V99_CARD_NONEXACT_RAW_ONLY	Ansatz-/Zubereitungsposten	1	0	0
G779-R061	G769-T0280	f75v	f75	f75v.61	4	5	otchdy	0	V99_CARD_NONEXACT_RAW_ONLY	Ansatz-/Zubereitungsposten	1	0	0
G779-R062	G769-T0281	f75v	f75	f75v.62	4	5	olsheey	0	NO_V99R7_COMPLETE_WORD_CARD_READER_NONEXACT	Ansatz-/Zubereitungsposten	0	0	0
G779-R063	G769-T0282	f76r	f76	f76r.3	11	12	chedy	0	V99_CARD_NONEXACT_RAW_ONLY	Ansatz-/Zubereitungsposten	1	0	0
