edge_id	batch_id	span_id	target_occurrence_id	page	physical_folio	locus	ol_ordinal	right_ordinal	right_surface	written_span_eva	selection_rule	score_eligible	component_export_credit
G779-E001	GDT779_EXACT_OL_RESIDUAL_V99R7_WHOLE	G779-S001	G769-T0031	f104r	f104	f104r.14	9	10	oeeal	ol oeeal	GDT778_RENDERER_CONTEXTUAL_0_AND_COMPLETE_RIGHT_SURFACE_V99R7_CARD_MATCH_AND_RIGHT_READER_EXACT_1	0	0
G779-E002	GDT779_EXACT_OL_RESIDUAL_V99R7_WHOLE	G779-S002	G769-T0035	f104v	f104	f104v.3	11	12	dl	ol dl	GDT778_RENDERER_CONTEXTUAL_0_AND_COMPLETE_RIGHT_SURFACE_V99R7_CARD_MATCH_AND_RIGHT_READER_EXACT_1	0	0
G779-E003	GDT779_EXACT_OL_RESIDUAL_V99R7_WHOLE	G779-S003	G769-T0036	f104v	f104	f104v.9	7	8	chedaiin	ol chedaiin	GDT778_RENDERER_CONTEXTUAL_0_AND_COMPLETE_RIGHT_SURFACE_V99R7_CARD_MATCH_AND_RIGHT_READER_EXACT_1	0	0
G779-E004	GDT779_EXACT_OL_RESIDUAL_V99R7_WHOLE	G779-S004	G769-T0061	f106v	f106	f106v.46	7	8	oky	ol oky	GDT778_RENDERER_CONTEXTUAL_0_AND_COMPLETE_RIGHT_SURFACE_V99R7_CARD_MATCH_AND_RIGHT_READER_EXACT_1	0	0
G779-E005	GDT779_EXACT_OL_RESIDUAL_V99R7_WHOLE	G779-S005	G769-T0067	f107r	f107	f107r.46	5	6	cheor	ol cheor	GDT778_RENDERER_CONTEXTUAL_0_AND_COMPLETE_RIGHT_SURFACE_V99R7_CARD_MATCH_AND_RIGHT_READER_EXACT_1	0	0
G779-E006	GDT779_EXACT_OL_RESIDUAL_V99R7_WHOLE	G779-S006	G769-T0074	f108r	f108	f108r.6	1	2	cheol	ol cheol	GDT778_RENDERER_CONTEXTUAL_0_AND_COMPLETE_RIGHT_SURFACE_V99R7_CARD_MATCH_AND_RIGHT_READER_EXACT_1	0	0
G779-E007	GDT779_EXACT_OL_RESIDUAL_V99R7_WHOLE	G779-S007	G769-T0078	f108v	f108	f108v.3	2	3	lkedy	ol lkedy	GDT778_RENDERER_CONTEXTUAL_0_AND_COMPLETE_RIGHT_SURFACE_V99R7_CARD_MATCH_AND_RIGHT_READER_EXACT_1	0	0
G779-E008	GDT779_EXACT_OL_RESIDUAL_V99R7_WHOLE	G779-S008	G769-T0085	f108v	f108	f108v.27	8	9	cheal	ol cheal	GDT778_RENDERER_CONTEXTUAL_0_AND_COMPLETE_RIGHT_SURFACE_V99R7_CARD_MATCH_AND_RIGHT_READER_EXACT_1	0	0
G779-E009	GDT779_EXACT_OL_RESIDUAL_V99R7_WHOLE	G779-S009	G769-T0086	f108v	f108	f108v.31	1	2	cheol	ol cheol	GDT778_RENDERER_CONTEXTUAL_0_AND_COMPLETE_RIGHT_SURFACE_V99R7_CARD_MATCH_AND_RIGHT_READER_EXACT_1	0	0
G779-E010	GDT779_EXACT_OL_RESIDUAL_V99R7_WHOLE	G779-S010	G769-T0098	f111v	f111	f111v.50	9	10	loeees	ol loeees	GDT778_RENDERER_CONTEXTUAL_0_AND_COMPLETE_RIGHT_SURFACE_V99R7_CARD_MATCH_AND_RIGHT_READER_EXACT_1	0	0
