span_id	target_occurrence_id	page	physical_folio	locus	section	language	hand	register_id	ol_ordinal	right_ordinal	line_token_count	right_surface	written_span_eva	written_line_eva	right_reader_exact	old_gdt778_branch	old_gdt778_default_de	old_gdt778_contextual	v99_reading_id	v99_source_gdts	v99_card_decision	v99_evidence_class	v99_unconditional_global_export_allowed	selected_whole_default_de	new_gdt779_default_de	alternate_1_de	alternate_2_de	confidence	card_class	positive_evidence	counterevidence	scope_status	semantic_change_class	fallback_replacement	display_changed	inherited_consumed_token_ids	gdt779_consumed_token_id	same_row_inherited_consumption_takeover	new_unique_consumption	cross_row_consumption_collision	selection_rule	selection_uses_occurrence_id	selection_uses_semantics	exact_complete_whole_only	default_is_translation	confirmed_lexeme	confirmed_plaintext	component_export_credit
G779-S001	G769-T0031	f104r	f104	f104r.14	S	B	3	S|B|3	9	10	10	oeeal	ol oeeal	daiin choaiin qokechy qotal cheolor saiin olkeechey otal ol oeeal	1	INHERITED_GDT777	Ansatz-/Zubereitungsposten	0	oeeal#GLOBAL	GDT656:NEW_EXACT_WHOLE_LOCAL_ANALOGY	OUTSIDE_ACTIVE_V98_TRANCHE	INHERITED_GLOBAL_V48	1	Trockenmaterial I, Endstufe	Trockenmaterial I, Endstufe	Rohstoffklasse I	getrocknete Zubereitung I	C0	DIRECT_INHERITED_WHOLE_CARD	Zwei exakte Ganzwortvorkommen und GDT656s lokale Ganzwortanalogie tragen DRY/MATERIAL/I.	Kein seitenübergreifender Bedeutungsbeleg trennt Material, Klasse und genaue Stufe.	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	FALLBACK_REPLACEMENT	1	1	NONE	f104r.14@10	0	1	0	GDT778_RENDERER_CONTEXTUAL_0_AND_COMPLETE_RIGHT_SURFACE_V99R7_CARD_MATCH_AND_RIGHT_READER_EXACT_1	0	0	1	0	0	0	0
G779-S002	G769-T0035	f104v	f104	f104v.3	S	B	3	S|B|3	11	12	12	dl	ol dl	shod chedy qotaiin odaiin okeol ockhey chol qokeedy qotair oeedaiin ol dl	1	INHERITED_GDT777	Ansatz-/Zubereitungsposten	0	dl#GLOBAL	GDT661:EXACT_WHOLE	OUTSIDE_ACTIVE_V98_TRANCHE	INHERITED_GLOBAL_V48	1	Rohstoffmaß	Rohstoffmaß	Materialmenge	Dosisfeld	C1	DIRECT_INHERITED_WHOLE_CARD	18 exakte Ganzwortvorkommen auf 15 Seiten und die GDT661-Ganzwortkarte tragen MATERIAL plus MEASURE.	Keine Einheit oder Materialidentität ist bestimmt; Maß gegen Dosis bleibt offen.	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	FALLBACK_REPLACEMENT	1	1	NONE	f104v.3@12	0	1	0	GDT778_RENDERER_CONTEXTUAL_0_AND_COMPLETE_RIGHT_SURFACE_V99R7_CARD_MATCH_AND_RIGHT_READER_EXACT_1	0	0	1	0	0	0	0
G779-S003	G769-T0036	f104v	f104	f104v.9	S	B	3	S|B|3	7	8	12	chedaiin	ol chedaiin	ycheo lcheod otaiin qokeedy qokaiin cheor ol chedaiin qotar chedy qoty dal	1	INHERITED_GDT777	Ansatz-/Zubereitungsposten	0	chedaiin#1	GDT663|GDT714	INHERITED_V97	INHERITED_V97	1	abgemessene Trockenmenge III	abgemessene Trockenmenge III	Trockenwert III	getrocknete Portion, Stufe III	C1	DIRECT_INHERITED_WHOLE_CARD	GDT663/GDT714 finden die vollständige Familie an 32 Stellen; Trocken-, Mess- und III-Wertfelder konvergieren.	Stoff, historische Einheit und Wert gegen Menge oder Grad bleiben offen.	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	FALLBACK_REPLACEMENT	1	1	NONE	f104v.9@8	0	1	0	GDT778_RENDERER_CONTEXTUAL_0_AND_COMPLETE_RIGHT_SURFACE_V99R7_CARD_MATCH_AND_RIGHT_READER_EXACT_1	0	0	1	0	0	0	0
G779-S004	G769-T0061	f106v	f106	f106v.46	S	B	3	S|B|3	7	8	11	oky	ol oky	ytar okain cheokaiin chedy okeeey chkaiin ol oky raiin cheoar chos	1	INHERITED_GDT777	Ansatz-/Zubereitungsposten	0	oky#1	GDT647	INHERITED_V97	INHERITED_V97	1	erste Wärmestufe	erste Wärmestufe	heißer Ansatz am Anfang	erhitzte Grundform	C1	DIRECT_INHERITED_WHOLE_CARD	Die vollständige Karte hat zwei exakte Kernstellen; GDT758 stützt wiederkehrend HOT plus BEGIN und wählt erste Wärmestufe.	Ansatz gegen Form sowie Temperaturwort gegen bloße Stufe bleiben offen.	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	FALLBACK_REPLACEMENT	1	1	NONE	f106v.46@8	0	1	0	GDT778_RENDERER_CONTEXTUAL_0_AND_COMPLETE_RIGHT_SURFACE_V99R7_CARD_MATCH_AND_RIGHT_READER_EXACT_1	0	0	1	0	0	0	0
G779-S005	G769-T0067	f107r	f107	f107r.46	S	B	3	S|B|3	5	6	12	cheor	ol cheor	sar cheey qodaiin qokaiin ol cheor aiin otal taiin qokaiin otal alkal	1	INHERITED_GDT777	Ansatz-/Zubereitungsposten	0	cheor#GLOBAL	GDT642:ROUND_02	OUTSIDE_ACTIVE_V98_TRANCHE	INHERITED_GLOBAL_V48	1	trockener Teil	trockener Teil	getrocknete Portion	trockener Pflanzenteil	C1	RETIRED_PATIENT_SANITIZATION	71 exakte Ganzwortvorkommen; GDT737/GDT738 tragen DRY/PART und den Teil-/Portionsträger im Discovery-Pfad.	W23 bleibt unentschieden; Teil gegen Portion und der konkrete Patient sind offen.	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	FALLBACK_REPLACEMENT	1	1	NONE	f107r.46@6	0	1	0	GDT778_RENDERER_CONTEXTUAL_0_AND_COMPLETE_RIGHT_SURFACE_V99R7_CARD_MATCH_AND_RIGHT_READER_EXACT_1	0	0	1	0	0	0	0
G779-S006	G769-T0074	f108r	f108	f108r.6	S	B	3	S|B|3	1	2	13	cheol	ol cheol	ol cheol qo qokeey qokeey qokeedy sheoky otedy qotey qokchey chdar aiin y	1	INHERITED_GDT777	Ansatz-/Zubereitungsposten	0	cheol#1	GDT642|GDT712	INHERITED_V97	INHERITED_V97	1	Trockenmaterial	Trockenmaterial	getrocknetes Material	Trockenansatz	C1	DIRECT_INHERITED_WHOLE_CARD	GDT737/GDT738 stützen DRY/MATERIAL über 18 reader-exakte headed Stellen und 142 bare Vorkommen.	Patient und Material gegen Zubereitung bleiben offen; keine Teilform ist frei.	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	FALLBACK_REPLACEMENT	1	1	NONE	f108r.6@2	0	1	0	GDT778_RENDERER_CONTEXTUAL_0_AND_COMPLETE_RIGHT_SURFACE_V99R7_CARD_MATCH_AND_RIGHT_READER_EXACT_1	0	0	1	0	0	0	0
G779-S007	G769-T0078	f108v	f108	f108v.3	S	B	3	S|B|3	2	3	10	lkedy	ol lkedy	ssheedal ol lkedy lkeedy chedalkedy lkeedy qokechedy otedain oteey lol	1	INHERITED_GDT777	Ansatz-/Zubereitungsposten	0	lkedy#1	GDT690	INHERITED_V97	INHERITED_V97	1	erhitztes Material, Mittelstufe	erhitztes Material, Mittelstufe	erhitzte Zubereitung, Mittelstufe	Wärme-Endstufe	C0	RETIRED_PATIENT_SANITIZATION	GDT690 trägt am vollständigen Wort eine Wärme-/Ordinalrolle und eine nominale Identitätsposition.	Nur eine aktive Stelle; der alte konkrete Patient ist unbelegt, und Mittel- gegen Endstufe bleibt offen.	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	FALLBACK_REPLACEMENT	1	1	NONE	f108v.3@3	0	1	0	GDT778_RENDERER_CONTEXTUAL_0_AND_COMPLETE_RIGHT_SURFACE_V99R7_CARD_MATCH_AND_RIGHT_READER_EXACT_1	0	0	1	0	0	0	0
G779-S008	G769-T0085	f108v	f108	f108v.27	S	B	3	S|B|3	8	9	13	cheal	ol cheal	sal lcheal lkeeey okar ar ain olcheees ol cheal okaiin ykar al okalam	1	INHERITED_GDT777	Ansatz-/Zubereitungsposten	0	cheal#GLOBAL	GDT656:NEW_EXACT_WHOLE	OUTSIDE_ACTIVE_V98_TRANCHE	INHERITED_GLOBAL_V48	1	trockenes Rohmaterial I	trockenes Rohmaterial I	Trockenklasse I	getrocknete Zubereitung I	C2	DIRECT_INHERITED_WHOLE_CARD	GDT656 zählt 26 exakte Ganzwortvorkommen und eine wiederkehrende Trocken-/Material-/I-Positionsschale.	Rohmaterial gegen Zubereitung und die genaue Stufenposition bleiben unbestätigt.	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	FALLBACK_REPLACEMENT	1	1	NONE	f108v.27@9	0	1	0	GDT778_RENDERER_CONTEXTUAL_0_AND_COMPLETE_RIGHT_SURFACE_V99R7_CARD_MATCH_AND_RIGHT_READER_EXACT_1	0	0	1	0	0	0	0
G779-S009	G769-T0086	f108v	f108	f108v.31	S	B	3	S|B|3	1	2	13	cheol	ol cheol	ol cheol shed qokedy qokedain checkhed qoteedy otedy qokedy okeea r l kam	1	INHERITED_GDT777	Ansatz-/Zubereitungsposten	0	cheol#1	GDT642|GDT712	INHERITED_V97	INHERITED_V97	1	Trockenmaterial	Trockenmaterial	getrocknetes Material	Trockenansatz	C1	DIRECT_INHERITED_WHOLE_CARD	GDT737/GDT738 stützen DRY/MATERIAL über 18 reader-exakte headed Stellen und 142 bare Vorkommen.	Patient und Material gegen Zubereitung bleiben offen; keine Teilform ist frei.	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	FALLBACK_REPLACEMENT	1	1	NONE	f108v.31@2	0	1	0	GDT778_RENDERER_CONTEXTUAL_0_AND_COMPLETE_RIGHT_SURFACE_V99R7_CARD_MATCH_AND_RIGHT_READER_EXACT_1	0	0	1	0	0	0	0
G779-S010	G769-T0098	f111v	f111	f111v.50	S	B	3	S|B|3	9	10	12	loeees	ol loeees	shaiin qoiiin okain chey qokeeey okain chees ar ol loeees otain or	1	INHERITED_GDT777	Ansatz-/Zubereitungsposten	0	loeees#GLOBAL	GDT669:EXACT_WHOLE	OUTSIDE_ACTIVE_V98_TRANCHE	INHERITED_GLOBAL_V48	1	Zubereitungscharge, Endstufe	Zubereitungscharge, Endstufe	Materialcharge, Endstufe	abgeschlossene Zubereitung	C0	RETIRED_PATIENT_SANITIZATION	Zwei exakte Ganzwortvorkommen und GDT669 tragen CHARGE/PREPARATION plus eine späte Stufe.	Der alte konkrete Patient ist unbelegt; Charge gegen Zubereitung und die genaue Endstufe bleiben offen.	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	FALLBACK_REPLACEMENT	1	1	NONE	f111v.50@10	0	1	0	GDT778_RENDERER_CONTEXTUAL_0_AND_COMPLETE_RIGHT_SURFACE_V99R7_CARD_MATCH_AND_RIGHT_READER_EXACT_1	0	0	1	0	0	0	0
