right_surface	card_class	selected_default_de	confidence	v99_reading_id	v99_old_working_meaning_de_provenance_only	v99_old_spoken_default_de_provenance_only	v99_source_gdts	v99_positive_evidence_de	v99_counterevidence_de	v99_unconditional_global_export_allowed	v99_candidate_composition	old_literal_patient_detected	patient_sanitization_applied	gdt737_family	gdt737_candidate_de	gdt737_renderer_license	gdt738_discovery_decision	gdt738_w23_decision	gdt738_body_renderer_license	gdt749_outside_role_status	gdt758_later_whole_default_de	qockhey_gdt754_source_composition_quarantined	qockhey_gdt754_current_source_prose_de_provenance_only	qockhey_gdt754_source_composition	qockhey_gdt755_complete_whole_candidate_de	qockhey_gdt755_confidence	qockhey_gdt755_exact_occurrences	qockhey_gdt755_boundary_complete_occurrences	selected_exact_fallback_occurrences	exact_complete_whole_only	old_prose_used_as_active_default	default_is_translation	confirmed_lexeme	confirmed_plaintext	component_export_credit
chckhy	DIRECT_INHERITED_WHOLE_CARD	trockene Mischung, Anfangsstufe	C1	chckhy#V84_1	trockene Mischung, Anfangsstufe	trockene Mischung, Anfangsstufe	GDT651|GDT711	GDT711 trennt den kompakten Wortkern von der positionsgebundenen Satzrealisierung. || Trockene CKH-Schwesterzelle und Anfangszelle sind sichtbar.	Historisch unbestätigte Arbeitstheorie; keine Klartextidentifikation. || Mischung ist ein gelernter Familienkopf, keine freie CKH- oder Arzneibedeutung.	1	NONE	0	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	NONE	NONE	0	0	1	1	0	0	0	0	0
chcphy	COMPOSITION_DERIVED_WHOLE__NO_COMPONENT_EXPORT	trockene Mischung	C0	chcphy#G734	trockene Mischung	trockene Mischung	GDT637|GDT678|GDT710|GDT733|GDT734	Zehn Cache-Vorkommen und die ch/cphy-Familie stützen eine trockene Mischung als nominalen Ganzwortwert.	Context-only ch lizenziert keinen universellen Imperativ; Mischung gegen Arzneikompositum bleibt offen.	1	ch+cphy	0	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	NONE	NONE	0	0	1	1	0	0	0	0	0
chcthy	NEW_EXACT_OL_SCOPE	trockenes Pflanzenmaterial	C1	chcthy#GLOBAL	trockenes Pflanzenmaterial	trockenes Pflanzenmaterial	V13:DRY_CTH_MATERIAL|GDT730	V48-Quelle V13:DRY_CTH_MATERIAL mit Staerke NEW_PRIMARY_WORKING_WORD__SEMANTIC_PROVISIONAL und Scope KNOWN_CONTEXT_LICENSED; 75 exakte ZL3b-Vorkommen auf 53 Seiten und 74 Zeilen	keine unabhaengige Klartextzuordnung; Bedeutung bleibt Arbeitstheorie; Form-/Bedeutungsscope KNOWN_CONTEXT_LICENSED ist nicht global exakt	0	NONE	0	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	NONE	NONE	0	0	1	1	0	0	0	0	0
cheal	DIRECT_INHERITED_WHOLE_CARD	trockenes Rohmaterial I	C2	cheal#GLOBAL	Rohstoffklasse I, trocken in der Gradmitte	Rohstoffklasse I, trocken in der Gradmitte	GDT656:NEW_EXACT_WHOLE	V48-Quelle GDT656:NEW_EXACT_WHOLE mit Staerke EXACT_WHOLE_AL_QUALITY_POSITION_SHELL und Scope KNOWN_EXACT_WHOLE; 26 exakte ZL3b-Vorkommen auf 13 Seiten und 26 Zeilen	keine unabhaengige Klartextzuordnung; Bedeutung bleibt Arbeitstheorie	1	NONE	0	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	NONE	NONE	0	0	2	1	0	0	0	0	0
checkhy	DIRECT_INHERITED_WHOLE_CARD	trockene Mischung, Anfangsstufe	C1	checkhy#1	trockene Mischung, Anfangsstufe	trockene Mischung, Anfangsstufe	GDT651|GDT713	GDT713 trennt erneut Wortkern und lokale Realisierung: GDT651 belegt die exakte trockene CKH-Schwesterzelle und die Anfangsstufe; die aktive Stelle ist nominal und ohne Identitaetssignal. || 1 aktive exakte Positionen auf 1 Seiten und 1 Zeilen; letzte semantische Entscheidung GDT684: V57-Positionsaudit des geerbten Wortwerts; 0 aktionslizenzierte und 0 identitaetssignalisierte Positionen	GDT713 Gegenbeleg: E_ATTR hat keine bekannte lexikalische Bedeutung; Mischung bleibt ein gelernter Familienkopf und keine freie CKH-Uebersetzung. || Historisch unbestaetigte Arbeitstheorie; keine Klartextidentifikation.	1	NONE	0	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	NONE	NONE	0	0	1	1	0	0	0	0	0
chedaiin	DIRECT_INHERITED_WHOLE_CARD	abgemessene Trockenmenge III	C1	chedaiin#1	abgemessene Trockenmenge III, Mittelstufe	abgemessene Trockenmenge III, Mittelstufe	GDT663|GDT714	GDT714 trennt erneut Wortkern und lokale Realisierung: GDT663 belegt CH-E-D-A-IIN als exakte Ganzwortfamilie an 32 Stellen; GDT711 stuetzt trocken, Mittelstufe, Messkopf und Wert III als gebundene Felder. || 1 aktive exakte Positionen auf 1 Seiten und 1 Zeilen; letzte semantische Entscheidung GDT684: V57-Positionsaudit des geerbten Wortwerts; 0 aktionslizenzierte und 0 identitaetssignalisierte Positionen	GDT714 Gegenbeleg: Stoff, historische Einheit und die genaue III-Achse sind unbekannt; E und D bleiben gebunden und sind keine freien Woerter. || Historisch unbestaetigte Arbeitstheorie; keine Klartextidentifikation.	1	NONE	0	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	NONE	NONE	0	0	1	1	0	0	0	0	0
cheedy	DIRECT_INHERITED_WHOLE_CARD	getrocknetes Ergebnis, Endform	C2	cheedy#GLOBAL	trocken am Ende des Grades, abgeschlossen	trocken am Ende des Grades, abgeschlossen	GDT647:FAMILY_MIGRATION	V48-Quelle GDT647:FAMILY_MIGRATION mit Staerke EXACT_QUALITY_SUBDEGREE_FAMILY und Scope KNOWN_EXACT_WHOLE; 56 exakte ZL3b-Vorkommen auf 29 Seiten und 54 Zeilen	keine unabhaengige Klartextzuordnung; Bedeutung bleibt Arbeitstheorie	1	NONE	0	0	DRY_RESULT	getrocknetes Ergebnis, Form II	0	SUPPORTED_FAMILY_ONLY	SUPPORTED_FAMILY_ONLY	0	NONE	NONE	0	NONE	NONE	NONE	NONE	0	0	3	1	0	0	0	0	0
cheeky	DIRECT_INHERITED_WHOLE_CARD	getrocknet, dann leicht erhitzt	C2	cheeky#GLOBAL	trocken am Gradende, dann heiß am Gradanfang	trocken am Gradende, dann heiß am Gradanfang	GDT661:EXACT_WHOLE	V48-Quelle GDT661:EXACT_WHOLE mit Staerke STRONG_FAMILY_COMPOSITION und Scope KNOWN_EXACT_WHOLE; 23 exakte ZL3b-Vorkommen auf 22 Seiten und 23 Zeilen	keine unabhaengige Klartextzuordnung; Bedeutung bleibt Arbeitstheorie	1	NONE	0	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	NONE	NONE	0	0	2	1	0	0	0	0	0
cheeor	RETIRED_PATIENT_SANITIZATION	Portion Trockengut	C1	cheeor#GLOBAL	eine Portion vollständig getrocknete Droge	eine Portion vollständig getrocknete Droge	GDT668:EXACT_WHOLE	V48-Quelle GDT668:EXACT_WHOLE mit Staerke STRONG_PRACTICAL_OR_COMPOSITIONAL und Scope KNOWN_EXACT_WHOLE; 13 exakte ZL3b-Vorkommen auf 13 Seiten und 13 Zeilen	keine unabhaengige Klartextzuordnung; Bedeutung bleibt Arbeitstheorie	1	NONE	1	1	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	NONE	NONE	0	0	1	1	0	0	0	0	0
cheky	DIRECT_INHERITED_WHOLE_CARD	antrocknen, dann erwärmen	C0	cheky#1	bis zur mittleren Trockenstufe, dann leicht erhitzen	bis zur mittleren Trockenstufe, dann leicht erhitzen	GDT664	1 aktive exakte Positionen auf 1 Seiten und 1 Zeilen; letzte semantische Entscheidung GDT684: V57-Positionsaudit des geerbten Wortwerts; 1 aktionslizenzierte und 0 identitaetssignalisierte Positionen	historisch unbestaetigt; Score bewertet nur die interne Arbeitstheorie; aktuelle GDT684-Schuld: NONE	1	NONE	0	0	NONE	NONE	0	NONE	NONE	0	K1_OUTSIDE_RIVAL_LEAD_NOT_REJECTION	NONE	0	NONE	NONE	NONE	NONE	0	0	1	1	0	0	0	0	0
