exclusion_id	target_occurrence_id	page	physical_folio	locus	ol_ordinal	right_ordinal	right_surface	right_reader_exact	v99_reading_id	final_44_deck_member	exclusion_reason	selection_rule	selection_uses_occurrence_id	default_is_translation	confirmed_lexeme	component_export_credit
G779-X001	G769-T0014	f103r	f103	f103r.46	9	10	loiin	0	loiin#GLOBAL	0	V99R7_COMPLETE_WORD_CARD_MATCH_BUT_RIGHT_READER_NONEXACT	GDT778_RENDERER_CONTEXTUAL_0_AND_COMPLETE_RIGHT_SURFACE_V99R7_CARD_MATCH_AND_RIGHT_READER_EXACT_1	0	0	0	0
G779-X002	G769-T0033	f104r	f104	f104r.23	1	2	sheockhey	0	sheockhey#GLOBAL	0	V99R7_COMPLETE_WORD_CARD_MATCH_BUT_RIGHT_READER_NONEXACT	GDT778_RENDERER_CONTEXTUAL_0_AND_COMPLETE_RIGHT_SURFACE_V99R7_CARD_MATCH_AND_RIGHT_READER_EXACT_1	0	0	0	0
G779-X003	G769-T0068	f107r	f107	f107r.51	4	5	cheey	0	cheey#1	0	V99R7_COMPLETE_WORD_CARD_MATCH_BUT_RIGHT_READER_NONEXACT	GDT778_RENDERER_CONTEXTUAL_0_AND_COMPLETE_RIGHT_SURFACE_V99R7_CARD_MATCH_AND_RIGHT_READER_EXACT_1	0	0	0	0
G779-X004	G769-T0080	f108v	f108	f108v.18	11	12	l	0	l#1	0	V99R7_COMPLETE_WORD_CARD_MATCH_BUT_RIGHT_READER_NONEXACT	GDT778_RENDERER_CONTEXTUAL_0_AND_COMPLETE_RIGHT_SURFACE_V99R7_CARD_MATCH_AND_RIGHT_READER_EXACT_1	0	0	0	0
G779-X005	G769-T0092	f111r	f111	f111r.20	12	13	l	0	l#1	0	V99R7_COMPLETE_WORD_CARD_MATCH_BUT_RIGHT_READER_NONEXACT	GDT778_RENDERER_CONTEXTUAL_0_AND_COMPLETE_RIGHT_SURFACE_V99R7_CARD_MATCH_AND_RIGHT_READER_EXACT_1	0	0	0	0
G779-X006	G769-T0094	f111v	f111	f111v.14	4	5	oin	0	oin#GLOBAL	0	V99R7_COMPLETE_WORD_CARD_MATCH_BUT_RIGHT_READER_NONEXACT	GDT778_RENDERER_CONTEXTUAL_0_AND_COMPLETE_RIGHT_SURFACE_V99R7_CARD_MATCH_AND_RIGHT_READER_EXACT_1	0	0	0	0
G779-X007	G769-T0095	f111v	f111	f111v.18	13	14	dain	0	dain#V84_CORE	0	V99R7_COMPLETE_WORD_CARD_MATCH_BUT_RIGHT_READER_NONEXACT	GDT778_RENDERER_CONTEXTUAL_0_AND_COMPLETE_RIGHT_SURFACE_V99R7_CARD_MATCH_AND_RIGHT_READER_EXACT_1	0	0	0	0
G779-X008	G769-T0116	f113v	f113	f113v.15	6	7	tchdy	0	tchdy#1	0	V99R7_COMPLETE_WORD_CARD_MATCH_BUT_RIGHT_READER_NONEXACT	GDT778_RENDERER_CONTEXTUAL_0_AND_COMPLETE_RIGHT_SURFACE_V99R7_CARD_MATCH_AND_RIGHT_READER_EXACT_1	0	0	0	0
G779-X009	G769-T0139	f115v	f115	f115v.1	9	10	raiin	0	raiin#1	0	V99R7_COMPLETE_WORD_CARD_MATCH_BUT_RIGHT_READER_NONEXACT	GDT778_RENDERER_CONTEXTUAL_0_AND_COMPLETE_RIGHT_SURFACE_V99R7_CARD_MATCH_AND_RIGHT_READER_EXACT_1	0	0	0	0
G779-X010	G769-T0149	f116r	f116	f116r.26	6	7	cheedy	0	cheedy#GLOBAL	1	V99R7_COMPLETE_WORD_CARD_MATCH_BUT_RIGHT_READER_NONEXACT	GDT778_RENDERER_CONTEXTUAL_0_AND_COMPLETE_RIGHT_SURFACE_V99R7_CARD_MATCH_AND_RIGHT_READER_EXACT_1	0	0	0	0
