passage_patch_id	span_ids	target_occurrence_ids	page	physical_folio	locus	target_count	right_surfaces	right_token_ids	selected_whole_defaults_de	written_line_eva	inherited_gdt778_patch_de	gdt779_practical_patch_de	patch_legend	default_is_translation	confirmed_plaintext	component_export_credit
G779-P001	G779-S001	G769-T0031	f104r	f104	f104r.14	1	oeeal	f104r.14@10	Trockenmaterial I, Endstufe	daiin choaiin qokechy qotal cheolor saiin olkeechey otal ol oeeal	daiin choaiin qokechy qotal cheolor saiin olkeechey otal ol oeeal	daiin choaiin qokechy qotal cheolor saiin olkeechey otal ⟦Trockenmaterial I, Endstufe⟧	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G779-P002	G779-S002	G769-T0035	f104v	f104	f104v.3	1	dl	f104v.3@12	Rohstoffmaß	shod chedy qotaiin odaiin okeol ockhey chol qokeedy qotair oeedaiin ol dl	shod chedy qotaiin odaiin okeol ockhey chol qokeedy qotair oeedaiin ol dl	shod chedy qotaiin odaiin okeol ockhey chol qokeedy qotair oeedaiin ⟦Rohstoffmaß⟧	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G779-P003	G779-S003	G769-T0036	f104v	f104	f104v.9	1	chedaiin	f104v.9@8	abgemessene Trockenmenge III	ycheo lcheod otaiin qokeedy qokaiin cheor ol chedaiin qotar chedy qoty dal	ycheo lcheod otaiin qokeedy qokaiin cheor ol chedaiin qotar chedy qoty dal	ycheo lcheod otaiin qokeedy qokaiin cheor ⟦abgemessene Trockenmenge III⟧ qotar chedy qoty dal	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G779-P004	G779-S004	G769-T0061	f106v	f106	f106v.46	1	oky	f106v.46@8	erste Wärmestufe	ytar okain cheokaiin chedy okeeey chkaiin ol oky raiin cheoar chos	ytar okain cheokaiin chedy okeeey chkaiin ol oky raiin cheoar chos	ytar okain cheokaiin chedy okeeey chkaiin ⟦erste Wärmestufe⟧ raiin cheoar chos	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G779-P005	G779-S005	G769-T0067	f107r	f107	f107r.46	1	cheor	f107r.46@6	trockener Teil	sar cheey qodaiin qokaiin ol cheor aiin otal taiin qokaiin otal alkal	sar cheey qodaiin qokaiin ol cheor aiin otal taiin qokaiin otal alkal	sar cheey qodaiin qokaiin ⟦trockener Teil⟧ aiin otal taiin qokaiin otal alkal	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G779-P006	G779-S006	G769-T0074	f108r	f108	f108r.6	1	cheol	f108r.6@2	Trockenmaterial	ol cheol qo qokeey qokeey qokeedy sheoky otedy qotey qokchey chdar aiin y	ol cheol qo qokeey qokeey qokeedy sheoky otedy qotey qokchey chdar aiin y	⟦Trockenmaterial⟧ qo qokeey qokeey qokeedy sheoky otedy qotey qokchey chdar aiin y	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G779-P007	G779-S008	G769-T0085	f108v	f108	f108v.27	1	cheal	f108v.27@9	trockenes Rohmaterial I	sal lcheal lkeeey okar ar ain olcheees ol cheal okaiin ykar al okalam	sal lcheal lkeeey okar ar ain olcheees ol cheal okaiin ykar al okalam	sal lcheal lkeeey okar ar ain olcheees ⟦trockenes Rohmaterial I⟧ okaiin ykar al okalam	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G779-P008	G779-S007	G769-T0078	f108v	f108	f108v.3	1	lkedy	f108v.3@3	erhitztes Material, Mittelstufe	ssheedal ol lkedy lkeedy chedalkedy lkeedy qokechedy otedain oteey lol	ssheedal ol lkedy lkeedy chedalkedy lkeedy qokechedy otedain oteey lol	ssheedal ⟦erhitztes Material, Mittelstufe⟧ lkeedy chedalkedy lkeedy qokechedy otedain oteey lol	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G779-P009	G779-S009	G769-T0086	f108v	f108	f108v.31	1	cheol	f108v.31@2	Trockenmaterial	ol cheol shed qokedy qokedain checkhed qoteedy otedy qokedy okeea r l kam	ol cheol shed qokedy qokedain checkhed qoteedy otedy qokedy okeea r l kam	⟦Trockenmaterial⟧ shed qokedy qokedain checkhed qoteedy otedy qokedy okeea r l kam	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G779-P010	G779-S010	G769-T0098	f111v	f111	f111v.50	1	loeees	f111v.50@10	Zubereitungscharge, Endstufe	shaiin qoiiin okain chey qokeeey okain chees ar ol loeees otain or	shaiin qoiiin okain chey qokeeey okain chees ar ol loeees otain or	shaiin qoiiin okain chey qokeeey okain chees ar ⟦Zubereitungscharge, Endstufe⟧ otain or	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
