metric	value	guard
status	PASS_FIVE_BOUNDED_INTERFACE_BRIDGES__ZERO_SUPPORT_RESTS	GDT552_REPLAYED_METRIC
source_interface_card_count	5	GDT552_REPLAYED_METRIC
old_direct_target_pair_event_count	0	GDT552_REPLAYED_METRIC
old_one_gap_witness_count	11	GDT552_REPLAYED_METRIC
old_one_gap_supported_target_count	4	GDT552_REPLAYED_METRIC
old_statement_boundary_witness_count	76	GDT552_REPLAYED_METRIC
old_statement_boundary_supported_target_count	4	GDT552_REPLAYED_METRIC
old_visible_target_seam_boundary_count	6	GDT552_REPLAYED_METRIC
old_exact_aiicthy_tile_path_count	1	GDT552_REPLAYED_METRIC
gdt444_shs_focus_witness_count	5	GDT552_REPLAYED_METRIC
gdt526_chap_family_license_count	1	GDT552_REPLAYED_METRIC
current_non_target_reinforcement_count	10	GDT552_REPLAYED_METRIC
finite_gate_pass_count	5	GDT552_REPLAYED_METRIC
selected_bridge_class_count	4	GDT552_REPLAYED_METRIC
promoted_interface_card_count	5	GDT552_REPLAYED_METRIC
promoted_exact_visible_route_count	5	GDT552_REPLAYED_METRIC
promoted_complete_neutral_meaning_count	5	GDT552_REPLAYED_METRIC
promoted_complete_context_meaning_count	5	GDT552_REPLAYED_METRIC
residual_support_rest_count	0	GDT552_REPLAYED_METRIC
new_pages	0	GDT552_REPLAYED_METRIC
recipe_changes	0	GDT552_REPLAYED_METRIC
root_meaning_changes	0	GDT552_REPLAYED_METRIC
