witness_ordinal	target_surface	ordered_pair	reinforcement_class	event_or_pair_id	physical_page	statement_id	surface_trace	recipe_trace	guard
1	aiicthy	AIIN>CH	CURRENT_NON_TARGET_CARD_BOUNDARY	G515-E0140>G515-E0141	f20v	G515-S008	shokaiin|chocthy	SH+OK+AIIN|CH+O+CH+T+Y	CURRENT_ADMITTED_REINFORCEMENT__NOT_TARGET_SELF_SUPPORT
2	aiicthy	AIIN>CH	CURRENT_NON_TARGET_CARD_BOUNDARY	G515-E0197>G515-E0198	f31r	G515-S013	saiin|checkhey	S+AIIN|CH+E+CH+K+E+Y	CURRENT_ADMITTED_REINFORCEMENT__NOT_TARGET_SELF_SUPPORT
3	aiicthy	AIIN>CH	CURRENT_NON_TARGET_CARD_BOUNDARY	G515-E0030>G515-E0031	f4r	G515-S002	okaiin|cthy	OK+AIIN|CH+T+Y	CURRENT_ADMITTED_REINFORCEMENT__NOT_TARGET_SELF_SUPPORT
4	aiicthy	AIIN>CH	CURRENT_NON_TARGET_CARD_BOUNDARY	G515-E0039>G515-E0040	f4r	G515-S004	qotaiin|cthol	OT+AIIN|CH+T+OL	CURRENT_ADMITTED_REINFORCEMENT__NOT_TARGET_SELF_SUPPORT
5	aiicthy	AIIN>CH	CURRENT_NON_TARGET_CARD_BOUNDARY	G515-E0041>G515-E0042	f4r	G515-S004	daiin|cthom	AIIN|CH+T+O+M_LOCAL	CURRENT_ADMITTED_REINFORCEMENT__NOT_TARGET_SELF_SUPPORT
6	aiicthy	AIIN>CH	CURRENT_NON_TARGET_CARD_BOUNDARY	G515-E0048>G515-E0049	f4r	G515-S005	daiin|ckhochy	AIIN|CH+K+O+CH+Y	CURRENT_ADMITTED_REINFORCEMENT__NOT_TARGET_SELF_SUPPORT
7	aiicthy	AIIN>CH	CURRENT_NON_TARGET_CARD_BOUNDARY	G515-E0061>G515-E0062	f4r	G515-S005	chaiin|chaiin	CH+AIIN|CH+AIIN	CURRENT_ADMITTED_REINFORCEMENT__NOT_TARGET_SELF_SUPPORT
8	aiicthy	AIIN>CH	CURRENT_NON_TARGET_CARD_BOUNDARY	G515-E0063>G515-E0064	f4r	G515-S005	daiin|cthey	AIIN|CH+T+E+Y	CURRENT_ADMITTED_REINFORCEMENT__NOT_TARGET_SELF_SUPPORT
9	shso	SH>S	CURRENT_NON_TARGET_ONE_GAP_CARD	G515-E0112	f20v	G515-S008	shos	SH+O+S	CURRENT_ADMITTED_REINFORCEMENT__NOT_TARGET_SELF_SUPPORT
10	shso	SH>S	CURRENT_NON_TARGET_ONE_GAP_CARD	G515-E0450	f66r	G515-S052	shes	SH+E+S	CURRENT_ADMITTED_REINFORCEMENT__NOT_TARGET_SELF_SUPPORT
