witness_ordinal	target_surface	ordered_pair	source_deck	statement_id	physical_page	register	left_event_id	right_event_id	left_surface	right_surface	left_recipe	right_recipe	visible_left_seam	visible_right_seam	visible_target_seam_exact	exact_aiicthy_target_tile_path	guard
1	aiicthy	AIIN>CH	GDT407_OLD26	G404-S001	f1r	SOURCE_SECTION_T	G407-E0043	G407-E0044	cthaiin	cphar	CH+T+AIIN	CH+P+AR	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
2	shso	SH>S	GDT407_OLD26	G404-S002	f1r	SOURCE_SECTION_T	G407-E0051	G407-E0052	sh	s	SH	S	sh	s	YES	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
3	aiicthy	AIIN>CH	GDT407_OLD26	G404-S005	f1r	SOURCE_SECTION_T	G407-E0090	G407-E0091	kodaiin	cphy	K+O+D_ADDR+AIIN	CH+P+Y	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
4	aiicthy	AIIN>CH	GDT407_OLD26	G404-S005	f1r	SOURCE_SECTION_T	G407-E0100	G407-E0101	odaiin	chodain	O+D_ADDR+AIIN	CH+O+D_ADDR+AIN	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
5	aiicthy	AIIN>CH	GDT407_OLD26	G404-S006	f1r	SOURCE_SECTION_T	G407-E0188	G407-E0189	daiin	ctholdar	AIIN	CH+T+OL+D_ADDR+AR	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
6	aiicthy	AIIN>CH	GDT407_OLD26	P1009-S001	f10r	HERBAL	G407-E0236	G407-E0237	daiin	chocthy	AIIN	CH+O+CH+T+Y	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
7	aiicthy	AIIN>CH	GDT407_OLD26	P1009-S001	f10r	HERBAL	G407-E0245	G407-E0246	chaiin	chcthy	CH+AIIN	CH+CH+T+Y	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
8	aiicthy	AIIN>CH	GDT407_OLD26	P1009-S001	f10r	HERBAL	G407-E0250	G407-E0251	aiin	chtchor	AIIN	CH+T+CH+OR	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
9	aiicthy	AIIN>CH	GDT407_OLD26	P1009-S002	f10r	HERBAL	G407-E0272	G407-E0273	daiin	cth	AIIN	CH+T	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
10	aiicthy	AIIN>CH	GDT407_OLD26	P1009-S003	f11r	HERBAL	G407-E0310	G407-E0311	shfydaiin	cphy	SH+Y+AIIN	CH+P+Y	aii	ch	NO	NO	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
11	aiicthy	AIIN>CH	GDT407_OLD26	P1009-S004	f11r	HERBAL	G407-E0344	G407-E0345	daiin	cthy	AIIN	CH+T+Y	aii	ch	NO	YES	CONSECUTIVE_CARDS_SAME_STATEMENT__LAST_TO_FIRST_ROOT_BOUNDARY
