witness_ordinal	target_surface	ordered_pair	source_deck	event_id	physical_page	register	statement_id	surface	full_recipe	pair_start_atom_ordinal	separator_atom	observed_sequence	gdt444_observed_focus_witness	guard
1	rotaiin	R>OT	GDT407_OLD26	G407-E0034	f1r	SOURCE_SECTION_T	G404-S001	roloty	R+OL+OT+Y	1	OL	R+OL+OT	NO	EXACT_ORDERED_ROOTS_WITH_ONE_VISIBLE_RECIPE_ATOM_BETWEEN
2	shso	SH>S	GDT407_OLD26	G407-E0066	f1r	SOURCE_SECTION_T	G404-S003	shos	SH+O+S	1	O	SH+O+S	NO	EXACT_ORDERED_ROOTS_WITH_ONE_VISIBLE_RECIPE_ATOM_BETWEEN
3	shso	SH>S	GDT407_OLD26	G407-E1006	f67r2	CELESTIAL	P1009-S041	shees	SH+EE+S	1	EE	SH+EE+S	YES	EXACT_ORDERED_ROOTS_WITH_ONE_VISIBLE_RECIPE_ATOM_BETWEEN
4	shso	SH>S	GDT407_OLD26	G407-E1393	f72r	CELESTIAL	P1009-S069	shees	SH+EE+S	1	EE	SH+EE+S	YES	EXACT_ORDERED_ROOTS_WITH_ONE_VISIBLE_RECIPE_ATOM_BETWEEN
5	chap	A_ADDR>P	GDT407_OLD26	G407-E1398	f72r	CELESTIAL	P1009-S069	okaipchy	OK+A_ADDR+LOCAL_CHAR_I+P+CH+Y	2	LOCAL_CHAR_I	A_ADDR+LOCAL_CHAR_I+P	NO	EXACT_ORDERED_ROOTS_WITH_ONE_VISIBLE_RECIPE_ATOM_BETWEEN
6	shso	SH>S	GDT407_OLD26	G407-E1411	f72r	CELESTIAL	P1009-S069	shes	SH+E+S	1	E	SH+E+S	YES	EXACT_ORDERED_ROOTS_WITH_ONE_VISIBLE_RECIPE_ATOM_BETWEEN
7	ofaram	AR>AM_ADDR	GDT407_OLD26	G407-E1730	f75r	BIOLOGICAL	P1009-S133	darom	D_ADDR+AR+O+AM_ADDR	2	O	AR+O+AM_ADDR	NO	EXACT_ORDERED_ROOTS_WITH_ONE_VISIBLE_RECIPE_ATOM_BETWEEN
8	shso	SH>S	GDT407_OLD26	G407-E2760	f81r	BIOLOGICAL	G404-S015	dshees	D_ADDR+SH+EE+S	2	EE	SH+EE+S	YES	EXACT_ORDERED_ROOTS_WITH_ONE_VISIBLE_RECIPE_ATOM_BETWEEN
9	chap	A_ADDR>P	GDT407_OLD26	G407-E4418	f95v	HERBAL	G404-S063	kaipy	K+A_ADDR+LOCAL_CHAR_I+P+Y	2	LOCAL_CHAR_I	A_ADDR+LOCAL_CHAR_I+P	NO	EXACT_ORDERED_ROOTS_WITH_ONE_VISIBLE_RECIPE_ATOM_BETWEEN
10	shso	SH>S	GDT407_OLD26	G407-E4439	f95v	HERBAL	G404-S065	shos	SH+O+S	1	O	SH+O+S	NO	EXACT_ORDERED_ROOTS_WITH_ONE_VISIBLE_RECIPE_ATOM_BETWEEN
11	shso	SH>S	GDT407_OLD26	G407-E4560	f95v	HERBAL	G404-S086	tshes	T+SH+E+S	2	E	SH+E+S	YES	EXACT_ORDERED_ROOTS_WITH_ONE_VISIBLE_RECIPE_ATOM_BETWEEN
