statement_id	page	phrase_id	direction	source_surface	left_reading_de	right_reading_de	fluent_phrase_de	source_cards_retained
H3-S004	f11r	P01_SET_TO_READY	PROCESS_TO_STATE	okchol cthy	ANSETZEN · FORTSETZEN	BEREIT · ARBEITSPOSTEN	Weiter ansetzen, bis der Posten bereit ist.	YES
B2-S005	f82r	P01_SET_TO_READY	PROCESS_TO_STATE	qokaiin octheol	ANSETZEN · SOLLMASS	ARBEITSGANG · BEREIT · KURZ · FORTSETZEN	Nach Sollmass ansetzen; den Arbeitsgang kurz bis bereit fuehren und fortsetzen.	YES
B2-S008	f82r	P02_SET_TO_SETTLE_CLOSE	PROCESS_TO_STATE	qokar shedy	ANSETZEN · VORRAT	ABSETZEN; SCHLUSS	Aus dem Vorrat ansetzen, absetzen lassen und abschliessen.	YES
B2-S012	f82r	P03_READY_TO_GRADED_SET	STATE_TO_PROCESS	qcthey qokeey	BEREIT · KURZ · ARBEITSPOSTEN	ANSETZEN · LANG · ARBEITSPOSTEN	Den Posten kurz bereit halten und danach laenger ansetzen.	YES
B3-S011	f83r	P04_READY_TRANSFER_TO_SET	STATE_TO_PROCESS	shecthedchy qoky	HALTEN · KURZ · BIS BEREIT; UMSETZEN · ARBEITSPOSTEN	ANSETZEN · ARBEITSPOSTEN	Kurz halten bis bereit, den Posten umsetzen und neu ansetzen.	YES
B3-S013	f83r	P03_READY_TO_GRADED_SET	STATE_TO_PROCESS	shcthey qokedy	BEREIT · KURZ · ARBEITSPOSTEN	ANSETZEN · KURZ; SCHLUSS	Den Posten kurz bereit halten, kurz ansetzen und abschliessen.	YES
B3-S021	f83r	P01_SET_TO_READY	PROCESS_TO_STATE	qokaiin shcthy	ANSETZEN · SOLLMASS	BEREIT · ARBEITSPOSTEN	Nach Sollmass ansetzen, bis der Posten bereit ist.	YES
B3-S021	f83r	P05_READY_TO_TRANSFER_CLOSE	STATE_TO_PROCESS	shcthy dalchdy	BEREIT · ARBEITSPOSTEN	ZIELSTELLE · UMSETZEN; SCHLUSS	Den bereiten Posten an der Zielstelle umsetzen und abschliessen.	YES
B3-S026	f83r	P01_SET_TO_READY	PROCESS_TO_STATE	qokain checthy	ANSETZEN · PORTION	BEREIT · ARBEITSPOSTEN	Eine Portion ansetzen, bis der Posten bereit ist.	YES
B4-S011	f83r	P06_WARM_TO_CONTINUED_SET	STATE_TO_PROCESS	cheky okeeol	WAERMEN · KURZ · ARBEITSPOSTEN	ANSETZEN · LANG · FORTSETZEN	Den Posten kurz waermen und danach laenger fortsetzen.	YES
B4-S013	f83r	P02_SET_TO_SETTLE_CLOSE	PROCESS_TO_STATE	qokol shedy	ANSETZEN · FORTSETZEN	ABSETZEN; SCHLUSS	Weiter ansetzen, absetzen lassen und abschliessen.	YES
