master_card_id	master_form	registered_surfaces	herbal_value_de	noun_class	grounding	herbal_occurrences	records	event_ids	reading_note_de
MC071	dchey	dchey	Wurzel	PFLANZENTEIL	DIRECT_VISIBLE	1	H1	E001	Wurzelstock ist im f10r-Bild sichtbar
MC114	sh	sh	Stängel	PFLANZENTEIL	DIRECT_VISIBLE	1	H5	E087	Stängelsystem ist im f56r-Bild sichtbar
MC086	chety	chety|chty	Teil	MATERIALTEIL	OWNER_INHERITED	1	H1	E004	Teil der aktiven Bildpflanze oder Zubereitung
MC069	otytchol	otytchol	Folgeteil	MATERIALTEIL	OWNER_INHERITED	1	H1	E007	folgender Teil des aktiven Pflanzenpostens
MC108	etyd	etyd	kleiner Rest	MATERIALTEIL	OWNER_INHERITED	1	H1	E010	kleiner verbleibender Teil
MC062	shoyty	shoyty	Zugabeteil	MATERIALTEIL	OWNER_INHERITED	1	H3	E046	Teil, der als Zugabe geführt wird
MC047	ykain	ykain	erste Portion	PORTION	WORKSHOP_INFERRED	1	H4	E058	erste abgegrenzte Portion
MC148	ykan	ykan	zweite Portion	PORTION	WORKSHOP_INFERRED	1	H4	E059	zweite abgegrenzte Portion
MC072	orain	orain	Bereitungsanteil	PORTION	WORKSHOP_INFERRED	1	H4	E073	Anteil aus der laufenden Bereitung
MC170	ykaiin	ykaiin	Sollportion	PORTION	WORKSHOP_INFERRED	1	H4	E064	vorgeschriebene Portion
MC159	os	os	Aufnahmegefäß	GEFÄSS_ORT	WORKSHOP_INFERRED	1	H1	E005	Empfänger für den ersten Pflanzenposten
MC027	oykchor	oykchor	Zubereitungsgefäß	GEFÄSS_ORT	WORKSHOP_INFERRED	1	H2	E032	Gefäß für die laufende Zubereitung
MC160	talam	talam	Verwahrort	GEFÄSS_ORT	WORKSHOP_INFERRED	1	H4	E063	Ort zum Verwahren einer Portion
MC075	ycheor	ycheor	Auszugsansatz	ZUBEREITUNG_AUSZUG	WORKSHOP_INFERRED	1	H2	E015	Auszug, der als Ansatz weitergeführt wird
MC080	chor	chor|or|shor|sor	Ansatz	ZUBEREITUNG_AUSZUG	WORKSHOP_INFERRED	5	H2|H4	E017|E025|E033|E034|E071	neutraler laufender Ansatz
MC013	otchor	otchor|qotchor	Folgeansatz	ZUBEREITUNG_AUSZUG	WORKSHOP_INFERRED	2	H2|H5	E024|E080	folgender Ansatz
MC157	cholor	cholor|olor	derselbe Ansatz	ZUBEREITUNG_AUSZUG	WORKSHOP_INFERRED	1	H2	E028	derselbe fortgeführte Ansatz
MC098	tshol	tshol	Kochgut	ZUBEREITUNG_AUSZUG	OWNER_INHERITED	1	H3	E039	Material, das gekocht oder behandelt wird
MC049	schoal	schoal	Sudansatz	ZUBEREITUNG_AUSZUG	WORKSHOP_INFERRED	1	H3	E040	flüssiger oder feuchter Arbeitsansatz
MC119	cheey	cheey|shey	Klarlauf	ZUBEREITUNG_AUSZUG	WORKSHOP_INFERRED	1	H3	E044	geklärter Ablauf oder Auszug
MC085	cheoar	cheoar	Quellauszug	ZUBEREITUNG_AUSZUG	WORKSHOP_INFERRED	1	H4	E065	Auszug von der markierten Quelle
MC125	chochor	chochor	Zugabeansatz	ZUBEREITUNG_AUSZUG	WORKSHOP_INFERRED	1	H5	E074	Ansatz mit einer weiteren Zutat
MC136	kchoar	kchoar	bearbeiteter Quellauszug	ZUBEREITUNG_AUSZUG	WORKSHOP_INFERRED	1	H5	E096	bereits bearbeiteter Quellauszug
MC014	chair	chair	Zuguss	ZUTAT_ZUGABE	WORKSHOP_INFERRED	1	H1	E006	Flüssigkeitszugabe ohne festgelegtes Medium
MC087	chodaiin	chodaiin	Zugabemaß	ZUTAT_ZUGABE	WORKSHOP_INFERRED	1	H2	E038	vorgeschriebene Zugabemenge
MC034	cho	cho|sho	weitere Zutat	ZUTAT_ZUGABE	OWNER_INHERITED	4	H5	E075|E078|E088|E094	weitere, lokal ergänzte Zutat
MC010	chodaly	chodaly	Zielzugabe	ZUTAT_ZUGABE	WORKSHOP_INFERRED	1	H5	E076	Zugabe an eine Zielstelle
MC131	choy	choy	Zugabeposten	ZUTAT_ZUGABE	WORKSHOP_INFERRED	1	H5	E084	aktuell gemeinter Zugabeposten
